Product code,Product label,United States of America's imports from Germany-Value in 2012,United States of America's imports from Germany-Value in 2013,United States of America's imports from Germany-Value in 2014,United States of America's imports from Germany-Value in 2015,United States of America's imports from Germany-Value in 2016,United States of America's imports from Germany-Value in 2017,United States of America's imports from Germany-Value in 2018,United States of America's imports from Germany-Value in 2019,United States of America's imports from Germany-Value in 2020,United States of America's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,104466,100187,206078,684884,1869727,,0,0,0,0,0,1555181,1812016,3909260,8471752,15590982,,0,0,0,0,0,367976,327755,1577405,1763637,5350199
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",1040284,1094510,1138800,1100068,1125438,1203061,1395307,1638694,1459728,1654097,,5829686,6230328,6320987,5579614,5710546,6138894,6827514,6940280,7109715,7583085,,7932497,8305433,9038677,9387920,10001887,10273952,11827933,13144139,13479940,15317509
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",1215179,1172413,1220245,1529154,1457046,1568245,1284681,878586,1161223,1313472,,3594595,3798294,5269216,5136308,4673897,4782559,5021862,4544179,3909873,4822578,,8787927,8222911,9201082,8898337,8833490,8692647,9145054,8565166,7809376,8222619
300431,"Medicaments containing insulin but not antibiotics, put up in measured doses """"incl. those ...""",2594843,3171619,4344725,3905099,2785814,2327850,1619884,1386053,1142662,1093547,,3817638,5197248,6382323,5427739,4062007,3715590,3208240,2985040,2837955,2670177,,2884578,3594022,4934108,4061747,3377324,2502759,1845458,1568301,1299457,1327960
841112,Turbojets of a thrust > 25 kN,909710,891320,989166,1033555,971268,895459,1346155,1742734,1177880,1072669,,3948113,4109443,3417616,3023389,2863913,3549096,5245457,5506634,4125011,2293438,,3871595,3957158,4462992,4956869,4849532,5071913,8063537,11206513,6930743,6001157
847989,"Machines and mechanical appliances, n.e.s.",469018,485437,517511,567549,575314,749244,722758,896656,716122,925808,,7312247,7307891,7783399,6907270,7232855,8794751,10076088,10270393,9051937,9663199,,3320662,3240773,3590171,3485083,3509142,4536854,4766746,4629761,4306969,5218856
880240,"Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters, ...",955620,2335048,3558325,3932218,2270944,2484625,1639347,1488202,1063833,907651,,32850281,33237500,33037729,33305199,34396415,29668532,28754343,30848975,19958581,19441944,,5618384,9250382,11767299,12802595,9637968,9754357,7924931,10067051,10226692,9218946
870194,"Tractors, of an engine power > 75 kW but <= 130 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,399623,421464,431791,579233,835780,,0,0,0,0,0,1794813,2134682,1992485,2124836,3084919,,0,0,0,0,0,865463,928500,887435,983576,1458998
841191,"Parts of turbojets or turbopropellers, n.e.s.",747628,823004,919908,1012524,950478,767120,943769,1158344,858250,775876,,2359321,2395713,1890480,1809153,1971014,2741976,3826059,4741732,2508271,1666219,,10363016,11273825,12132580,12584051,12180613,13619339,14280649,15566416,9390307,9624664
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",591633,587225,629284,612711,638247,686397,769739,683059,589420,754802,,7990243,9061676,9923141,8417821,9146764,11015406,12558500,12746414,11555985,12500043,,7688047,8830544,9362125,9848385,10210049,10868594,12068896,12798787,12050623,13797558
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",570083,582985,548750,528893,545375,617583,595728,589882,699070,752122,,1094810,1078131,1053867,942514,912280,1101237,1262593,1372399,2151364,2452879,,3263984,3408114,3675051,3784626,3624695,3669866,3774374,3839826,3907827,4453717
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",746266,797043,824457,965795,824888,679891,679196,595316,559379,748966,,9680822,10259773,11213682,9948801,10149820,11165473,12408173,11346405,9815105,10948189,,10932350,11581587,12552830,14042270,14081944,13487610,14893148,14676483,13006933,16413178
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",617165,514360,565378,573830,357272,428053,607545,688111,459884,745763,,8046666,8472289,8943564,7914681,7432974,7982530,8356466,7733645,6504443,7837467,,3567395,3073775,3399799,3315726,2488867,2842660,3420401,3347394,2512500,3599983
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",344031,356238,382494,385639,408720,426350,436362,492406,653982,716241,,3935982,4153392,4193187,3837821,3954412,4270507,4410175,4269939,5482884,6479369,,2590716,2548791,2534363,2609372,2772352,3386541,3883862,3997768,5350020,6362888
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",410360,462373,507138,623433,424674,460505,544057,543385,558437,698834,,2689288,3070629,2974733,2617141,2705716,2936491,2964187,3032683,2943401,3452165,,5347776,5555755,6159935,7233384,7382348,7548836,8099793,6751480,6499745,9420558
300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",0,0,0,0,0,962028,1260994,1193517,1093235,696872,,0,0,0,0,0,2171346,2469990,2554643,2337387,1630688,,0,0,0,0,0,1297476,1703290,1670890,1550871,1245167
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",300507,330605,315791,347688,452944,593209,722320,840026,600276,650815,,8624166,8112839,8819635,8247703,8303002,9731028,9417833,9124472,6510750,5764908,,12106270,13234073,15261785,14589061,14602368,14495816,17058732,18234050,12262392,10308209
440712,"Fir """"Abies spp."""" and spruce """"Picea spp."""" sawn or chipped lengthwise, sliced or peeled, ...""",0,0,0,0,0,0,51983,189671,390281,623825,,0,0,0,0,0,1143455,1406056,1348020,1661096,3063085,,0,0,0,0,0,0,130117,463179,901015,1387931
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",592592,544639,657586,667412,690244,730907,776035,693154,554485,618119,,5990272,6565035,6655664,5571034,5811769,6490038,7065364,7021880,6614272,7723233,,7395870,7677434,8555758,8339420,7847296,8460070,9479565,8649164,7521799,8918139
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",783551,806599,826072,774290,661857,679162,611789,585419,564027,615875,,7545250,8084557,8510030,7652388,8002705,8861842,9219583,7979540,6834006,8266138,,13607533,13036713,13903620,14001343,13648346,13883643,14790810,14521749,12516795,15333184
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",234786,271770,385557,448061,376983,354089,456495,543249,555413,611525,,4297189,4602811,4609198,3830840,4061509,4621812,4967479,4657305,4132646,4937326,,3205457,3360402,3740605,4128998,3969783,4038007,4550569,4729766,4079293,5426265
847990,"Parts of machines and mechanical appliances, n.e.s.",279016,287972,299627,285942,318730,407048,409246,391072,428643,546898,,2226026,2430342,2674994,2520445,2622734,3092941,3396078,3172933,3142723,3633360,,1857721,1836238,2022257,2080788,1942317,2251551,2476788,2576837,2602298,3142253
850440,Static converters,283945,325614,304879,329958,474223,471854,424448,446253,504717,531642,,4802695,4763246,5047102,4487542,4594645,5280041,5800438,5957950,7087710,8578880,,8080280,8486424,9273437,9607602,9264142,9541997,10422940,10125956,10932833,13225374
901813,Magnetic resonance imaging apparatus,356776,274552,289041,350418,440582,402789,538186,524539,444497,528593,,1468872,1401858,1429155,1432766,1520966,1480825,1634678,1753832,1596018,1788076,,567667,443819,449686,512763,597391,560698,716555,660895,570540,670003
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",469308,429051,435251,472787,502111,554663,566166,597145,486908,522207,,1626216,1566830,1460174,1433659,1301712,1379285,1448120,1583752,1548865,1589593,,1102828,918719,1018911,1058445,1090554,1165847,1349808,1406365,1225114,1424107
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",187981,219594,240149,308658,327721,413431,392077,466289,423422,515948,,1724864,1707466,1802102,1679380,1741801,2061877,2449036,2587402,2216741,2625141,,1781921,1964198,2374003,2447458,2494610,2696378,2947165,2999059,2910813,3666490
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",562588,446689,506131,545604,482807,546603,552967,505809,477563,508054,,3915544,3669110,3943710,3184480,3251395,3397722,3770321,3535198,3292551,3727968,,2750139,2397415,2670405,2775650,2696875,3110397,3348634,3521447,2791905,3319441
870195,"Tractors, of an engine power > 130 kW (excl. those of heading 8709, pedestrian-controlled tractors, ...",0,0,0,0,0,118224,147695,340139,392430,507694,,0,0,0,0,0,1792860,1772866,2032397,2154803,2703757,,0,0,0,0,0,395829,481863,656995,665983,857445
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,383726,416385,435508,418978,507231,,0,0,0,0,0,4627693,5187104,4880465,4721959,5741167,,0,0,0,0,0,2151486,2476311,2761180,4301611,4210082
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",279062,296185,337729,335871,359744,383127,429135,432408,398715,493796,,6551278,7262543,7650645,6734572,7139189,7873496,8726515,8544417,8516227,10142339,,5675487,5906734,6269066,6677328,6707960,7387174,8219633,8721334,9164364,11202232
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",757535,664393,646452,686463,620360,566746,535880,626479,556443,482699,,5129406,5241637,5028938,4463612,3974485,4184552,4522827,4602067,3410258,4169624,,2642489,2908028,3514342,3485400,3191823,3294110,3407191,3227893,2614380,3177873
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",279552,245615,249698,164196,146478,258685,196245,164724,182079,476773,,898831,819645,849620,607921,638540,674154,735657,978522,1393018,2445673,,977556,948718,1098020,901833,823398,1061415,1073590,1107659,1518949,2382439
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",306600,395164,339921,255619,396133,288576,355477,381006,457402,464286,,2468700,2750730,2807023,2340382,2421551,2561532,2778098,2805770,2881011,3175385,,1055818,1117121,1062019,960155,1170069,1148579,1323358,1323521,1419520,1605687
902212,Computer tomography apparatus,172468,240012,239731,256104,231031,240135,268951,345749,344739,449202,,817535,864698,822400,859224,856609,923161,1084325,1330418,1416484,1697510,,358532,452242,535953,593326,584543,590250,669026,697641,590844,758006
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",673406,573134,828856,799824,651163,830329,673781,688729,401513,444987,,662867,403969,374487,419535,315358,430771,515395,439767,336905,769280,,5150030,5989493,5933425,8315404,6470058,7044048,7831237,7689477,3566953,6053779
870510,Crane lorries (excluding breakdown lorries),394488,495538,520321,355886,284791,381759,574870,624806,407737,433443,,2473420,2555178,2432857,2052684,1842465,1925006,2315144,2379957,1803546,2238850,,505308,593291,644860,513091,348779,442352,654411,675185,436689,445907
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,227060,183950,236373,252590,227066,301058,322322,368300,356648,428833,,3483804,3623803,4637208,4534155,4300952,4228754,4549779,4930231,5384905,6640219,,2557520,2598887,2957942,2996345,2870512,3023144,3421054,3589182,4520463,5878978
901849,"Instruments and appliances used in dental sciences, n.e.s.",254282,288408,278915,271841,262243,235113,275354,398401,323401,417726,,1165210,1270662,1254423,1195720,1230919,1359035,1365302,1457622,1227895,1719792,,657474,719833,725127,768500,851621,863027,856770,988795,879263,1200129
284420,"Uranium enriched in U 235 and its compounds: plutonium and its compounds; alloys, dispersions, ...",493143,355451,209675,204759,300831,218452,287449,250145,394544,403613,,1296471,894293,717642,676667,548790,510047,516386,684848,572643,727059,,3684504,2909539,2348056,1881117,2239875,1405197,1738103,1716389,1740089,2182119
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",414769,438245,455682,419403,446228,448899,483252,420919,361220,395628,,4212927,4473189,4628144,4131641,4401058,4724450,5116357,4866369,4146474,4639761,,2323340,2489657,2756789,2745465,2641415,2776529,2776064,2729994,2377305,2921763
902110,Orthopaedic or fracture appliances,186206,244143,255484,238928,221336,259787,352127,380604,319606,375076,,684850,725629,772329,663754,752556,922414,1142660,1054346,839301,1071411,,1591181,1667548,1712578,1828317,1911705,2151574,2414107,2486687,2332712,2827142
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",537334,509285,612472,447177,444024,369394,327541,298842,269365,365503,,4130518,4291610,4905566,4667756,4681977,4863737,6033468,6286456,5890095,6291875,,27596482,30210873,33841643,40433798,45871307,48105160,47902381,39350975,39215671,43134822
902131,Artificial joints for orthopaedic purposes,115711,168959,249129,285142,318317,372897,351875,302366,279532,360883,,1001592,1188505,1455179,1300793,1262214,1193389,1153026,1023798,839988,1017176,,1490036,1499203,1548111,1755351,2016024,2351069,2743718,2915330,2483542,2671876
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",297240,280753,296084,278558,265526,271291,297256,311936,301197,358533,,1543134,1515692,1535741,1485254,1554563,1808508,2013276,1912068,1893849,2193770,,1564933,1547838,1643245,1657710,1652315,1775436,1900268,1992722,1985196,2398980
842290,"Parts of dishwashing machines, packing or wrapping machinery and other machinery and apparatus ...",157162,208729,214821,214758,206066,204753,241852,288241,258772,358408,,1513814,1611776,1626442,1430405,1518294,1542102,1731569,1631688,1597562,1577616,,647259,713160,788858,765762,780391,828555,918364,1009021,957848,1205739
842240,"Packing or wrapping machinery, incl. heat-shrink wrapping machinery (excluding machinery for ...",152932,198671,230985,204923,247614,272178,314821,275202,339798,358081,,2282063,2449539,2580732,2002669,2059236,2119302,2347986,2266321,2078954,2216375,,663172,721616,847568,863207,893580,939946,1160794,1168347,1418311,1673414
843139,"Parts of machinery of heading 8428, n.e.s.",238878,259472,200471,254879,209934,323672,303168,274405,245078,357407,,1522995,1580398,1370431,1219122,1123908,1253524,1422455,1485984,1352615,1466344,,1288727,1288499,1369804,1406813,1331187,1675155,1869353,1784407,1803782,2299664
900130,Contact lenses,11041,41291,84528,63086,88741,117110,122412,161710,148963,344414,,591707,704520,749327,658482,720914,796122,793139,811008,774158,1307054,,538845,643030,792665,791981,834817,930965,1013126,1044343,858252,1015329
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",265400,277606,280021,263102,241574,314014,331760,323223,310921,342378,,1746298,1796959,1857020,1808605,1798759,2165995,2306754,2095726,2164421,2460191,,1548567,1503998,1506735,1519830,1450661,1516399,1620129,1653735,1562762,1773930
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,175429,176806,187434,190845,198476,246195,390744,292754,378500,336906,,488302,544168,565674,495441,471067,670848,717712,758885,822105,1049372,,2357100,2343682,2492761,2284289,2435186,3562488,3952706,3196044,3875425,3874718
841391,"Parts of pumps for liquids, n.e.s.",272641,282067,309826,275020,261572,285569,353203,302691,281781,328976,,2350762,2549939,2578205,2288730,2185701,2303595,2500374,2318502,2060195,2319562,,2956423,2931006,3377183,2921602,2502555,2952816,3449786,3007590,2421994,3055653
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",153524,153098,172896,155828,147503,201699,253472,266690,297025,324182,,2288782,2472761,2632794,2340476,2417329,3010211,3353027,3379445,3539851,3489957,,1139385,1238879,1354909,1359959,1412312,1447103,1546010,1534323,1586221,1879619
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,412345,378639,448681,476692,394199,281446,260368,329468,270432,321495,,6127091,6310490,6505241,5608976,5525871,5654273,5738653,5410200,4556465,5399290,,5785047,5936513,6399458,6762990,6716422,6496433,6452559,6292166,5123335,6768694
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",336083,299946,296259,291894,255205,273031,315404,296631,265584,321051,,2297793,2442716,2544166,2201917,2259670,2654945,3022856,2802575,2762321,3228857,,1933657,1829301,2014384,2032707,1822412,2004674,2203939,2102942,1773411,2301383
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",395193,312905,350085,329272,252971,282041,342109,351163,242606,314928,,2427700,2667183,2978979,2629879,2580770,2880933,3056938,2703974,2332502,2633663,,2277082,2275206,2546174,2573871,2411992,2513070,2726134,2583055,2229814,2725240
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",174242,183222,192459,178977,178501,225317,255682,245778,233636,309415,,1073181,1093286,1157116,1027358,1100560,1301532,1415430,1322991,1148597,1306197,,822878,814488,835874,858225,842719,938531,1090758,1132206,999299,1260783
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,785,112240,118046,154216,307555,,0,0,0,0,0,115924,1589419,3733425,8230172,20431992,,0,0,0,0,0,5886826,5492805,8125843,8071878,10181836
850790,"Plates, separators and other parts of electric accumulators, n.e.s.",9460,13121,15269,13023,15347,16585,14628,65268,241417,304303,,111009,108411,125171,111097,133716,162620,175574,226969,304694,376805,,112339,122884,425041,690600,846404,1479082,1636610,1519706,1607447,3279432
848120,Valves for oleohydraulic or pneumatic transmission,215132,243561,301190,368928,297033,324230,331500,319916,250406,304289,,2519714,2654697,2845028,2427654,2538766,3117396,3583243,3331042,2941857,3762262,,1112748,1150728,1346773,1567283,1560720,1619171,1936589,1891571,1590798,1862654
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",272620,288523,325278,286960,262867,256700,292188,281613,220986,303505,,1669463,1688549,1793586,1582353,1629919,1768859,2012111,1921374,1781859,2187802,,3836500,4033014,4323503,4043446,3254541,3590408,3890267,3618573,2966242,3551224
852580,"Television cameras, digital cameras and video camera recorders",155186,180989,203083,174902,152185,229604,304911,281047,293164,303030,,2011527,1853929,1852722,1672880,1862679,2192568,2389897,2439264,2628930,3192060,,7564906,6114185,5554187,5771063,5850694,6796285,7530877,7750915,7597446,8863485
901320,Lasers (excluding laser diodes),139279,176590,180407,184674,183631,239940,261489,259218,257057,294095,,1207681,1283615,1452131,1301345,1443149,1942945,2152770,1795256,1741124,2155868,,434342,531632,601821,614766,658178,752302,781200,734980,739790,851120
842940,Self-propelled tamping machines and roadrollers,155147,108459,136916,230402,198671,194194,252468,283306,223182,293872,,772442,711701,708049,647041,628390,693207,825378,790607,601967,798807,,253359,196029,315062,423116,345473,366167,455010,464802,372034,498524
870892,"Silencers """"mufflers"""" and exhaust pipes, and parts thereof, for tractors, motor vehicles ...""",116508,95124,97632,112755,133018,103275,95646,147830,182135,292903,,1271552,1239214,1352190,1329445,1646317,1776127,1920760,1651281,1424197,1757205,,914801,819659,870707,898142,933112,912942,1066373,1190399,1050434,1498849
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",137747,122465,139270,137325,133810,148318,155333,348727,436282,291318,,1874679,2002787,2214012,2112901,2112295,2774923,3298780,3196850,2755746,3255191,,15205756,15322330,14673832,17913210,19696574,23484926,31688073,31361991,32056333,32735014
847910,"Machinery for public works, building or the like, n.e.s.",133536,141009,160068,204439,277064,275282,342025,277741,210490,288240,,1145008,1167097,1217106,1103635,1272259,1494437,1627233,1285822,1228499,1569693,,171203,179960,203065,239683,317878,318763,394973,352810,265258,363176
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",320711,324255,340625,311563,295919,292881,293428,288810,238461,284680,,4327445,4702837,4772163,4241122,4443312,4714807,4888225,4584131,3821207,4750272,,4661595,4461382,5002067,5249856,5022201,5077587,5691761,5760291,5048217,6094784
850760,Lithium-ion accumulators (excluding spent),6657,15500,18315,22181,38438,74061,48568,104204,271092,282638,,276740,457301,543834,489746,592135,966240,1332376,1988716,3451412,5815122,,1306942,1707471,1729944,1718175,1997259,2568701,3224108,3691381,4823512,8265629
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",174804,194967,193112,188825,191395,227307,271045,250861,221083,282533,,3170477,3267671,3507859,3067575,3241037,3534498,3852301,3551559,3449936,4293770,,1672348,1716173,1679686,1670299,1669540,1751557,1969017,1977355,1823449,2399561
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",183072,164191,191967,193810,162339,187530,249830,247230,246032,274981,,2205735,2153934,2261043,1870551,1835767,2034448,2479824,2519799,2262222,2557908,,1663462,1638499,1860998,1967483,1792091,1986740,2170090,2175266,1834403,2227315
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",191114,198845,242354,260664,243007,257350,286980,322501,278612,274791,,2027751,2266635,2382891,2115695,2170027,2394681,2731627,2669987,2471658,2793017,,1347847,1417787,1609926,1741806,1774817,1996822,2280125,2258642,2190118,2716461
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,217977,280444,270810,264489,257387,304451,326225,278044,285625,267719,,1420801,1424291,1414678,1185447,1299203,1381115,1475517,1360029,1261650,1333513,,1021995,1105638,1120286,1268519,1207001,1361650,1332133,1224188,1201335,1249981
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",187163,195061,220106,196262,178729,214119,253248,261307,217502,264350,,4523831,4725678,4958217,4244912,4208534,4695113,5194621,4866828,4528465,5435115,,3332808,3290013,3638341,3719703,3683325,4023953,4671314,4708247,4263538,5445736
845710,Machining centres for working metal,164362,148846,197351,190038,205337,254066,384973,285541,276749,263274,,2216855,2329073,2570657,2263236,2204709,2637516,2798957,2287338,1608903,1783767,,1622436,1331230,1364769,1176497,1087711,1231161,1556088,1444778,975627,1193362
841350,"Reciprocating positive displacement pumps for liquids, power-driven (excluding those of subheading ...",261903,227361,287746,277159,243728,240645,258866,250703,236620,259377,,1935767,1830677,1785272,1505258,1531658,1777411,2130426,2208939,1920684,2315341,,1681093,1590101,1940629,1525589,1314766,1593162,1686794,1638206,1396272,1572080
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",289758,279361,311119,283118,264231,234696,260111,237035,207925,255161,,5101781,5311843,5595013,4517879,4468555,5052566,5666797,5251280,4870119,5721908,,2637855,2708623,2916306,2848077,2805141,2943875,3221113,3117363,2746426,3320737
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",124106,137719,174687,183967,150077,202004,215380,240883,234486,252767,,788222,892727,910372,794032,684063,779986,940690,1072142,1305386,1360083,,5819341,4836809,5898693,8508251,5405984,4627145,4040060,4926073,8531317,7404165
300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...""",256002,246258,332948,324523,499282,402072,220188,197643,193978,251778,,2194458,2636451,3071293,2332638,2404611,2209702,2594647,2724016,3572173,4638580,,4621271,4275996,4383293,5430434,6278844,5803249,6600001,8927252,9652473,11093857
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",570296,499729,485783,484659,337061,308804,403577,457711,273632,251634,,2809647,2606223,2534640,2022669,2237156,3024833,3645761,4038592,2762815,2230881,,3203060,3058806,3126714,3291640,3293448,3281867,3066592,2893120,2319289,2423402
843390,"Parts of harvesting machinery, threshing machinery, mowers and machines for cleaning, sorting ...",148730,180869,201520,153755,128584,130353,155301,151902,197439,250634,,904884,969917,927553,664683,694236,776266,838716,748275,807814,1005147,,1080331,1189904,1160672,1000533,837931,921540,1132350,1045897,1026294,1347395
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",356850,391503,372859,364963,335019,385786,326906,318290,245841,242655,,4561768,4722674,4487232,3968259,4038805,4262136,4313031,4096387,3407436,3877202,,7766860,8250764,8113907,8024235,7588516,7711584,8110683,8394340,7353764,8507632
