Product code,Product label,China's imports from Saudi Arabia-Value in 2012,China's imports from Saudi Arabia-Value in 2013,China's imports from Saudi Arabia-Value in 2014,China's imports from Saudi Arabia-Value in 2015,China's imports from Saudi Arabia-Value in 2016,China's imports from Saudi Arabia-Value in 2017,China's imports from Saudi Arabia-Value in 2018,China's imports from Saudi Arabia-Value in 2019,China's imports from Saudi Arabia-Value in 2020,China's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
291614,Esters of methacrylic acid,0,0,0,0,0,0,200979,138544,138181,47701,,0,0,0,0,0,19692,313948,339597,412384,429868,,496231,505979,600880,379637,246119,290063,409575,358430,362617,225886
292212,Diethanolamine and its salts,10366,14725,21658,15150,11521,30179,52668,51215,44645,45871,,75692,89098,45069,27198,23569,132092,105958,104755,89899,103344,,58511,48658,61549,49318,58111,75639,92573,76590,104194,82761
260800,Zinc ores and concentrates,0,24694,16011,20496,6080,13718,34089,26849,30436,43331,,27225,48777,38236,37328,20837,15272,81903,28909,52487,52939,,1245795,1358320,1525538,2008066,1253108,2226763,3248264,2524480,2472212,3569245
290121,Ethylene,49930,15080,16604,0,30828,165128,180599,52171,46496,38163,,275709,339828,238355,58557,231379,312753,237709,188577,86781,427,,1794984,2267324,2197066,1624999,1757739,2531628,3302372,2384146,1450953,1997378
390710,"Polyacetals, in primary forms",420,320,2,10,21,7601,36174,31955,31674,38100,,0,86,0,83,265,14603,50363,61600,55034,62087,,489539,520581,553062,539984,568342,639163,720565,631504,589329,703591
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",172739,207395,288391,56245,277797,241719,211270,42788,119523,37286,,19361542,16654561,22949962,24020889,9738412,31705439,0,0,0,0,,3363029,3759632,3740186,3994815,3477904,4161497,5834302,4271919,3480420,4812584
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",0,0,0,0,0,0,430,180635,37271,35951,,25792,6135,50154,69198,98229,228216,261035,111901,51491,96828,,152749,194261,308840,440605,444814,472710,1355605,3973351,3103671,3188432
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",488,141,189,31,1156,37184,71435,74088,57979,32800,,0,0,71,25,8335,85777,141469,121349,90281,252955,,3623543,3597079,3574745,2993537,2747397,3509133,3919850,3275260,3070582,3488535
292129,"Acyclic polyamines and their derivatives; salts thereof (excluding ethylenediamine and hexamethylenediamine, ...",10650,15075,21444,16087,16645,17761,25849,29008,20256,26612,,3659,842,28378,46624,57535,47278,56745,41519,10485,16958,,121517,131551,136192,139875,118078,113905,128917,131855,112958,136886
292215,Triethanolamine,0,0,0,0,0,8060,33672,24584,24459,24663,,0,0,0,0,0,0,0,0,0,57982,,0,0,0,0,0,37001,58400,38061,39850,37813
290220,Benzene,0,20951,7493,24131,0,0,11465,40200,14518,21551,,11376,81219,0,257,3300,8477,310448,77647,35384,95171,,531825,1191650,765076,867079,996403,2098409,2191237,1215598,978566,2531846
291219,"Acyclic aldehydes, without other oxygen function (excluding methanal [formaldehyde] and ethanal ...",7866,7485,10059,6001,3811,7715,9143,8751,5795,21114,,30216,18500,14824,10067,3141,96,231,254,1161,250,,91143,79304,79422,62516,49379,52093,54993,61632,55247,76857
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,0,0,11543,8316,19555,,0,0,0,0,0,131,140749,28037,5314,88272,,52832,53450,22532,19120,19310,44317,63107,630887,3927294,5626865
560312,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",15074,14195,30922,31225,22058,24612,21353,19720,27381,18096,,42422,43460,63380,51342,38357,37495,18714,22129,62172,64378,,258363,265350,309919,286428,265629,252034,250690,227350,321330,260860
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",10,15,59,0,0,0,12868,24243,13457,17562,,2147,3933,59398,63465,59141,56686,54659,52139,36634,72464,,1253808,1377812,1540799,1421770,1501820,1842857,2152071,1884594,1864167,2193347
760110,"Aluminium, not alloyed, unwrought",0,28615,31657,13015,28621,226,47214,8187,38598,15400,,7311,353294,1090840,987209,1083300,999936,951749,840479,969837,825857,,1121464,762582,538044,299920,360676,240015,276232,151580,1934052,3833274
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,7247,10105,7007,8034,12592,,0,0,0,0,0,0,0,0,0,23867,,0,0,0,0,0,6080289,6202408,5677307,6511671,7561917
290532,"Propylene glycol """"propane-1,2-diol""""""""",0,0,0,0,0,1198,21045,14487,11753,12153,,0,0,125,63,74,18539,77603,65000,54890,150753,,109515,106284,113693,109785,85508,85341,109481,98146,93147,120782
292910,Isocyanates,0,0,0,0,0,1912,68918,47473,22555,11358,,49,138,207,17,21,309069,961009,257418,256115,150834,,529383,573884,513522,437013,407959,524141,676061,470632,386057,400004
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",2820,2490,1808,795,384,4519,15668,16255,12901,11131,,453866,17989,13630,12742,7354,20691,83402,38998,40930,66651,,115296,119938,133636,121387,115446,140819,186585,168948,160974,206322
292211,Monoethanolamine and its salts,2514,11817,18002,10849,10742,15945,31171,18905,13141,10714,,9870,23552,25388,18497,22325,61817,110472,144272,91912,110401,,22162,30818,32604,34860,38293,51007,54554,31635,36147,21378
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",0,0,0,0,0,0,0,0,27328,9832,,0,33899,0,0,0,0,0,0,0,0,,33761,104920,26719,27674,14826,13784,63620,346512,2489777,771308
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",0,2,0,0,8852,37205,17002,28818,13696,9133,,0,0,42,0,12618,58585,58152,45690,50069,90567,,749038,550552,439953,372088,349406,587093,394939,362443,349131,333394
480524,"Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""",0,0,0,0,0,1599,3011,10001,31343,8766,,7840,10449,1311,14,6524,9899,10901,19000,25001,8446,,6078,7016,5426,4207,2496,61180,123524,189879,563727,595610
760120,Unwrought aluminium alloys,0,0,0,226,10376,0,0,482,3983,8564,,202,2022,209196,335297,50692,210553,143005,127301,43837,92253,,278899,247462,206327,160410,128586,156833,173291,368426,1879017,2253116
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",746918,778861,768516,585531,624121,39942,32714,22553,13130,7850,,95263,170157,187334,164462,173721,697618,598741,395003,460186,507051,,3800905,4330575,4837911,4244288,4139049,751933,1063328,1102026,973059,1003981
390390,"Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile copolymers ...""",1,219,591,73,2,0,0,311,3078,6580,,859,2301,2549,4456,5019,8038,8115,4691,2754,7138,,662380,704283,723751,611312,633124,744452,919401,952369,927065,1172451
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,3509,6166,6751,4503,3632,5047,4752,4115,3796,6085,,275681,329007,331889,222795,202302,239543,247465,217414,272490,573373,,47540,40884,42823,34849,29467,36517,43479,38565,36682,57782
390319,"Polystyrene, in primary forms (excluding expansible)",5438,16231,65464,49890,24489,17546,1290,710,4230,5576,,139495,91832,141229,92412,124267,151390,115419,88957,88579,152761,,1538717,1619860,1386135,1037514,878994,1043406,1501183,1505407,1379893,1438685
381511,"Supported catalysts with nickel or a nickel compound as the active substance, n.e.s.",0,0,0,0,0,31,4218,0,0,4742,,0,305,433,277,5038,7088,15705,980,11420,12872,,131596,153505,175306,193699,153494,149043,254472,146399,195227,267869
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",0,0,0,0,0,5332,462,503,5651,4356,,2714,2699,1049,246,1546,15706,24452,26431,22622,64238,,45783,24288,15296,28796,27417,245453,479255,533893,1362723,1295347
382370,"Fatty alcohols, industrial",0,0,0,4076,1883,3421,3312,6333,5706,4272,,0,37,95,20,791,1010,3939,10533,7097,4975,,393717,373472,392284,369274,478185,614520,597297,505444,498496,692157
290321,"Vinyl chloride """"chloroethylene""""""""",0,0,0,0,0,0,0,0,0,4077,,82,8914,0,2990,3149,4200,3249,0,14706,29019,,459868,559757,574242,499146,505302,553322,567431,650240,588802,974222
410510,"Skins of sheep or lambs, in the wet state """"incl. wet-blue"""", tanned, without wool on, whether ...""",1819,1419,303,1684,3684,3882,6109,5210,2611,3935,,102267,107852,77432,62625,47294,51916,47370,44223,19403,34094,,42909,42165,19632,23235,11114,14222,21756,14399,9272,10792
400231,"Isobutylene isoprene rubber """"IIR"""", in primary forms or in plates, sheets or strip""""",0,0,0,0,0,9459,10778,2337,3438,3600,,0,0,0,0,2861,42085,48399,26207,92400,126320,,187821,205059,200718,149657,109618,126826,136301,158714,179441,136953
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",595,2757,286,213,699,258,3344,4102,2555,3485,,652,1647,3084,7379,12561,5091,7857,32039,24985,1039,,440089,487053,511134,405287,407388,479829,505127,433826,443559,522361
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",11507,24199,12824,18224,2114,7894,5760,7261,1629,3480,,14040,3329,8887,16966,24762,14578,5656,8283,8503,786,,902380,1020411,871606,627922,418177,536067,786094,745395,742454,1283830
290930,"Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",2356,1503,0,0,835,2768,5227,4233,1438,3313,,880,59,3968,4514,2163,0,0,0,0,1083,,19768,23074,20401,30653,82904,113338,138921,136911,124440,122599
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",26135,14990,1896,9964,5397,0,1,7626,7907,3118,,15666,14867,12513,9275,4537,36305,26336,61780,62855,195799,,397790,384061,381905,258306,273984,375613,386255,339853,291961,306297
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",12406,13197,15907,8795,7196,7967,6824,6795,4852,3099,,0,600,2096,2781,3938,5549,11308,11240,10822,13865,,404302,422271,395926,332806,332583,363872,397183,377045,381168,437397
290110,Saturated acyclic hydrocarbons,0,0,0,0,0,0,0,0,0,3088,,97073,62365,101092,65061,51499,45192,40884,58118,53857,111355,,94487,75713,145090,51735,33849,72957,89862,146636,322124,989446
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",687,1418,3,15,11798,4174,51624,57828,11656,3008,,0,0,0,0,27413,11879,75995,76119,14698,23232,,2827128,2915984,2716528,2076164,1741554,1839774,2021456,1745837,1483649,1517776
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",43444,253540,344135,22644,33626,21153,2057,43462,94341,2992,,3367498,2402657,2837271,35895,882970,3901,3457,0,0,0,,29566479,25827759,19555177,10372520,7651643,10310975,14230610,12799204,8312125,10342110
290514,"Butanols (excluding butan-1-ol """"n-butyl alcohol"""")""""",0,0,0,0,408,1032,233,520,849,2900,,0,0,23906,4217,99803,121825,73917,90350,71976,143246,,247826,252921,144958,102263,54782,46492,81260,60537,42842,123482
340211,"Anionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",0,0,128,0,0,0,0,0,151,2577,,59,27,43,382,67,865,4490,2238,2981,19019,,152171,140345,138345,141857,142153,152893,174425,177246,194485,235207
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",45,44,283,997,1102,662,1043,1516,997,2528,,0,243,120,0,777,2031,3892,4875,2113,1605,,264132,313842,251032,327441,359146,379905,269442,368981,301467,273103
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,9734,4947,1986,3825,2770,2747,3253,5456,621,2408,,283101,271157,213820,156219,143230,196013,226415,187974,144394,238344,,560872,550272,615343,536474,505433,608902,634916,527145,504335,567198
80410,Fresh or dried dates,182,337,710,607,723,671,1520,2570,1362,2253,,74860,102943,129670,140135,141564,182379,201393,229833,245969,322840,,3906,3156,3610,3248,3977,4148,5166,6260,5056,4866
281512,"Sodium hydroxide """"caustic soda"""" in aqueous solution """"soda lye or liquid soda""""""""",0,0,0,0,0,0,0,6227,4376,2180,,271875,239023,212438,138320,188358,183318,167954,89513,110410,121615,,3174,2424,2425,2345,3102,2238,14204,21891,10032,12391
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",3246,465,828,2042,1664,504,1781,3903,821,2128,,136590,144758,120046,80126,39860,12118,21666,17065,6505,11654,,79712,98511,121823,83439,92027,118305,121780,113461,108588,138569
251611,"Granite, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones ...",1027,1632,0,73,52,225,710,2291,1569,2030,,72,0,0,0,0,0,0,0,0,0,,798823,890918,1116860,895319,806896,900241,945095,853345,821285,763201
902610,Instruments and apparatus for measuring or checking the flow or level of liquids (excluding ...,0,0,0,0,0,0,0,0,0,1923,,393,1657,1097,314,528,1194,856,38,471,361,,481650,510447,527067,515825,443179,463043,561320,530072,498009,551584
290410,"Derivatives of hydrocarbons containing only sulpho groups, their salts and ethyl esters",0,0,0,0,0,0,0,0,37,1876,,1143,30,426,3,92,31,255,344,0,457,,17291,22246,28990,26317,31478,35795,44035,31700,29764,34714
293220,Lactones,0,0,0,0,0,0,0,0,994,1599,,0,0,0,0,2920,4039,3388,1541,7220,42219,,36059,48191,44235,47684,55558,62758,71839,63260,39330,44374
251520,Ecaussine and other calcareous monumental or building stone of an apparent specific gravity ...,119,1503,1459,6790,1165,2846,1859,974,2929,1462,,0,0,0,0,0,0,0,0,0,0,,23547,29795,30483,21817,13934,20317,55103,62600,45084,57214
721420,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations ...",0,0,0,0,0,0,759,0,0,1459,,0,0,0,0,1030,1,3888,0,0,102,,50469,48223,51441,24690,20673,15900,10751,18093,487678,775510
390730,"Epoxide resins, in primary forms",1592,0,0,0,96,118,907,1041,4583,1314,,88130,51500,74607,40214,55775,63806,64194,46689,42697,46690,,863722,805945,889332,795172,776662,917179,989624,995154,1255093,1349355
293211,Tetrahydrofuran,0,0,0,507,602,8,0,0,3203,1188,,7652,3657,4340,9829,9899,17784,17521,11902,19373,26409,,69116,72353,47525,29231,7818,5490,4736,8496,32717,45377
170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar ...",0,0,0,0,0,0,0,0,0,1178,,212191,149618,144026,134394,132687,112857,99535,128978,161754,266600,,219780,198889,182576,314396,221754,245437,237948,190742,264143,288942
251512,"Marble and travertine, merely cut, by sawing or otherwise, into blocks or slabs of a square ...",2120,9038,8329,10439,4058,5479,5961,1374,1632,1112,,0,0,0,0,0,6,0,0,0,0,,1162461,1300046,1248250,1026594,1036912,1452816,1270976,1391291,1140800,1491071
740200,"Copper, unrefined; copper anodes for electrolytic refining",1437,1221,0,0,0,734,316,236,140,1081,,0,84,65,0,0,0,41,27,0,0,,4174417,4562816,4035684,3028510,3450466,4815089,5867658,4551669,6279175,7620345
999999,Commodities not elsewhere specified,0,100,0,0,0,0,533,720,1421,1061,,58175,53598,44142,326278,238820,161601,231751376,202382227,131993296,206072415,,68769069,104735488,82763505,80518802,77492643,66855229,29854611,10614452,10906755,12196803
251511,"Marble and travertine, crude or roughly trimmed",0,0,0,544,604,2189,2829,527,1787,997,,0,0,0,0,0,0,0,0,0,0,,473814,516604,436818,225731,172794,253668,224476,143168,90060,96610
560311,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of synthetic or ...",3733,3844,4393,3129,232,69,898,2470,4043,707,,11472,16289,12601,80985,41591,52121,53954,58869,70240,77543,,48553,58359,68535,50799,40813,56509,51738,51333,98910,28717
390320,"Styrene-acrylonitrile copolymers """"SAN"""", in primary forms""""",92,105,9,0,33,14480,12070,7410,1323,686,,10243,16432,63703,19351,33097,18268,26598,23760,27947,2878,,388531,359085,402388,321613,311669,448034,467838,438653,384686,500475
290499,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated ...""",0,0,0,0,0,0,0,0,0,679,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,14988,23184,28795,17578,14386
290944,Monoalkylethers of ethylene glycol or of diethylene glycol (excluding monobutyl ethers),0,0,0,0,0,0,0,0,0,645,,265749,809,354545,299079,324370,508508,605763,111440,234,936,,31117,30398,31421,28907,28746,32045,42181,41444,37415,38894
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",138,320,63,217,0,0,475,0,0,615,,144839,258097,293256,229055,246158,302291,276477,180266,161699,321928,,4127918,3915962,3461849,2875164,2201272,2828853,2509357,1924256,1032018,1677254
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",1020,811,163,91,38,198,182,556,1324,478,,7971,19575,14461,15838,13801,34319,25225,19833,10392,21652,,110870,110692,111666,72403,53666,57256,61838,67858,58945,42953
