Product code,Product label,Saudi Arabia's imports from Viet Nam-Value in 2012,Saudi Arabia's imports from Viet Nam-Value in 2013,Saudi Arabia's imports from Viet Nam-Value in 2014,Saudi Arabia's imports from Viet Nam-Value in 2015,Saudi Arabia's imports from Viet Nam-Value in 2016,Saudi Arabia's imports from Viet Nam-Value in 2017,Saudi Arabia's imports from Viet Nam-Value in 2018,Saudi Arabia's imports from Viet Nam-Value in 2019,Saudi Arabia's imports from Viet Nam-Value in 2020,Saudi Arabia's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
890590,"Light-vessels, fire-floats, floating cranes and other vessels, the navigability of which is ...",0,0,0,0,0,0,0,71439,0,9684,,91,208,58750,61,64,43939,75030,12,253201,80957,,75929,1523,29765,15293,4110,49802,778726,1811562,443195,1419955
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",859,0,204,0,416,2897,4808,8045,15047,9026,,651,4954,23295,39757,140538,256742,677142,1185184,1500458,379248,,84195,65294,73790,86913,37857,75755,59374,72222,155440,88193
80131,"Fresh or dried cashew nuts, in shell",1135,1168,1147,854,1471,2411,8897,13224,13920,9019,,349,1256,991,0,571,1081,863,3834,834,12646,,5748,9416,12432,7754,11059,25927,21195,25473,23936,13954
440290,"Wood charcoal, whether or not agglomerated (excl. of bamboo or shell or nut, charcoal used ...",0,35,435,1306,838,868,1753,3145,4161,8616,,4967,4846,14290,32467,38693,50843,65909,67138,63703,76260,,14626,28244,27169,48954,56018,64993,72627,75682,64492,82851
850720,Lead acid accumulators (excluding spent and starter batteries),38,758,733,1329,1164,1106,2750,3417,6220,7791,,312087,348723,433029,399594,413398,491690,621269,693858,747407,821922,,60809,54197,63475,64827,47530,50597,71308,72575,68478,77409
845020,"Laundry-type washing machines, of a dry linen capacity > 10 kg",0,0,0,0,0,0,0,727,5474,7496,,33,37,26,3,262696,750669,484700,542733,603238,556031,,13767,19898,16418,17986,18664,17879,23493,57833,96075,124597
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",2152,6124,11558,10675,1754,2324,8397,17117,5357,7337,,28013,32197,206571,307789,404078,588265,583637,573531,601270,515390,,897329,938524,902168,790327,639563,611130,626384,942226,571814,669596
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,0,0,0,0,7092,,0,0,0,0,0,0,6745,33425,256531,1289749,,0,0,0,0,0,0,0,0,0,80797
283650,Calcium carbonate,0,0,46,76,0,0,2160,3839,4086,7088,,10580,11353,18384,27667,13337,1762,2179,1737,930,90636,,25684,29600,33338,40461,41530,31344,31156,37101,33798,37788
940340,Wooden furniture for kitchens (excluding seats),1983,1797,3909,3029,4362,3348,4880,4849,4513,7013,,128795,150953,168108,173159,181438,204626,287974,380470,694371,768650,,56588,65731,59243,64510,61849,63366,63168,75658,76661,103557
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",3275,3695,4378,9039,6105,4649,4299,7306,7259,6970,,832872,912531,1170711,1337505,1360439,1533406,1700448,1960324,2307078,4244570,,271105,331303,329690,401251,276648,283209,281052,246252,183962,173768
80550,"Fresh or dried lemons """"Citrus limon, Citrus limonum"""" and limes """"Citrus aurantifolia, Citrus ...""",0,0,0,361,1363,3042,4019,5451,9582,6924,,3161,4486,8449,17291,26929,41296,46502,31724,36741,33278,,42670,48392,63608,74386,83512,76282,74944,84022,108396,94711
680221,"Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even ...",0,0,281,422,521,665,2319,2256,6067,6840,,9483,11095,13234,18004,20200,20946,25603,27390,29064,30132,,15723,19703,26931,29687,35544,51644,188028,180388,270481,235917
30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, ...",161,36,894,1861,1991,2327,535,0,0,6619,,2934,995,62,0,482,654,2523,3328,4468,15137,,288,1135,5500,6892,7230,6317,16502,17066,11613,19197
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),125,43,0,129,369,696,1138,5276,5194,6302,,30761,38841,46505,54680,49382,52382,59365,67037,65264,117454,,27431,24795,21592,23004,24623,31113,116485,215773,200289,483235
621133,"Men's or boys' tracksuits and other garments, n.e.s. of man-made fibres (excluding knitted ...",7990,6520,799,3890,3953,1665,1607,2194,4873,6264,,111470,143007,168618,191661,197002,208931,274052,322436,314700,445791,,49321,71953,87376,122186,109481,100357,80611,86787,64990,55584
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,0,0,0,0,0,0,0,0,0,6000,,608809,539817,224388,426726,387026,288430,347308,179001,492223,60377,,20600,13973,32167,0,10000,6289,308084,247601,145181,591322
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",10079,9851,41772,109727,68905,50913,31694,9338,23247,5975,,1128561,2911179,3166515,4151817,2996363,2859811,2958149,3025524,4197970,5210410,,1232055,1164707,1141757,1003931,722651,701852,747064,844575,1013260,1131244
540761,"Woven fabrics of yarn containing >= 85% by weight of non-textured polyester filaments, incl. ...",0,1076,1467,93,331,207,643,6065,7819,5913,,64882,77911,80611,66723,45612,43816,48642,49114,35042,49268,,11281,12711,17137,7238,14783,16567,23616,46135,50014,54202
611490,"Special garments for professional, sporting or other purposes, n.e.s., of textile materials, ...",2827,1531,1396,2031,2235,4083,2952,4390,4464,5319,,125828,122991,108372,117453,110101,131756,39834,34559,17568,15569,,74978,114945,202693,85200,53667,61084,79305,127185,94561,85999
121190,"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...",0,69,0,0,0,125,294,935,2344,5215,,6559,12340,13534,22234,17845,19430,23548,20029,46862,51334,,14559,14849,16873,21667,25268,19576,36099,52512,69454,69596
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",59,300,113,0,340,448,986,1758,2031,5190,,66908,88199,117584,151076,164064,182280,244778,401089,659403,1148407,,76848,97023,119735,138864,114804,123944,126891,157238,165583,234049
640520,"Footwear with uppers of textile materials (excluding with outer soles of rubber, plastics, ...",778,471,55,378,475,107,344,1078,631,4933,,16785,13328,17062,22777,23972,21698,25079,26181,24544,51215,,26684,22088,24961,11941,21460,25934,33733,44403,35755,150261
850211,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",201,364,38,107,2193,3017,1664,3422,2697,4845,,4456,1364,1357,5630,11528,35100,10906,18178,15314,17878,,89029,98108,78306,87171,44346,41404,37448,41617,38849,39973
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,510,1762,3774,3787,3349,1489,10378,30225,11880,4834,,1185242,1205564,1547538,1657350,1658648,1716139,1889767,2308692,2176232,3564093,,74800,93882,112651,91881,115169,124455,154078,270958,167243,124707
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",73,0,145,66,178,67,81,962,4984,4482,,95075,93819,130558,195000,287157,390205,509215,1087127,1527410,2433154,,145550,89372,92466,87533,66515,59952,74805,88894,89213,68115
570330,"Carpets and other floor coverings, of man-made textile materials, tufted """"needle punched"""", ...""",0,0,0,0,0,0,1738,1146,7463,4467,,292,271,10554,15069,21583,29092,58376,142027,240077,265252,,40646,58976,127527,138409,73907,86488,92560,121105,129331,125177
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",611,959,1922,1380,482,1430,1220,1210,2853,4423,,212346,245370,354547,447721,600325,803578,875607,1018424,1054139,2439359,,167897,180619,177801,234407,185264,220384,201339,216992,229499,213179
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",548,1415,1662,2637,2999,2954,4133,6553,5426,4391,,751407,859329,911514,1067847,1142849,1076741,1245442,1386020,1303431,1486337,,104378,92242,122047,148457,196701,256916,275093,296959,244864,305294
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",0,157,73,0,199,431,1270,2247,2664,4232,,27217,88065,95526,93340,105963,115616,107982,95841,210414,221290,,76915,18910,29768,84808,62317,53588,39972,38268,63033,47510
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",710,0,0,0,0,0,39,866,3196,4144,,48758,50354,55347,58733,64126,81714,78539,105207,126994,99227,,1038375,1922951,1969836,2363527,2675879,2940860,3158346,2935048,3359669,3351502
640590,"Footwear with outer soles of rubber or plastics, with uppers other than rubber, plastics, leather ...",526,219,294,734,572,402,516,1077,880,4083,,98212,98990,147415,151815,152594,153207,143270,216742,190759,203945,,24206,25022,25270,25223,20179,18046,47144,42529,22137,51923
392051,"Plates, sheets, film, foil and strip, of non-cellular poly""""methyl methacrylate"""", not reinforced, ...""",159,49,0,0,38,357,1791,2558,1923,3900,,10174,12678,12817,14441,15517,18820,20967,18028,19080,11564,,1963,2789,9999,7148,5225,6891,8999,12875,13897,15206
30812,"Frozen sea cucumbers """"Stichopus japonicus, Holothuroidea""""""""",0,0,0,0,0,0,0,0,0,3694,,0,0,0,0,0,0,30,0,0,3694,,0,0,0,0,0,0,0,0,0,10228
420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",487,515,766,1843,1519,5480,3034,2801,2545,3603,,42673,84944,141930,171904,248928,180716,292754,311139,225755,554880,,47585,51392,51780,76432,92957,83138,102506,87996,63546,100666
420222,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",462,1950,1737,1740,2432,810,1534,5102,1758,3543,,144030,198396,202275,240740,239205,318279,382959,459723,448349,356124,,70176,94070,107433,100204,85532,59541,62054,75593,50333,74365
621143,"Women's or girls' tracksuits and other garments, n.e.s. of man-made fibres (excluding knitted ...",0,223,236,293,452,1039,749,3472,3598,3509,,86491,116365,176843,239140,243318,261023,315781,369674,368945,450301,,1858,1417,1701,4123,11518,49785,16487,29635,22435,25434
890690,"Vessels, incl. lifeboats (excluding warships, rowing boats and other vessels of heading 8901 ...",0,0,0,0,0,0,0,0,0,3500,,208770,82365,497856,385612,117052,215824,319704,19632,51819,8432,,18464,12310,26331,4900,309722,742433,875904,618168,612277,1305481
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",163,0,210,0,110,0,169,573,920,3422,,65990,70321,72353,63935,66284,64227,63659,63700,55622,92108,,93508,95850,133550,125571,120331,155485,213765,232606,229724,187431
940140,"Seats, convertible into beds (excluding garden seats and camping equipment, and medical, dental ...",0,0,0,0,0,42,317,3146,831,3162,,255,229,309,3906,7417,12445,32752,38683,39372,143326,,1841,3734,6500,8945,17401,14795,13537,20721,13641,18354
940330,Wooden furniture for offices (excluding seats),553,249,836,859,595,393,1204,1158,920,3095,,286691,322423,350624,363390,353719,361082,326025,408453,427353,138412,,141010,157414,182879,174384,90357,65525,80843,88257,65174,117497
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",0,32,0,1777,820,2386,1137,1076,1639,3050,,929238,1114763,1137552,1123399,1123636,1210243,1551356,1922061,1814401,2841275,,21482,25809,20548,29256,47402,52055,46023,23749,48049,78692
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",160,72,0,162,185,335,360,135,753,3049,,214839,293188,371350,447719,571373,756802,848735,454469,382545,428138,,178408,197429,256155,221172,166692,225229,190444,184113,129615,140150
611420,"Special garments for professional, sporting or other purposes, n.e.s., of cotton, knitted or ...",115,0,0,0,122,0,304,179,66,2994,,116830,137029,148598,174674,147730,135985,125009,103500,93072,176664,,2186,5604,212,961,3190,3921,8035,5239,21074,73620
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",0,138,224,1185,1512,839,995,914,896,2878,,382088,511757,665902,758807,777249,786293,895858,950698,864059,1002360,,38347,26649,22808,34081,27199,56077,43277,19347,18563,41650
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",953,2578,3550,5056,3474,4455,4745,7538,6359,2853,,400673,539016,705758,803556,893999,1006157,1190022,1178020,1035429,880378,,78516,64991,87105,110289,99717,108933,92741,115802,70642,85655
340220,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning ...",0,0,0,0,0,0,0,31,349,2847,,116887,103132,94872,96968,105493,112249,105314,122499,161661,214471,,62393,66590,91963,124188,137151,108377,120979,136476,163797,155361
30324,"Frozen catfish """"Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""""""""",335,325,481,3643,1487,1664,779,0,0,2798,,58878,85693,105802,105488,138850,166569,179564,149897,130962,123236,,364,325,4768,20430,17765,26178,18100,19914,7894,5922
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",11477,17280,20336,18996,7093,13817,12729,9018,4681,2748,,1235520,1218803,1190505,1181063,1156814,1465910,1410023,1137962,953660,841020,,158723,125556,113085,103417,65022,73243,79083,75080,56188,62168
30819,"Smoked, frozen, dried, salted or in brine, sea cucumbers """"Stichopus japonicus, Holothurioidea""""""""",0,0,0,0,0,0,0,0,28,2710,,215,24,342,168,816,1314,1084,758,506,8034,,0,0,40,0,0,2,0,194,10070,4312
850440,Static converters,38,487,541,1925,2100,1957,846,699,1255,2662,,32006,95515,149927,356884,511639,537759,566389,820351,1185593,2117644,,122405,156245,200685,170603,141330,151465,182081,161181,174388,261263
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",207,580,1531,3575,2754,2791,3376,1414,1710,2645,,562330,838610,1167426,1277542,1186342,1288475,1429324,1555263,1518887,2289217,,14347,12641,23129,22166,22811,25637,25602,19683,19143,22684
390290,"Polymers of propylene or of other olefins, in primary forms (excluding polypropylene, polyisobutylene ...",0,0,0,296,573,930,1389,1921,1577,2628,,142,308,357,395,2972,17317,20298,3054,4354,6626,,33765,22857,11901,8293,8047,7853,10025,7522,6112,9800
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",250,886,4505,7336,4936,4795,6129,8109,6844,2626,,528165,647245,1043043,1149970,1285819,1160254,1319435,1431620,1290469,2141853,,33190,40285,32390,38234,30640,34361,39347,51983,49696,48613
902300,"Instruments, apparatus and models designed for demonstrational purposes, e.g. in education ...",0,0,452,1188,792,1265,920,1201,1426,2583,,117,331,30193,12822,2159,11975,25922,42004,48565,24152,,41041,187582,122893,64796,149531,39368,42043,51213,39185,54271
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",136,0,27,1892,1067,688,199,1126,4858,2518,,1705350,1913693,1602284,3372170,4654262,6024347,7006900,10567498,13019564,31054183,,32575,42972,30584,27455,15003,15708,23109,30083,66045,71626
640219,Sports footwear with outer soles and uppers of rubber or plastics (excluding waterproof footwear ...,1650,1439,2258,2042,4222,3029,1466,2062,2099,2495,,387327,308198,356454,413631,467186,452746,466081,479822,298185,358438,,87953,96152,103180,38989,39355,27142,22411,22465,13903,17457
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",1307,764,951,958,1453,1908,847,2415,1483,2492,,54204,55788,72212,92859,98396,111162,107461,120491,114993,56245,,76719,84559,107013,79378,40615,53079,94943,162715,189941,138167
90240,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",117,0,0,0,0,0,0,2985,3525,2485,,113392,112579,92791,89036,101292,111849,91457,94274,89601,77063,,19438,24014,33609,31883,29928,37549,57416,73729,98513,76628
270111,"Anthracite, whether or not pulverised, non-agglomerated",0,0,0,0,0,0,200,348,35,2483,,1200860,902332,545621,180802,115861,243757,319758,168813,115581,292268,,15703,17019,28077,15765,13860,15114,15833,20686,12512,13830
441113,"Medium density fibreboard """"MDF"""" of wood, of a thickness >?5?mm but <=?9?mm""""",486,381,1109,598,236,807,679,2087,3213,2386,,5734,12027,7748,6875,6819,10384,6527,7476,7959,16392,,17091,14528,19910,21955,19737,25273,27895,34898,52388,43759
851610,Electric instantaneous or storage water heaters and immersion heaters,0,0,0,0,0,0,0,0,0,2380,,12652,15190,13246,16362,18945,25272,28494,40334,53359,50659,,33053,33125,34601,46597,42852,31821,26954,31359,40156,42097
630140,"Blankets and travelling rugs of synthetic fibres (excluding electric, table covers, bedspreads ...",3098,8403,6933,10039,6287,4299,6537,3875,2972,2363,,3234,5804,14972,2176,3187,3647,10835,13346,40050,60330,,64345,73066,67701,59331,44613,37215,31965,34966,41450,47975
230240,"Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived ...",0,45,0,2454,2500,0,0,0,3708,2360,,1127,1031,87,17895,19382,30987,43082,44759,64368,154178,,1112,135,0,2697,2560,20,14,4,3804,2556
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",8814,9559,10663,2848,10903,6481,1030,1312,4663,2311,,196260,187772,129197,62507,77375,143262,230957,389835,537846,881747,,744441,681326,686841,676096,533741,456993,441962,565651,532728,496676
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",205,80,811,0,0,2500,7801,4687,1684,2301,,113554,117926,171068,200051,205184,224833,309133,407116,358747,464796,,192291,251897,266912,259673,219973,204800,217377,179267,215519,191672
621210,"Brassieres of all types of textile materials, whether or not elasticated, incl. knitted or ...",216,115,36,0,128,207,1605,1457,1472,2254,,137767,154428,183058,213233,363179,561480,690134,820477,721248,1132250,,17786,24188,20097,31932,29682,35336,38682,46946,39070,54216
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",290,866,3341,3805,2734,2776,2309,2742,6308,2240,,258742,339419,475214,553920,526194,483546,546053,670926,1916873,818840,,16464,20484,59951,60720,43274,39149,49554,49081,460667,82888
610442,"Women's or girls' dresses of cotton, knitted or crocheted (excluding petticoats)",0,0,0,333,213,341,120,462,899,2174,,81413,75858,97603,96448,105477,106942,168770,184293,176294,274383,,2207,1904,3528,7163,5161,7710,16132,31939,43494,52864
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",0,0,0,239,202,132,398,172,1176,2165,,301976,433030,568407,602096,629982,764681,1035278,1152580,923086,1434119,,399,221,643,1610,1838,2731,2900,2205,7675,11894
170410,"Chewing gum, whether or not sugar-coated",799,1142,1356,1519,1816,1833,2695,3621,3058,2050,,32708,28902,29311,34114,36390,36884,26228,30734,21043,7013,,16077,14952,15796,17817,18000,20507,26734,25999,20755,12405
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",123,81,367,1529,3613,6680,2688,1697,1657,2015,,205804,263183,259334,254090,233070,280420,304908,299500,216726,444816,,3388,5164,7373,15993,75894,140399,51463,37486,21485,17146
640291,"Footwear covering the ankle, with outer soles and uppers of rubber or plastics (excluding waterproof ...",292,140,1248,11507,9855,3271,3260,3654,672,1993,,142916,196825,202833,211602,224089,204764,243357,275179,328643,524869,,21828,21247,28827,63796,57759,57481,44452,34220,15128,16949
960340,"Paint, distemper, varnish or similar brushes, paint pads and rollers (excluding artists' and ...",0,0,0,0,0,0,1434,1501,930,1989,,2827,2706,2380,2854,3731,5042,5457,5730,7013,9704,,5982,5113,6497,8026,8190,5709,11322,12023,11342,19346
80111,Desiccated coconuts,1184,1168,2020,2693,716,876,4729,1543,1440,1975,,47091,25960,59480,58730,33506,35947,51866,38668,37682,55843,,4266,4569,7539,7628,6109,10370,12370,6683,9202,10606
621010,"Garments made up of felt or nonwovens, whether or not impregnated, coated, covered or laminated ...",0,0,0,498,133,245,268,812,250,1932,,22349,42776,61087,82401,79435,76821,85199,133260,639030,301549,,9395,13710,14970,17711,20841,18029,18433,21957,119921,24337
711620,"Articles of precious or semi-precious stones """"natural, synthetic or reconstructed"""", n.e.s.""""",0,0,0,0,0,0,0,0,1179,1907,,1732,4425,3910,3128,4543,4013,2465,3129,17494,65199,,1549,1504,487,2158,2291,1234,1479,3800,14192,25363
851829,"Loudspeakers, without enclosure",610,805,1894,1442,718,606,723,496,1207,1881,,256128,284373,458970,482990,558091,685614,778495,801412,857683,887477,,6898,5769,7317,5121,3871,4234,5704,6569,7097,6309
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",445,1348,1061,1036,1303,586,909,841,1253,1855,,333801,355892,438673,486320,520451,562645,667630,750748,817782,1042662,,174511,156751,183628,210507,148495,164086,220122,250591,287417,310818
30499,Frozen fish meat n.e.s. (excluding fillets),2891,1975,1469,2411,3835,3189,208,7,0,1834,,482571,302516,346537,355835,349798,374535,473862,459195,436821,471489,,6611,5088,5613,8053,15850,13300,33539,35197,25835,9472
690790,"Unglazed ceramic flags and paving, hearth or wall tiles; unglazed ceramic mosaic cubes and ...",77,28,0,0,36,0,0,0,9,1788,,85499,87617,98681,90367,56443,48983,0,0,0,1788,,55746,68144,88826,112242,100876,108539,205275,134986,634721,344292
540769,Woven fabrics of yarn containing >= 85% by weight of mixtures of textured and non-textured ...,6882,6247,4589,2674,1917,1522,687,1416,1129,1783,,44925,43152,62393,43461,42461,57935,81798,105142,84065,35236,,171084,143390,90360,91763,85592,72272,70154,50211,24116,35229
