Product code,Product label,Japan's imports from Saudi Arabia-Value in 2012,Japan's imports from Saudi Arabia-Value in 2013,Japan's imports from Saudi Arabia-Value in 2014,Japan's imports from Saudi Arabia-Value in 2015,Japan's imports from Saudi Arabia-Value in 2016,Japan's imports from Saudi Arabia-Value in 2017,Japan's imports from Saudi Arabia-Value in 2018,Japan's imports from Saudi Arabia-Value in 2019,Japan's imports from Saudi Arabia-Value in 2020,Japan's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
760120,Unwrought aluminium alloys,3418,1910,2397,1634,3202,4709,13613,9890,3912,11160,,202,2022,209196,335297,50692,210553,143005,127301,43837,92253,,2444036,2193144,2450979,2156996,1907912,2459979,2708983,2046239,1493706,2728291
292211,Monoethanolamine and its salts,0,0,0,0,0,31,4890,3190,3779,9276,,9870,23552,25388,18497,22325,61817,110472,144272,91912,110401,,9737,8192,14119,11328,10306,10646,12535,10667,9550,15785
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,0,0,0,0,0,663,6575,6247,4922,8909,,1458701,4173212,3580571,3002987,2234056,2897239,3513200,2807251,2110099,2926462,,25587,27965,38385,24101,18395,18440,22954,17989,14197,31764
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,865,13650,13693,10382,8628,,0,0,0,0,0,0,0,0,0,331962,,0,0,0,0,0,92544,112827,97903,76762,89887
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",10876,4764,10450,8984,6176,7886,7584,10083,6012,7927,,4878602,5111909,6007595,4578761,4154336,4968889,5322149,4787167,3624256,4806767,,203577,193779,271084,178540,183563,252357,302562,248974,175457,223683
290711,"Phenol """"hydroxybenzene"""" and its salts""""",0,0,0,0,0,0,9070,2313,0,7416,,3177,386,113,0,0,30099,229858,261045,152873,335847,,26228,20201,55366,33782,60222,52437,175196,89136,81607,103178
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",0,0,0,467,757,2736,6773,5943,7547,5119,,1326107,1018839,1103896,1048634,861350,901283,1227489,1101423,1155233,1720655,,123995,118441,111332,93576,79910,91973,127485,122046,115558,148563
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excluding ...",2599,3430,2636,1954,1896,2512,4753,4014,3442,4276,,424,346,110,3025,123,15,101,15537,52620,128676,,77736,73361,70591,68999,56329,69169,74278,64932,71063,113963
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",3758,2778,591,172,449,1785,9232,9036,3772,3744,,3285565,4016457,4133526,3384236,3582379,3705728,5152007,4147191,3814703,5482878,,68547,75644,74099,41623,43540,62871,92571,71433,58090,65766
390610,"Poly""""methyl methacrylate"""", in primary forms""""",0,0,0,0,0,0,6836,4122,392,2497,,76,705,208,0,58,7339,150922,152590,146977,235767,,13333,12034,25537,41167,33757,46547,62023,48239,37889,57965
292215,Triethanolamine,0,0,0,0,0,22,1182,1795,1807,2336,,0,0,0,0,0,0,0,0,0,57982,,0,0,0,0,0,6683,11129,8220,7315,8867
560311,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of synthetic or ...",1042,4062,241,612,549,176,128,1514,2072,2125,,11472,16289,12601,80985,41591,52121,53954,58869,70240,77543,,198207,213233,241758,256857,289864,310131,345531,307629,319027,325392
290531,"Ethylene glycol """"ethanediol""""""""",21561,2603,3775,1897,3202,1867,4691,1816,1367,1717,,3097186,1598386,1552961,1039576,337963,458026,1123883,1305779,907148,1431899,,24552,6180,6361,3124,4498,3281,5763,3202,2806,3863
381511,"Supported catalysts with nickel or a nickel compound as the active substance, n.e.s.",0,0,0,0,0,489,0,0,0,1686,,0,305,433,277,5038,7088,15705,980,11420,12872,,40793,62284,36634,37128,41464,51438,40836,45031,37079,36228
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",0,0,0,0,0,0,0,128,858,1303,,0,102,0,1,0,3,12747,0,0,0,,604637,626383,734835,695976,1448426,1814596,2232628,1828435,2041125,2378310
400400,"Waste, parings and scrap of soft rubber and powders and granules obtained therefrom",2318,2199,1758,1697,1676,1803,1356,1055,691,1247,,200,233,269,547,568,1690,735,2230,116,301,,21027,20876,16460,14046,11710,14477,13292,14212,13978,12956
292212,Diethanolamine and its salts,0,0,0,0,0,111,603,745,648,1058,,75692,89098,45069,27198,23569,132092,105958,104755,89899,103344,,2518,2104,2896,1902,2125,2148,3206,2668,1325,1637
80410,Fresh or dried dates,46,45,0,92,0,0,4,122,1138,1048,,74860,102943,129670,140135,141564,182379,201393,229833,245969,322840,,1749,2097,2071,2490,1923,3202,3267,3383,6655,8040
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",4485,161,441,372,1411,911,384,234,165,965,,25792,6135,50154,69198,98229,228216,261035,111901,51491,96828,,1909284,1952762,1833274,1466692,1563541,1678286,1505497,1442958,1324693,1464914
292910,Isocyanates,0,0,0,0,0,0,1298,1130,1983,905,,49,138,207,17,21,309069,961009,257418,256115,150834,,129332,94818,83417,69175,75792,86640,103022,100160,87449,125713
290930,"Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",236,74,0,0,0,154,260,365,453,880,,880,59,3968,4514,2163,0,0,0,0,1083,,196324,170659,214037,173165,164282,132573,119939,77189,55594,40722
292129,"Acyclic polyamines and their derivatives; salts thereof (excluding ethylenediamine and hexamethylenediamine, ...",2240,508,70,8,1849,923,1167,463,588,773,,3659,842,28378,46624,57535,47278,56745,41519,10485,16958,,33724,33859,30936,26410,31246,24734,29214,24221,22220,26667
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",0,0,0,0,0,0,405,605,575,655,,453866,17989,13630,12742,7354,20691,83402,38998,40930,66651,,129575,103488,112309,108765,114961,119391,155002,148684,151926,212964
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",0,0,1868,958,720,490,0,182,65,555,,365,257,1015,226,19,58,46,167,32,3857,,231477,185948,221842,128829,116563,138983,131853,83800,54699,118758
750300,"Waste and scrap, of nickel (excluding ingots or other similar unwrought shapes, of remelted ...",0,0,1799,582,735,605,115,0,482,531,,8029,37873,38098,21222,28019,35479,32119,43654,31093,57839,,73376,85172,122861,77936,62357,74345,98100,125161,74764,121232
390710,"Polyacetals, in primary forms",0,0,0,0,0,16,22,65,309,458,,0,86,0,83,265,14603,50363,61600,55034,62087,,50355,44961,55078,55026,58894,68059,73422,74735,56846,73457
390740,"Polycarbonates, in primary forms",452,135,5,158,901,1448,13,90,860,451,,450858,317261,430570,332849,278455,355918,484363,607111,486435,373282,,213934,208608,260701,242570,202844,222707,245791,198607,177147,234190
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, ...",290,317,282,245,116,240,476,413,277,430,,2026,1467,4577,1868,113,48,0,0,35,749,,115804,114571,125860,112192,175695,129363,165705,119142,79937,117848
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",87778,69730,88132,49030,60254,7170,3807,1033,371,396,,95263,170157,187334,164462,173721,697618,598741,395003,460186,507051,,517103,472119,552266,375026,395470,62418,54457,35885,32415,37705
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,60,2194,1770,1014,853,921,692,310,108,350,,283101,271157,213820,156219,143230,196013,226415,187974,144394,238344,,174305,147133,137352,123143,131571,123588,140336,130613,115657,120049
290519,"Saturated monohydric acyclic alcohols (excluding methanol """"methyl alcohol"""", propan-1-ol ...""",194,134,108,84,56,96,134,191,159,278,,156979,181373,183713,137430,96833,132165,163384,190669,123413,187011,,85855,70388,79002,60135,61888,57576,121198,67141,48527,85874
410510,"Skins of sheep or lambs, in the wet state """"incl. wet-blue"""", tanned, without wool on, whether ...""",435,733,489,610,556,234,427,345,220,244,,102267,107852,77432,62625,47294,51916,47370,44223,19403,34094,,4513,3481,2838,2635,2378,1422,1590,1491,928,651
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",0,0,0,0,0,41,129,265,44,218,,55,410,1363,532,1944,17254,31066,53562,86123,249489,,73882,42409,39547,36426,36977,36904,48388,38112,30919,48388
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",53,36,129,153,338,111,130,152,178,214,,0,243,120,0,777,2031,3892,4875,2113,1605,,300158,220844,244080,289092,329087,344849,546279,455654,583134,502730
382590,"Residual products of the chemical or allied industries, n.e.s. (excluding waste)",143,30,117,149,31,29,55,149,150,199,,209,155,0,0,2,374,792,0,0,0,,5269,9076,10845,12203,7680,6423,6072,6958,8302,10458
291512,Salts of formic acid,0,0,0,0,8,832,1442,1558,670,191,,2976,2837,3339,1901,1643,2331,4182,3200,972,2735,,1181,1593,1320,1096,1281,2582,4447,4812,3248,3218
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",7,7,31,56,11,16,19,62,43,169,,6598,6145,11628,14992,8358,16538,27477,17626,12315,19259,,151682,143529,159153,141457,119744,160724,203169,175885,107083,175101
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",0,0,5,0,0,6,0,5,104,162,,251,210,1201,2225,1819,1598,1475,0,0,24,,704430,661524,782978,737673,710264,792378,941691,842538,737547,842057
750712,Tubes and pipes of nickel alloys,0,0,794,857,4067,0,0,0,42,149,,215,280,1676,1598,2296,0,0,0,0,111,,30341,19741,15592,10150,11318,8916,9671,8965,8145,16062
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",75,432,3387,1948,264,831,31,0,0,129,,144839,258097,293256,229055,246158,302291,276477,180266,161699,321928,,100145,101638,142651,116963,65168,96771,113032,74276,78693,148044
730449,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, ...""",0,0,0,0,1050,0,0,441,0,129,,38,368,1406,907,4080,3813,1632,31064,5013,488,,20339,23681,18750,21754,31811,20853,16580,21818,17611,11797
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",0,0,0,0,0,0,57,0,144,106,,0,0,28,29,22,24,0,0,48,363,,1497532,1142399,1012454,1091519,999122,1422209,1434213,1566319,1841724,1183878
291020,"Methyloxirane """"propylene oxide""""""""",0,0,0,0,21391,4483,0,0,0,92,,0,0,0,0,0,179,0,230870,185811,471727,,0,6,0,0,25270,4483,9433,5,4490,460
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",0,0,0,0,0,0,9,111,276,72,,0,600,2096,2781,3938,5549,11308,11240,10822,13865,,80850,74878,78664,73020,88134,102841,107993,88528,76892,101172
390320,"Styrene-acrylonitrile copolymers """"SAN"""", in primary forms""""",0,0,0,0,0,42,132,178,60,54,,10243,16432,63703,19351,33097,18268,26598,23760,27947,2878,,7639,7603,11443,8576,7389,17149,19272,9116,7039,13482
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",0,0,0,0,0,0,0,0,0,49,,123426,156328,192692,184302,179772,153378,180319,4375,8313,7443,,86417,90875,80525,89856,99994,64307,76187,84059,73595,71691
854420,"Coaxial cable and other coaxial electric conductors, insulated",0,0,4,0,0,0,3,0,0,44,,241581,179522,229684,291416,277652,273353,414574,332520,260007,169988,,115728,106578,103316,87074,96492,126312,148755,131299,139783,178735
903032,Multimeters with recording device,0,0,0,0,0,0,0,18,0,41,,69,79,51,84,137,257,159,0,0,0,,9199,12542,15030,9605,11551,9680,11891,14925,18491,19923
390230,"Propylene copolymers, in primary forms",58,9,201,31,12,32,101,134,55,33,,10008,7742,52902,40279,214167,240242,342847,250284,152168,418558,,343027,251445,300636,194616,189125,248149,477996,321100,245439,342930
200989,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...",0,0,0,0,0,0,0,0,0,31,,37619,58284,74201,53497,46764,60983,71309,82938,114590,118025,,182756,202744,194670,146766,126574,154750,168456,134779,132453,139146
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,0,0,0,0,4,0,0,0,0,27,,9830,11673,7671,7530,6893,9833,14120,14589,13972,12738,,67780,71473,74227,69463,73422,68110,63081,63014,55011,48500
390910,"Urea resins and thiourea resins, in primary forms",0,5,27,26,14,26,0,0,12,24,,8363,5784,6038,1143,3361,9025,11675,14521,8799,6129,,2941,2367,2214,1967,2371,2242,2231,2170,2080,2357
721691,"Angles, shapes and sections, of iron or non-alloy steel, cold-formed or cold-finished from ...",0,0,0,0,0,0,0,0,0,24,,131,58,37,842,1043,3780,15452,31650,27177,5028,,102,630,217,225,197,191,844,1449,1842,2654
720410,"Waste and scrap, of cast iron (excluding radioactive)",0,0,0,0,0,0,0,0,251,19,,0,0,6632,372,0,0,0,0,0,0,,117,334,601,1053,1285,1003,2800,1943,1267,1572
292121,Ethylenediamine and its salts,0,0,9,15,26,0,354,264,90,17,,139,219,16279,19682,15190,30010,88579,70970,86236,154531,,5069,5134,4598,3870,4940,5117,5347,5360,5125,4308
970500,"Collections and collector's pieces of zoological, botanical, mineralogical, anatomical, historical, ...",0,0,0,0,4,0,4,11,0,17,,0,0,0,15,0,55785,0,0,0,1,,8293,17771,15711,13651,19747,24031,32133,30403,44269,60622
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",3,0,0,0,0,0,15,6,2,16,,10391,7260,14203,19095,19286,14422,27138,2220,2822,10026,,1311666,1191276,1310950,1165468,1234664,1273221,1362874,1316040,1218919,1264669
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",0,0,0,0,0,0,0,0,0,13,,23916,27048,22432,16898,5275,5859,1268,9,0,0,,365193,421276,386125,339992,392269,485089,509710,583564,597090,771228
902230,X-ray tubes,0,0,0,0,0,0,0,0,0,13,,0,53,340,10,49,23,11,0,0,0,,236588,231536,247122,222162,237677,240129,223418,215150,210945,248224
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",28,0,12,0,12,56,2,0,0,13,,14702,1795,2287,4238,3066,4228,18591,34558,19985,21601,,407118,407818,429129,400286,341104,376150,421747,399953,359650,469179
730792,"Threaded elbows, bends and sleeves, of stainless steel (excluding cast or stainless products)",0,0,0,0,0,0,0,0,0,13,,616,565,219,3133,625,413,1298,187,1052,390,,60080,59071,67802,49732,43150,49117,58088,51195,37456,60307
810830,Titanium waste and scrap (excluding ash and residues containing titanium),0,0,0,0,0,0,0,0,0,13,,0,0,0,0,0,0,88,0,0,0,,4240,6266,7791,7997,7825,4083,6438,8883,3557,3843
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",0,0,0,0,0,0,0,0,0,12,,9445,5931,8610,18163,9236,11798,11761,613,683,975,,2110034,2229635,2074421,1994957,2127770,2170041,2486105,2725098,2459588,2560904
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",0,0,0,0,0,0,0,3,0,11,,115873,162878,142510,158465,206605,195776,226434,173908,184742,303841,,417355,479296,495390,458940,452246,491653,499607,477608,438731,527660
220210,"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...",0,0,0,0,0,0,0,0,0,11,,105014,103953,98138,89299,35221,67020,49938,72356,79727,80177,,66533,68445,44505,31299,17745,17933,18787,21021,20537,27049
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",4,0,17,0,0,0,0,0,0,9,,342,94,61,199,461,204,565,201,43,0,,575790,522094,587863,567486,581245,648595,704782,654240,521650,581741
560312,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",0,0,0,0,0,0,0,0,111,7,,42422,43460,63380,51342,38357,37495,18714,22129,62172,64378,,91263,85078,90996,82600,85709,92967,99990,98704,115112,115160
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",0,5,0,13,0,0,5,0,0,7,,3332,4081,3662,4015,5729,2549,1115,0,56,0,,474467,368650,352330,317331,393839,411079,417099,545965,468585,568611
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",0,0,0,0,0,2,0,0,0,7,,5385,1075,491,409,2772,4241,3891,62,272,61,,217074,223035,228225,241637,212766,212136,227774,188567,184704,271148
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",0,0,0,0,0,2,0,16,0,7,,420143,270843,251108,330561,340997,304376,541652,0,0,0,,1320723,1440811,1873540,1836140,2056030,1717325,1702298,1909932,1568274,1144715
841391,"Parts of pumps for liquids, n.e.s.",0,0,0,0,11,25,0,5,0,7,,17230,25472,20120,25463,22848,20295,24080,12121,14574,23875,,414002,378365,452654,416763,410131,392583,460299,464237,404723,467143
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",0,0,0,0,0,0,3,14,10,6,,15477,2720,7721,5022,3775,12325,11749,7445,10651,20447,,681438,741175,850830,855306,929148,1080629,1136792,1178975,1081381,1203806
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",0,0,0,0,0,0,0,0,0,6,,1845,124,636,283,3113,3365,5319,0,0,0,,553610,493701,472397,255787,252034,244642,218635,242106,273507,280058
321519,"Printing ink, whether or not concentrated or solid (excluding black ink)",0,0,0,0,0,0,0,0,0,6,,6226,3777,2570,2638,1658,990,2015,2112,5519,9125,,39606,37868,35082,32446,29416,31579,31136,37824,32902,42193
220299,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)",0,0,0,0,0,0,0,0,0,6,,0,0,0,0,0,0,0,0,0,41082,,0,0,0,0,0,182030,176482,189860,198451,192465
847990,"Parts of machines and mechanical appliances, n.e.s.",0,4,105,6,5,0,0,6,38,5,,187,851,1889,1755,4702,6533,8419,100,1650,602,,508735,505240,634630,607209,660805,790725,918469,911824,807794,1063839
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",0,0,0,0,0,0,0,0,0,5,,2281,5830,3820,2005,1796,5588,3405,160,0,0,,144089,118077,161986,145235,136704,145608,161771,187522,167421,196876
271320,Petroleum bitumen,0,0,0,0,0,0,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,,285902,365993,351062,141311,109225,166970,200264,180109,110717,156610
540490,"Strip and the like, e.g. artificial straw, of synthetic textile material, with an apparent ...",0,27,0,0,4,22,0,0,0,4,,3091,5884,7577,17406,600,22,1242,1111,246,13564,,10228,13904,14438,17763,13015,12304,14057,11536,12010,9967
846789,"Tools for working in the hand, hydraulic or with self-contained non-electric motor (excluding ...",0,0,0,0,0,0,0,0,0,4,,467,45,55,292,141,432,243,0,0,28,,39446,56922,63421,52233,50344,45867,45912,55961,48331,47260
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",0,0,0,0,0,0,0,0,0,4,,6507,8986,10853,10951,3413,2842,1773,14,78,810,,139699,129487,122722,112001,108267,125356,129292,154472,200751,165028
848360,"Clutches and shaft couplings, incl. universal joints, for machinery",0,85,0,0,0,0,0,0,0,3,,108,44,0,39,273,75,126,0,0,0,,75440,78682,79778,77682,72226,70781,74123,78135,71008,73981
900659,Cameras for roll film of a width other than 35 mm or for film in the flat (excl. instant print ...,0,0,0,0,0,0,0,0,0,3,,0,0,0,71,72,5,59,0,0,0,,808,703,1961,418,539,1013,2708,1699,1111,1542
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",0,0,0,0,0,9,0,0,0,3,,1562,8586,1933,2952,42676,55987,5606,6366,9855,50044,,442036,406135,432257,397538,411454,446265,535238,558302,565305,632288
841199,"Parts of gas turbines, n.e.s.",0,0,0,5,0,0,0,0,0,3,,74594,69257,110285,122630,197303,249664,342248,2433,3270,11666,,670428,654249,520836,612363,617146,785157,717762,569236,627656,653349
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",0,0,0,0,0,0,0,0,0,3,,22237,31407,10400,10030,28011,7000,16333,0,0,0,,3790303,3061679,2963897,2695723,2710222,2947692,2174448,1841750,1972781,2037791
901812,Ultrasonic scanning apparatus,0,0,0,0,0,0,0,0,0,3,,196,144,139,1148,693,193,421,0,0,0,,191682,225024,240809,204726,214518,198269,216941,253414,213166,234361
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,0,0,0,0,0,0,0,0,0,2,,0,100,0,206,706,245,177,0,0,0,,383102,370865,363175,368698,417461,455802,429447,403803,394423,461774
846799,"Parts of pneumatic tools for working in the hand, hydraulic or with self-contained electric ...",0,0,0,0,0,0,0,0,0,2,,2833,2252,186,1337,354,402,391,0,0,0,,71409,81156,100670,91287,84444,87251,90734,111335,89489,127984
410691,"Hides and skins of antelopes, deer, elks, elephants and other animals, incl. sea animals, ...""",0,0,0,0,4,0,2,0,0,2,,0,0,0,0,0,0,0,83,0,0,,30,54,0,0,4,31,37,39,24,64
854690,Electrical insulators (excluding those of glass or ceramics and insulating fittings),0,0,0,8,0,0,0,0,0,2,,53,30,92,17,131,72,34,0,166,211,,13885,12262,12621,16318,17743,15887,17541,19615,16600,16065
741999,"Articles of copper, n.e.s.",0,0,0,0,0,0,0,0,0,2,,827,0,473,81,2603,306,454,31,83,0,,115748,96256,110206,81639,65214,67064,78207,76088,71079,93361
750720,"Tube or pipe fittings, of nickel",0,0,0,0,0,0,0,0,0,0,,49,0,51,169,245,13,192,681,113,0,,1943,1568,752,1707,1814,1036,1128,1792,1823,1932
750890,"Articles of nickel, n.e.s.",0,0,0,0,0,0,0,0,0,0,,7673,11137,8476,9261,2039,2613,3936,4190,3104,2458,,30856,48969,71255,84131,87436,93986,103341,118233,79107,46229
760511,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of > 7 mm (excluding ...",0,0,0,0,0,0,0,0,0,0,,0,0,346,1024,2175,459,1393,9528,3048,156,,1051,929,3174,5004,2368,10838,13490,18428,18904,13322
760529,"Wire, of aluminium alloys, having a maximum cross-sectional dimension of <= 7 mm (other than ...",0,0,0,0,0,0,0,0,0,0,,280,57,645,2181,1285,508,441,87,79,63,,970,1150,1315,1900,2463,1909,1767,1491,1258,1614
