Product code,Product label,"Singapore's imports from Taipei, Chinese-Value in 2012","Singapore's imports from Taipei, Chinese-Value in 2013","Singapore's imports from Taipei, Chinese-Value in 2014","Singapore's imports from Taipei, Chinese-Value in 2015","Singapore's imports from Taipei, Chinese-Value in 2016","Singapore's imports from Taipei, Chinese-Value in 2017","Singapore's imports from Taipei, Chinese-Value in 2018","Singapore's imports from Taipei, Chinese-Value in 2019","Singapore's imports from Taipei, Chinese-Value in 2020","Singapore's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",3425,3967,4257,4379,5888,6402,7317,7450,36175,36935,,203267,205089,196262,204543,203558,240909,253669,263335,314608,430377,,274888,285626,275860,306975,373990,379468,406604,505714,494097,633183
850440,Static converters,36027,43708,33922,64414,72037,29949,29621,24508,26310,35882,,962241,967063,986908,923664,907896,938815,964531,1088818,1299650,1667392,,881366,856497,814701,895629,939902,1013836,1003992,951792,956162,1117216
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",10768,12325,15329,16575,15205,17511,62336,26668,29779,34958,,508704,480007,496780,475843,699719,848591,1748228,1089036,1397759,1809868,,311770,346482,264890,228045,262220,290543,564486,427861,534104,774067
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",21237,24543,25695,21883,19165,18567,20482,17674,20411,30323,,1104126,1159443,1011837,860210,794455,850459,853745,760466,778119,1052646,,1469493,1353525,1439711,1309489,1200707,1305879,1384861,1157085,1049046,1333739
290719,"Monophenols (excluding phenol """"hydroxybenzene"""" and its salts, cresols and their salts, octylphenol, ...""",0,0,0,1237,5921,20951,21535,14293,18545,30139,,17662,28201,46159,45952,38210,62485,88727,52062,62141,83228,,6075,5591,5296,7851,13836,29670,35606,29158,31504,41585
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",6055,5554,6406,5432,5301,9821,21565,19215,23846,29750,,887332,848040,803322,645085,591482,819329,875504,806811,667260,797822,,198070,209833,221004,185979,197499,195968,234901,235843,206241,259365
210690,"Food preparations, n.e.s.",8074,8805,11781,12357,12868,12723,15964,21669,20504,28540,,245717,278021,325763,371072,406688,460192,604534,700475,679984,828703,,349771,452092,445813,440019,375695,364467,490716,609801,648132,750724
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",2799,3234,4591,7963,10169,20826,26015,25308,23533,28525,,698158,759133,765267,688115,730513,915211,941719,970107,1002505,1190522,,18608,20929,31405,31817,32407,43126,44514,42334,45255,50779
847990,"Parts of machines and mechanical appliances, n.e.s.",33204,37450,30360,26791,29495,21757,27902,33428,34839,28008,,199867,188875,209453,204281,197936,241580,276531,235419,191170,259594,,1163247,1213267,1108630,962742,905282,987185,877797,965347,870378,999715
370500,"Photographic plates and film, exposed and developed (excl. products made of paper, paperboard ...",0,0,0,0,0,0,26381,24847,25732,27658,,0,0,0,0,0,160582,244126,249174,287804,319762,,0,0,0,0,0,0,121869,131395,145427,151416
151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...",1975,1117,813,413,691,847,876,15364,15866,26918,,18983,19880,31126,34484,36016,46318,37269,34795,45614,52011,,5931,3974,16332,26636,83873,112767,126224,379461,588471,1046857
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",0,11517,4244,0,254,5195,5145,10926,21715,26350,,49244,57443,77736,70609,72970,78590,94998,104527,148643,121687,,211623,45894,39440,26990,30218,153175,61445,154491,41192,104554
999999,Commodities not elsewhere specified,23505,63044,106215,104258,62964,81562,134272,68074,16750,25173,,1514400,1538009,1602895,1664909,1644035,1760967,1743687,1770906,1878010,2040990,,6824960,5947812,4901000,4498378,4627453,2967611,3306930,4210183,2887415,4853117
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",7742,26,5496,8999,11829,4120,12264,29649,4730,24588,,32310,36058,70842,35086,15919,40342,25420,119700,29684,27222,,40482,54474,17935,56410,86390,82859,59728,84636,53297,201142
720917,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",35060,28175,15127,8769,5672,4293,4591,10614,14856,23582,,360527,352187,324722,219339,185874,227865,254918,222117,226680,362264,,74372,78529,71126,55787,45122,56599,73253,61138,46238,91984
854150,"Semiconductor devices, n.e.s.",7380,7846,6942,5906,7361,6608,16200,28085,26228,22664,,482385,462070,417754,194691,17009,12545,15322,18708,35288,38792,,281171,432100,359430,193861,236268,147522,158600,231263,201222,198999
871499,"Parts and accessories, for bicycles, n.e.s.",11137,11487,10661,10376,7783,6001,7296,5137,8008,22190,,1014187,971645,1089504,1030111,968579,1134551,1196715,1260913,1377242,2183128,,364849,316601,262583,205369,157068,162725,173670,158112,185813,290381
841112,Turbojets of a thrust > 25 kN,0,0,0,0,0,0,1,265,3447,22102,,44564,12870,19886,25975,108052,74784,55845,20319,9680,54619,,275126,237821,462152,136903,213973,314994,2922759,4635153,5170250,4795793
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",9465,9899,15382,18016,11430,19128,11957,14612,15526,21841,,517672,487128,525803,481171,495108,555329,562050,517586,539640,746378,,618776,722653,639981,580580,603018,599540,645755,728855,624895,769851
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,3525,4134,3462,15341,12235,11870,9421,4419,8644,21330,,190238,295074,296275,267257,232735,256280,223514,186410,186292,284548,,125526,83691,69852,84736,75533,79227,84329,100807,71255,71870
852580,"Television cameras, digital cameras and video camera recorders",88889,94046,66498,65381,35759,31346,45521,44905,18821,20373,,1778120,1928112,1437715,1350992,1177300,1124577,1147273,1123967,1055785,1268773,,1302958,1121103,954246,753061,619294,746818,726467,657970,536540,703569
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,14650,13831,11624,7446,15341,7757,10342,12760,12888,20196,,199787,201488,222179,326463,337033,367401,447024,522347,736288,852591,,583945,548373,512239,441867,502109,493093,515041,546775,744008,810945
854470,"Optical fibre cables made up of individually sheathed fibres, whether or not containing electric ...",10050,17764,11943,9020,10665,10615,4393,5317,13692,20190,,17975,23375,31666,25159,49391,91587,77804,96303,91946,82714,,136176,155865,265942,181718,166255,162243,243908,202590,140842,135623
390730,"Epoxide resins, in primary forms",20317,16469,17333,23911,13752,12498,14899,11904,9808,19881,,596853,619474,632493,578825,464673,565145,677052,659126,681639,1141750,,212451,183595,179179,166834,117100,120986,111242,96643,85379,116430
847989,"Machines and mechanical appliances, n.e.s.",62463,12432,6948,5802,3727,11453,8151,15185,8466,19876,,739621,639352,602997,561314,542396,699909,774121,678237,703675,767295,,759158,585962,539417,481101,467032,520374,628941,737023,712519,1007466
902000,Breathing appliances and gas masks (excluding protective masks having neither mechanical parts ...,354,273,285,714,252,534,4595,10885,15381,19066,,20609,22709,24789,25763,28436,38240,43405,43840,53775,56814,,39077,43653,39963,35097,28349,27749,39149,49182,57328,62613
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",2844,3856,4948,3115,3437,2715,2080,2871,3939,19017,,280695,283665,295324,281479,247026,266951,267318,254441,222378,356808,,349506,404234,373461,288861,287166,278911,315846,326784,310436,456454
841191,"Parts of turbojets or turbopropellers, n.e.s.",1737,1251,4763,3651,2764,2969,14886,17726,9321,18955,,140331,273207,338958,376658,430879,480276,513816,624373,350590,444620,,4466914,5756528,5373006,4765011,5516715,6299087,8962304,11083992,7352779,7481911
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",21327,17815,20419,20506,17614,21398,21518,17476,15665,18357,,1993113,2015107,2204364,2114206,1918616,2195880,2481850,2290296,2017628,2610363,,211046,202897,201665,155078,156262,184520,196794,203308,171654,206348
853321,Fixed electrical resistors for a power handling capacity <= 20 W (excluding heating resistors),6751,8282,10933,10004,10742,23742,19702,10841,10744,18302,,232790,228993,238580,246940,301556,346598,482874,362643,493008,677041,,110919,141118,169376,154584,157721,241086,255518,203731,204048,314101
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",17441,13892,19582,10777,20686,10433,10675,11417,9667,18226,,619819,642772,692724,604955,581870,701415,796569,739363,758647,993001,,705981,704108,810674,678342,682914,588932,702353,750230,829260,911871
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",7718,7451,6739,7118,8531,8218,9272,9672,9425,17851,,199304,229668,259766,278320,329248,333554,318898,359081,407918,441803,,1123216,1200528,1146604,1108690,1205119,1432288,1409065,1433788,1596252,1471306
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),5728,6661,6463,5599,5472,8481,12805,9337,14823,17551,,277658,294950,324382,333960,348849,403789,422066,409034,440676,578821,,307991,282093,301089,259114,248092,272411,306790,315800,364461,498434
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",7790,7735,8180,11341,10386,7004,6672,4657,6508,17054,,990865,876172,850574,730120,692741,932898,905615,567440,473026,1070841,,44918,74550,82244,71446,66894,59819,49061,36023,30539,75644
701990,"Glass fibres and articles thereof, n.e.s.",1170,491,433,1047,1586,870,5907,13390,12770,16792,,17976,19357,19804,20715,19415,17364,15251,12884,12377,12115,,31652,44255,45828,34508,42332,32176,47806,94960,71847,63152
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",28446,22273,28862,22973,18079,25030,23958,17100,18051,16349,,864143,835223,1417700,2707637,5765368,6929297,6391577,5195345,5348401,6922292,,579404,645127,684966,443014,430223,628745,453924,486314,405298,676940
280410,Hydrogen,0,28,0,0,4,3,3,264,4430,15490,,4,24,3,0,6,6,1,11,1,1,,507,504,567,632,188,464,465,693,5016,18192
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",5649,2862,1719,2406,1719,4014,15090,7433,10559,15480,,148099,146502,264539,285792,416033,345012,340500,313888,327199,483655,,182692,173164,230088,252203,252153,295657,594472,710840,1328271,1994785
854160,Mounted piezoelectric crystals,11111,10443,11669,40926,11305,10058,9701,6191,8917,14976,,13764,13268,24165,210715,564346,615186,585002,536813,697109,982874,,278812,295647,267214,260102,231406,212330,192730,206416,252283,227980
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,4589,12344,4966,2773,8285,5921,11308,7907,8523,14882,,32861,54591,43287,42671,85813,128242,118484,133175,146970,166780,,113655,149405,114214,120836,187188,142976,240407,156601,162510,186990
847950,"Industrial robots, n.e.s.",3996,3719,3476,4975,6958,12151,10948,9592,11818,14659,,75120,88794,84926,79648,107163,166596,158910,135988,135555,151422,,58398,50507,48487,53594,50842,68819,72668,65958,57323,125314
854110,Diodes (excluding photosensitive or light emitting diodes),31919,17682,22363,24606,41235,23970,14534,14730,11477,14228,,1018627,1040065,1101594,1171704,1208012,1128489,1094323,939437,956400,1183139,,451280,444943,438117,492021,465711,502099,554697,462318,413110,621831
845290,"Furniture, bases and covers for sewing machines and parts thereof; other parts of sewing machines",4920,5251,6487,11638,11288,6650,10794,10983,5648,14095,,144958,157423,163275,144094,127662,144258,151744,126583,134153,174204,,35383,35818,46092,45807,44063,36026,40999,39030,21380,40202
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",26154,22391,16393,13676,12597,12106,12132,8011,12600,13512,,450084,535309,771434,604841,1002881,1599780,1490243,1743918,1980757,2192744,,2715151,2286796,2049821,2116711,1738126,1817311,1824985,1807007,2117912,2901987
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",6079,8227,9288,16320,8290,9502,9402,11916,11331,12677,,2981995,3822898,3295263,2517299,469680,459008,453227,390102,367586,463884,,260811,271297,209696,251625,231066,200612,233791,204987,96333,84961
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,1305,1865,2057,3549,2823,2209,3393,2121,8446,12276,,0,3364,31494,27046,20425,27198,31327,33959,32265,44660,,60676,60056,65601,62628,52851,52583,67711,79766,75932,98179
711019,"Platinum, in semi-manufactured forms",5152,5304,7489,12016,12868,12382,5798,154,271,11902,,225292,213681,249902,276310,111648,132880,120104,107626,123665,190130,,106905,44176,137778,111078,131446,92690,92312,96520,128535,193369
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",12167,10568,9878,10096,9293,6946,7404,11047,10919,11769,,1884531,1744130,1746902,1914016,1501173,1349423,1499031,1365712,1125368,1340391,,33430,33827,35892,33983,30898,48128,31672,32778,64209,98107
740710,"Bars, rods and profiles, of refined copper, n.e.s.",8128,3715,6243,11479,4848,10109,9460,6445,7696,11744,,419270,429996,419629,393619,347400,438754,334260,190286,175539,181534,,172778,119702,139623,96203,78064,91226,101223,50040,38654,79089
721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",6008,6913,4808,3925,5904,5720,5243,8291,6275,11532,,42503,7138,8675,66083,7172,11557,12895,30205,38884,109016,,42467,53479,41979,15400,12693,15818,14523,15565,13686,26183
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",18075,17493,15707,13841,11663,13140,16057,14965,10341,11171,,1832137,1865157,1865417,1797522,1683366,1757502,1723295,1628420,1562000,1979349,,1073498,992753,1326342,1159549,1072150,1019347,1353398,1365992,1007963,951264
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",8250,6408,10583,6142,4236,3399,3083,4911,6981,10988,,8731558,8208419,5722805,4457674,3922831,6764649,6320873,5752319,5991930,7300051,,185186,178522,184623,130737,104765,103628,116536,116062,97851,122305
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",2451,2941,5775,6837,6580,3704,4061,4230,5731,10830,,247641,266003,254707,268779,283603,304119,341623,343411,418313,468743,,273552,338128,379127,347110,367870,500910,675782,554301,697365,1232127
711590,"Articles of precious metal or of metal clad with precious metal, n.e.s.",2029,1545,6935,7029,1139,321,526,13165,13263,10463,,8999,16467,20284,32170,21205,23906,27496,23547,20135,30151,,271772,256108,349449,395374,203756,126522,138139,177223,348331,803689
722519,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, non-grain-oriented",11504,12165,8876,8593,4383,8882,6709,5687,4266,10410,,347562,364944,365910,283981,220445,333304,353778,359479,346883,714314,,53375,36701,33033,38403,25187,29191,18265,14498,11692,23531
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",2071,3975,4778,3037,3424,5475,16267,3897,9451,10385,,301680,316696,333150,331233,374039,435514,528796,468131,677673,755771,,328500,366979,303446,266714,251410,280143,281294,341228,294731,437810
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",7390,6082,3308,5489,6719,10184,7251,8178,8815,10356,,695896,786401,748882,696248,760253,1074114,1161301,1143422,1077034,1742811,,48330,43271,37367,31600,32992,43909,29561,28675,37240,56066
390210,"Polypropylene, in primary forms",2064,5288,9406,6601,7574,8125,9666,6890,6042,10136,,471204,529345,407049,338420,325454,464379,511973,424449,393424,627263,,737267,494618,512939,464327,399913,458938,481920,430293,344403,363716
392410,"Tableware and kitchenware, of plastics",9113,10487,11080,8983,8525,8160,9532,9717,7831,10102,,212975,248251,272275,267313,261185,278585,292700,324811,312056,362739,,94005,116245,128992,118130,124162,121645,127331,126932,121521,140306
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",6556,10852,9001,9888,7639,9611,9311,7548,8069,9769,,198117,203218,184974,171047,175539,171490,189901,186078,150987,186813,,2553062,2156414,2212025,2355571,2278218,2550419,2514779,2183872,2799322,4125574
721041,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",6083,8663,8783,6299,6157,6316,5920,6995,5648,9519,,831,460,1222,904,655,618,1202,665,581,814,,11222,13249,11434,11097,9352,14062,17326,15025,10739,19346
850490,"Parts of electrical transformers and inductors, n.e.s.",8704,8458,7692,4520,5312,3511,3966,2436,2925,9409,,158173,127083,110502,106195,104924,107052,109944,105237,101930,160161,,231416,219031,198453,191369,187787,204314,218273,264182,306692,387981
