Product code,Product label,Viet Nam's imports from Australia-Value in 2012,Viet Nam's imports from Australia-Value in 2013,Viet Nam's imports from Australia-Value in 2014,Viet Nam's imports from Australia-Value in 2015,Viet Nam's imports from Australia-Value in 2016,Viet Nam's imports from Australia-Value in 2017,Viet Nam's imports from Australia-Value in 2018,Viet Nam's imports from Australia-Value in 2019,Viet Nam's imports from Australia-Value in 2020,Viet Nam's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
30441,"Fresh or chilled fillets of Pacific salmon """"Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...""",0,0,0,0,0,0,0,0,0,,,244,416,3,126,22,74,92,35,48,71,,6463,3524,1157,1508,991,364,9333,5090,3062,272
30443,"Fresh or chilled fillets of flat fish """"Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,,53,2,10,0,0,19,1,8,0,
30455,"Fresh or chilled meat, whether or not minced, of toothfish """"Dissostichus spp."""" (excluding ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
30485,"Frozen fillets of toothfish """"Dissostichus spp.""""""""",0,0,0,0,0,0,0,0,1,,,0,0,377,1776,3006,3267,4169,3825,3435,5049,,0,0,0,0,0,0,0,0,1,
30487,"Frozen fillets of tuna """"of the genus Thunnus"""", skipjack or stripe-bellied bonito """"Euthynnus ...""",0,0,0,0,0,0,0,8,6,,,50,40,270,54,233,184,90,32,27,428,,8592,7103,14940,27432,18789,11748,8543,13566,8963,14857
30542,"Smoked herring """"Clupea harengus, Clupea pallasii"""", incl. fillets (excluding offal)""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,
30549,"Smoked fish, incl. fillets (excluding offal, Pacific salmon, Atlantic salmon, Danube salmon, ...",0,0,0,0,0,0,0,0,0,,,19,7,5,3,5,135,0,2,1,3,,5,0,0,0,1,9,4,0,15,10
30579,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, ...",0,0,4,0,0,0,0,0,0,,,56,403,194,588,1075,2112,1353,960,489,1022,,80,42,17,2048,2152,4178,4890,4547,3583,1680
30619,"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. ...",0,0,0,0,0,0,0,115,0,,,193,912,595,392,230,160,630,46,661,294,,1686,36,3,0,110,194,0,115,117,529
30627,"Shrimps and prawns, even smoked, whether in shell or not, live, fresh, chilled, dried, salted ...",0,0,0,0,0,0,0,0,0,,,446,32,125,9,3,0,0,0,0,0,,9674,9453,17067,14558,14554,16301,0,0,0,
30732,"Mussels """"Mytilus spp., Perna spp."""", frozen, even in shell""""",0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,907,235,25,69,47,,0,0,0,0,0,0,995,2155,1306,783
30751,"Octopus """"Octopus spp."""", live, fresh or chilled""""",0,0,0,0,0,0,0,0,0,,,1,5,102,13,3,3,30,285,118,56,,0,4,0,0,1,193,25,0,79,
30789,"Smoked, frozen, dried, salted or in brine, abalone """"Haliotis spp."""", even in shell""""",0,30,0,67,143,124,0,0,0,,,55228,58161,49250,48881,49226,0,0,0,0,0,,0,30,288,165,649,238,0,0,0,
40310,"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, ...",265,233,211,187,227,226,400,474,549,,,19177,19270,18473,18120,20468,23285,24864,30028,30558,36384,,6506,4899,7218,7193,7243,5964,4203,7019,7929,12694
40721,"Fresh eggs of domestic fowls, in shell (excluding fertilised for incubation)",0,0,0,0,0,0,0,0,0,,,2119,1185,229,417,422,982,840,1029,627,979,,0,0,0,0,0,0,0,0,0,
40891,"Dried birds' eggs, not in shell, whether or not sweetened (excluding egg yolks)",0,0,0,0,0,0,0,0,0,,,3,0,0,57,7,63,115,23,0,61,,1280,1850,1705,1934,1814,2957,3353,3564,3143,4205
50800,"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ...",912,804,312,327,440,281,191,1216,670,,,6501,8064,6426,9780,9649,9859,11945,18731,16407,14688,,5102,4571,5591,6028,5873,5669,4044,5943,5422,4289
60420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ...",0,0,0,0,0,0,0,0,0,,,4423,3958,3699,3103,3147,3020,3100,2840,1984,2668,,48,3,2,26,45,44,36,74,169,916
70190,Fresh or chilled potatoes (excluding seed),694,0,0,0,408,7,521,0,0,,,25437,22484,16666,13952,21598,19672,23754,22234,23914,26133,,11367,12908,11256,10380,15287,21318,16476,21561,25788,124652
70529,Fresh or chilled chicory (excluding witloof chicory),0,0,0,0,0,1,0,0,0,,,22,43,110,286,226,5,10,6,22,3,,0,0,0,21,2,14,40,168,54,3
70610,Fresh or chilled carrots and turnips,0,0,0,0,1,4,0,0,0,,,54301,52077,53103,54688,65624,71769,73794,66302,70795,71921,,8949,9341,9847,12538,13866,16896,15407,17436,19932,92807
70810,"Fresh or chilled peas """"Pisum sativum"""", shelled or unshelled""""",0,0,0,0,0,0,0,0,0,,,520,115,67,87,50,218,80,233,24,45,,32,209,301,468,467,234,176,292,119,4484
71021,"Shelled or unshelled peas """"Pisum sativum"""", uncooked or cooked by steaming or by boiling ...""",0,0,0,0,0,0,0,0,0,,,358,130,172,105,132,156,168,114,78,81,,231,424,353,432,424,531,676,702,633,459
71090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",0,0,0,0,0,0,0,0,0,,,387,1591,1140,606,805,781,816,1031,1171,3055,,28,58,59,110,109,232,346,394,577,750
71140,"Cucumbers and gherkins provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,0,0,0,0,0,0,0,0,,,3,10,29,0,5,6,4,16,16,8,,4,13,123,8,13,20,186,360,12,124
71239,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...""",0,0,0,0,0,0,0,0,0,,,53,2,11,25,8,383,74,58,82,88,,3807,4209,7306,8344,8782,34646,136560,131661,20034,83481
71320,"Dried, shelled chickpeas """"garbanzos"""", whether or not skinned or split""""",0,99,0,0,0,0,0,0,0,,,599444,315249,306855,775953,948664,1386581,303164,243618,236608,505204,,189,1117,76,22,14,58,87,84,188,486
71332,"Dried, shelled small red """"Adzuki"""" beans """"Phaseolus or Vigna angularis"""", whether or not ...""",0,0,0,0,0,0,0,0,0,,,999,1800,2106,2546,1751,2186,1849,565,2,2243,,276,233,263,394,276,1772,1506,633,916,9688
71335,"Dried, shelled cow peas """"Vigna unguiculata"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,,,203,216,122,12,29,27,104,76,90,113,,48,0,113,127,6201,219,245,547,560,1010
71340,"Dried, shelled lentils, whether or not skinned or split",0,0,0,0,5,2,0,0,0,,,212196,201278,198109,188421,220287,526415,174484,211295,372895,536150,,7,0,5,7,81,38,140,81,139,374
80131,"Fresh or dried cashew nuts, in shell",112,21,88,194,46,75,0,0,0,,,176,67,129,169,58,139,12,27,16,4,,321547,589723,627454,1105038,1626834,2523137,1900260,1668415,1418765,363369
80212,"Fresh or dried almonds, shelled",525,301,216,1373,12139,21200,54420,25838,23828,,,96838,224162,297070,406034,245901,206331,212259,297251,277849,275805,,969,1106,1569,3692,16208,28089,99311,91228,75453,88981
80410,Fresh or dried dates,0,4,4,0,2,9,15,2,1,,,298,536,233,127,165,154,253,142,127,317,,169,394,280,281,410,396,1010,1592,774,1638
80440,Fresh or dried avocados,13,22,18,0,0,0,0,0,0,,,8739,7173,5287,6288,8353,9177,11639,17216,12851,29624,,39,42,54,46,68,0,0,0,0,27
80620,Dried grapes,2,1,48,364,663,814,1700,2632,1407,,,5248,8835,8094,12899,17671,12761,19441,23214,16537,19013,,4409,5651,4912,5784,5819,4950,9128,14527,9935,15269
80921,"Fresh sour cherries """"Prunus cerasus""""""""",140,290,419,183,25,42,60,66,75,,,1816,1186,288,148,471,135,101,90,309,1,,1508,1772,3015,3344,3879,2982,5026,3227,1339,1571
81110,"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",2,1,5,1,0,2,0,0,0,,,1790,1072,450,490,249,374,1107,877,551,220,,364,234,565,124,174,558,1237,2039,914,1220
81290,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,0,0,0,0,0,0,0,0,,,555,503,636,213,190,322,606,375,156,233,,4,3,0,9,26,89,36,17,85,46
81350,Mixtures of nuts or dried fruits,0,0,0,1,0,7,13,19,11,,,2301,1643,1514,1861,2427,1942,8458,7920,7649,8238,,184,26,20,117,219,320,417,133,183,233
90121,Roasted coffee (excluding decaffeinated),23,77,157,81,176,169,175,177,52,,,10478,8722,11198,13185,12353,15193,19047,18226,15135,12638,,879,923,1636,1576,2251,2625,2418,2510,1887,3800
90240,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",0,0,0,1,1,0,28,0,0,,,2603,2031,2168,1140,1596,1845,1442,1756,1845,1461,,1544,2517,4404,4330,3547,1861,7557,7454,6138,90559
90412,"Pepper of the genus Piper, crushed or ground",0,0,0,2,12,7,5,6,5,,,1149,858,784,1420,1899,1549,1568,1590,1237,1259,,99,142,299,1172,1391,1270,656,723,2006,2007
90811,"Nutmeg, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,1,1,0,52,34,26,10,7,55,1,,8956,9139,8413,8072,5653,9819,10472,10279,10695,17281
90822,"Mace, crushed or ground",0,0,0,0,0,0,0,0,0,,,32,61,87,39,78,12,6,3,1,1,,0,0,137,145,47,10,14,0,0,481
90831,"Cardamoms, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,9,3,16,29,38,6,145,96,194,1,,0,702,230,76,98,718,77,71,128,7506
90961,"Juniper berries and seeds of anise, badian, caraway or fennel, neither crushed nor ground",13,0,0,0,0,0,0,1,0,,,136,60,53,178,112,112,77,75,135,53,,481,680,1109,952,816,764,1363,1348,1247,41092
91099,"Spices (excluding pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, ...""",2,0,0,0,11,17,14,26,40,,,2267,2393,2517,2606,3302,4601,7199,6339,5173,7518,,171,294,321,583,102,241,217,534,936,2445
100111,Durum wheat seed for sowing,0,0,0,0,0,0,0,0,0,,,41,0,12,799,14,0,961,5,2,71,,120,0,0,0,0,0,0,0,0,
100620,Husked or brown rice,0,0,0,0,0,0,0,0,0,,,18953,41845,44949,16294,23935,24921,22438,7706,3305,22624,,9,6,51,4,316,78,106,154,439,240
110813,Potato starch,193,0,0,0,0,0,0,0,0,,,2277,1373,1382,988,508,523,563,266,172,257,,4403,4347,4161,5279,7100,7619,9078,9756,12569,8291
110820,Inulin,0,0,0,0,0,0,0,0,0,,,0,0,94,0,0,1,3,1,6,44,,330,452,327,3234,4711,5092,3047,4874,4494,1656
120230,"Groundnut seed, for sowing",0,0,0,0,0,0,0,0,0,,,27,95,31,3,25,32,27,1,2,141,,0,0,0,0,0,0,0,0,0,605
120730,Castor oil seeds,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,3475
120760,"Safflower """"Carthamus tinctorius"""" seeds""""",0,0,0,0,0,0,0,0,0,,,1685,899,307,373,855,895,911,19,50,36,,0,0,0,0,0,0,0,66,127,154
121300,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",0,0,0,0,0,0,0,0,0,,,28805,45590,31117,23157,19919,22661,25703,37722,43003,40246,,56,50,65,30,38,22,15,14,8,119
130190,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excluding gum ...",0,0,0,0,13,0,0,0,0,,,229,451,572,465,99,409,204,1221,744,92,,3246,6266,5831,8777,12235,16759,25949,22270,16483,20628
130211,Opium,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,7,25,0,1,0,9,2,16,1,54
130213,Extracts of hops,8,18,32,24,12,22,0,0,0,,,359,303,306,360,266,226,248,998,713,1433,,5114,5315,6178,9311,9463,12062,18347,18310,14780,12533
150710,"Crude soya-bean oil, whether or not degummed",0,0,0,0,0,0,0,0,0,,,6,606,24,103,253,125,103,239,34,3,,41243,70521,83310,117267,47371,33897,33531,38582,51705,62412
151521,Crude maize oil,0,0,0,0,0,0,0,0,0,,,73,0,0,0,0,0,0,0,0,4,,0,0,0,0,15,0,0,0,23,152
151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",0,0,0,0,0,0,0,0,0,,,156,63,33,34,49,19,18,11,37,52,,1077,1228,1270,1152,1285,1668,1743,1872,1568,2616
151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,791,720,845,999,1205,1223,3161,3142,2136,,,63333,56865,42330,36926,44360,58158,61315,58669,56880,58647,,34762,28572,28204,24200,27723,32134,34578,32165,24425,62717
152190,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",0,0,0,0,0,0,0,0,0,,,1981,3315,2746,2916,2951,2443,4198,3451,1996,2468,,446,446,404,497,193,359,492,581,343,462
160100,"Sausages and similar products, of meat, meat offal, blood or insects; food preparations based ...",0,0,0,121,122,128,163,144,161,,,11920,9971,11814,11516,10170,8698,8741,9583,12020,13404,,427,203,451,1322,801,591,1148,979,945,2821
160241,"Hams of swine and cuts thereof, prepared or preserved",0,0,0,0,0,0,0,0,0,,,1033,1512,2458,2603,3018,354,161,80,186,239,,4,8,1,174,171,249,275,416,361,1993
160510,"Crab, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,,,26,4,174,187,1,8,176,246,230,64,,70,48,161,45,93,397,40,39,133,760
170290,"Sugars in solid form, incl. invert sugar and chemically pure maltose, and sugar and sugar syrup ...",25,54,29,86,3,0,137,56,23,,,2737,8500,19187,20478,27486,27056,21406,20651,20892,22400,,21244,26226,28274,27193,36852,34121,33233,34248,35927,28830
170390,Beet molasses resulting from the extraction or refining of sugar,0,0,0,0,0,0,0,0,0,,,162,111,66,822,137,155,129,714,66,39,,17328,5969,7479,11865,6804,10273,3400,7893,8091,11923
170410,"Chewing gum, whether or not sugar-coated",0,0,0,0,0,30,0,0,1,,,18070,16416,12919,11925,15690,13616,8108,5881,5297,8754,,24232,21327,16445,13603,12922,12687,10940,11889,10766,10835
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",32,0,0,66,165,220,945,2180,1607,,,77861,68363,69276,75848,81316,79175,78460,82162,114924,125515,,4097,4853,5889,7168,8951,12292,18080,21456,19012,103421
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",1947,1959,670,1544,3219,2711,1118,8984,18440,,,36608,59855,40945,135336,296782,371862,574547,664689,423931,334455,,268890,273827,237101,230898,258559,290454,230119,271836,286014,304316
190510,Crispbread,0,0,0,0,0,0,0,0,0,,,6579,4643,2609,1264,1124,2392,3655,2960,3500,3063,,293,526,652,604,228,62,29,107,214,2506
200390,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid (excluding ...""",0,0,0,0,0,0,0,60,84,,,128,56,77,38,66,193,526,630,464,2332,,172,142,491,1136,869,1221,1194,1296,2040,143518
200591,"Bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",0,0,0,0,0,0,0,0,0,,,1,0,0,4,17,39,62,24,15,5,,4,88,22,97,150,204,293,260,566,12583
200710,"Homogenised preparations of jams, jellies, marmalades, fruit or nut pur?es and nut pastes, ...",0,0,13,24,29,9,38,138,201,,,8342,8189,7084,3668,4790,4053,3129,2419,2019,3286,,1141,573,461,218,246,289,367,431,294,472
200939,"Single citrus fruit juice, unfermented, Brix value > 20 at 20¡ÆC, whether or not containing ...",0,0,0,0,0,0,0,21,11,,,480,634,811,795,646,635,787,650,530,1035,,340,215,394,426,582,767,247,323,329,205
200981,"Cranberry """"Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"""" juice, unfermented, ...""",93,0,0,11,2,2,1,4,9,,,1227,1071,813,98,78,95,101,107,127,147,,332,65,64,322,361,240,210,467,414,462
210220,Inactive yeasts; other dead single-cell micro-organisms (excluding packaged as medicaments),0,0,2,2,0,7,12,11,11,,,579,809,1455,1603,1287,1427,631,515,1055,1351,,6285,7898,3960,3643,5580,5543,5722,5978,5910,11269
210410,Soups and broths and preparations therefor,0,0,0,0,0,0,4,2,9,,,31396,31040,36141,30851,31887,34823,33881,29365,28768,46157,,615,557,579,881,1329,1332,1879,1781,2020,6690
210690,"Food preparations, n.e.s.",2421,3170,4584,4935,5764,7002,7069,12020,10910,,,226406,277176,388229,731539,1024245,1318490,1068136,821079,782213,712995,,227800,369031,426041,476915,509664,526542,586243,798919,795842,949841
220300,Beer made from malt,6,0,0,63,59,7,10,5,2,,,21550,22755,20794,22178,23814,32334,29331,27973,21344,16064,,3377,3358,11684,7524,8194,11185,12614,15914,7135,25009
220510,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers ...",0,0,0,0,0,0,0,0,0,,,774,909,947,4965,1739,939,930,913,1886,1565,,159,118,28,15,38,2,51,28,1,761
230110,"Flours, meals and pellets, of meat or offal, unfit for human consumption; greaves",1588,8911,6248,11106,7510,6763,17237,17231,7716,,,211873,256399,252714,209840,151112,165444,213922,175569,151467,161363,,203934,267427,264428,273332,246216,242169,328544,349234,379548,298877
230330,Brewing or distilling dregs and waste,570,1752,639,1412,1054,1711,0,0,2172,,,6972,6337,3775,3191,6341,3510,213,103,4936,39753,,146839,128261,176657,148350,212040,142919,234197,303727,270206,392174
230641,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...""",0,0,0,32,265,924,428,0,2180,,,6483,20872,20994,3817,7282,0,0,0,0,0,,26500,34124,39043,30083,29518,25263,22270,13492,8887,18082
240399,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...""",0,0,0,0,0,0,0,0,0,,,96,0,197,66,11,67,22,10,521,160,,0,0,0,30,75,134,209,394,604,2108
250200,Unroasted iron pyrites,0,0,0,0,0,0,0,0,0,,,3,0,16,14,0,2,0,13,0,0,,0,0,6,16,0,0,6,13,38,136
250700,"Kaolin and other kaolinic clays, whether or not calcined",10,5,16,39,89,16,7,117,33,,,5737,5240,3741,3398,4008,4485,3885,3835,3520,4874,,15806,14601,18156,19369,19730,22533,27072,26128,26480,36003
251010,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",0,0,0,0,0,0,0,0,0,,,24,0,0,58,0,11,0,2,4,0,,2,139,2,0,110,74,4,104,70,
251020,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",0,0,0,0,0,0,0,0,0,,,1,35,97,2,18,0,0,0,0,29,,1587,932,567,575,458,490,304,227,266,77
251611,"Granite, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones ...",3,0,0,0,0,3,0,0,0,,,1497,1737,2128,1421,838,1383,969,740,590,590,,3,342,1262,2973,2462,882,808,229,274,4842
251749,"Granules, chippings and powder, whether or not heat-treated, of travertine, ecaussine, alabaster, ...",59,5,12,5,1,1,19,3,9,,,643,63,22,14,22,86,188,126,123,66,,2538,2804,1292,1512,2523,3266,2286,2341,1460,487
252620,"Natural steatite and talc, crushed or powdered",0,6,17,0,0,5,5,0,0,,,928,834,648,235,167,86,80,103,70,22,,5513,6525,7130,7607,8773,9213,10002,11729,12560,11476
252921,Fluorspar containing by weight <= 97% calcium fluoride,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,4,0,9,,176,64,399,40,666,594,875,1100,1052,2412
252930,"Leucite, nepheline and nepheline syenite",0,0,0,41,1,0,0,10,0,,,4,4,0,52,23,0,0,96,54,6,,719,950,964,725,892,932,799,805,944,297
253010,"Vermiculite, perlite and chlorites, unexpanded",0,0,0,0,0,0,0,0,0,,,1434,2175,1563,635,453,369,364,387,482,581,,333,244,275,2607,277,252,692,769,480,1908
253020,"Kieserite and epsomite """"natural magnesium sulphates""""""""",0,0,0,0,0,0,0,0,0,,,138,11,14,48,57,17,20,12,3,115,,198,0,0,65,71,32,109,1,2,
260300,Copper ores and concentrates,0,0,0,0,0,0,0,0,0,,,5509173,4961113,4924529,3708019,3444415,3642575,4504115,4253445,4613540,5849603,,344,2045,3317,10745,15651,21681,4646,257,73,584
260800,Zinc ores and concentrates,0,0,0,0,0,0,0,0,0,,,1369188,1395794,1628755,1570517,877794,1344075,1908750,1761226,1368085,1897005,,0,0,117,30,205,138,431,714,367,1314
262011,Hard zinc spelter,0,0,0,0,0,0,0,0,0,,,28,868,3971,1795,1658,408,663,395,2583,9730,,0,0,11,1240,3760,4966,0,0,0,
262030,"Slag, ash and residues containing mainly copper",0,0,0,0,0,0,0,0,0,,,266327,187767,164285,131363,158330,156036,183627,193248,224941,235806,,127,73,0,0,0,3,0,0,0,
