Product code,Product label,"Taipei, Chinese's imports from Russian Federation-Value in 2012","Taipei, Chinese's imports from Russian Federation-Value in 2013","Taipei, Chinese's imports from Russian Federation-Value in 2014","Taipei, Chinese's imports from Russian Federation-Value in 2015","Taipei, Chinese's imports from Russian Federation-Value in 2016","Taipei, Chinese's imports from Russian Federation-Value in 2017","Taipei, Chinese's imports from Russian Federation-Value in 2018","Taipei, Chinese's imports from Russian Federation-Value in 2019","Taipei, Chinese's imports from Russian Federation-Value in 2020","Taipei, Chinese's imports from Russian Federation-Value in 2021",Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",137595,79316,85936,55326,47563,24303,140586,28043,3376,38199,,1679985,1539575,1625894,1294129,1115729,1587963,2116325,1345114,1229130,1876974,,368423,330966,219933,161668,94449,149878,261734,160721,64242,238590
721669,"Angles, shapes and sections, of iron or non-alloy steel, not further worked than cold-formed ...",0,0,103,541,5026,8180,21439,10041,13373,28970,,9367,8417,13566,8296,6344,4103,4370,3304,3120,7689,,17622,16375,17635,8842,10224,18617,41179,17659,18286,41371
270111,"Anthracite, whether or not pulverised, non-agglomerated",18,0,0,0,1168,6834,24683,19278,14484,28923,,1369956,1220723,1228624,1253846,839175,1613303,2397860,2354846,1639880,2068857,,47839,45958,37626,34297,29478,34525,45621,60558,53786,45924
841620,"Furnace burners for pulverised solid fuel or gas, incl. combination burners",0,0,0,0,0,0,0,8289,11,26766,,10253,4079,7673,4710,4769,9874,4960,3512,6883,4834,,12444,23131,11654,14056,9135,12183,22634,43387,38306,71506
720249,"Ferro-chromium, containing by weight <= 4% of carbon",11147,6423,5749,9448,5286,18016,22050,9148,11084,21733,,486561,480822,518792,340417,332802,331420,284451,319935,171656,177759,,28000,23581,21514,21938,50546,34596,32113,20537,17072,29924
720241,"Ferro-chromium, containing by weight > 4% of carbon",1039,5732,513,599,292,7506,9919,8903,10238,15478,,231987,195518,156465,92892,73841,214726,162311,145025,138217,259542,,307637,295563,250631,236051,259943,383789,317478,149910,106188,226917
720221,"Ferro-silicon, containing by weight > 55% of silicon",2426,2564,3021,1604,19051,19670,6954,5611,16388,13307,,558901,509652,543939,475495,397874,320100,555232,445535,347713,624485,,110925,113357,131846,88627,137789,159302,147126,106140,91457,194043
750210,"Nickel, not alloyed, unwrought",0,0,12820,0,4871,32133,24773,149597,50693,12708,,3616122,3509001,3717120,2317412,1606591,1360799,1723263,1835907,1859215,787799,,168889,90328,187741,129950,347873,521606,351529,550234,330745,312543
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",19142,21602,27291,16154,16190,3993,11459,5367,1166,10951,,1133620,1147539,1463047,1041593,936646,1123480,1411775,980019,1055031,1362481,,1935893,1535189,1391430,742595,593286,682172,1146204,886035,853510,1251239
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",20025,0,0,0,1996,0,0,10590,2208,10826,,1513779,1339184,1419505,1144617,1303917,1773489,1867650,1289415,1387035,2807680,,250888,259217,267559,191077,162814,180396,139422,233439,137072,204964
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",3685,4168,5610,3724,4153,4670,6917,8490,5839,9085,,669509,524494,367089,271067,273758,427968,411640,365357,241239,416811,,73553,63756,52861,37830,43044,82347,69923,71760,61078,64647
240399,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...""",0,0,0,0,3228,8066,10132,8008,6890,7217,,96262,71747,108631,108630,107691,125744,109547,175969,243430,271051,,2730,2530,2903,2377,5582,10003,13880,12373,17050,15334
280519,Alkali or alkaline-earth metals  (excluding sodium and calcium),0,0,0,113,3980,1514,4710,9882,5414,6992,,11794,7573,7645,10186,12058,13241,20416,23365,21497,17655,,7156,5621,6507,6822,6525,6915,12491,14160,12010,12013
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",1142,0,0,0,0,26810,29363,24578,67654,6607,,279166,178436,227466,134580,159341,271364,304966,192933,254755,321085,,171732,193137,214876,181371,76061,148309,155850,170663,275916,355787
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",5832,8494,7951,5716,6916,6558,8828,8923,8716,6292,,214541,197878,224063,223240,240881,321640,366609,348983,323285,333393,,110775,123787,120204,124576,123199,134142,141642,139045,119822,131118
440712,"Fir """"Abies spp."""" and spruce """"Picea spp."""" sawn or chipped lengthwise, sliced or peeled, ...""",0,0,0,0,0,412,848,1294,1210,6139,,0,0,0,0,109,1289655,1601758,1717598,1583551,2476603,,0,0,0,0,0,29894,38030,71673,76222,149548
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,1229,2205,3421,2649,5677,,0,0,0,0,593,1056107,1304947,1104328,1098211,1834822,,0,0,0,0,0,3695,5742,10278,11886,17231
740321,"Copper-zinc base alloys """"brass"""" unwrought""""",15151,18284,15531,16461,14289,10276,10805,4488,2568,5673,,40575,42198,18734,16671,40788,211242,63324,91529,98702,119939,,55014,42762,57739,44628,29349,28505,34978,21871,19071,34004
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",6904,5367,7120,6422,4155,5716,6895,3327,3906,5615,,21610,20902,20857,19675,22480,21626,19585,15841,14693,26378,,22970676,23597907,25365041,23263494,24227814,25931437,27291286,26370178,26777905,35057985
740311,"Copper, refined, in the form of cathodes and sections of cathodes",0,1842,0,0,0,0,0,0,0,5195,,1851523,1554128,1896120,2816502,2357308,3418741,4042457,4031353,4529008,3693017,,3351511,3085727,3092407,2588994,2507726,3404272,3003267,2758175,2568578,3789890
722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn ...",3753,0,0,1923,0,8265,7741,2735,0,4716,,241316,226160,187005,126880,138074,203793,245090,210597,208784,257582,,132443,139056,173788,136457,122181,189510,267642,144732,137030,276747
282619,Fluorides (excluding of aluminium and mercury),0,0,0,1433,2245,2919,1594,4257,4046,4605,,500,472,520,662,557,232,331,380,385,511,,26553,30311,35571,43427,33609,40488,40610,34836,36893,40466
730210,"Rails of iron or steel, for railway or tramway track (excluding check-rails)",0,0,111,143,968,0,2143,3116,3617,4092,,123002,199961,175378,105379,106545,120544,124031,120680,155798,124590,,13273,35741,25027,14128,25313,11286,14651,20951,14817,30681
400231,"Isobutylene isoprene rubber """"IIR"""", in primary forms or in plates, sheets or strip""""",6776,5827,3629,2194,1992,2983,2256,2726,2553,3943,,309205,324501,262427,173365,179421,206957,232079,191589,181856,192882,,15488,14181,12718,9168,6009,7817,6877,6056,7010,8282
280429,Rare gases (excluding argon),0,591,0,0,0,79,213,83,58,3824,,41921,34002,31453,35823,21581,23169,31217,37941,41307,58132,,38130,46257,57126,61356,58497,66817,64281,81574,131913,156597
780110,"Unwrought lead, refined",0,622,2461,3107,3181,489,0,130,0,3256,,136013,139532,142929,132624,187010,225828,190930,128327,143949,222785,,183435,201077,138675,141142,146063,197535,167846,210524,151109,131904
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",1568,1123,1125,1814,2115,1609,1763,2032,2018,2935,,167851,166096,189216,171278,168081,208751,226672,175969,175127,270646,,24526,31388,25801,23957,23987,23361,25826,32065,31191,38710
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",0,1,29,25,55,886,1168,1996,2144,2915,,4703,7339,9456,14655,16280,9482,16799,29487,49016,51952,,66505,61471,59777,61087,47896,57002,63589,64270,73907,80050
480421,"Unbleached sack kraft paper, uncoated, in rolls of a width > 36 cm (excluding goods of heading ...",2589,2303,4289,4852,2060,3175,4760,4042,3027,2900,,182424,202426,214199,188425,175651,217859,298188,288714,213993,203001,,8478,8784,11203,11854,6397,8782,11458,12371,11722,14084
810890,"Articles of titanium, n.e.s.",815,48,116,404,324,1693,1757,2467,2434,2893,,495953,483853,435303,427957,418712,477372,565026,585107,373539,275722,,131277,122455,145114,114793,112854,130979,148912,141309,155847,166173
720280,Ferro-tungsten and ferro-silico-tungsten,0,0,0,0,0,0,0,0,369,2830,,30090,18523,31674,10206,35471,41419,35085,28809,32359,34870,,5448,8665,3723,2226,3044,1085,1614,3312,2111,4287
281000,Oxides of boron; boric acids,734,319,465,779,640,669,1062,767,223,2766,,50595,44078,38390,32967,38628,40359,45423,36201,36457,39390,,33589,35435,34012,31633,29540,28976,29823,28536,25974,33916
470311,"Unbleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving grades)",3949,1346,2779,1124,839,2346,3273,2667,2270,2693,,193511,150212,170204,141157,147956,159841,292192,190753,152871,291830,,44143,48663,57362,49632,46577,53182,77189,44916,45913,59429
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,515,1643,2117,3086,2638,,0,0,0,0,526,43550,58222,83150,78719,102702,,0,0,0,0,0,1471945,1612205,1497734,1545068,1825090
760692,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm (other than square ...",573,712,513,1149,1998,2596,3493,3272,3195,2553,,829,1599,1849,1495,1499,1261,1650,2139,1495,2249,,73379,65110,54991,43873,31287,41738,50999,38344,32147,44063
480610,"Vegetable parchment, in rolls of a width > 36 cm or in square or rectangular sheets with one ...",1773,2037,1847,1463,1917,1922,2539,1474,1767,2332,,9963,9136,9718,8301,7455,9209,10075,8989,7861,10104,,4159,4433,4852,4237,4653,5162,5200,3632,3280,4865
720837,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",757,0,0,0,674,1744,0,3404,2403,1660,,429784,276208,315808,186561,202617,198487,300204,236738,198757,600278,,7379,5824,24629,7144,12036,16633,9279,34811,21078,21832
30633,"Crabs, whether in shell or not, live, fresh or chilled",0,0,0,0,0,1783,820,2300,2189,1639,,0,0,0,0,3,282372,412732,541975,651874,922391,,0,0,0,0,0,28304,25546,23716,21967,21450
400260,"Isoprene rubber """"IR"""", in primary forms or in plates, sheets or strip""""",1984,1277,1304,1340,1048,1376,1454,1028,1328,1637,,846420,707341,493631,366182,354651,492527,413715,385981,294818,449591,,13169,11027,10180,9336,12582,11897,11798,11446,14361,14518
854110,Diodes (excluding photosensitive or light emitting diodes),563,722,900,631,792,1379,1367,896,823,1602,,8279,10763,10685,7948,7158,7671,9290,7834,6358,9835,,392421,350711,360616,372345,381744,402393,423931,339504,378047,506928
480419,"Kraftliner, uncoated, in rolls of a width > 36 cm (excluding unbleached and goods of heading ...",2194,1872,2060,1834,1239,2037,2170,1901,666,1439,,9360,6684,10282,13274,82794,98151,119857,98724,94415,121630,,16965,12788,13460,12929,11961,13431,14459,13623,16985,16920
440711,"Pine """"Pinus spp."""" sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,333,626,581,283,1402,,0,0,0,0,1410,2036261,2169531,2030060,1892960,2586755,,0,0,0,0,0,103787,117522,90948,90647,148542
480439,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",769,759,738,647,955,704,721,412,308,1391,,270,215,521,7215,37456,42498,46246,39690,40857,66947,,30143,29153,29326,23616,26111,29536,27937,25377,22415,23149
390469,"Fluoropolymers of vinyl chloride or of other halogenated olefins, in primary forms (excluding ...",0,0,3,0,0,5,253,269,605,1221,,2888,2009,2187,2929,2766,4584,4698,3529,6074,8678,,85666,78691,85526,92312,106154,119741,123442,121883,114016,165085
160552,"Scallops, incl. queen scallops, prepared or preserved (excluding smoked)",0,0,91,0,0,0,769,1848,1536,1125,,0,2,11,1,18,12,4,0,0,2,,0,1215,7483,7195,9565,9643,12072,17264,13927,16602
50510,"Feathers used for stuffing and down, not further worked than cleaned, disinfected or treated ...",6863,5226,3942,2550,1312,3428,2606,4122,2976,1073,,21304,33336,28665,15534,12036,17841,33407,40464,20309,31231,,198934,232150,201100,137601,132348,155912,175588,172554,117489,133707
854190,"Parts of diodes, transistors and similar semiconductor devices; photosensitive semiconductor ...",40,12,21,47,862,1132,779,1245,1234,1064,,98,360,82,126,477,299,2482,828,463,1383,,244517,207848,225025,226731,206186,186760,168923,156383,220555,253037
400259,"Acrylonitrile-butadiene rubber """"NBR"""", in primary forms or in plates, sheets or strip (excluding ...""",0,62,0,0,23,0,0,0,340,1050,,86727,70855,44610,43841,38361,53945,69691,57833,43355,84489,,33303,33296,33895,29368,28779,39045,49473,40638,36325,48684
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,0,2,339,223,664,1176,2896,844,576,1045,,13855,12036,15028,12845,12854,18757,17989,16330,19322,22344,,0,14966,163858,162636,157264,180905,187097,190474,214986,241428
760820,Tubes and pipes of aluminium alloys (excluding hollow profiles),227,92,98,367,135,148,292,516,381,1015,,22283,16889,15872,16353,16719,23317,25701,24917,23614,32388,,9548,9614,8361,7160,7975,7559,7163,6448,6355,15855
50790,"Tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, ...",320,606,564,396,560,649,3428,3023,1761,1012,,6790,7265,8001,11287,12025,11109,10802,7064,4767,6117,,2751,2910,3566,4359,5702,9471,19050,14977,8167,5722
440719,"Coniferous wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,317,373,322,272,960,,0,0,0,0,57,404880,427936,466525,512885,695061,,0,0,0,0,0,85971,110943,56976,49948,85475
190531,Sweet biscuits,0,0,0,0,691,1185,1010,644,782,931,,89318,107503,127788,98431,99348,97997,97785,113029,115214,138504,,39808,44739,49098,49624,50376,47242,50622,46712,45577,54163
120760,"Safflower """"Carthamus tinctorius"""" seeds""""",0,0,0,0,0,305,814,482,1130,923,,1421,6273,16095,34471,32878,24739,14954,16280,20864,32753,,0,177,1038,723,1156,851,1049,594,1290,1353
180631,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg, filled",1483,1536,1897,1889,1115,996,871,747,693,911,,182863,202959,216638,107549,106475,128030,142035,157431,144925,169089,,44362,42391,53894,46513,54590,52025,56065,53337,37998,45850
480431,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or ...",1130,280,110,406,491,949,1798,878,526,840,,27519,26516,27663,21875,22688,48591,68044,58248,101765,137099,,14803,18003,18043,13412,14580,16567,19473,17899,21161,26337
811229,"Articles of chromium, n.e.s.",2308,1629,1628,1549,1484,2287,2232,1471,830,839,,7916,5879,8145,8185,9315,6912,6307,3662,3655,4138,,9526,10367,6252,5273,5220,4806,4924,4770,2856,3695
480429,"Sack kraft paper, uncoated, in rolls of a width > 36 cm (excluding unbleached, and goods of ...",526,342,0,129,122,168,948,533,654,833,,18,5,18,38,57,108,113,223,305,278,,2805,2512,2596,2817,2958,3870,5464,3463,2550,3235
441234,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,4067,4971,1623,1276,768,,0,0,0,0,11,446,287,121,10824,16489,,0,0,0,0,0,11717,17837,9219,7301,6557
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",176,60,68,134,222,97,125,22,521,753,,16089,22406,25403,22198,20142,17266,28156,18739,56929,50886,,1221393,1098751,1328129,1434975,1390726,1274702,989660,759028,809945,1008976
750400,"Powders and flakes, of nickel (excluding nickel oxide sinters)",4486,1532,0,0,0,0,1,1779,31,748,,53963,18912,27243,19760,15161,14903,22439,41360,43630,36420,,55427,51105,53846,58011,32022,40705,89189,68607,77392,156062
110429,"Grains of cereals, hulled, pearled, sliced, kibbled or otherwise worked (excluding rolled, ...",0,0,0,0,0,0,0,330,312,724,,28923,35042,44367,43839,43726,44616,34694,43003,61229,80626,,1194,1127,1460,1807,1718,2005,1313,1411,2444,4063
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",965,997,1386,800,769,905,658,711,512,706,,589257,610355,598875,359671,294265,465629,680663,688998,438106,677814,,106003,94762,106349,88960,76459,88921,111139,85339,72646,91465
281910,Chromium trioxide,0,50,421,308,435,839,250,496,449,695,,1499,3409,3963,4343,7497,8157,6760,7304,7413,9457,,9432,7765,9611,7712,6744,8475,6842,7011,5893,8620
400239,"Halo-isobutene-isoprene rubber """"CIIR"""" or """"BIIR"""", in primary forms or in plates, sheets ...""",2838,2474,2369,1954,1325,2966,1509,1603,957,674,,387510,447064,407812,285777,253700,273524,323471,335486,245672,308217,,47687,40019,41820,28373,24605,27100,29206,30341,29412,28719
151590,"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...",27,33,25,85,122,300,661,661,553,672,,2589,2915,3549,2088,12308,20463,11903,9054,10291,10647,,11352,12053,14284,12994,14307,17238,18607,19612,23323,24762
290719,"Monophenols (excluding phenol """"hydroxybenzene"""" and its salts, cresols and their salts, octylphenol, ...""",1046,510,134,271,180,144,280,260,397,660,,51363,48513,38713,25216,23596,25156,37738,30984,34656,34930,,31081,28922,19290,17142,17766,17671,18692,26995,17197,22731
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),0,0,0,8,0,0,152,171,274,632,,11972,17199,16417,14569,14279,26092,29560,27181,29077,27050,,116689,133616,110683,109549,134414,118128,148590,165467,175571,200181
240391,"Tobacco, """"homogenised"""" or """"reconstituted"""" from finely-chopped tobacco leaves, tobacco ...""",0,0,0,0,0,84,364,491,603,607,,19569,21257,27288,13482,18443,16329,22433,22352,25603,29732,,2714,3542,2805,2849,794,2234,1360,1201,3272,1387
283325,Sulphates of copper,0,0,0,0,266,229,625,109,143,597,,96625,92403,99765,91028,76877,71700,70987,73460,85869,127549,,14093,15918,13160,9865,8611,9512,10048,8841,9067,11785
811221,Unwrought chromium; chromium powders,0,71,380,67,107,10,25,7,39,584,,153365,90189,126688,97200,111086,124887,181665,139123,101613,168113,,12276,10452,11570,8374,8374,4939,8369,11516,7820,10411
710490,"Precious and semi-precious stones, synthetic or reconstructed, worked, whether or not graded ...",1195,15753,17914,9337,2645,5641,4242,1115,1957,579,,1759,25364,31289,32625,37620,46349,35479,28462,41454,62860,,57907,92037,98394,68957,43319,45663,34925,25230,25470,23331
270799,"Oils and other products of the distillation of high temperature coal tars; similar products ...""",0,0,0,0,0,0,0,0,0,576,,82660,146436,181224,98175,139822,872283,2798135,3983450,1454065,20641,,19519,15864,15574,13418,10571,11214,11715,12349,13614,17266
390461,"Polytetrafluoroethylene, in primary forms",569,347,445,465,422,514,772,194,515,564,,58103,51514,38289,24844,23323,46884,77619,36790,43414,64112,,38761,25543,27761,21923,16587,26294,29477,28413,28583,40295
480100,"Newsprint as specified in Note 4 to chapter 48, in rolls of a width > 36 cm or in square or ...",12392,5846,9643,8049,8614,3454,822,1634,2132,544,,690839,576194,623176,436067,427916,468156,653587,553986,356043,402378,,164467,139753,121527,91703,70185,60000,63046,49159,30535,27027
30331,"Frozen lesser or Greenland halibut """"Reinhardtius hippoglossoides"""", Atlantic halibut """"Hippoglossus ...""",258,0,429,1954,1834,565,698,786,1201,534,,34157,52577,49106,50493,65073,41589,73591,43447,45675,37644,,40736,43797,53127,54445,61516,50132,58745,54827,56654,82105
740329,"Copper alloys unwrought (excluding copper-zinc base alloys """"brass"""", copper-zinc base alloys ...""",0,0,0,0,0,0,0,0,0,512,,6728,10777,6298,4551,2736,10373,16971,9560,7966,13266,,6176,5739,5211,5708,4617,4689,7855,16711,24177,16670
281290,Halides and halide oxides of non-metals (excluding chlorides and chloride oxides),170,209,243,272,286,398,333,754,964,501,,11992,9789,9611,5635,5836,7443,5513,6902,7170,7272,,138291,138598,136569,163605,153456,167998,163535,151459,162639,174749
810820,Unwrought titanium; titanium powders,598,322,0,439,896,1589,1146,260,0,489,,85982,86449,79328,52797,45303,59849,70317,62514,39979,49152,,26203,22256,19416,21706,11784,12063,13567,12616,8679,13921
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",13,4,8,0,0,0,0,0,0,485,,27512,39877,48592,24808,25270,16799,28496,25723,12852,14988,,13849,21290,19148,16028,18507,18115,27157,22181,24889,31609
30614,"Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming ...",278,1924,1873,3546,1666,4717,1577,1405,745,485,,215194,242334,383383,319658,416832,556322,669282,920656,935827,1639113,,24810,25388,23986,31992,40105,43241,33633,19819,21118,18964
730290,"Sleepers """"cross-ties"""", check-rails, rack rails, chairs, chair wedges, rail clips, bedplates ...""",497,392,1356,178,737,230,3738,2009,2736,463,,10814,10768,11393,4769,6172,5992,5434,4126,4516,9186,,19034,14663,12401,5588,8898,7662,12968,15151,14952,7953
30616,"Frozen cold-water shrimps and prawns """"Pandalus spp., Crangon crangon"""", even smoked, whether ...""",0,0,229,163,394,672,812,934,1058,422,,49016,61630,82033,51230,79539,103002,93053,106582,77250,90838,,0,105,1258,1297,1717,2651,2662,3927,3495,3022
846210,"Forging or die-stamping machines, incl. presses, and hammers",548,912,1965,579,184,1341,445,1019,381,421,,18535,13978,23738,10488,15917,15263,23825,16549,17055,15778,,14766,14137,20947,14484,12522,40085,22076,12027,9831,11344
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",3898,0,0,0,0,325,0,1782,1080,408,,312179,290351,341662,250639,333639,419739,502404,360216,325187,938643,,14381,6495,12883,10183,10113,13130,6884,36163,16175,18776
720836,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",0,0,0,0,83,1192,0,683,1064,398,,74926,66136,66280,77837,55909,34436,70669,63731,49087,104855,,6310,16926,13262,1779,7434,4443,3304,10183,9667,4915
441090,"Board of bagasse, bamboo or cereal straw particles or other ligneous materials, whether or ...",0,0,0,0,0,0,0,110,233,394,,29,26,10,37,65,145,112,41,61,109,,21921,20420,25850,19025,13939,13924,15891,13649,15800,18755
