Product code,Product label,Germany's imports from India-Value in 2012,Germany's imports from India-Value in 2013,Germany's imports from India-Value in 2014,Germany's imports from India-Value in 2015,Germany's imports from India-Value in 2016,Germany's imports from India-Value in 2017,Germany's imports from India-Value in 2018,Germany's imports from India-Value in 2019,Germany's imports from India-Value in 2020,Germany's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",3504,3090,2646,1790,3788,4067,10620,10086,20375,63477,,89393,123817,154962,170587,189313,278318,433300,512914,484275,756096,,1066738,1064023,1271401,1060275,1110505,1164641,1258881,1163018,1000362,1144991
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",2003,9674,4871,9725,9490,34967,20473,7769,4048,63089,,807877,1110665,993271,624272,656137,794023,483559,334846,230502,1290777,,2140193,2188405,2015066,1526561,1507039,2057841,2161006,1922775,1545959,2670822
420231,"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...",68031,81372,87899,77275,88020,88513,80226,71150,56237,62360,,396979,493492,486457,482674,467932,460250,485669,480434,280193,350265,,218688,259378,243515,211366,229797,239624,238006,209640,172791,193500
293319,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyrazole ring, ...""",7300,1619,2230,2814,1274,2126,21428,22818,51005,61541,,125712,218569,206657,184520,129578,135821,143733,138128,131928,188032,,70788,66824,107650,108476,84289,64221,94733,142085,134782,175498
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",33359,37978,35636,35745,39831,39253,49187,48709,42152,60927,,489952,530086,454654,581223,619762,740627,764425,771431,658417,956540,,3127743,3220881,3609506,3196871,3399181,3713789,4391342,4111006,3709324,4660640
841391,"Parts of pumps for liquids, n.e.s.",38168,35291,33469,36043,36720,45019,53472,52079,50174,60266,,194290,262948,290885,264827,245696,366397,358393,378309,304760,467010,,1357594,1421763,1527201,1401425,1173447,1361664,1464158,1298493,1097616,1328723
640610,Uppers and parts thereof (excluding stiffeners and general parts made of asbestos),47379,63463,62390,46075,56895,64241,69740,62916,51259,59499,,242134,333515,369347,292214,283382,317882,326149,270501,203847,236068,,240582,200903,194227,152057,164391,199664,221873,184340,126363,154266
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",40068,42364,55697,43757,48038,38449,35098,38297,37070,58790,,2528274,2588978,2696063,2462318,2379582,2483453,2769665,2633065,2128311,3072828,,5939205,6304312,6504891,5738592,5775070,6303454,6759344,6405570,5337084,5841743
121190,"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...",13571,18404,23956,25442,28413,35743,38378,30968,42001,56519,,196331,207685,238705,237786,259300,291736,307845,285779,347313,414425,,209387,227160,260228,236390,251618,282214,333146,329316,370397,400995
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",27502,18852,14749,15140,17517,22320,26293,26727,32564,56119,,278969,292892,248237,277998,225901,258808,483356,692309,794240,802053,,1893121,1983712,2028721,1696955,1825517,1946629,2195122,2217562,2200722,2715552
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",103929,99175,101799,65061,54850,57269,59907,53482,45583,55152,,254431,319839,325582,309083,258114,256261,294110,305924,240433,379525,,1584717,1638950,1777491,1689164,1673433,1834696,2041517,1820053,1550723,2017398
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",21461,20423,28222,28773,40828,59409,47602,65037,56738,53024,,7194,6419,8553,7002,6996,7742,8924,12190,11479,21347,,919463,979632,1126529,1135744,1178047,1242923,1282262,1386656,1269773,1341231
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",112471,123401,124462,99689,89495,80882,80761,72880,51334,52349,,824845,948870,942454,915170,887773,843125,789502,829724,508480,570906,,1164341,1192712,1203291,1058832,992882,962128,992982,908887,715525,622382
240120,"Tobacco, partly or wholly stemmed or stripped, otherwise unmanufactured",33102,41015,54191,48512,38545,41206,43039,43695,31281,51655,,598899,754973,633249,582063,608834,566948,530610,502263,461393,504258,,850757,825025,917574,934686,774363,884781,752051,730766,640546,686477
420100,"Saddlery and harness for any animal, incl. traces, leads, knee pads, muzzles, saddle cloths, ...",25393,28602,31722,28872,28248,32750,37271,35010,34008,51364,,101450,153162,164691,146682,142912,151470,160283,155275,162149,263545,,126416,134822,163306,145709,149611,160600,172408,176274,179403,264212
90240,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",45333,44647,40741,42721,46480,48307,54386,51628,39323,50388,,619924,726273,577850,597092,578975,674258,683436,720547,580745,565531,,125141,126681,123412,113798,115166,116602,119931,114949,95329,105625
722220,"Other bars and rods of stainless steel, not further worked than cold-formed or cold-finished",44009,33737,44294,40485,28639,35213,53832,48190,30680,49281,,419608,428277,469265,417840,325994,409722,480723,371730,273177,431801,,662593,599334,596580,471840,409096,529794,673465,517909,424441,655713
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",43170,42342,58817,50656,55580,57774,55789,47640,52391,48869,,468859,528028,524253,457378,413456,428785,441780,502909,373614,454360,,2897612,3116056,3110905,2794287,2937743,3034194,3110122,3006419,2760786,2945974
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",50187,51448,57555,44450,41301,42781,43054,39988,39787,48702,,115780,133763,156605,253543,459630,411666,489958,491812,413922,611822,,3406438,3870610,4050300,3407804,3359389,3712709,3780225,3477427,3046349,3584395
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",31163,40407,34216,34611,30786,15564,27507,33259,46993,48178,,119164,189471,179904,206107,280006,335337,344191,337850,431250,736705,,1766433,1758539,1715635,2891204,3737142,4349462,3863964,5228578,5051082,4680937
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",24698,26979,26810,22284,19747,41813,42551,26567,31838,48119,,80637,104582,124636,110073,110145,155394,167611,148592,125546,200979,,1319241,1278085,1378837,1125876,1339329,1490667,1441279,1286907,1136698,1318714
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",11550,13709,19812,19753,25571,29787,32933,34227,35130,47528,,165341,223035,201544,187682,202980,219232,264940,295998,266948,376945,,1548620,1562560,1745903,1528070,1569770,1587057,1708662,1534031,1463464,1873214
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),14388,19585,13576,11983,12413,16491,22455,19609,25503,45783,,33000,41788,37246,34559,30942,40485,46719,40232,43849,66819,,1637565,1991066,2118329,1984055,2111831,2451257,2705336,2480030,2406218,3037324
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",4982,7851,7038,14561,19864,16663,18547,22731,24020,45683,,76491,103157,97484,85888,183059,112220,146055,150981,141673,206497,,1086680,1337603,1430192,1250203,1464562,1661920,1825262,1755093,1648274,2095096
870193,"Tractors, of an engine power > 37 kW but <= 75 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,7815,12584,13297,14172,44743,,0,0,0,0,0,356814,573181,417765,418061,723517,,0,0,0,0,0,245627,347800,366811,314827,341872
722300,"Wire of stainless steel, in coils (excluding bars and rods)",35872,22631,18800,16346,12121,19638,22644,24120,24851,44581,,281595,282125,278642,243564,204107,261902,304912,291382,266716,470973,,233743,230903,250754,201517,186392,226006,242677,211346,197159,303106
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",50251,62105,65339,40700,31100,34195,48767,45143,33803,44538,,178754,272344,255692,258773,200030,256445,336820,346335,278176,423301,,791976,801330,916442,806125,777012,838463,958876,858381,708836,863326
293090,"Organo-sulphur compounds (excl. thiocarbamates and dithiocarbamates, thiuram mono-, di- or ...",38949,46942,71655,62116,32686,24611,23683,40412,50900,44504,,47168,69479,59930,75673,44023,80641,101309,133003,190998,238570,,344791,385987,439515,370165,298353,290316,311940,289346,289268,330706
850440,Static converters,26668,31662,28928,22877,21142,24722,35878,50290,45384,43229,,390819,336518,453310,508547,526546,553917,741975,1186041,1057914,1300034,,3281335,3130175,3179091,2905834,3097075,3578715,4021724,4265351,5110295,6500425
420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",45130,48227,62538,56024,49977,55705,48498,43922,33689,43089,,333014,394380,416302,394978,375229,421074,412198,421557,292568,353039,,354205,439381,494624,470926,492371,528177,599940,606078,499672,559173
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",18608,21601,23330,19026,16476,29591,32676,31075,30177,42888,,129504,203101,184644,192400,183289,312965,379929,388897,340166,587343,,2213763,2164025,2161282,1834569,2097490,2412537,2651415,2525270,2112023,2545583
848220,"Tapered roller bearings, incl. cone and tapered roller assemblies",15888,17656,23620,23309,25125,28200,30348,27036,31950,42586,,82134,119840,130156,134063,123781,151011,170405,162739,139782,230008,,670733,686053,717712,580091,547713,578619,663022,617051,545922,638582
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",36526,37504,46887,42934,37013,49801,44511,38177,41170,42539,,0,2579526,3658505,3071512,3461520,4612033,4372998,4554389,3793319,5148765,,313341,333477,426829,345432,342488,394190,369011,328593,368614,375910
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",2253,16091,19408,15641,20222,34159,41676,35000,29949,42480,,367952,398701,327180,305891,244175,270916,301816,262002,273088,421512,,1256782,1382225,1604704,1246283,1179281,1286702,1599191,1613098,1537057,1706428
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",25504,23527,25359,21499,20294,21298,35062,38372,36964,42472,,32430,31800,32855,33928,54953,67553,90565,97881,111217,156354,,521085,548400,619232,516131,529531,587855,647265,615004,516360,616393
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",21238,31193,29739,24058,24521,31658,39246,37406,30475,42024,,409947,505844,506523,544267,621539,572942,536253,586093,525876,803331,,3873706,4246750,4750670,4228530,4389335,4859562,5329085,5271580,5295664,6478434
130232,"Mucilages and thickeners, derived from locust beans, locust bean seeds or guar seeds, whether ...",87841,62288,39479,38705,28272,31034,40612,36793,33335,41494,,6187315,2618434,1917152,744135,464476,653063,702926,531215,261049,339415,,147920,114815,88422,76500,63561,67616,95759,91623,100814,139264
293299,"Heterocyclic compounds with oxygen hetero-atom[s] only (excl. compounds containing unfused ...""",39776,48849,37733,38241,35305,39314,51968,40057,51862,41245,,81163,169336,157149,156194,152359,134028,124800,127904,151325,164190,,181992,199329,182254,189520,183658,184720,197227,212155,280947,197707
871130,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",29,1366,5159,8088,10408,28568,25788,22654,22232,40988,,27510,36464,73863,69041,59866,169075,169858,139540,192052,354262,,44926,55680,63011,56172,61427,92612,135924,153328,142022,174089
853225,"Fixed electrical capacitors, dielectric of paper or plastics (excluding power capacitors)",15798,19509,22267,18699,20703,24271,36616,29612,28343,40401,,48456,56269,54974,55650,61332,67793,73612,54414,58954,79245,,191237,208385,158819,142298,143481,168090,205928,188978,185246,245171
847989,"Machines and mechanical appliances, n.e.s.",7368,6290,4963,9835,18470,28905,35755,32567,34389,39006,,202966,234999,344141,305051,284646,367260,347547,376967,376694,560697,,1662788,1807227,2164793,1924303,2207646,2434856,2912986,2923924,2939610,2932886
851140,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,26335,27563,21289,6074,11879,18129,23391,30707,31369,38721,,104293,92985,83812,62005,79646,123504,136559,128594,114480,198134,,397096,454389,474023,422249,437292,477558,551656,488927,425860,391070
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",20388,16810,20228,14049,29200,47820,57359,47954,34013,38575,,1323656,1116662,1250788,1033437,1660023,1962885,1627145,1192983,906575,943947,,7374513,7355015,8033514,7543728,4722285,6846101,7908936,7007485,6464564,5419767
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",4584,6344,7949,9506,12451,16959,27351,38180,31114,38573,,201847,329174,331215,355368,272139,317352,394036,416016,353087,524169,,3788189,4076785,3987738,4136149,5082605,7112525,7609645,6397699,5156416,5495815
830629,"Statuettes and other ornaments, of base metal, not plated with precious metal (excluding works ...",17249,17611,19831,22397,20487,23023,27682,27670,29614,38546,,1397,1492,2045,2286,2375,2464,5552,4456,3895,5353,,128910,132217,145434,140845,138838,153172,164148,153286,150379,195961
420329,"Gloves, mittens and mitts, of leather or composition leather (excluding special sports gloves)",41803,50963,54409,44788,42314,40023,42014,39048,32590,37745,,234148,303539,296058,277478,232848,219452,217509,214280,179692,209255,,154209,166288,171044,137393,126011,125138,129245,123687,109461,119129
390461,"Polytetrafluoroethylene, in primary forms",13101,10398,20818,14785,18324,20566,29738,36214,29443,37657,,52243,48891,62443,47246,54118,77126,110502,109865,93763,151469,,152039,136554,137879,100274,103304,112221,141547,126405,98518,150657
871690,"Parts of trailers and semi-trailers and other vehicles not mechanically propelled, n.e.s.",3978,4412,4817,5188,9028,27088,34085,36300,22177,37091,,23136,29285,28885,36764,44146,65328,87509,100618,87429,156466,,1395707,1491088,1610073,1458477,1573137,1796642,2029816,1667621,1447085,1958360
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",51161,53063,53808,48933,44730,47364,47715,44361,39682,37033,,305368,354840,355140,339202,321917,335218,398541,473973,355395,405645,,494577,515888,533297,476254,450387,483711,519896,542874,459470,496751
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",16757,19750,23744,18384,15542,19844,23568,28369,29798,36556,,176538,197962,248546,258401,253334,281497,336810,358951,309222,444503,,1261184,1454663,1314132,1021003,1031140,1083973,1098886,957068,849364,999027
290241,O-Xylene,1831,0,0,0,0,6390,0,852,13492,36458,,313029,340386,242188,170405,118673,94675,202934,134335,182290,182535,,116941,131789,119900,81344,77595,91947,105689,116289,86921,112835
610442,"Women's or girls' dresses of cotton, knitted or crocheted (excluding petticoats)",15515,18427,26847,19442,22596,26664,30144,29675,26362,36260,,105362,123070,125365,113486,109008,113730,112665,130516,103481,135735,,215961,212499,231423,194669,215165,258414,282895,290052,304333,418487
293590,Sulphonamides (excl. perfluorooctane sulphonamides),0,0,0,0,0,29310,38792,38371,29135,36051,,0,0,0,0,0,122073,199544,258201,261225,295280,,0,0,0,0,0,1780553,4592567,517460,484004,346127
630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excluding ...",35218,36646,38814,23882,20738,27924,32199,37747,28215,35688,,674542,882652,957093,1002711,1046479,1031143,1057647,1081611,1009155,1014706,,309461,326966,367731,309055,311761,308548,313127,288491,283263,324362
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",13591,18840,26509,26360,25451,34274,39651,35599,35546,34416,,308609,367423,337138,294956,287336,378416,476973,456390,394650,517727,,1747576,1811962,1930279,1598143,1723315,2067773,2328760,2109560,1881000,2316164
711311,"Articles of jewellery and parts thereof, of silver, whether or not plated or clad with other ...",24209,28617,27466,21798,21043,21657,21818,20215,20619,33085,,923994,1029908,1864719,2598714,3347527,4394702,826466,1188230,1979404,2122107,,555900,620086,673473,676345,657152,727893,736822,617564,670699,617460
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",3798,5189,5109,4733,5321,7374,5688,10140,4721,31734,,663788,670874,575422,434240,410559,444817,470922,524625,435017,696781,,1898346,1885591,1855499,1441380,1526551,1493230,1579414,1422724,1280673,1597917
291639,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",8673,9569,9686,10430,11529,8835,16034,21775,25441,31190,,31242,33738,40736,45135,54960,57157,70854,87005,82272,96952,,84300,100545,100141,76829,69080,46540,57697,65411,80836,79217
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",11834,16100,21003,20088,20455,24032,17809,24208,32513,30495,,5710316,7754818,7537677,5952411,5056932,6636591,6841259,6616849,7484136,8361333,,224331,271728,300289,276749,267515,269197,298767,302186,373828,332801
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",13231,16965,18696,17315,14062,13784,15628,15070,18784,30290,,180516,266356,296006,338480,370163,389811,443564,465642,477819,734270,,587227,633678,671035,613669,608512,639944,683134,682347,771977,882438
