Product code,Product label,Australia's imports from Japan-Value in 2012,Australia's imports from Japan-Value in 2013,Australia's imports from Japan-Value in 2014,Australia's imports from Japan-Value in 2015,Australia's imports from Japan-Value in 2016,Australia's imports from Japan-Value in 2017,Australia's imports from Japan-Value in 2018,Australia's imports from Japan-Value in 2019,Australia's imports from Japan-Value in 2020,Australia's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
620443,Women's or girls' dresses of synthetic fibres (excluding knitted or crocheted and petticoats),38,64,82,12,38,57,40,53,102,82,,5011,5130,5446,5823,7967,7695,8156,9000,9064,13570,,160894,168360,165321,152652,148517,166881,182002,185074,125936,179103
711719,"Imitation jewellery, of base metal, whether or not plated with precious metal (excluding cuff ...",41,10,4,16,34,35,35,53,40,82,,7597,4913,5150,4961,5392,7873,11844,13583,15703,28144,,88669,79497,66063,53729,58618,53441,53821,59146,51804,71286
843790,Parts of machinery used in the milling industry or for the working of cereals or dried leguminous ...,10,15,40,36,255,93,115,49,15,81,,4615,4355,3444,3358,3226,2216,2094,2211,1673,2109,,8690,6053,6634,6393,7165,7099,6899,9195,7941,7942
590700,"Impregnated, coated or covered textile fabrics; painted canvas being theatrical scenery, studio ...",414,402,226,117,265,161,183,247,294,81,,22520,17997,17251,15692,13915,10790,11430,11777,8919,9322,,15762,18041,17790,14303,14188,14950,16700,13683,13922,14821
701690,"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ...",3374,58,11,0,18,41,0,1,10,81,,5455,2227,3056,1901,2226,814,620,666,1392,1970,,15806,15364,25868,20463,11390,10182,10302,6857,5951,7502
560130,Textile flock and dust and mill neps,0,0,0,0,43,33,60,42,72,81,,68345,68141,66296,60993,67517,69528,70827,69146,63442,70119,,1371,1087,1098,1130,722,838,1267,369,526,678
620630,"Women's or girls' blouses, shirts and shirt-blouses of cotton (excluding knitted or crocheted ...",34,47,52,30,67,96,87,98,115,80,,6023,5234,6551,8184,11015,12179,11741,12236,12509,18883,,109817,98088,84550,81839,72947,73887,73628,69122,52621,75590
292690,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine """"dicyandiamide"""", fenproporex ...""",170,308,195,105,170,392,95,53,62,80,,67008,56502,63786,61165,69383,70691,67956,77422,84861,104347,,22191,22284,23303,22190,25547,26023,27294,33303,33651,35043
281830,Aluminium hydroxide,188,205,297,75,69,101,111,143,55,80,,57018,44957,48949,34026,34051,33053,32480,27333,23702,32114,,1565,1647,1757,1956,1731,2383,3223,3051,3074,2966
520932,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, in three-thread ...",356,480,217,212,101,81,66,94,89,80,,56667,51671,52143,50873,55104,62355,40468,36955,33623,29908,,714,884,491,1027,1110,667,889,806,653,1043
820240,Chainsaw blades of base metal,6,33,70,26,18,6,34,48,47,80,,1044,1136,1146,833,1070,1542,1880,1812,1537,2277,,8482,9582,8182,8231,6877,9103,8858,8899,13170,12627
230240,"Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived ...",65,0,0,8,19,57,19,72,66,80,,44,59,78,84,67,98,1476,1713,1255,8,,1163,1381,1153,885,587,353,456,415,651,665
290721,Resorcinol and its salts,0,0,0,0,0,38,13,64,67,80,,0,0,0,0,0,0,137713,212,7910,2305,,362,275,289,98,212,311,425,247,264,461
130231,"Agar-agar, whether or not modified",287,326,160,71,135,128,104,99,76,80,,1364,1301,1187,986,1559,1100,1360,1443,1411,1739,,982,1061,1020,805,1153,1009,770,1151,1049,949
91030,"Turmeric """"curcuma""""""""",0,0,0,0,1,0,0,0,111,79,,31,70,167,210,335,485,302,518,2424,3562,,1213,1314,1936,2225,3363,4384,3690,2353,3898,3305
900652,"Cameras for roll film of a width of < 35 mm (excluding instant print cameras, single lens ...""",4,3,2,0,0,4,7,1,29,79,,45,17,188,14,12,36,50,120,242,132,,93,66,27,10,11,18,27,11,67,146
570500,"Carpets and other textile floor coverings, whether or not made up (excluding knotted, woven ...""",440,278,204,136,210,337,275,136,88,79,,1442,715,779,875,814,431,1768,1441,1070,1560,,22693,27148,28840,30205,27436,26745,24122,23441,23312,28399
540772,"Woven fabrics of yarn containing >= 85% synthetic filament by weight, incl. monofilament of ...",370,299,211,218,104,51,52,40,34,79,,23340,22650,21295,21545,26578,29051,30243,26427,19999,20673,,2117,1992,2502,2772,2820,2648,2816,2187,1988,2869
560312,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",439,217,49,24,62,76,85,74,39,78,,58055,70984,74136,70490,89175,94255,106471,89612,104566,115641,,24768,23291,15400,13685,16832,15739,13876,11728,19688,21660
851821,"Single loudspeakers, mounted in their enclosures",61,34,19,26,889,614,62,12,16,78,,6877,8658,8338,8187,17085,12753,11014,14362,15227,17353,,46487,49548,63210,54162,37576,69903,70253,59343,54989,68099
210111,"Extracts, essences and concentrates, of coffee",2979,298,7,320,127,16,436,22,16,78,,27873,33094,38764,33037,24990,21454,25613,33792,92222,94959,,158047,109083,108182,113623,110758,125280,134986,134405,139100,137005
731589,"Chain of iron or steel (excluding articulated link chain, skid chain, stud-link chain, welded ...",93,244,217,146,94,52,117,95,76,78,,16933,15548,17609,6597,3172,4634,3894,4091,3037,4648,,16017,12266,13499,11268,61207,14711,15907,14863,13823,14513
170290,"Sugars in solid form, incl. invert sugar and chemically pure maltose, and sugar and sugar syrup ...",528,330,319,162,182,49,175,116,26,78,,13203,15801,12539,10174,11458,11749,12956,13782,14554,15711,,11982,13511,14506,16317,19939,19000,25068,24423,22927,27773
282530,Vanadium oxides and hydroxides,0,0,0,0,0,0,0,0,0,78,,1701,1391,1752,986,1314,2855,2783,2136,1442,1647,,219,418,233,174,163,9,427,23,26,106
903084,"Instruments and apparatus for measuring or checking electrical quantities, with recording device ...",40,144,154,71,60,64,43,41,30,78,,17078,19272,28178,21582,51747,42888,60476,55808,57122,77140,,7118,4780,5748,4289,4420,5589,7284,6455,6496,6422
691390,"Statuettes and other ornamental ceramic articles, n.e.s. (excluding of porcelain or china)",67,55,51,34,52,70,67,39,57,77,,5733,4241,5980,7683,10971,6363,9754,8296,8337,13652,,14708,14265,15557,14620,13249,14380,16178,18276,19637,26122
843290,"Parts of agricultural, horticultural or forestry machinery for soil preparation or cultivation ...",13,16,41,45,59,94,23,41,44,76,,35695,24121,27110,24467,32108,70861,38141,41290,28190,15405,,35680,36040,31706,30386,35039,41012,40893,37579,36686,52900
721912,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, ...",490,91,293,136,154,424,0,0,27,76,,98750,68681,69736,57344,51529,90287,55505,61487,41217,46606,,9812,6543,7155,6505,4161,5464,6058,3467,3386,5647
760900,"Aluminium tube or pipe fittings (e.g., couplings, elbows, sleeves)",57,81,21,16,7,1,0,5,0,76,,13803,13625,15285,14582,13250,12724,12557,12027,9792,11649,,12040,12998,12378,12453,9963,12443,13889,12578,11911,14743
291413,"4-Methylpentan-2-one """"methyl isobutyl ketone""""""""",63,27,6,75,26,60,88,73,39,76,,42361,48174,44681,32314,21237,35363,30867,17508,17559,46627,,1614,1850,1553,946,1066,1036,887,589,511,1071
251710,"Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for ...",0,0,0,5,16,12,14,18,69,76,,7044,535,895,326,31,925,641,375,157,386,,1007,1009,2444,1217,3864,8697,1585,1956,1917,2056
821490,"Hair clippers, butchers' or kitchen cleavers and other articles of cutlery of base metal, n.e.s.",96,50,69,35,62,69,39,38,94,76,,7331,7005,5993,5558,6153,6166,5696,6041,6817,7322,,1524,1316,1360,1255,895,1232,2203,2402,2410,2711
842832,"Continuous-action elevators and conveyors for goods or materials, bucket type (excluding for ...",0,0,0,16,0,2,0,0,0,76,,9574,4288,7781,4067,2619,1871,6784,5582,1571,839,,4265,6005,25323,1888,4494,2741,5284,3770,3156,8795
841690,"Parts of furnace burners such as mechanical stokers, incl. their mechanical grates, mechanical ...",462,86,81,115,199,34,260,996,351,75,,22812,20645,20903,20352,28200,17763,25706,24671,12871,12799,,3879,6800,29963,9882,3623,5186,4909,8802,4565,4001
851610,Electric instantaneous or storage water heaters and immersion heaters,8409,6637,5605,2238,13,115,11,13,5,75,,4397,3788,5044,4779,7987,10066,6481,9061,7553,7705,,28980,31343,34708,35247,32217,35030,32830,28558,25909,29602
846691,"Parts and accessories for machine tools for working stone, ceramics, concrete, asbestos-cement ...",192,157,129,131,99,64,127,143,50,75,,79835,27129,62976,30185,27437,27443,53574,30838,47140,22279,,5619,7042,7172,5510,5502,5927,5899,5151,5008,4853
481820,"Handkerchiefs, cleansing or facial tissues and towels, of paper pulp, paper, cellulose wadding ...",47,8,57,37,45,40,49,75,84,75,,18566,12182,8090,8148,9523,13494,13141,15987,14818,10452,,80811,85209,79967,80404,82525,86278,92268,87220,99065,93202
845290,"Furniture, bases and covers for sewing machines and parts thereof; other parts of sewing machines",339,184,217,130,157,116,69,196,57,75,,136212,138470,130291,111597,103479,117745,129778,118188,73181,112782,,3632,3213,2920,3058,2978,2488,3003,2815,2838,3424
320649,"Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring ...",3490,3591,3127,3181,1818,342,277,177,191,75,,153621,156241,162377,149810,176087,182365,195334,174219,140919,184830,,22193,23395,20940,18949,18221,14795,14742,13792,14791,16256
30487,"Frozen fillets of tuna """"of the genus Thunnus"""", skipjack or stripe-bellied bonito """"Euthynnus ...""",121,157,194,117,160,157,156,147,109,75,,20218,12208,10723,12052,11376,14259,14804,20756,18933,31722,,1658,2338,3595,2043,3965,6282,5726,6179,3921,6880
850433,Transformers having a power handling capacity > 16 kVA but <= 500 kVA (excluding liquid dielectric ...,4,23,20,45,8,5,0,27,1,75,,23570,19103,20536,15547,17406,16476,16440,14755,11057,12420,,37382,39910,20043,21711,19060,18804,18523,12684,11393,4123
760310,"Powders of aluminium, of non-lamellar structure (excluding pellets of aluminium)",63,13,16,29,12,7,37,17,27,74,,3331,2949,3035,2540,2273,2683,2800,3037,2337,4305,,1791,731,3245,828,644,558,538,521,685,548
846620,Work holders for machine tools,307,254,271,576,267,185,129,146,62,74,,121673,96751,105338,89964,85958,99657,140732,145200,122466,132261,,5462,6140,4693,4922,4629,4310,5746,5366,6822,7028
160521,"Shrimps and prawns, prepared or preserved, not in airtight containers (excluding smoked)",6,29,53,8,51,3,9,2,56,74,,712,322,745,1446,844,284,358,700,494,977,,84637,78781,86473,65305,59137,100969,83072,72695,73113,75655
731823,Rivets of iron or steel (excluding tubular and bifurcated rivets for particular uses),671,626,425,336,335,201,111,39,54,73,,55403,48903,45853,37172,40763,45930,45133,40139,33880,44102,,5830,5197,5858,5223,4906,5261,4674,5085,5367,7139
420310,"Articles of apparel, of leather or composition leather (excluding clothing accessories, footware ...",93,35,26,45,31,49,61,53,29,73,,2946,2744,3210,3147,2195,1940,2289,2575,2640,3539,,34639,35895,35600,32188,33231,31924,30697,27009,21434,27606
700729,Laminated safety glass (excluding glass of size and shape suitable for incorporation in motor ...,81,2,1,4,2,6,25,41,45,73,,9440,7236,10621,7020,6017,6290,6760,6004,6775,8192,,35550,35620,36293,37537,48431,50060,47324,38952,38996,44877
330129,"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excluding those ...",0,0,2,23,15,82,92,24,117,72,,4223,3604,4923,4167,3105,1421,1452,1485,2104,1318,,18557,19060,20928,29942,40507,64625,86980,71125,48334,41633
845690,"Machine tools for working any material by removal of material, operated by electro-chemical ...",145,32,468,904,13,6,742,9,20,72,,38878,35190,26790,22708,31380,19966,24940,20655,21898,22205,,11829,8932,11751,9758,9349,5448,8190,3881,3393,5319
294130,Tetracyclines and their derivatives; salts thereof,97,0,24,62,24,45,70,48,189,71,,0,2,4,0,6,0,43,52,3,102,,2995,3910,2946,3891,3724,3547,3682,4061,4042,2774
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",31,68,66,49,66,47,23,42,41,71,,11052,7661,7980,7580,7076,6216,7510,7868,10152,10905,,168305,185654,207878,224380,235383,231183,223850,204459,168541,200254
381190,"Oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive preparations and ...",304,222,242,259,257,171,189,240,92,71,,23320,22843,24094,22802,29281,34155,39241,42705,35836,37400,,26306,24759,29256,26249,24210,23728,24846,25837,27795,23182
120740,"Sesamum seeds, whether or not broken",79,78,92,75,85,80,100,87,71,71,,1425,1138,786,2636,1333,1482,1446,1632,1182,1175,,9753,13932,18720,12034,10267,9628,10789,14737,13643,11586
901090,"Parts and accessories for apparatus and equipment for photographic or cinematographic laboratories, ...",934,537,499,194,315,586,417,197,107,71,,40837,40152,29078,21092,18643,12562,10967,8029,6000,5184,,1747,1602,1821,884,1050,1598,1415,1094,826,669
711890,Coin of legal tender,387,354,251,328,177,309,104,656,45,71,,,,,,,,,,,,,46958,46345,39601,35515,29858,15885,17280,22351,41431,42890
610342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of cotton, knitted or ...",8,13,10,14,68,146,83,90,80,71,,634,1041,1063,1403,3329,3773,3724,4338,7801,9706,,28323,33385,37118,39538,43639,49088,56552,64096,69921,104640
961000,"Slates and boards, with writing or drawing surfaces, whether or not framed",5,3,1,4,1,1,3,0,13,71,,466,311,500,629,702,218,278,527,352,194,,11252,12649,14109,13675,13062,14245,14033,14197,14562,17366
690210,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods containing, ...",3,392,61,0,19,19,31,3,0,71,,22799,16991,9618,10806,8485,6673,10088,11679,10841,12053,,10973,11801,11339,12453,11794,14228,10965,14547,11939,13428
854121,Transistors with a dissipation rate < 1 W (excluding photosensitive transistors),512,28,48,47,53,15,18,10,65,71,,712782,541296,508544,457644,488839,554445,649877,517738,609099,694042,,1345,465,800,1015,1062,987,1765,1406,2635,5206
870370,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,0,186,0,0,71,,0,0,0,0,0,0,14,17,7,0,,0,0,0,0,0,1069,3371,681,0,108
821191,"Table knives having fixed blades of base metal, incl. handles (excluding butter knives and ...",64,10,32,23,21,38,51,98,52,71,,986,1117,912,1420,1364,1550,1728,2367,1838,2585,,6557,5537,7211,6841,5528,5437,5601,4890,5707,9506
900590,"Parts and accessories, incl. mountings, for binoculars, monoculars, astronomical and other ...",108,124,90,92,203,47,96,53,46,70,,14558,5781,4162,5010,8583,8225,8346,6153,6157,8873,,5566,5446,3747,6762,2767,3282,5885,5919,4882,7492
960990,"Pencils, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks",34,7,30,8,10,6,8,9,86,70,,1939,2056,3203,2953,3250,2926,1693,1589,1629,3827,,4769,5548,5835,4883,4484,3778,4636,4418,5390,6737
620339,"Men's or boys' jackets and blazers of textile materials (excluding of wool, fine animal hair, ...",50,23,13,19,50,48,46,42,66,70,,1120,914,518,565,947,737,644,769,1272,1053,,8395,8097,7818,8897,7197,7245,8470,8512,7145,8639
160563,"Jellyfish, prepared or preserved (excluding smoked)",62,80,45,23,38,35,97,69,50,70,,1364,1272,1046,1012,1065,911,1008,990,785,989,,341,602,345,361,256,361,335,427,508,449
610620,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres, knitted or crocheted ...",9,3,8,17,9,10,11,21,48,70,,7372,5831,5807,4692,5149,4064,5042,6097,4831,5679,,44971,44713,54208,53510,41988,42383,41981,40292,30882,38385
620433,"Women's or girls' jackets and blazers of synthetic fibres (excluding knitted or crocheted, ...",40,49,37,24,27,43,34,23,50,69,,4439,4286,3211,3324,3954,3122,5268,4992,6395,8390,,61701,68996,66299,68478,55170,57605,63761,62890,46471,55350
821220,"Safety razor blades of base metal, incl. razor blade blanks in strips",7,6,24,16,7,19,2,5,47,69,,16966,15123,15038,14890,15972,16458,16808,16602,14075,16817,,17847,20566,17352,16781,18810,20369,32004,27682,26182,28093
870290,"Motor vehicles for the transport of >= 10 persons, incl. driver, not with compression-ignition ...""",22720,19601,22035,8489,5441,15743,17913,3467,41,69,,1179052,1168849,1088318,1028215,741226,622526,514716,489193,304641,309174,,24984,21610,22841,9134,5939,15772,17936,3484,92,298
591131,"Textile fabrics and felts, endless or fitted with linking devices, of a kind used in papermaking ...",353,395,456,197,224,293,90,121,101,69,,8843,8161,7555,6729,6658,6380,6100,5748,4501,6064,,5103,5485,5541,4773,3983,2946,2684,4346,3638,2655
843490,"Parts of milking machines and dairy machinery, n.e.s.",0,0,2,0,0,0,8,10,0,69,,1562,1285,1149,564,591,656,618,469,484,1073,,8078,5818,8503,5146,5403,5595,6264,5505,6614,9213
560811,Made-up knotted fishing nets of man-made textile materials (excluding landing nets),21,24,106,16,9,53,15,71,27,69,,24654,18195,19746,21225,21933,20099,21228,21855,20771,14991,,6818,11139,7975,6132,6823,7802,12758,8321,6780,8022
820760,Interchangeable tools for boring or broaching,582,257,90,109,107,72,36,47,33,68,,73111,78159,78655,79822,77082,74716,74321,72065,57495,61861,,6907,3628,3812,3532,2744,3830,4006,3503,5369,4083
854720,"Insulating fittings for electrical purposes, of plastics",29,0,7,0,0,4,14,17,11,67,,605688,618646,566040,528964,547295,562444,562655,545208,519330,598839,,1420,1929,1765,1853,1326,2020,2084,2158,3888,3065
401691,"Floor coverings and mats, of vulcanised rubber (excluding hard rubber), with chamfered sides, ...",201,44,29,37,170,184,147,81,64,67,,2368,1399,1830,1572,1366,1872,2195,2241,1480,2139,,21760,21298,24582,23644,23134,23295,23465,21958,25235,31404
630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excluding ...",23,31,30,45,31,28,10,77,61,67,,3442,3091,4010,3873,4638,5253,6131,6228,5600,6807,,115556,117354,120755,129820,121202,130757,122557,116019,111838,149529
850431,Transformers having a power handling capacity <= 1 kVA (excluding liquid dielectric transformers),179,121,221,338,171,256,433,132,69,67,,96802,81116,95485,95873,80677,88302,78963,82755,67452,78680,,42523,31882,28680,27939,28291,22672,32128,28402,22973,31279
321210,Stamping foils of a kind used in the printing of book bindings or hatband leather,56,60,98,53,47,64,64,31,66,67,,154081,127500,58297,42544,62511,65023,66019,57647,32091,34499,,5137,5595,5103,5223,12215,5942,16766,5524,5930,5290
401290,"Solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber",38,45,18,36,48,45,66,44,52,67,,5730,5035,4355,3655,4123,4014,3661,3275,2209,2655,,33120,33160,32213,27346,22062,22316,21950,19954,18971,21063
560311,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of synthetic or ...",193,88,57,138,36,38,15,0,405,67,,22678,20371,19973,15468,15788,19106,18897,18941,27909,29406,,6636,8093,14249,21230,24191,24285,23855,17117,20030,13420
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",39,55,26,27,55,27,63,71,99,67,,435514,368278,313828,258090,253476,295213,296826,252632,286131,446231,,356182,350849,496415,275790,309157,55746,42873,102882,306143,319040
761610,"Nails, tacks, staples, screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers ...",10,23,11,19,46,54,607,33,37,66,,11255,9093,8893,10545,11189,12133,13442,16048,15420,19496,,2604,2671,2632,2925,2437,2974,6933,4326,4337,9191
282720,Calcium chloride,149,132,212,144,70,54,75,89,100,66,,3520,3568,3385,2711,2106,2279,2214,3041,2968,3678,,6716,6119,5778,5716,5289,5298,6156,6116,5694,7576
610443,"Women's or girls' dresses of synthetic fibres, knitted or crocheted (excluding petticoats)",7,7,7,19,21,31,36,41,43,66,,2420,2124,3331,3694,5638,5425,6500,6678,7142,8242,,73426,66087,68853,70491,64807,61793,58366,48280,41392,72435
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",24,39,65,40,33,47,12,44,13,66,,1705,1307,1338,1464,1430,4261,2381,1342,2962,5438,,379812,402119,373175,314451,307227,347021,347926,318686,305304,341886
730719,Cast tube or pipe fittings of iron or steel (excluding products of non-malleable cast iron),203,475,111,76,124,95,131,115,107,65,,36278,34406,31402,27173,27195,33794,29685,20331,9850,10789,,36058,27012,34648,30116,27580,33584,42504,36819,34919,41302
711411,"Articles of goldsmiths' or silversmiths' wares or parts thereof, of silver, whether or not ...",4,3,8,7,1,0,0,0,0,65,,4799,5251,5991,4355,4676,6134,5375,4650,2265,4745,,1892,2349,1823,1757,1098,1630,1261,2267,1737,2320
491110,"Trade advertising material, commercial catalogues and the like",4841,3783,216,3518,2019,229,123,137,99,65,,33949,29170,21114,22823,23603,21221,18048,15625,13040,8384,,39220,41775,37216,33861,31535,26158,25025,22124,15502,15727
290323,"Tetrachloroethylene """"perchloroethylene""""""""",0,0,0,0,0,0,0,15,89,65,,6297,4183,4312,3756,3827,3990,3991,3577,3690,4704,,0,0,0,0,0,0,0,15,570,532
591110,"Textile fabrics, felt and felt-lined woven fabrics, coated, covered or laminated with rubber, ...""",17,118,55,129,198,211,145,113,168,65,,11256,7654,8215,7098,5746,5632,5217,4950,4376,5984,,2935,2804,3156,3276,3590,4107,4259,2435,2877,2127
962000,"Monopods, bipods, tripods and similar articles",0,0,0,0,0,26,80,81,144,65,,0,0,0,0,0,2412,2444,2884,2433,4003,,0,0,0,0,0,6710,13623,12810,12497,15435
180632,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg (excluding ...",49,71,176,397,335,244,441,428,109,64,,25960,26075,33389,37979,44751,40362,44437,42357,41863,59418,,56832,64908,82239,90407,94392,96342,99633,112054,121689,118635
900710,Cinematographic cameras,392,331,369,620,488,470,344,488,95,64,,16,91,100,173,46,21,0,54,17,10,,5797,4659,4595,8432,7413,7882,5883,8566,3670,3880
620113,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",7,37,5,7,33,26,42,59,39,64,,1817,1483,1215,1283,1629,1640,3005,3293,2796,2744,,12922,13447,10410,12801,14641,18078,22843,23942,11149,13713
960850,"Sets of articles from two or more of the following: ball-point pens, felt or fibre-tipped pens ...",20,0,14,0,0,56,7,25,21,64,,1202,1197,1505,1300,1280,1714,2100,1062,959,1178,,519,177,317,121,200,411,382,345,249,1303
620193,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",8,8,7,2,10,176,110,42,53,64,,3354,3230,2800,2472,3092,3259,4550,5290,4543,6433,,29953,28387,40817,40399,57120,70500,81055,86304,85750,103267
282590,"Bases, inorganic, and metal oxides, hydroxides and peroxides, n.e.s.",81,85,20,28,53,31,39,52,62,64,,43273,41283,40888,32327,35547,40991,39157,33697,25330,35214,,1318,685,595,800,745,2014,3617,1790,1562,2286
847780,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",638,492,556,571,175,291,469,59,277,63,,386614,242713,270934,257856,307704,406509,365553,401601,381898,423515,,31806,23647,21319,26654,19654,24435,25264,21581,28437,35122
250510,"Silica sands and quartz sands, whether or not coloured",0,1,0,0,0,0,56,68,109,63,,6155,3057,3512,1291,1589,1164,2374,1351,1298,1591,,1060,1199,2581,5379,1333,2474,2026,1648,1885,2629
290514,"Butanols (excluding butan-1-ol """"n-butyl alcohol"""")""""",61,34,60,37,53,37,79,51,98,63,,28829,28425,21963,35728,18568,8797,6912,7934,17819,8224,,389,349,392,308,303,309,341,215,276,366
420231,"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...",7,1,7,38,92,59,41,62,14,63,,2215,1801,2508,1838,2224,1841,2293,1706,1304,2361,,59236,68996,70971,68199,78556,84629,86765,81609,52574,61611
292519,"Imides and their derivatives; salts thereof (excluding saccharin and its salts, glutethimide ...",181,101,240,557,799,1348,1139,15,17,63,,124913,103876,68496,101601,64858,56632,60428,60708,52681,76859,,888,1251,1060,1893,2540,3270,3003,1052,1102,1396
730411,"Line pipe of a kind used for oil or gas pipelines, seamless, of stainless steel",76,32,25,34367,593,54,225,151,67,62,,136448,14694,6910,6274,5236,35639,593,16684,34947,1055,,2219,8871,3930,39436,4133,1135,2092,841,761,1673
20230,"Frozen, boneless meat of bovine animals",0,0,0,0,0,0,0,72,27,62,,43977,32464,38005,40284,57117,85053,102078,143380,134876,256857,,10498,4967,7513,6619,7882,8604,5146,6230,13962,27590
845970,Threading or tapping machines for metals (excluding way-type unit head machines),81,106,59,101,74,34,19,182,30,62,,52372,41153,27160,14576,21558,13017,17955,7348,5587,6324,,2704,1236,1909,1297,1410,1517,1759,1511,1882,1487
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",38,77,60,50,38,58,41,46,69,62,,10281,8663,8207,7982,10080,10672,15320,13413,15291,25601,,247100,273708,278681,262064,277225,267974,282184,296969,264085,336808
846490,"Machine tools for working stones, concrete, asbestos cement or similar mineral substances or ...",362,379,207,191,283,338,246,125,72,61,,130588,113599,134067,97803,117018,145892,159385,169616,89145,110730,,15586,12913,16493,14565,21577,16579,14830,9794,12470,13279
851240,"Electrical windscreen wipers, defrosters and demisters, for motor vehicles",35,22,7,8,17,20,22,2,22,61,,11402,10905,8163,5576,5219,4187,2371,3137,2667,5978,,1686,1937,1661,1451,1378,1681,2169,2452,3037,3444
611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excluding hats)",1,2,3,12,9,71,39,20,59,61,,835,910,760,1097,1450,949,1261,903,1100,2263,,110818,109179,125214,134079,126343,133367,125193,126506,127697,161051
290290,"Cyclic hydrocarbons (excluding cyclanes, cyclenes, benzene, toluene, xylenes, styrene, ethylbenzene ...",0,1,34,0,0,0,0,48,55,61,,85244,76113,67227,54407,59852,56910,59963,52902,48648,59172,,686,861,825,834,640,816,737,481,631,554
482340,"Rolls, sheets and dials, printed for self-recording apparatus, in rolls of a width <= 36 cm, ...",26,50,20,19,24,19,6,1,7,61,,4277,3532,3006,2997,2437,2634,2872,2576,2197,2938,,1017,1199,1009,941,1502,1965,1976,2056,1586,1982
380300,"Tall oil, whether or not refined",0,0,0,0,0,0,0,0,0,61,,2556,1546,1329,1063,880,897,1003,557,185,509,,358,750,505,395,451,970,500,367,354,588
900140,Spectacle lenses of glass,674,436,109,22,35,28,25,20,29,60,,8682,9430,10717,8827,8539,4542,5657,5299,2435,2039,,2343,1762,1064,367,451,532,845,475,399,429
970400,"Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery, stamped paper ...",17,6,5,0,9,0,0,0,19,60,,64,101,121,76,125,51,63,124,121,147,,8258,6450,5144,6983,7354,6996,8830,4118,2252,2361
960350,"Brushes constituting parts of machines, appliances or vehicles",263,222,162,103,107,142,82,45,125,60,,59480,49903,50751,46360,49043,59640,65244,56586,56995,57659,,8546,9399,9514,9511,8075,9039,10544,11157,10084,12612
460290,"Basketwork, wickerwork and other articles, made directly to shape from non-vegetable plaiting ...",0,0,1,1,1,1,0,0,5,59,,65,81,107,70,59,79,121,149,111,132,,3236,4540,4396,4853,3660,3716,4703,5701,6132,9658
842310,"Personal weighing machines, incl. baby scales; household scales",209,190,129,127,86,74,56,85,163,59,,2365,1508,1692,1141,997,1395,1668,1826,1799,1597,,13834,14957,16573,14091,10881,13991,15012,14400,19063,17010
