Product code,Product label,"Taipei, Chinese's imports from Korea, Republic of-Value in 2012","Taipei, Chinese's imports from Korea, Republic of-Value in 2013","Taipei, Chinese's imports from Korea, Republic of-Value in 2014","Taipei, Chinese's imports from Korea, Republic of-Value in 2015","Taipei, Chinese's imports from Korea, Republic of-Value in 2016","Taipei, Chinese's imports from Korea, Republic of-Value in 2017","Taipei, Chinese's imports from Korea, Republic of-Value in 2018","Taipei, Chinese's imports from Korea, Republic of-Value in 2019","Taipei, Chinese's imports from Korea, Republic of-Value in 2020","Taipei, Chinese's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021","Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
847170,Storage units for automatic data-processing machines,5616,7270,16052,21847,63929,54220,52123,31651,38189,48389,,1797549,2384379,2895324,3613241,3916109,5619460,5176310,396774,87481,104407,,1246401,1081479,1163388,1126984,1243629,1254426,1027579,853369,959553,1175897
720917,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",12972,16642,16293,7393,15679,10239,18208,13056,27495,46024,,2043101,1721115,1716186,1248093,1099807,1343917,1405054,1315438,1136114,1664499,,49499,56348,81584,46354,82465,97739,108420,82721,109017,324381
240220,"Cigarettes, containing tobacco",19000,26142,23938,23141,36805,36989,39463,37414,36849,45918,,606382,525034,669060,886814,981578,1125560,792282,717394,816423,679880,,512076,521506,511547,497545,524275,190900,187421,148310,153472,136619
720916,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",7756,12539,15498,9896,10686,12835,9300,7699,20190,45451,,933940,908591,913656,651859,557918,697633,843054,784791,698110,1159370,,29954,45695,102786,53264,60394,87436,51911,51933,59118,235843
291712,"Adipic acid, its salts and esters",47790,42380,43019,27472,36710,51388,49128,34263,25110,45158,,174358,147797,132515,90464,91574,111101,124233,84608,75688,120779,,127333,134474,141189,98097,86500,132517,125199,86508,67915,113361
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",36138,38578,32619,28075,49724,45612,46263,41156,42590,45093,,713596,818509,802630,808049,703386,920309,1125920,1063452,1141967,1327971,,382959,377491,391776,366541,545678,631315,930938,793066,1083012,1591232
721633,"H sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, ...",7744,25279,60981,31205,25590,26699,26691,30512,37983,45076,,943978,805330,825129,637216,491272,543911,687960,616750,457077,620326,,46572,73045,90913,68615,49283,45605,44873,50225,38393,59920
284190,"Salts of oxometallic or peroxometallic acids (excluding chromates, dichromates, peroxochromates, ...""",2703,4681,5791,5863,2967,13127,42209,20570,24546,42916,,231463,346500,405681,395449,422482,682901,910553,1958305,2428789,4423597,,20374,21145,24872,26694,31434,47277,84425,53691,60333,84892
850760,Lithium-ion accumulators (excluding spent),0,23,2782,8906,18457,19363,35285,101665,82285,42017,,2064884,2265401,2268055,2030201,2328866,3518604,4391786,4679066,4878678,5759460,,0,138,41300,92374,128540,196465,305151,463055,468368,649412
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",46217,41894,35624,31507,25057,17758,24954,29036,34899,40602,,834100,839835,864639,740536,691033,679498,682804,656627,617024,670458,,541306,540589,533366,463085,424582,465969,508709,500298,506522,586349
720270,Ferro-molybdenum,11319,27914,20573,25049,19617,28717,39989,39818,41311,40403,,100675,94873,153332,147246,142743,208885,407709,426948,290234,544896,,45794,43030,54621,38821,38952,50390,69147,59899,45416,80926
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",36509,19179,40412,40775,41196,37795,29485,38100,37479,40392,,2528801,3011976,3395026,3625611,3990742,3425281,3484326,3060426,2524373,3102390,,477287,436555,496921,432332,390084,387112,349030,353747,365892,427279
290511,"Methanol """"methyl alcohol""""""""",142,133,108,119,36197,40617,45672,34246,28276,39359,,3295,879,875,1576,1816,2061,1530,6065,1690,4071,,430983,509025,549434,378228,291656,448499,581389,357457,296713,591825
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",13606,17077,15265,16673,27228,16522,21275,23070,31640,39088,,210860,383261,351602,486302,594675,1087828,1231600,977954,964248,979336,,307231,307016,342303,395071,503199,380935,445694,608809,642266,1042846
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",33706,38475,42551,30466,21949,21261,23160,27520,30442,38847,,357476,386525,454205,361699,316605,328393,414058,424125,326909,422125,,174096,155679,132133,84057,100069,134306,172193,166697,165908,387306
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",8378,11562,20300,28188,19390,12547,11076,11756,29508,38047,,1456148,1299238,1159600,1331570,1192790,1039861,1135712,1099091,1021661,1043570,,359349,402893,432865,408908,428953,444472,480203,486938,581197,702962
292910,Isocyanates,40168,43431,40018,32983,30968,54452,56777,28105,23010,36885,,743174,721644,664782,514308,679108,1218596,1276642,620057,510184,795891,,177628,182658,171351,132513,146814,215181,223411,146004,127472,191710
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",46890,57094,41682,25519,20617,16394,18875,24848,29926,36269,,733134,871884,785926,826434,821217,966088,1112527,1234654,1292991,1526255,,251364,247267,227002,167851,150121,137066,137449,139681,159185,184552
722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn ...",15499,20479,14440,15413,9297,29160,60630,23786,24221,36157,,217528,189142,254803,161812,153209,223158,381301,330036,231004,352237,,132443,139056,173788,136457,122181,189510,267642,144732,137030,276747
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",45718,52179,43727,34864,28197,27033,29284,41926,31228,32940,,1016266,1350777,1331234,1354668,1281547,1538186,1643208,1597441,1404023,1535604,,454171,456457,437474,391665,383495,397859,413905,440198,496752,553421
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",5227,11868,17495,21120,23167,17487,14327,24435,23309,32080,,6034134,6151878,5560077,4646467,4481430,4579433,3585671,3045909,1978424,2951955,,358846,395147,487131,554317,466197,473196,313253,196853,156243,202883
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,72,2,1204,1443,31596,,0,0,0,0,0,798434,779798,702045,2566862,3938618,,0,0,0,0,0,326029,471440,527447,657576,794203
845020,"Laundry-type washing machines, of a dry linen capacity > 10 kg",36613,38010,38241,27913,31596,31275,45651,49348,37064,31498,,1139585,795802,624720,444263,432901,545742,380016,342237,310953,669374,,66878,76456,85065,77820,92482,91767,111073,121567,135386,160734
390210,"Polypropylene, in primary forms",24743,18934,24553,25786,15869,16343,16449,17480,37008,31230,,1625108,1909446,2067064,1815847,1676346,2065274,2394340,2148725,1934103,2824435,,183952,188309,211589,199975,161391,145032,147191,141896,161564,190861
848630,Machines and apparatus for the manufacture of flat panel displays,25098,21503,27412,49721,92140,51421,51850,41347,41236,31106,,287409,965234,1022427,1438600,1438824,3147150,3837170,2515490,2693296,1822080,,277304,183571,216381,425851,824036,362855,437486,365198,247817,187911
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",10918,11291,8822,12622,18242,19829,10560,21662,16279,31101,,1444558,1276695,1372296,1464900,1542442,1559537,1712212,1736164,1466954,1836637,,162351,156253,174649,178530,201218,214885,231646,254287,297044,351180
285390,"Phosphides, whether or not chemically defined (excl. ferrophosphorus); inorganic compounds, ...",0,0,0,0,0,3950,7268,11743,19266,30462,,0,0,0,0,0,383280,1403924,326944,371166,31471,,0,0,0,0,0,87278,91244,90353,103837,132751
290321,"Vinyl chloride """"chloroethylene""""""""",1922,5213,0,5958,3691,2178,1637,8251,13939,30362,,69009,77929,100845,70481,68841,38859,39037,139460,153113,273332,,51916,51459,46587,33533,36773,36197,55608,49741,74867,122739
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",45804,46347,38058,20990,18829,21993,40163,33726,21568,29507,,414970,494628,575686,339949,333169,486687,475078,403306,344316,432923,,100482,100774,87664,48755,48370,47749,64507,61199,38586,50402
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,0,419,5090,6866,6671,10432,9118,8505,19183,29356,,90246,98668,119835,121778,128847,142986,148492,166171,212985,292802,,0,14966,163858,162636,157264,180905,187097,190474,214986,241428
190230,"Pasta, cooked or otherwise prepared (excluding stuffed)",6195,5306,7318,11855,14318,17539,17667,18526,22091,29275,,252919,256996,250210,262995,339307,443074,477080,528621,686126,769774,,14764,13891,18123,28499,32323,36252,37674,37683,43554,56343
370500,"Photographic plates and film, exposed and developed (excl. products made of paper, paperboard ...",0,0,0,0,3,65300,54353,43164,36139,28858,,0,0,0,0,0,230058,280432,319067,316308,356040,,0,0,0,0,85,297648,323415,301941,282233,314437
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",39950,24578,31916,31312,21913,28181,20844,19958,20586,28491,,2385971,2690380,3156626,3089487,3126722,2449816,2534142,2483725,2020393,2356796,,192871,170534,188435,181401,164024,185441,195478,192042,234018,266985
702000,"Articles of glass, n.e.s.",10994,10888,8364,9247,14161,15811,20891,22281,25928,27938,,102232,104266,156720,137914,123713,140486,188922,208629,228254,262208,,106432,249140,417102,403940,340792,429011,411371,415510,550479,557067
291612,Esters of acrylic acid,12214,10875,12650,11409,25664,24770,24733,20353,26751,27886,,277215,301962,214861,159323,166051,175025,208944,174652,147506,234040,,90127,76747,84376,67466,72215,75498,77585,75821,86800,142462
392073,"Plates, sheets, film, foil and strip, of non-cellular cellulose acetates, not reinforced, laminated, ...",72,434,2714,272,1322,2942,13016,9519,23400,27865,,12979,18900,29310,71388,190659,192341,252018,139281,152281,151130,,917613,708402,642208,492447,499493,467653,509444,427453,455027,459298
291020,"Methyloxirane """"propylene oxide""""""""",195,195,252,0,0,34,259,11999,7948,27822,,12983,13675,11097,10008,7449,8616,28406,162023,171587,246584,,155738,142586,148418,116363,96442,119948,123467,109627,107696,234331
284700,"Hydrogen peroxide, whether or not solidified with urea",5202,7232,9970,8129,10745,15553,19739,18856,24823,27427,,40803,52245,51928,50113,61198,65041,76436,71085,78418,68933,,22839,26980,32078,27043,24157,30033,34413,32939,44093,47306
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,8971,12083,10478,7421,8026,9591,34837,33476,35519,26666,,163776,183290,175916,165991,172789,166185,167388,165262,154798,194844,,189973,169826,224146,186236,205908,202204,255828,236644,233183,237508
790120,Unwrought zinc alloys,6718,6609,3668,4527,8631,14873,10531,14220,16679,26294,,165544,182457,214225,258574,283713,413500,461961,338479,277417,432195,,57716,72079,67412,54669,67300,90023,98855,83613,69232,90619
848610,Machines and apparatus for the manufacture of boules or wafers,5554,5465,8882,4521,485,1274,2519,13017,12905,26288,,58061,93342,80564,65215,73433,71046,103977,115147,132196,176927,,533569,471444,337818,385440,500430,409034,370959,439162,429757,686272
740921,"Plates, sheets and strip, of copper-zinc base alloys """"brass"""", of a thickness of > 0,15 mm, ...""",10294,6850,9864,10115,10767,18296,16722,14153,15599,26207,,268734,284690,293319,222694,200844,267250,285704,237522,217821,312598,,14921,10787,13349,13128,12416,21088,19102,16802,16828,33956
50510,"Feathers used for stuffing and down, not further worked than cleaned, disinfected or treated ...",27825,40513,22621,31754,38351,30306,34839,29872,28730,25454,,139842,242737,178121,92842,90759,50075,60195,55788,39819,34794,,198934,232150,201100,137601,132348,155912,175588,172554,117489,133707
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",16443,10478,23879,26074,38204,13603,13250,51722,16496,25034,,1605855,1151003,1233228,1054998,919101,1004388,911510,993040,1256458,1294579,,250888,259217,267559,191077,162814,180396,139422,233439,137072,204964
390730,"Epoxide resins, in primary forms",17989,18452,19982,16798,17620,18637,18323,18291,21109,24485,,557809,645485,683063,652505,614323,738539,885300,858517,847258,1641685,,146496,125297,123625,110997,103416,109217,97498,88768,90909,110243
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",34780,37369,29848,25184,27117,26700,25583,27004,24607,24422,,668122,663561,726809,546779,497576,509775,529020,490421,401629,463775,,101224,89634,83613,80096,73803,82570,78938,79733,77487,81370
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",27724,17628,14413,8644,11404,19247,35211,40094,29818,24305,,2308729,1633965,1729466,1296941,1579533,1262091,1173496,1175432,1522601,2001367,,1956374,709248,572611,76403,71809,89874,86222,77735,150365,513560
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",12202,13362,15119,18332,16397,17048,22286,19242,19591,24185,,382420,390464,497543,498535,510689,540387,559775,579963,499846,719015,,541174,555874,558768,597116,602689,680336,618867,668118,781299,689013
