Product code,Product label,Australia's imports from India-Value in 2012,Australia's imports from India-Value in 2013,Australia's imports from India-Value in 2014,Australia's imports from India-Value in 2015,Australia's imports from India-Value in 2016,Australia's imports from India-Value in 2017,Australia's imports from India-Value in 2018,Australia's imports from India-Value in 2019,Australia's imports from India-Value in 2020,Australia's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
730539,"Tubes and pipes having circular cross-sections and an external diameter of > 406,4 mm, of iron ...",82,0,30,0,4,0,0,0,20,43020,,3278,115,596,245,142,1082,412,1072,262,5159,,12053,19182,1545,1335,5419,1423,4232,5616,1833,45380
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",437,403,702,4956,3640,18668,36066,15681,23801,37748,,179385,261105,259885,246400,251185,226306,227065,303357,243636,281869,,58211,117487,110813,116732,89594,143909,206785,176192,145348,218493
732591,"Grinding balls and similar articles for mills, cast (excluding such articles of non-malleable ...",2927,3469,2790,2224,6312,13779,22055,24892,30050,37135,,138834,163120,172831,162823,152234,172339,227146,190895,221844,215326,,50413,59831,50878,50444,45150,63399,80599,88918,80089,107314
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",4072,6466,3335,1833,3912,2398,2818,3330,10695,33127,,241957,339044,439100,431308,503140,659179,777533,933225,879554,837563,,58671,52122,52990,64489,61666,81396,76252,54222,64681,102047
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",137679,172059,170521,90658,40707,27611,15971,17895,24712,31074,,2634205,3540087,3236803,2948191,3395703,3476198,3261097,3178158,1947229,2914608,,1402879,1408787,1299312,1494172,1535607,1854685,1637121,1405862,1109353,1634672
630231,"Bedlinen of cotton (excluding printed, knitted or crocheted)",24882,15914,18404,19560,18448,19494,15524,20041,21114,30152,,276036,156849,158866,217638,261856,317749,287146,243868,196684,855186,,147972,145389,148420,167773,155229,164133,173693,159427,169637,194023
401170,"New pneumatic tyres, of rubber, of a kind used on agricultural or forestry vehicles and machines",0,0,0,0,0,18851,18284,16173,18661,29649,,0,0,0,0,0,486921,693075,669986,739012,1111596,,0,0,0,0,0,57936,56093,46701,50561,75758
760120,Unwrought aluminium alloys,0,0,0,51,0,667,724,12097,14384,29120,,116081,193627,212499,189763,194836,287185,740106,782216,617228,1791398,,49246,106394,121677,116539,100701,104448,115048,105089,99454,188932
630532,"Flexible intermediate bulk containers, for the packing of goods, of synthetic or man-made textile ...",9049,9876,16059,16274,15070,18658,23043,21429,19249,28042,,268511,388432,505699,477118,428516,547805,728061,702569,628170,983184,,42852,39409,46204,46523,40358,42397,50201,46926,43957,56428
870193,"Tractors, of an engine power > 37 kW but <= 75 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,11962,13695,10101,16909,27419,,0,0,0,0,0,356814,573181,417765,418061,723517,,0,0,0,0,0,111819,112750,75037,94741,162990
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),8306,8543,9873,9559,8829,12129,12735,14580,13684,25912,,710583,646363,666260,596972,518380,524761,490350,574204,461810,623947,,69757,73829,64449,61255,60494,65356,76437,76308,71937,124797
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",9112,11141,11606,12208,12957,15083,17152,14050,15430,23692,,378979,417573,397740,410539,428141,444852,516732,544251,559821,855390,,443212,465384,494440,484143,482047,484796,492654,497028,483508,573046
850440,Static converters,7285,4712,4841,7887,8366,18918,26797,21188,16092,23625,,390819,336518,453310,508547,526546,553917,741975,1186041,1057914,1300034,,827891,680313,685075,636871,613036,812419,940969,924643,1043855,1211751
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",2,0,0,0,0,0,0,0,0,23485,,145541,29203,19654,17481,18142,16146,22272,28104,24110,515694,,3253,16735,23024,27528,18291,51627,98250,91351,57241,113640
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",633,831,1346,1612,2714,3546,6115,2362,63034,22346,,95878,105844,135904,168815,182889,421277,630572,515734,559177,677536,,2184258,2480088,2337434,2512110,2806665,2975447,3501969,3481121,3392145,3411434
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",8697,7133,9163,10514,12124,14561,18821,20801,20144,21797,,133745,144882,147168,150180,180294,195618,236362,279344,290057,400913,,365708,294328,291284,243469,251669,289573,341718,353586,361513,410951
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",28,29,0,13,36,5503,25625,0,14073,21668,,363143,540578,835521,762772,1212961,1449285,1939053,1949811,1413898,961457,,8049430,8740167,8097504,7472391,7950702,8698935,8570426,7434583,6129896,7697220
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",4916,5632,2849,5643,7823,7993,3801,1651,4000,21116,,189325,346857,323883,351237,436490,482973,530013,703611,759088,931653,,126601,140829,117527,214754,162314,129951,90838,65861,95687,123515
730630,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel ...",2011,1629,3805,16070,6531,11127,20268,28295,19527,20189,,90982,187960,183853,152181,128543,181637,259088,281602,208032,400268,,125459,80820,75272,71558,65233,93701,113296,115661,100632,143322
210690,"Food preparations, n.e.s.",9375,8188,8977,8995,9346,7268,11355,12709,16796,19729,,130304,163391,168442,174761,191194,215421,277178,358210,415972,535211,,1210138,1265084,1224440,1193919,1206955,915116,1122181,1459633,1397965,1556710
847050,Cash registers incorporating a calculating device,166,13,0,93,6,8,7,100,10341,19694,,125,673,447,236,1861,9292,3148,4028,20323,56403,,99193,85588,105646,130964,165714,105269,98327,89523,90665,122907
611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excluding hats)",6052,8550,5358,6068,7648,8252,8649,11397,12797,19367,,447808,545549,583756,590149,655472,631597,646901,708922,624402,790976,,110818,109179,125214,134079,126343,133367,125193,126506,127697,161051
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",6853,7033,7516,8769,8974,9974,11418,11743,12719,19029,,99096,108050,107903,107879,143686,136952,137243,126076,139406,163973,,346797,377185,377569,352966,374198,410589,449415,488920,496921,564975
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",6586,8086,10498,13282,12721,12446,13798,13817,14787,18357,,180516,266356,296006,338480,370163,389811,443564,465642,477819,734270,,189765,195120,206521,214753,208384,238728,257536,256739,279916,306258
420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",8727,7034,8296,9635,11977,11436,14531,15148,11396,17370,,333014,394380,416302,394978,375229,421074,412198,421557,292568,353039,,146039,166854,195527,216149,245458,273769,314043,306989,276498,350164
90111,Coffee (excluding roasted and decaffeinated),18974,16950,17053,16775,14313,19007,17683,14738,12766,16463,,610280,562895,534476,535314,546068,635131,512358,499454,461426,622910,,288749,228585,260614,283771,268842,311851,287262,276874,264963,337105
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",9448,9970,7124,39009,17133,41694,14593,5298,4467,15468,,153962,409961,382025,419313,436186,446880,493307,493773,561007,623993,,701781,48332,35723,64314,67177,75491,60226,43037,73769,98535
711311,"Articles of jewellery and parts thereof, of silver, whether or not plated or clad with other ...",10175,11876,11206,11691,11563,10890,12249,11724,11030,15407,,923994,1029908,1864719,2598714,3347527,4394702,826466,1188230,1979404,2122107,,165070,192061,195634,203230,206816,227379,202868,154841,169136,185052
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",2,0,0,0,0,0,0,0,2607,15326,,26322,57955,30636,131049,127340,153001,220570,283964,688830,902020,,45,56,128,42,4808,53,166,141,18246,141965
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",1487,1650,1662,1256,2065,2146,3044,3248,2261,14973,,57761,67769,65719,55334,56441,79916,94409,100458,99897,269270,,151621,166043,155125,133609,147222,167471,171938,161985,146142,184988
871130,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",716,584,6929,11129,8911,10982,9205,3013,7172,14487,,27510,36464,73863,69041,59866,169075,169858,139540,192052,354262,,110852,120897,103243,84710,88334,105937,111461,85635,70354,131220
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",20206,21500,13911,12717,10125,12890,16835,18504,13154,14462,,683958,776020,717671,700991,707026,769065,776176,880138,762891,848704,,1137469,1159139,1235749,1257267,930580,909625,998002,872768,886825,1146437
90230,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",22423,19043,18055,17479,18101,15949,15391,13519,14058,14393,,49391,75126,64407,63491,66267,75408,63948,70115,86637,94402,,87158,91526,92728,83166,77705,83561,80390,84196,82569,87197
420100,"Saddlery and harness for any animal, incl. traces, leads, knee pads, muzzles, saddle cloths, ...",9309,9418,9774,9193,9731,9709,11058,8872,8258,13990,,101450,153162,164691,146682,142912,151470,160283,155275,162149,263545,,42027,41493,46234,43626,47031,48990,55165,48655,51431,71429
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",14024,16813,11723,10808,7876,10320,16087,14354,10844,13166,,489952,530086,454654,581223,619762,740627,764425,771431,658417,956540,,621085,664346,696161,619337,566386,558987,633708,588046,593315,728831
130219,"Vegetable saps and extracts (excluding liquorice, hops and opium)",3502,2998,5836,9748,6963,11091,16771,16375,16856,13146,,178720,254907,261177,269058,278126,254342,284334,321711,351777,392236,,35962,38723,42700,58888,49616,57375,80220,67024,70897,79075
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",3105,2548,2353,2676,4433,7316,9127,9989,10711,12896,,367952,398701,327180,305891,244175,270916,301816,262002,273088,421512,,831788,817137,731025,460515,494084,251071,273465,300333,241978,319897
300420,"Medicaments containing antibiotics, put up in measured doses """"incl. those in the form of ...""",17057,14236,14664,17946,12028,15943,10536,10306,14399,12802,,873003,839679,911596,976171,931220,950691,1010058,1100619,1213566,1062251,,480537,410277,291815,180652,160070,181173,142966,140354,142759,114802
841391,"Parts of pumps for liquids, n.e.s.",4707,3389,3480,4360,3804,6779,7586,8338,7709,12736,,194290,262948,290885,264827,245696,366397,358393,378309,304760,467010,,183738,169289,184196,151068,148012,185871,201001,201845,175898,202005
710490,"Precious and semi-precious stones, synthetic or reconstructed, worked, whether or not graded ...",9,1,7,14,14,35,76,1894,5944,12591,,26520,20966,27536,33929,86848,217225,262850,449645,532594,1188457,,730,651,504,613,906,909,1263,2639,9833,16839
570241,"Carpets and other floor coverings, of wool or fine animal hair, woven, not tufted or flocked, ...",2023,2874,3594,4575,4805,8180,7983,6983,7752,12469,,26679,26216,11844,14377,15211,18067,24351,28003,31534,43124,,6738,7263,6936,8639,8172,12975,13919,13105,13332,18939
540233,Textured filament yarn of polyester (excluding that put up for retail sale),450,1296,1926,5507,5549,6083,6400,7328,9092,12379,,703542,895152,802077,742488,713530,783795,864692,734830,460898,767295,,16244,20397,18024,14109,16363,17514,18251,25033,27243,32438
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",9426,8905,9411,11132,12686,11231,13989,12513,6818,12276,,200959,233983,257622,257312,221771,285951,298605,310833,244292,319196,,435317,430919,440696,441595,421508,434880,453049,475047,356667,450550
732393,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excluding ...",7094,7342,7233,8227,8883,9602,9902,9821,7606,12114,,224318,313294,359353,331081,318734,348671,322287,363674,321511,461475,,96571,100101,94640,97352,85404,97583,105676,102568,106854,155327
401180,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,7793,16346,10385,9238,11949,,0,0,0,0,0,225742,369134,386955,345039,534927,,0,0,0,0,0,606780,780176,862347,785971,761094
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",1389,2449,1631,1657,3094,3817,6979,3968,4240,11870,,47661,48520,39719,54891,83047,184751,210222,297742,303981,354162,,515659,536594,502045,393604,332086,412085,494758,419155,415231,623605
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",3858,3954,3938,4810,5009,9799,12754,9932,9310,11836,,483309,527760,584914,658517,671755,719097,820139,738432,609702,980092,,249074,246107,257258,260900,238450,281389,296784,264586,268958,312668
570299,"Carpets and other floor coverings, of vegetable textile materials or coarse animal hair, woven, ...""",2770,2235,3445,6140,7096,8667,7853,7997,8675,11552,,15375,20747,37707,40756,50007,54978,55639,54820,57808,94320,,5814,5721,7410,10198,9879,10673,10009,10446,12491,16053
300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",0,0,0,0,0,8945,6764,6114,5624,11491,,0,0,0,0,0,10632,13843,16582,18796,25678,,0,0,0,0,0,114529,104075,80513,37985,41150
570390,"Carpet tiles of vegetable textile materials or coarse animal hair, tufted """"needle punched"""", ...""",10954,8886,8790,6224,6011,5421,6721,8997,10145,11200,,119928,121603,116374,155414,185551,195605,215733,213995,232500,338622,,13717,14709,12680,12110,8964,8481,9800,13143,12989,14045
950699,Articles and equipment for sport and outdoor games n.e.s; swimming and paddling pools,7181,8152,8338,9165,9012,7410,7617,8056,6979,11154,,72856,92448,106812,83415,81048,83015,109205,99803,81246,97050,,155535,155143,158061,155931,144967,150302,149929,154701,167516,231015
621142,"Women's or girls' tracksuits and other garments, n.e.s. of cotton (excluding knitted or crocheted)",2146,2461,3166,3125,3864,4574,5516,6064,7022,10887,,224569,258378,307292,355611,344151,404324,362980,356086,248216,331723,,30089,32673,31691,29760,29159,33738,33803,32988,30218,43077
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",2744,1329,3381,5536,3921,3305,8535,9374,3808,10843,,394209,384015,418025,403307,373271,413000,483891,489349,475355,723458,,1517536,2163714,1516504,1896507,944575,599599,814894,687706,766640,1055814
610462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton, knitted ...",5741,4473,3927,7247,7445,8806,7967,8339,7245,10703,,104331,116283,108288,130263,133213,131191,108143,99781,90336,147656,,74382,76329,81385,77965,88136,93064,98596,96832,97991,136327
630520,"Sacks and bags, for the packing of goods, of cotton",6845,6129,4383,2799,4059,7417,8878,7091,5142,10701,,27753,27109,29391,35968,40229,44476,46286,49892,33132,54990,,18215,12795,10771,8296,10735,14170,13610,11463,8435,15250
620630,"Women's or girls' blouses, shirts and shirt-blouses of cotton (excluding knitted or crocheted ...",5759,6649,8744,9003,8931,10432,9253,8992,7302,10658,,822359,887863,742463,672950,592520,615216,566054,489479,355108,435928,,109817,98088,84550,81839,72947,73887,73628,69122,52621,75590
420231,"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...",8743,9539,11499,11526,13314,13555,14840,14004,9586,10462,,396979,493492,486457,482674,467932,460250,485669,480434,280193,350265,,59236,68996,70971,68199,78556,84629,86765,81609,52574,61611
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",1582,2083,2499,2394,2336,3932,4402,5282,5945,10433,,93130,125587,124953,115777,118654,132787,174322,196278,140208,202604,,171156,193042,193755,186448,199393,230239,251281,265483,275397,406885
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",1884,2278,1089,1880,1732,3671,5628,5975,6807,10167,,266956,293987,331985,243862,224817,281757,419138,379748,275918,538925,,1034461,804278,623953,541078,471323,644629,857601,829105,932388,941738
630221,Printed bedlinen of cotton (excluding knitted or crocheted),2348,5614,7574,6473,5343,5840,6049,7468,6910,10146,,93200,30114,44001,18194,13774,7808,16676,43796,21897,123872,,54608,63655,71896,65447,62919,54839,53346,60581,73478,87207
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",3729,4230,5437,6106,7602,7832,9764,7774,8668,10039,,65900,85346,94441,52384,36258,43469,55192,59666,57967,83327,,156852,102575,109136,82767,73544,82875,94546,103415,90819,126322
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",6539,4984,4608,5939,4699,5869,6084,6261,6114,9989,,2528274,2588978,2696063,2462318,2379582,2483453,2769665,2633065,2128311,3072828,,732814,658707,572171,520313,469408,452920,453951,442165,387207,509404
210390,Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya ...,3422,3810,4627,5997,6280,7377,8009,8679,9526,9987,,19451,30552,34016,36725,46264,50197,54720,63503,69612,69926,,260401,274297,273665,263140,271150,288362,315512,315532,348018,357483
292690,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine """"dicyandiamide"""", fenproporex ...""",4893,4104,4334,4414,4071,5612,5145,1331,3283,9975,,33170,38072,41758,44057,37709,61162,65878,64905,76304,96400,,22191,22284,23303,22190,25547,26023,27294,33303,33651,35043
293299,"Heterocyclic compounds with oxygen hetero-atom[s] only (excl. compounds containing unfused ...""",6679,8432,9223,9849,9348,7846,7705,6241,4955,9916,,81163,169336,157149,156194,152359,134028,124800,127904,151325,164190,,26249,21809,87670,37833,59663,78460,72701,37812,25254,27843
853620,Automatic circuit breakers for a voltage <= 1.000 V,5734,3559,5147,7517,7825,10336,9919,9798,8108,9845,,56307,77873,108255,118982,114239,131968,156692,155249,147468,217324,,140456,106182,101519,87791,92637,109105,119435,120215,120248,148440
120740,"Sesamum seeds, whether or not broken",8233,11460,15160,9588,8401,7283,8357,11491,11380,9832,,517673,632196,813602,476645,415152,435302,531449,528715,447843,421536,,9753,13932,18720,12034,10267,9628,10789,14737,13643,11586
293020,Thiocarbamates and dithiocarbamates (excluding inorganic or organic compounds of mercury),189,74,77,71,50,102,937,9063,26799,9755,,1791,4920,2153,2933,2706,3455,4735,5707,11543,11204,,26549,22577,26477,39930,33354,28904,34953,35474,75858,26112
620449,"Women's or girls' dresses of textile materials (excluding of wool, fine animal hair, cotton ...",4449,3374,6138,8172,7385,9805,9465,11181,7811,9634,,74701,55487,70279,71027,93755,85153,103487,130851,121678,198329,,49222,44302,41979,42260,40904,44851,60526,73267,68252,109745
130232,"Mucilages and thickeners, derived from locust beans, locust bean seeds or guar seeds, whether ...",64583,23141,13002,6972,7414,7654,7929,8036,6369,9484,,6187315,2618434,1917152,744135,464476,653063,702926,531215,261049,339415,,72407,35123,26950,11053,12057,12563,13977,14543,13879,20663
441990,"Tableware and kitchenware, of wood (excl. of bamboo or tropical wood, and interior fittings, ...",0,0,0,0,0,2188,3458,5405,6013,9427,,0,0,0,0,0,4914,7668,12390,16559,56642,,0,0,0,0,0,21410,25930,26731,27215,51654
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,1622,1383,1682,1340,1652,2946,6507,4356,2054,9376,,22228,30482,38095,31342,25921,33555,59768,62436,61885,64567,,80007,83686,79200,77682,66614,73537,86227,84549,81016,99960
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",16276,11465,11368,9985,7372,7134,9085,7572,7933,9376,,165341,223035,201544,187682,202980,219232,264940,295998,266948,376945,,169721,142521,149821,131717,121825,145804,128511,118166,120479,135490
732599,"Cast articles of iron or steel, n.e.s. (excluding articles of non-malleable cast iron, and ...",2012,1632,3291,2169,3198,5396,5759,7808,6029,9352,,889212,889413,823029,755401,643104,660247,745187,766932,665278,839304,,44993,45810,47381,40332,39124,47828,47997,42988,33394,42266
630492,"Articles for interior furnishing, of cotton (excluding knitted or crocheted, blankets and travelling ...",5261,7177,7687,8560,7476,7157,7646,6635,6072,9229,,659887,684533,595325,587346,631271,701771,733747,729104,679906,1272326,,12673,13945,13438,14522,13183,11972,12893,11542,10378,14143
200110,"Cucumbers and gherkins, prepared or preserved by vinegar or acetic acid",4179,4903,5874,5948,6459,6200,7946,7523,9441,9048,,113800,118202,132965,98451,90775,94535,135722,108624,137096,135242,,6661,7621,8832,8887,9695,10023,12048,11241,13691,14022
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",2999,6226,2044,3486,5020,2256,15645,3475,3071,9023,,19346,51331,93024,66202,138272,199452,275874,192188,69627,37141,,2753722,2499632,1841353,1627544,2006416,2261018,1700563,1266688,961949,1220860
842951,Self-propelled front-end shovel loaders,0,49,0,1748,2083,2648,3557,2331,4091,9013,,17025,38214,37755,80916,36318,59210,75883,63657,66539,95320,,804816,390739,322915,278919,288083,468809,565864,471690,511144,775655
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",4249,5054,5805,6960,6867,7832,14401,9437,6004,8878,,7194,6419,8553,7002,6996,7742,8924,12190,11479,21347,,370160,381109,377606,371580,336893,364681,466931,391636,316704,386173
630291,"Toilet linen and kitchen linen of cotton (excluding of terry fabrics, floorcloths, polishing ...",6661,7423,8179,7079,6012,5914,6840,7250,6897,8815,,43102,52725,69125,39266,34365,22626,35284,42023,31791,38974,,20546,23906,24546,23609,22089,19984,21703,24624,17282,22385
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",2284,3073,3086,2367,3209,3380,3667,4176,5887,8798,,294552,304207,257556,234768,184031,197930,199211,228166,161905,194279,,330670,318532,293701,293972,280854,290515,297991,285141,245805,317008
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",8127,6821,6973,9150,7457,7422,9283,8943,5986,8769,,824845,948870,942454,915170,887773,843125,789502,829724,508480,570906,,236181,233246,242613,237367,221903,219764,228191,216030,157515,190419
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",2864,2740,2665,3053,4704,5171,6228,5755,8034,8608,,264713,365151,338342,401864,519264,603296,474474,393917,312340,408444,,183327,196891,218735,232560,239476,256294,278734,282997,1563043,506463
722240,"Angles, shapes and sections of stainless steel, n.e.s.",2538,2466,3669,3224,2920,4128,5220,5008,5334,8591,,137062,144486,136245,170255,114714,134534,153716,149257,123893,198942,,12303,11125,9297,8761,7421,8104,9388,8160,8219,12036
380893,"Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings ...",1805,2966,2739,2600,2338,1774,6142,3691,6862,8551,,221887,341168,333063,464364,582219,695400,891714,1134498,1247832,1627265,,366731,403229,419196,360043,448908,498987,448422,285853,547755,786727
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",1985,2744,2456,2598,2340,4009,5064,5353,5811,8528,,308609,367423,337138,294956,287336,378416,476973,456390,394650,517727,,138625,135098,131237,131128,114428,135017,151812,155740,145835,172557
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",973,1038,1337,1988,3343,3419,5025,6682,4987,8522,,305368,354840,355140,339202,321917,335218,398541,473973,355395,405645,,66534,75082,77721,68238,62696,68214,72072,71915,62805,79155
291899,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and ...",3017,2881,2964,2135,4417,5724,8704,4434,7014,8500,,36156,44013,53965,47496,53124,57216,71324,90357,226132,228359,,49371,44251,50060,54401,50199,58639,44006,31861,64624,60143
380892,"Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",9332,8327,6802,13593,25332,26837,6113,4709,10047,8489,,257096,346390,351073,416013,512220,515282,591995,600224,664789,848442,,100946,76599,78064,79181,124476,144674,97061,78829,105200,139846
570330,"Carpets and other floor coverings, of man-made textile materials, tufted """"needle punched"""", ...""",1756,1737,2258,2215,2818,3498,3889,7510,6977,8404,,58983,88734,88578,107730,134050,141693,131158,142315,154238,220464,,79066,77244,83909,86251,92080,86368,93068,89599,87487,83022
