Product code,Product label,Germany's imports from Singapore-Value in 2012,Germany's imports from Singapore-Value in 2013,Germany's imports from Singapore-Value in 2014,Germany's imports from Singapore-Value in 2015,Germany's imports from Singapore-Value in 2016,Germany's imports from Singapore-Value in 2017,Germany's imports from Singapore-Value in 2018,Germany's imports from Singapore-Value in 2019,Germany's imports from Singapore-Value in 2020,Germany's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,0,0,0,0,0,23651,17439,5754,198570,118190,,42897,1399615,38040,62085,66273,57631,1230,8876,9491,30936,,4912785,3079174,2098776,678626,1588619,1634208,967734,828333,750903,1211391
902140,Hearing aids (excluding parts and accessories),65424,70164,61066,69498,81545,66300,68986,78369,91007,101783,,344291,381128,349865,362369,366499,379201,490488,478396,444699,479390,,348920,492920,354693,409701,408390,401281,439392,472590,432941,512247
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",304811,390967,476199,431493,271607,64818,77110,61849,48397,93269,,32593041,36923372,34592377,31382566,29461621,30799589,33383703,35198135,37437353,43377318,,4627213,5405380,6392439,6285953,6034791,7578905,8297348,7012100,5325219,7080492
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",469250,572702,551045,456286,332517,88020,103872,83228,56563,92078,,30265681,30754038,32528513,31067810,30028051,30717816,25520497,21203799,26221004,39605010,,4900727,5121156,5584917,5472660,5996350,7615600,8595964,7964251,6601732,8068467
999999,Commodities not elsewhere specified,130199,196438,171978,134187,153682,462065,111689,152559,102876,91529,,33425321,33134541,32228728,19839221,15954456,21238978,26466439,21528516,20297849,24576928,,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",9472,10993,9645,22133,26841,31373,44831,68129,78427,84497,,406337,458246,349921,477364,388006,400468,427455,450497,332115,805684,,1151675,1125113,1320622,1303927,1405089,1498820,1550633,1472790,1454777,1651948
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",15261,38294,62425,43441,45152,64049,114963,122892,108305,66219,,312865,403283,547263,508735,582981,678669,932011,1017620,1224953,1260138,,938302,832221,1032441,918450,1002584,992118,1198574,1247508,1169569,1368404
293590,Sulphonamides (excl. perfluorooctane sulphonamides),0,0,0,0,0,1144044,1284787,76165,70866,63872,,0,0,0,0,0,0,729673,766971,529429,837773,,0,0,0,0,0,1780553,4592567,517460,484004,346127
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",252587,146833,109062,84455,68517,91404,124109,63421,56286,61979,,6107660,5670055,4693435,4632247,3954257,4283840,4195562,3812250,4550108,6217790,,6457439,6621388,5714381,5011767,4619504,5310193,5857290,4729365,4907744,5410377
830260,Automatic door closers of base metal,27987,29834,31561,25605,29755,32210,45219,52179,54256,60971,,73057,87000,107170,77651,71118,77267,103666,98657,91979,111956,,77688,84985,85424,71815,83254,87251,104414,96196,93963,109802
291532,Vinyl acetate,21,0,26942,26230,14129,11203,15796,18245,10411,60852,,177914,276634,571799,397845,323271,392320,505877,318903,299620,724457,,105052,159170,240004,231677,173197,186479,221585,172707,162012,300180
900130,Contact lenses,29955,27709,32638,27400,21588,24728,23005,29296,57501,51990,,438896,591776,527599,526355,589547,593365,580110,726015,737888,605398,,277632,313643,317927,296961,329350,450968,452544,500455,498084,585409
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",17491,18440,24482,18665,22280,31073,19802,18486,27142,42560,,377761,388467,411473,397389,279913,480041,303315,602424,640311,275942,,374157,412004,425144,372726,384019,482892,579384,540618,510851,635133
850760,Lithium-ion accumulators (excluding spent),458,5196,9367,10851,12560,24943,30045,36719,33988,42454,,174389,226428,306796,363701,380092,567530,702980,801332,742839,871766,,565425,676968,1031521,1313127,1614343,2247410,2857808,3707772,6406589,10321283
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",13596,11098,4895,10243,21998,30094,20061,18416,35721,36967,,309353,381088,480270,414981,421264,437811,438998,449502,441121,787198,,1536216,1987472,2261777,1961432,2046728,1903369,1953181,1821686,1964773,2387555
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",23760,23394,23089,20316,20108,22838,25488,29341,24286,34632,,1010321,764070,758536,543104,529197,668938,742218,710316,680441,804828,,3873706,4246750,4750670,4228530,4389335,4859562,5329085,5271580,5295664,6478434
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,11499,39125,13457,19426,10464,14928,42627,27172,23548,33026,,502578,645538,485507,557515,775636,990014,1183661,1274661,1264816,1978671,,103843,150028,81404,99578,41590,103807,94649,91522,77956,103421
848610,Machines and apparatus for the manufacture of boules or wafers,1420,10489,3953,3844,15843,38983,32872,25254,7866,32946,,336959,908784,288382,149391,336149,512463,477534,306384,84959,88984,,93758,69918,55549,66467,97313,101410,114459,86661,59425,93154
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",28868,38113,34544,20196,23088,24530,21140,20660,28370,32024,,17937,107873,408456,704900,782362,954820,1152932,1410871,1550530,1368611,,413945,437237,491059,430880,448630,441910,465072,469321,736105,627551
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",25438,22664,27342,27124,25946,29705,41501,42020,33483,31848,,709858,692220,858308,831980,912917,1021138,1031339,1150354,1159582,1277402,,1084208,1054348,1085434,1073277,1070489,1195827,1253240,1159054,1197664,1319956
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,11865,8752,14333,15682,18069,29624,34043,39565,24678,31545,,170213,280538,346987,384206,479826,564080,768529,1070021,1402092,1193432,,666303,809323,788715,778791,871622,849779,877428,1002767,843682,929176
902150,Pacemakers for stimulating heart muscles (excluding parts and accessories),14772,48296,61991,79656,61597,99376,62057,65165,49545,30316,,54300,60586,105521,218010,218893,212770,114934,112162,60386,139422,,482778,512583,663474,767894,715012,526982,359299,443718,386319,367621
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",18794,21079,24825,12106,11683,20046,23031,18255,18702,28324,,267700,246794,204386,169412,141284,157382,180554,197387,122492,180250,,3749614,3215934,3329652,2481638,2263790,2737813,2949704,2777190,2598999,3926054
854232,Electronic integrated circuits as memories,90667,91698,68119,45085,40596,84484,47537,20163,28054,26533,,6121221,7887599,8885988,8811101,7726246,13654452,19637140,16602538,17741513,23117527,,1093770,1127882,1230584,1110474,1049982,1504847,1969514,1435166,903952,1043284
853400,Printed circuits,77551,32217,57119,27685,20885,12606,13965,14683,19137,26163,,656601,743971,692731,740055,665735,658194,629727,623681,653253,761160,,1832769,1863786,1957496,1832634,1944249,2070099,2195618,1981735,1772786,2268707
852580,"Television cameras, digital cameras and video camera recorders",2789,5798,11411,4604,8176,6411,6001,14525,17392,24102,,1003207,963557,822841,699686,640315,685186,784790,668982,593216,748906,,2893344,2471957,2244373,1996313,2177759,2380612,2491422,2546207,2648248,2872400
854160,Mounted piezoelectric crystals,18024,10040,9185,10232,13170,16593,20257,22027,16835,24006,,500721,607006,596061,638122,789491,711747,621421,637231,608228,944816,,344120,306024,296694,254619,281058,287754,313978,270842,232657,291222
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,29970,25233,16429,16123,13517,18696,17513,15166,10349,23999,,1095798,777365,707181,1045526,828747,1264362,1378669,1303815,1411821,1801883,,600200,542421,529211,436888,443716,535486,595028,561119,555299,737390
847170,Storage units for automatic data-processing machines,123250,128307,192065,155965,75167,31823,50524,110839,73832,23484,,4094849,3636521,3309054,3154881,2481062,2432233,2074048,2061329,2052346,1990445,,4536304,4169253,4361677,4147970,3981074,4288232,4473312,4456792,4499308,4855114
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",15514,16044,15876,14277,19696,25436,37314,27100,17862,22651,,436045,427363,318502,234186,254355,358398,605066,507219,592285,778632,,548335,598854,628107,589672,726455,876690,1382406,1530662,1130603,1633454
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",145002,61670,60539,52730,60004,68754,71522,32434,16676,22393,,1585091,1501935,1793650,2360783,2606582,2337707,1696560,1543001,1811221,2168139,,7292980,3752771,3153258,2759485,2598046,2779541,3048930,3056328,3117185,3915984
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),55649,48006,32827,29427,28800,32448,32978,22042,18462,21883,,316985,332703,320738,293759,276501,298859,402116,401693,319922,407060,,1798838,1858094,1913647,1736267,1795853,2036686,2218093,2139903,2009083,2391177
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",10843,12043,7985,9714,17331,5373,9468,12490,7818,21349,,124127,110263,122522,116541,111262,118743,100436,107370,98628,90505,,4889352,4830880,4779755,4053620,4260375,4408375,4677711,4227580,3799981,4324695
901520,"Theodolites and tachymeters """"tacheometers""""""""",10953,12317,19309,15866,14388,18522,25871,17918,19686,21139,,6029,11572,34500,22236,45536,107324,130118,94552,106792,138060,,91762,87272,148923,129798,126961,136917,160992,122552,109569,140357
901811,Electro-cardiographs,323,37,44,32,27,16014,27634,24650,20838,19763,,6036,8885,11363,11488,11024,12103,14702,47483,60802,79429,,83369,97405,95146,85407,84642,114270,121780,118262,116723,120055
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",53633,42251,27473,20567,22232,24482,22812,20863,22807,19587,,9857804,13880349,10831876,595642,1147853,11303228,10974129,11453769,15672122,14047953,,1713529,1780960,1387947,1086179,1125727,1277172,1242018,1106921,2036788,2824887
300213,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,3270,0,20024,61713,19528,,0,0,0,0,0,0,1035888,1501154,1089302,1313924,,0,0,0,0,0,140029,60552,156503,464879,374026
901190,"Parts and accessories for compound optical microscopes, n.e.s.",15656,18976,20854,13208,15766,18172,14326,13934,15488,18465,,215526,209099,176972,166300,173983,164179,164165,158284,133550,93525,,93291,102423,102840,81883,83582,90920,104200,96823,104456,141050
292149,"Aromatic monoamines and derivatives; salts thereof (excluding aniline, toluidines, diphenylamine, ...""",74,0,64,0,0,129,0,2429,17952,17844,,1622,2231,9628,62143,28235,29339,63715,51885,64497,50056,,72825,123141,132691,91017,75201,99423,136452,153153,96031,127966
901320,Lasers (excluding laser diodes),6712,6978,1527,2210,6029,12628,15869,17580,16066,17456,,54163,66641,99481,110358,137044,185387,206816,246791,290519,346836,,404193,403200,475638,491921,529740,724417,747439,717165,716758,922714
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,33461,33193,51289,50972,31847,32120,31285,25738,17569,16324,,8646666,6990269,6183039,4721034,4169649,4438718,3871354,4154481,4064225,3797731,,3995623,4027707,4811422,3941190,3720491,5654679,6010004,5033156,5368966,5388664
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",10500,3873,4306,17887,15566,15347,11784,11232,9893,16028,,733032,548322,584865,520248,472364,539467,561239,481623,377850,526726,,1605637,1585542,1404047,1199905,1062890,1133790,1219176,1053254,960558,979320
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",155438,203589,169883,156950,144003,58079,86521,23140,20416,14924,,1770723,2894345,3161155,4026552,3634707,3474473,3650442,2560947,2393866,3453632,,1996911,2030978,2446208,2497669,2583147,3272641,3756810,4084370,3950155,3915795
280461,"Silicon containing >= 99,99% by weight of silicon",66,1329,2837,2137,8666,7683,11701,7720,7293,14727,,1816,1391,6139,11141,21478,28193,22437,11324,8883,15543,,157089,48760,353846,117858,97827,106261,32050,112490,166076,162567
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",13351,14584,15421,17892,15982,19104,23631,16009,21019,14094,,814902,890079,1013168,972547,1107486,1177684,1412015,1196896,1061668,1172628,,3842113,4691157,5341384,4847051,5569694,6323418,7419554,7502001,7302620,8143768
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,3426,1188,47,10517,13644,,0,0,0,0,0,0,605887,202018,475992,298545,,0,0,0,0,0,8713019,9600541,9996793,12039996,15918955
847989,"Machines and mechanical appliances, n.e.s.",7633,9439,33273,32465,18326,32249,24151,24119,21471,13597,,767901,757565,1164035,773613,641656,811243,792359,882291,931523,920757,,1662788,1807227,2164793,1924303,2207646,2434856,2912986,2923924,2939610,2932886
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",24075,15872,26226,33167,29158,41171,43877,36294,21498,13506,,1187383,692280,555395,671457,757979,806156,1005094,1179016,1051081,1222901,,546463,398522,484624,438894,565323,605353,593299,539449,499441,657015
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",37862,35092,32940,28560,16733,12856,13311,12278,15280,13445,,579211,667658,660338,559988,498371,478746,500900,500150,424304,510761,,1692063,1884008,1997113,1892699,2044126,2180825,2267182,2156470,2352292,2635981
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",46447,33458,78400,47018,31521,60131,25393,7901,7703,13118,,11622,14005,93599,91211,90176,92449,73841,31700,35443,33311,,1874107,1834649,1528461,1129924,841621,964157,1174410,1594561,2411413,3723744
392061,"Plates, sheets, film, foil and strip, of non-cellular polycarbonates, not reinforced, laminated, ...""",20,1378,8014,5582,6327,11601,17897,17133,17221,12645,,13375,17515,15491,14967,16524,18991,25740,23810,24802,22006,,102014,103758,125871,132414,118066,128251,143144,123495,156132,149084
281820,Aluminium oxide (excluding artificial corundum),31,18,0,0,0,1,0,0,0,12175,,4528,2281,2120,5917,4010,3908,4768,4339,4511,20808,,237787,356189,301132,247698,297602,381119,471082,375084,297846,418856
901110,Stereoscopic optical microscopes,8781,7255,7532,3577,4461,3797,7717,8732,10953,12061,,7082,8026,6050,7242,8466,15494,70569,83849,67858,131999,,23925,17193,18779,13329,16064,17455,22777,21940,22854,27625
300190,"Dried glands and other organs for organo-therapeutic uses, whether or not powdered; heparin ...",40030,31470,34279,24219,29884,21586,21905,16817,17181,11814,,1077902,821162,731993,521648,366779,328518,478820,673622,606551,822767,,310166,242435,197587,127298,146716,173601,212313,160401,147246,122878
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",17057,15268,15867,18614,21278,16044,11776,9919,11880,11276,,293562,195961,264468,319269,257690,285402,306525,296758,258609,268234,,434374,431332,468631,437879,423883,471342,640383,1031956,1715642,2136206
850440,Static converters,11856,14094,12230,13014,10004,6931,8804,9765,9111,10809,,712137,698510,682372,770272,801162,770060,924430,858456,879673,989214,,3281335,3130175,3179091,2905834,3097075,3578715,4021724,4265351,5110295,6500425
847990,"Parts of machines and mechanical appliances, n.e.s.",2751,4625,9521,9231,8938,7532,7184,8729,11550,10679,,1997311,1610502,1445709,1285253,1109209,1191414,1294312,1268687,1418656,1561857,,1363382,1308227,1397637,1295719,1383117,1440613,1747497,1663057,1608679,1874929
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",385,624,1122,2009,2923,5599,5229,6926,6460,10507,,56156,47735,60504,102352,83038,67556,57080,67903,154443,303534,,919612,1421382,1427375,1267944,1278240,1630023,2001056,2011546,2876911,4412991
848210,Ball bearings,9291,10764,10955,9566,10158,9255,9461,8386,7516,10418,,770405,767885,672510,633911,600342,620792,539537,480830,377948,410162,,1773505,1872224,1955058,1598489,1697111,1871586,2082437,1788617,1452975,1869050
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,8843,10722,5947,9702,8551,9868,12005,9799,9623,10295,,399439,455096,482369,508232,440110,538469,508777,556516,680033,660384,,158486,174791,158695,186786,200054,229977,281815,275180,275884,346851
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",5,23,35,424,88,61,10,1304,8475,10196,,253093,429421,365926,348248,255319,371386,358588,370554,217410,173199,,73789,76636,73547,74611,76724,87450,111909,109901,90631,109622
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",412,1226,1006,957,1167,1474,1659,1568,2342,10196,,254169,409124,381737,297027,332537,343638,385225,398064,333946,359778,,717227,726784,777309,695665,710670,703146,731492,709730,712369,848776
390530,"Poly""""vinyl alcohol"""", in primary forms, whether or not containing unhydrolyzed acetate groups""""",5031,5964,19197,4165,4698,7027,2660,14770,1794,10108,,97831,84894,96365,85148,90692,74345,88400,103044,69083,82031,,93070,94825,129772,100269,100173,107906,121522,129649,123587,147520
293722,Halogenated derivatives of corticosteroidal hormones,1418,1140,1529,1822,2536,5926,6170,10616,9147,9696,,1777258,516691,459601,302977,592758,475537,449529,349843,345950,94706,,14030,18113,20780,18450,18938,22957,23969,28153,27863,26373
847780,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",2107,405,1742,2212,2,15218,5801,6544,5563,9576,,26407,22519,25608,21455,25382,75490,38853,54174,33574,45681,,218128,176048,257768,251295,274308,349017,358562,315109,348821,348382
850610,Manganese dioxide cells and batteries (excluding spent),6751,8342,9553,8575,9002,9240,11065,14264,14475,9245,,235921,247093,286589,236512,251250,261562,315102,301816,308062,334925,,237039,240131,226569,237268,273460,235757,280711,258460,271183,303691
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",9737,26810,40245,12501,1312,2773,5165,6209,6893,9228,,493690,614305,795963,882156,1084522,1349477,1466013,1486820,1375164,1888105,,2864257,3001228,3059353,2852498,2720414,2934306,3005129,2865580,4617220,6563330
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",7822,6009,6536,5885,7697,5141,6045,6389,4854,9172,,1773695,874580,657865,588799,591230,640266,1124483,1353371,1125340,1734200,,1747576,1811962,1930279,1598143,1723315,2067773,2328760,2109560,1881000,2316164
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",15216,2706,623,1993,2533,3846,7474,7404,4942,9152,,425674,380645,398706,340937,300723,314513,336903,310487,305322,351762,,1031298,1048370,1142209,933959,913048,1000103,1097339,1035690,932582,1124222
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",7013,4539,6850,5466,4793,7683,5494,6358,7393,9112,,297584,296633,283890,275904,303253,318690,453953,308629,323635,293760,,736928,675883,654148,501888,512276,590555,664024,585191,649555,721445
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",4154,6322,8402,7843,6604,8258,9654,8445,7475,9061,,314660,287104,358683,343200,376466,399329,544161,522767,526118,709619,,1662236,1762464,2076648,1921558,1940125,1639466,1841496,1822589,1589509,1797277
841191,"Parts of turbojets or turbopropellers, n.e.s.",12762,221070,225169,39767,6194,8552,6394,10371,7463,9009,,1461760,1935464,1878080,2261163,2522016,2888573,4624147,5166131,4076553,4807176,,3443930,4622651,4435026,4416769,4585160,5026068,5825195,7172843,4119021,4893025
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",0,65,1985,5830,14741,17217,12851,9778,7340,8696,,30455,40504,108893,203465,256582,319909,307015,273446,239723,272571,,449033,399299,375172,290964,282835,371101,372386,329199,257607,345036
852352,"Cards incorporating one or more electronic integrated circuits """"smart cards""""""""",30670,11250,8006,2610,4751,8973,6458,3959,6527,8651,,420478,446467,253923,232780,157032,137123,118917,145078,100760,88545,,334691,370545,371417,330749,383446,260196,250075,261228,253684,292681
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,22,196,294,642,2129,4203,8039,9685,9190,8530,,1517479,1777313,1776415,1645454,1736316,1775192,1806480,1731068,1602328,1885961,,570159,621045,682260,649395,662675,674774,693384,631758,648238,672927
848640,Machines and apparatus specified in Note?9 C to chapter 84,7240,9779,6265,8588,7305,11461,10943,7677,9806,8329,,1190602,1017166,1512355,1221611,2048802,3261439,3247936,2803661,4145181,6673234,,68333,58319,134592,78263,53364,155463,99174,110086,88675,127732
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",5623,9845,10045,3382,8059,12210,14104,4097,4520,8293,,377016,629062,810467,1329472,1830931,2799697,2656865,1652974,2263685,2194265,,1023284,1094573,1148127,1090645,1230428,1362160,1201675,1210390,1191558,1352798
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",0,0,0,0,0,53,813,983,3274,8237,,84219,112473,97859,68784,88769,185492,239312,189040,181537,415336,,61048,38685,49399,49303,34336,65758,69690,49060,37212,85830
970400,"Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery, stamped paper ...",604,166,85,24,68,69,47,28,505,8141,,740,793,817,2237,1095,835,1648,2405,1017,8952,,23662,26544,22264,18272,18544,20875,15696,12739,9981,28590
390529,"Vinyl acetate copolymers, in primary forms (excluding in aqueous dispersion)",0,0,0,0,0,0,0,4326,6119,8137,,1935,1186,998,667,805,6471,20094,39015,44685,64793,,55518,64551,62711,34630,37059,36598,41375,48245,46131,61602
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",2272,2367,5078,2495,1128,2187,777,452,1698,7814,,282899,283079,222836,254915,269004,318555,333799,337372,266745,397937,,1069100,1053398,1235429,1087202,1165577,1269532,1509016,1650520,1345515,1309834
391910,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, in ...",5395,7473,63,107,124,137,770,887,1673,7770,,108338,120028,102999,88655,81199,92306,109851,99614,93718,104626,,507463,515071,546191,501543,496900,518232,568643,550850,540930,670688
900290,"Lenses, prisms, mirrors and other optical elements, mounted, of any material, being parts of ...",3740,4052,4280,3470,3610,3733,3823,4324,4104,7685,,122175,208307,104512,140123,110816,139635,383811,220534,154203,460872,,127496,121802,128777,119123,125669,141932,154991,167202,144068,182757
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",6957,8625,6708,10066,7104,7966,9177,6277,4327,7501,,212569,164253,180495,190585,235037,226288,269638,275392,348738,475085,,1958355,2146764,2236922,2119398,2247342,2598028,2634437,2413935,2417138,2936782
841990,"Parts of machinery, plant and laboratory equipment, whether or not electrically heated, for ...",653,2097,2510,2165,2989,1978,1798,1748,12209,7488,,132661,108328,126733,131170,73819,78202,101953,84310,192983,139635,,397662,423182,423977,366440,350444,386457,410953,384725,385378,434908
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,619,726,475,1083,310,3340,2420,1750,3775,7272,,80402,93545,73990,75072,60752,78555,61480,57691,59041,79781,,615229,630417,701101,589372,632227,726737,724291,654763,554542,706109
391110,"Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes, in primary ...",0,0,0,0,0,0,1843,4145,3363,7244,,9582,2888,33553,37199,36533,39543,127599,113860,74651,90652,,195562,195606,219581,215947,194058,201275,225231,189013,174555,172633
880212,Helicopters of an unladen weight > 2.000 kg (excl. unmanned of heading 8806),0,0,0,0,0,0,0,0,0,6992,,86330,259732,131231,189183,99645,97525,40425,46955,38332,95021,,13379,33825,64053,71844,84175,31984,72416,116168,319124,126452
