Product code,Product label,Japan's imports from India-Value in 2012,Japan's imports from India-Value in 2013,Japan's imports from India-Value in 2014,Japan's imports from India-Value in 2015,Japan's imports from India-Value in 2016,Japan's imports from India-Value in 2017,Japan's imports from India-Value in 2018,Japan's imports from India-Value in 2019,Japan's imports from India-Value in 2020,Japan's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,7000142,7072378,6987497,4859253,4683260,5349096,5504030,5365438,4726757,6149769,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",2611151,2750634,2744041,1246834,772479,1181397,842017,530156,619783,683046,,0,19765201,19742787,11962340,10664422,12477483,14810618,12646438,8453439,19167099,,18646876,18272985,18443240,11126740,7600905,10257153,13784345,10635305,9140376,15079487
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",255315,335405,357557,288941,319739,340413,318396,322959,304398,361982,,0,2579526,3658505,3071512,3461520,4612033,4372998,4554389,3793319,5148765,,1909284,1952762,1833274,1466692,1563541,1678286,1505497,1442958,1324693,1464914
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",433972,400084,407377,310064,367262,347362,404685,342053,246902,302876,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,898649,870900,888885,776932,912632,762208,849376,703765,448548,532903
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",50,14,14,11,15,0,0,5,363,251754,,2849565,2284571,561601,166752,235636,137715,1094491,3406019,2988755,4871528,,14041589,16522954,16355755,14367546,15274714,16904848,17722672,15441687,14907707,17984777
760110,"Aluminium, not alloyed, unwrought",105,2040,13011,30018,47265,90792,197248,188520,96422,190376,,569583,746823,1126817,1333227,1446956,2210176,3073483,2984419,3302739,5180992,,3561338,3039567,3647124,3018871,2407063,3200164,3623069,2744942,2089888,3504698
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",28725,24650,43015,59190,89619,72327,76191,98548,167392,163665,,153962,409961,382025,419313,436186,446880,493307,493773,561007,623993,,1497532,1142399,1012454,1091519,999122,1422209,1434213,1566319,1841724,1183878
720230,Ferro-silico-manganese,160221,171839,169347,113628,78842,115352,126889,102086,80931,153568,,936024,978195,867805,599197,461991,800995,814433,658667,603374,1276572,,290227,302170,321251,234256,201595,297113,334808,294183,236199,350296
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),345460,263183,217050,65305,116832,169211,104432,178660,195752,116634,,2407949,1397507,683397,118390,537211,763492,356465,1020338,2390703,2109250,,17269502,15600111,13928034,7994026,6135076,7880612,7543659,9025862,8465118,16057927
760120,Unwrought aluminium alloys,1057,3000,2889,112,188,879,9958,7755,14006,113956,,116081,193627,212499,189763,194836,287185,740106,782216,617228,1791398,,2444036,2193144,2450979,2156996,1907912,2459979,2708983,2046239,1493706,2728291
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",56330,52903,37195,30406,38693,51252,55723,62977,73330,85805,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,13816203,12239410,11125380,14915543,14384100,12297744,13738089,13945621,14117694,15406428
30499,Frozen fish meat n.e.s. (excluding fillets),78141,57422,69550,76030,66808,68474,82488,86135,61195,85251,,141482,139949,125959,146130,150282,213329,249896,223780,199509,250646,,651803,505474,559249,520858,516695,486641,524095,548899,444920,463187
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",141,119,137,60,222,13656,46057,58723,22351,73782,,363143,540578,835521,762772,1212961,1449285,1939053,1949811,1413898,961457,,5491933,5392079,4731753,3877249,4166969,4287625,4491062,4349719,2860135,3055396
720241,"Ferro-chromium, containing by weight > 4% of carbon",81791,77010,64484,48214,46435,93537,107206,78610,52236,72063,,738559,695956,497810,479936,510055,1030697,926967,794399,599542,981159,,945125,868122,960405,783934,685389,1044030,1076013,798288,577370,1009256
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",24162,36293,42027,67252,62450,60811,53557,57567,51182,71314,,189325,346857,323883,351237,436490,482973,530013,703611,759088,931653,,865253,930264,624356,600520,610241,531397,522302,469805,636689,661327
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",0,60,0,102,14293,15279,5432,10046,26187,59430,,393082,310786,384443,444985,396545,432791,202984,49340,120494,140888,,604637,626383,734835,695976,1448426,1814596,2232628,1828435,2041125,2378310
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",1204,1365,1609,1768,2159,8151,5016,18804,22916,59085,,11361,0,4527,1010,829,327,1611,371,970,14840,,544206,626934,585995,546780,541818,578607,797701,1364910,2314779,4261092
840681,"Steam and other vapour turbines, of an output > 40 MW (excluding those for marine propulsion)",0,0,0,0,0,0,0,14774,52799,57783,,3411,16615,5881,12590,37262,13465,7678,39793,65713,7498,,0,467,0,0,0,0,0,14774,72305,91038
80132,"Fresh or dried cashew nuts, shelled",51466,54151,57069,64355,55575,88403,83857,72006,57515,56673,,765635,917488,861026,804318,730899,942411,666431,564571,404228,432499,,61491,61695,66143,76537,70793,107711,109200,93083,90280,102635
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",20,22,0,0,0,0,0,0,0,53807,,145541,29203,19654,17481,18142,16146,22272,28104,24110,515694,,342296,485532,766844,542390,420455,379684,597002,258738,134420,1089132
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",17873,18290,31231,24285,28901,19962,27284,33628,48865,53805,,241957,339044,439100,431308,503140,659179,777533,933225,879554,837563,,1797819,1517326,1050820,1214855,996137,854473,603432,591976,549213,639921
293379,"Lactams (excluding 6-hexanelactam """"epsilon-caprolactam"""", clobazam """"INN"""", methyprylon """"INN"""", ...""",3962,3364,6701,5828,5046,4023,5456,16870,24632,52069,,30440,62081,71087,71882,93738,79152,77972,97404,119650,159874,,126237,100819,117345,123177,174408,188527,251312,342155,298543,330294
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, ...",54588,57097,70009,57686,119972,66085,86111,34483,29204,50125,,26343,45453,44109,46235,53460,49383,59619,62805,70409,101091,,115804,114571,125860,112192,175695,129363,165705,119142,79937,117848
840690,"Parts of steam and other vapour turbines, n.e.s.",5446,6219,4775,4414,3674,4922,10427,46858,9880,46246,,47339,43002,51871,48968,57599,46197,138047,102898,94895,229725,,124282,158317,127838,122018,95132,110005,101596,152734,90482,122866
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",47750,42245,39074,33960,23036,25411,21099,44703,40905,41826,,99547,133213,122538,129070,121091,174311,227160,236840,195431,180202,,461011,480086,430308,404766,419042,300072,281742,324950,296193,332341
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,35491,32758,37240,32616,29224,31426,39214,42041,31952,41639,,535238,621166,613988,573343,570918,651621,710365,755570,723895,987642,,315408,292493,293605,269969,272425,279866,303697,296307,247279,271683
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",19000,41463,30665,35865,39710,34570,43426,29231,37210,37669,,119164,189471,179904,206107,280006,335337,344191,337850,431250,736705,,300158,220844,244080,289092,329087,344849,546279,455654,583134,502730
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",370898,318914,75180,47625,35987,96826,59767,50932,27136,32868,,2075456,2860253,1180724,429948,305238,837924,893291,744417,701358,900822,,1091108,1043997,1057226,841650,755346,659765,762272,695546,799357,939653
620630,"Women's or girls' blouses, shirts and shirt-blouses of cotton (excluding knitted or crocheted ...",60967,48928,45438,43092,40587,44399,51798,48540,31216,32730,,822359,887863,742463,672950,592520,615216,566054,489479,355108,435928,,642648,582560,586393,556765,482840,466602,477596,405490,309584,362413
293410,"Heterocyclic compounds containing an unfused thiazole ring, whether or not hydrogenated, in ...",18026,24212,12818,14115,11575,17077,37144,32110,53353,32717,,4409,17116,13009,10681,8829,18381,41819,37862,83427,72364,,112417,104469,90651,97136,77183,83721,100753,87421,153682,143619
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),34392,29919,24310,23472,20764,19693,27209,44278,30619,31376,,710583,646363,666260,596972,518380,524761,490350,574204,461810,623947,,272066,240862,211315,206739,173823,162266,202908,275052,208207,222553
293590,Sulphonamides (excl. perfluorooctane sulphonamides),0,0,0,0,0,18929,15321,15443,22794,30701,,0,0,0,0,0,122073,199544,258201,261225,295280,,0,0,0,0,0,418813,442161,547066,482831,238902
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",27949,26605,25464,25891,25212,11304,8539,13895,15254,30692,,113833,175672,162043,159573,166475,186772,218086,244155,182530,254927,,4244949,4191800,4205777,4028494,4027210,4407284,4829752,4988948,4524737,5151759
151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",22966,21185,20758,23212,19135,25766,25307,28401,19185,28390,,716936,775824,654386,686043,597144,905533,822919,856943,798956,1050251,,23062,21334,20909,23267,19270,25871,25384,28448,19237,28453
293420,"Heterocyclic compounds containing in the structure a benzothiazole ring-system, whether or ...",432,493,642,379,392,820,482,584,1365,28291,,1339,2581,2827,3279,5843,6536,6664,9244,21450,43597,,124940,76007,60494,48365,56216,64306,70228,66391,57509,76214
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",4745,18394,39900,43281,45008,43799,53544,41077,32633,27783,,62745,92421,159873,199065,239915,208200,199806,226446,208574,246282,,822059,854993,1141310,1039821,1072931,1175902,1376226,1399799,1103711,1061898
261400,Titanium ores and concentrates,142426,79966,46168,55531,50368,48560,60081,79403,66106,26490,,322936,207117,119904,109695,83810,87804,105142,67969,72408,78219,,534562,255569,190696,194290,185188,214831,233336,302779,278025,199670
382319,"Fatty acids, industrial, monocarboxylic; acid oils from refining (excluding stearic acid, oleic ...",19542,14377,18299,15260,14044,19872,20844,22327,18572,25449,,57477,81259,86448,98452,97171,151615,140781,135137,114316,208410,,92026,74273,94559,87773,101372,117539,108042,91318,75332,111626
293219,"Heterocyclic compounds with oxygen hetero-atom[s] only, containing an unfused furan ring, ...""",22857,21199,12458,14318,14911,16668,10502,12133,19394,25123,,32188,46822,37552,46748,45796,40496,19696,21035,23731,25682,,67560,31998,35764,32086,32107,39443,89061,130681,259988,290943
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",4550,7364,11050,16520,13967,14410,18937,20647,14531,23183,,201847,329174,331215,355368,272139,317352,394036,416016,353087,524169,,1063660,1283775,1260871,1084241,1046989,1240408,1259444,1043874,763506,994513
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",18862,17749,15733,13982,19141,15949,15750,19779,14960,22991,,17276723,9572682,11222490,7388131,9204800,8371671,11609406,12366518,5678174,8430817,,1511187,1459375,1578643,1515090,1676967,1774606,1729387,1853572,1422936,1781292
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",13224,7628,12222,16941,15692,18107,11682,18281,24239,22094,,129504,203101,184644,192400,183289,312965,379929,388897,340166,587343,,217074,223035,228225,241637,212766,212136,227774,188567,184704,271148
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",8880,8322,16512,23307,25489,30379,31304,25279,20706,21168,,200959,233983,257622,257312,221771,285951,298605,310833,244292,319196,,790969,812151,866375,851309,840212,806585,861012,874894,734930,693739
840290,"Parts of vapour generating boilers and superheated water boilers, n.e.s.",0,0,0,0,0,12849,4127,2377,2244,21161,,105476,136070,140394,142046,149640,109536,211631,143849,92061,76013,,71000,23893,45315,88670,77654,136952,211439,138719,193691,159660
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",12541,12042,12941,18558,23410,24751,30499,27241,20388,21113,,7194,6419,8553,7002,6996,7742,8924,12190,11479,21347,,2556361,2397053,2321639,2192741,2274906,2311414,2431693,2558207,2238627,2209764
710399,"Precious and semi-precious stones, worked, whether or not graded, but not strung, mounted or ...",8715,7987,6807,7674,6725,7158,7454,9322,14381,20478,,176816,195632,152800,181423,156449,162029,172880,156417,109017,145048,,71465,70307,69091,54468,54729,51873,56609,63417,56465,68462
871120,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",6259,6501,4639,2972,3229,6295,5648,8808,11575,20192,,1284825,1608862,1753424,1676359,1519260,1700269,1940026,1870129,1581134,2516596,,286555,311742,269947,239566,235168,224233,277300,266486,325497,438218
850440,Static converters,4482,4583,11340,14561,7567,9429,17495,21879,14125,19982,,390819,336518,453310,508547,526546,553917,741975,1186041,1057914,1300034,,2135640,2175862,2195559,2027046,1973485,1987221,2067567,2100237,2225486,2609426
720211,"Ferro-manganese, containing by weight > 2% of carbon",6525,14473,21049,14107,4900,9783,11382,6679,4188,19758,,127317,141160,194292,108284,90512,257547,253504,229933,200651,627313,,140500,120095,117568,70135,55667,121637,136684,114351,51808,83841
90240,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",18665,18392,17800,17865,18966,18225,18692,19966,18532,19612,,619924,726273,577850,597092,578975,674258,683436,720547,580745,565531,,117892,128024,123622,111443,106511,110758,112826,108705,91736,92648
999999,Commodities not elsewhere specified,29058,34498,18865,19157,27882,34492,28537,24915,21451,19379,,2527225,5013624,959798,2293003,820957,277469,178658,212037,99582,88618,,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
293319,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyrazole ring, ...""",2505,4734,3329,6366,11320,10244,7120,18743,12868,19286,,125712,218569,206657,184520,129578,135821,143733,138128,131928,188032,,64114,49072,50924,58062,52863,67377,56195,77816,77487,79315
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",1430,3615,5472,3562,4426,5277,3157,5627,13856,18966,,95878,105844,135904,168815,182889,421277,630572,515734,559177,677536,,6348739,5317573,5128479,5126540,5072559,5693115,5588166,6274325,6914454,7345157
844839,"Parts and accessories of machines of heading 8445, n.e.s.",758,1204,1465,122,323,549,263,142,4834,18194,,16101,23458,18150,14753,14455,22143,27394,24512,17855,31309,,47751,66158,59618,44438,37753,50112,55995,45778,42033,86209
711031,"Rhodium, unwrought or in powder form",0,0,0,0,0,0,0,0,0,17986,,1,0,0,0,38,0,0,263,1851,60418,,232003,168885,152333,134578,128141,222739,473072,699596,2140773,5137024
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",15435,16031,11692,10001,6841,6568,11944,11813,9779,17930,,96586,96488,92271,87512,105755,121421,170268,118889,86380,169588,,1303586,1294082,1370578,1277738,1214628,1316429,1451342,1327383,1039261,1407812
630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excluding ...",15232,9497,18049,13195,13962,11159,8812,9722,8025,17889,,674542,882652,957093,1002711,1046479,1031143,1057647,1081611,1009155,1014706,,712038,674409,645243,548062,543337,538443,543177,550122,458835,500722
293090,"Organo-sulphur compounds (excl. thiocarbamates and dithiocarbamates, thiuram mono-, di- or ...",8358,11231,15159,16395,15153,19739,18168,22209,19895,17850,,47168,69479,59930,75673,44023,80641,101309,133003,190998,238570,,228604,254915,249222,242054,244452,256390,268108,241159,230482,272677
380894,"Disinfectants, put up in forms or packings for retail sale or as preparations or articles (excl. ...",14,11,83,3145,5464,5177,9823,15018,15715,17171,,11200,12981,14884,10068,9389,11568,18826,27554,37444,56066,,28956,32644,43645,39791,41242,40022,49390,65637,497370,131195
292429,"Cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excluding ureines ...""",7183,12324,11183,8916,10872,11973,22929,30959,18069,17030,,48618,99830,109477,123064,93425,132928,185919,242677,378065,300063,,351040,276236,220057,212867,225380,199505,208120,211007,179054,226337
420231,"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...",15930,17890,18374,19844,21721,21511,18613,17522,13190,16530,,396979,493492,486457,482674,467932,460250,485669,480434,280193,350265,,761440,712254,707956,642106,728793,725397,748159,764527,627001,700973
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",8377,10543,12426,12958,11541,10996,16606,13000,12128,15884,,2528274,2588978,2696063,2462318,2379582,2483453,2769665,2633065,2128311,3072828,,877888,815221,871861,877742,939668,1019235,1129521,1145517,789356,922528
848120,Valves for oleohydraulic or pneumatic transmission,4357,4745,6654,8871,9256,12573,13051,15981,12128,15738,,16627,21564,22531,26691,27828,41758,52845,54790,51901,79233,,141522,129869,156318,169452,156536,177432,186360,196182,183279,202659
291429,"Cyclanic, cyclenic or cycloterpenic ketones, without other oxygen function (excluding cyclohexanone, ...",9935,11047,6390,1748,6004,8000,6825,6926,15219,15498,,36416,51734,45581,51972,54157,90890,141024,169048,144473,157141,,70105,94858,92519,86998,73773,91131,90332,94584,91677,96604
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",834,665,2742,20909,2940,7526,4830,8096,5855,15130,,72208,61814,134921,93535,82052,148187,236231,311679,255005,448520,,724873,711542,944106,844936,910252,685568,522509,472934,372024,352962
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",3124,3747,5711,4869,4660,5105,5439,6839,13086,14843,,93130,125587,124953,115777,118654,132787,174322,196278,140208,202604,,1240010,1262044,1254106,1176578,1148966,1148335,1308666,1472056,1378745,1536827
902920,"Speed indicators and tachometers, stroboscopes",1887,1736,2895,995,403,2493,3715,15006,14484,14811,,10133,12680,10708,13784,11453,27175,32511,45781,50510,53694,,173369,139363,137542,132371,130458,170086,224263,238587,193492,219316
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",9882,8940,9229,10194,12353,15393,14055,17091,17780,14072,,1649032,1873572,1827709,1778661,1732277,1713535,1784739,1957188,1440673,1698256,,1192070,1164692,1089616,1026898,1132970,1146712,1208347,1358420,1220003,1284660
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",4604,4192,4933,3819,5099,8110,11505,11193,9307,14036,,483309,527760,584914,658517,671755,719097,820139,738432,609702,980092,,707180,666451,729269,647669,635299,727734,861667,802673,663587,832201
902230,X-ray tubes,4750,11144,15659,9081,9608,8428,13372,10267,8282,13894,,35280,29317,34857,61556,78867,76914,123848,129743,128058,164512,,236588,231536,247122,222162,237677,240129,223418,215150,210945,248224
285390,"Phosphides, whether or not chemically defined (excl. ferrophosphorus); inorganic compounds, ...",0,0,0,0,0,2474,729,833,700,13816,,0,0,0,0,0,2214,3219,3032,2504,4320,,0,0,0,0,0,203459,199978,237030,260280,295685
151620,"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",7749,7971,9031,9752,7576,10146,10539,12220,8233,13784,,63483,68796,83087,63167,56183,73122,76352,88657,75433,101218,,40635,36776,45277,42798,55155,61915,55645,55686,46397,58185
841199,"Parts of gas turbines, n.e.s.",0,18,143,170,137,1176,1314,2811,7068,13399,,45884,39196,57747,36970,49306,52035,56420,85422,92067,266437,,670428,654249,520836,612363,617146,785157,717762,569236,627656,653349
292229,"Amino-naphthols and other amino-phenols, their ethers and esters; salts thereof (excluding ...",5985,5139,6235,5057,4702,5293,10550,11999,10186,13269,,84876,115759,105930,83248,80822,107463,168753,180794,168679,243663,,32899,26070,25733,23921,25245,25383,40399,39625,29703,34438
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",7048,8367,7202,6897,12413,8763,11164,12680,7519,13269,,257563,332334,337367,340597,268940,329364,421459,484317,415188,486798,,562493,544971,603759,563126,589257,627001,708174,690403,627943,724600
292390,Quaternary ammonium salts and hydroxides (excluding choline and its salts),3555,2629,1250,1178,1309,954,1224,3245,2211,13091,,27610,32233,32996,30836,32677,34252,38096,51114,55151,67963,,63126,65635,80305,109146,79453,99683,84463,82497,70190,91598
130219,"Vegetable saps and extracts (excluding liquorice, hops and opium)",38988,48137,27298,25316,19101,20444,21732,16757,13582,12848,,178720,254907,261177,269058,278126,254342,284334,321711,351777,392236,,161699,169168,146758,132400,129043,147600,183253,155803,160958,129028
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",14742,10368,7778,7928,10303,10148,12670,12903,11099,12809,,294552,304207,257556,234768,184031,197930,199211,228166,161905,194279,,1367421,1484966,1068712,987430,911703,909827,865021,765703,646169,705276
290290,"Cyclic hydrocarbons (excluding cyclanes, cyclenes, benzene, toluene, xylenes, styrene, ethylbenzene ...",25,33,6,556,6387,11149,13217,12041,12852,12801,,53678,71299,77472,67501,70783,70672,69951,61815,61204,75787,,98714,93326,84026,73391,70048,61129,67589,62971,49357,48139
330125,"Oils of mints, whether or not terpeneless, incl. concretes and absolutes (excluding those ...""",16805,14670,10755,11221,12832,9943,20343,24639,15874,12766,,243343,286816,199784,142122,159597,216269,315065,679752,211148,176030,,22926,20097,14447,15431,18683,13699,25112,28277,21746,16581
292142,Aniline derivatives and their salts,10166,13131,10343,9768,10665,10889,8670,13306,9809,12648,,106009,136540,127500,99961,92295,119615,152354,143833,150169,186661,,17234,22232,20373,16609,16502,16674,14194,19158,16585,19587
290391,"Chlorobenzene, o-dichlorobenzene and p-dichlorobenzene",9072,10570,17067,13568,13116,13937,13812,10508,5424,12477,,0,29906,49274,43285,50012,50052,47820,37158,30518,44645,,47560,52630,53453,42784,36258,39638,51038,42317,29360,54132
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these ...,3491,2883,6815,4460,2964,3706,3762,2826,2786,12285,,52883,57582,54538,58920,53472,69907,69086,62801,56869,74844,,288210,284461,314963,312744,301684,336098,365152,357216,297349,360753
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",424,4119,8783,8050,5739,4743,16743,3837,2812,12127,,456742,446904,410764,628142,375655,806728,692626,514416,651988,805470,,28829,26075,39910,43147,32163,66005,64571,53751,38402,51154
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,6128,5250,3014,3997,4916,4001,4518,6583,4430,12078,,39667,76052,95323,122131,143719,117716,100257,149664,82757,91367,,1687224,1566804,1441206,1298540,1303138,1199205,1140533,1153256,965023,997591
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",6296,5211,5328,5113,10534,13139,18470,14258,3549,11978,,115780,133763,156605,253543,459630,411666,489958,491812,413922,611822,,575790,522094,587863,567486,581245,648595,704782,654240,521650,581741
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,4805,4107,4971,4241,3798,4551,4220,3592,3128,11635,,47921,61222,57860,61220,69115,93618,136103,131552,99430,176616,,429798,511125,623913,659253,708650,609921,692818,730938,548615,629264
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",8101,7197,9468,8564,8750,10690,11291,12284,6067,11567,,266956,293987,331985,243862,224817,281757,419138,379748,275918,538925,,1270683,1178486,1270695,1100938,1011534,1183631,1511999,1484887,1157316,1816437
160521,"Shrimps and prawns, prepared or preserved, not in airtight containers (excluding smoked)",8131,7263,9931,14139,12352,13022,13655,12749,9559,11463,,0,12494,19013,28823,79747,113920,96469,91508,103729,113172,,806548,772389,719885,643754,630053,658250,680268,676782,635443,650579
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",4132,4270,4834,6874,7181,8341,8652,8465,9190,11348,,25223,30258,31801,38031,74237,163088,176995,197205,149352,227299,,379543,327888,323771,342713,398424,427344,446393,424859,332493,386667
292249,"Amino-acids and their esters; salts thereof (excluding those with > one kind of oxygen function, ...""",2868,2984,3093,3296,4856,3270,7386,13087,12366,11274,,51281,59785,68831,94190,133742,138293,171585,216012,189817,220285,,152720,148295,136192,143897,166003,484843,660246,266512,681070,294158
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",8961,6954,7372,9095,10060,7056,6865,8888,9173,11198,,468859,528028,524253,457378,413456,428785,441780,502909,373614,454360,,1035618,1098885,962452,955121,908388,816600,838977,801585,668878,644030
30743,"Cuttle fish and squid, frozen, with or without shell",0,0,0,0,0,17779,16469,14962,11011,10996,,0,0,0,0,0,396931,632190,605179,467575,600464,,0,0,0,0,0,691875,634594,584882,534098,488675
292159,"Aromatic polyamines and their derivatives; salts thereof (excluding o-phenylenediamine, m-phenylenediamine, ...",4205,6455,7500,6770,6050,5095,7523,8720,4854,10929,,87153,103394,106545,90366,69559,72237,95290,123276,74673,109931,,45137,35867,41464,36511,32990,34612,42130,39474,31256,37424
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",3470,3587,3837,4446,5619,6255,10188,8410,11379,10683,,16258,21803,29241,23485,32414,46793,59243,56942,45089,67344,,704430,661524,782978,737673,710264,792378,941691,842538,737547,842057
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",25233,19021,16193,11567,6450,9281,12757,18571,9767,10630,,270631,143578,132877,94378,79122,114752,132758,157362,110181,261941,,297798,262960,258964,198297,170942,203268,244327,249429,183339,241532
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",14945,17034,18327,16920,13787,11306,12277,12772,11222,10566,,824845,948870,942454,915170,887773,843125,789502,829724,508480,570906,,847079,830508,779735,693000,608760,543762,546808,514429,390899,337620
320300,"Colouring matter of vegetable or animal origin, incl. dye extracts (excluding animal black), ...",5719,9007,9495,12292,10961,12403,8116,8712,9250,10136,,12048,12526,14552,12621,12184,15138,17235,19057,24236,25649,,154954,139990,124519,132557,136242,151715,137761,147201,144726,143528
121190,"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...",7625,8843,11020,9239,8054,7814,6915,6694,7888,10015,,196331,207685,238705,237786,259300,291736,307845,285779,347313,414425,,211565,227230,228236,206732,206427,209117,212960,203506,216054,225318
320414,Direct synthetic organic dyes; preparations based on direct synthetic organic dyes of a kind ...,3364,5038,5301,5510,5753,7220,7776,7656,7920,9940,,70119,96285,114929,97170,91002,102246,114081,110270,110335,136194,,51626,43122,38289,34671,29178,34431,31856,35447,25265,33266
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",12181,10512,7703,8050,5116,6228,7235,6005,4211,9670,,0,41169,116192,153108,157354,220126,335421,394964,381583,683391,,246791,283880,284838,237849,236955,272631,281183,276967,279658,386975
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",1958,1981,4789,4032,6819,6528,6043,6747,6624,9645,,184552,213399,213000,203366,207473,248285,245272,238738,202626,289411,,471677,439674,462008,433974,462635,470919,489348,467697,424852,495559
291590,"Saturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; ...",10479,6706,4357,6810,8499,8275,7081,12494,9840,9387,,90708,127846,166074,168481,158671,129316,169031,158227,152108,188839,,155875,118886,132801,137667,142408,165307,174354,165591,156622,197908
