Product code,Product label,Japan's imports from Australia-Value in 2012,Japan's imports from Australia-Value in 2013,Japan's imports from Australia-Value in 2014,Japan's imports from Australia-Value in 2015,Japan's imports from Australia-Value in 2016,Japan's imports from Australia-Value in 2017,Japan's imports from Australia-Value in 2018,Japan's imports from Australia-Value in 2019,Japan's imports from Australia-Value in 2020,Japan's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
271112,"Propane, liquefied",658267,597428,446251,174959,116252,109616,132282,177716,235313,349209,,429620,429145,469344,186935,172934,244379,299734,522886,539698,169406,,9588261,8343063,8028982,4332232,3295375,4491687,5192316,4026920,3350424,5828770
100199,"Wheat and meslin (excluding seed for sowing, and durum wheat)",415450,381971,316168,265455,225130,267370,273482,261105,247655,342405,,6711806,5832548,5270968,4352815,3557764,4560185,3028659,2513816,2710166,7097704,,2060448,2191747,1873327,1548205,1305915,1461400,1574950,1416818,1452764,1702937
750210,"Nickel, not alloyed, unwrought",115246,94395,126136,59338,44007,75453,245226,188204,191141,324178,,0,0,0,0,0,0,631977,1081519,249116,0,,645364,548444,611801,423225,296726,361929,672603,633721,445394,758303
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",132540,88704,28462,21666,64164,114896,104061,222040,193587,318285,,885002,635569,593699,245048,243764,354622,435127,372167,260424,344664,,18646876,18272985,18443240,11126740,7600905,10257153,13784345,10635305,9140376,15079487
440122,Wood in chips or particles (excluding those of a kind used principally for dying or tanning ...,638392,407315,377834,366149,315605,386045,404648,415912,232170,305802,,599274,561048,671459,700052,820061,846733,981211,929593,599699,659762,,2185117,1951209,1940548,1873739,1827487,1815185,1924449,2057236,1517425,1676112
100390,Barley (excluding seed for sowing),249147,298292,190140,71547,205054,223388,234459,175734,145841,297439,,1358431,1484784,1597948,1306758,1124787,1620624,1371855,726624,913124,1983793,,412431,439645,361142,292635,261443,270712,348608,322810,303098,324436
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",731933,521759,313820,187104,148673,95706,156702,207346,174078,251180,,688796,652080,631728,273962,236235,312011,375726,474610,475970,844046,,3168790,2619214,2240520,1046157,813362,874354,1042736,855091,683269,851877
260800,Zinc ores and concentrates,183527,175887,186620,165177,128434,173511,174322,133338,84629,185812,,1369188,1395794,1628755,1570517,877794,1344075,1908750,1761226,1368085,1897005,,672155,718750,744708,600451,624783,886522,1005692,761544,528760,1044203
120510,"Low erucic acid rape or colza seeds """"yielding a fixed oil which has an erucic acid content ...""",55175,105613,95603,146501,54391,63970,98100,56787,30544,176589,,1527093,2196830,1285502,1131116,886146,1277786,927314,669779,786927,2157781,,1682492,1681967,1283382,1193358,1045432,1152976,1125496,1032791,965838,1602764
121490,"Swedes, mangolds, fodder roots, hay, lucerne """"alfalfa"""", clover, sainfoin, forage kale, lupines, ...""",155693,155648,138371,135504,127545,139073,149371,163815,148882,166907,,566372,380077,284586,327143,307621,343665,339362,366254,389166,522731,,1001457,927631,785797,731586,644146,713194,754325,808134,783043,811736
40610,"Fresh cheese """"unripened or uncured cheese"""", incl. whey cheese, and curd""""",241920,210562,189637,211737,170526,183363,209794,210687,172617,145976,,312046,274646,274728,276877,243993,314637,343796,327227,343306,398003,,403944,378941,383449,385086,339569,387415,436616,445629,369475,352390
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",1547187,990974,1031069,510720,158586,161547,265773,199853,119298,138265,,11349993,8767731,9712073,4674961,3600939,4030615,5943795,6466832,4415758,7495954,,153107429,145720787,130657498,67369928,50863559,63771259,80676236,73085389,43509685,63136252
760120,Unwrought aluminium alloys,222912,120103,127872,112678,68507,90861,122044,130649,96258,133480,,1084742,856690,860536,596619,373611,509552,603687,527971,417851,742206,,2444036,2193144,2450979,2156996,1907912,2459979,2708983,2046239,1493706,2728291
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",140076,134697,137736,134936,128624,94894,104471,132441,129760,133243,,3935,3313,3839,3315,4115,3264,179136,5352,4685,111124,,461011,480086,430308,404766,419042,300072,281742,324950,296193,332341
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",68009,58911,80369,76751,70451,91402,104222,85542,84747,109784,,498136,514572,577887,601850,643442,670865,600955,620908,514200,697923,,350985,315891,335101,331490,369920,417295,417766,434139,466483,506780
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",42079,69876,77934,28993,50583,54064,14256,74549,41007,104505,,0,0,0,0,0,0,0,0,0,0,,1146215,957837,938400,780553,615107,795158,791125,749972,546474,814617
260700,Lead ores and concentrates,210482,198243,156477,112536,132400,107942,84039,93162,78499,103003,,1211398,1048874,1004569,717711,383891,338970,441416,674487,560462,697812,,376452,461500,294392,244608,267211,247135,242954,250166,257870,345139
20610,Fresh or chilled edible offal of bovine animals,63908,53299,54249,68377,73052,72239,80734,91850,77839,101248,,58679,47320,46110,62752,75526,81577,90891,102235,89344,106949,,229972,269631,301706,341345,449539,489589,547255,633664,620272,799190
40690,"Cheese (excluding fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese ...""",170020,170637,152978,117234,116819,132984,144043,132350,120985,99330,,333296,353312,304985,274850,256941,278475,275422,237273,205845,255431,,627472,619647,684469,574962,547552,679270,745540,774785,807929,823957
440121,Coniferous wood in chips or particles (excluding those of a kind used principally for dying ...,102616,91649,97077,124602,100367,96012,111770,104764,80690,98523,,93912,80953,83354,90669,17299,48045,99455,85294,79671,128976,,349370,280704,325027,337568,309787,292069,342696,307914,247380,293740
750110,Nickel mattes,187447,127830,100026,17637,40689,58017,110712,103303,50583,97275,,0,0,0,0,0,0,0,0,0,0,,1158023,1050552,1081058,737464,646762,732215,981038,925790,952964,1147900
30346,"Frozen Southern bluefin tunas """"Thunnus maccoyii""""""""",138303,105970,125846,86713,97316,77372,98526,103515,77344,77988,,130220,101891,115017,78973,83979,84071,90315,95141,55379,67535,,164384,130110,148668,105595,120020,98963,118346,123568,97311,100508
20621,Frozen edible bovine tongues,74202,66328,67501,56012,71311,60265,48663,61405,51525,68648,,43228,42477,46708,65145,83965,76000,66401,85946,72016,119530,,160724,208090,206287,167036,234225,237571,185282,203461,205326,275662
281830,Aluminium hydroxide,83766,65725,85450,74078,54076,51273,84953,75122,57618,66275,,173225,150814,169372,142670,139828,155505,247373,164761,116546,106210,,174690,162985,202094,199562,177718,207177,269402,214835,170351,190948
710121,"Cultured pearls, unworked, whether or not graded",113943,103719,93087,84469,100914,81908,85660,95152,39711,64744,,46153,16396,17647,0,0,0,0,0,0,7387,,303371,304095,311853,300722,294535,295147,290653,274756,110483,184766
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",55246,84405,49205,27062,70812,54598,26784,38716,31787,60767,,3378372,2403733,1821197,1098626,1398958,1337323,1403690,1535557,1184945,778112,,13816203,12239410,11125380,14915543,14384100,12297744,13738089,13945621,14117694,15406428
20423,Fresh or chilled boneless cuts of sheep,36694,37424,47863,40006,37922,44655,48712,54036,51423,57317,,120423,128532,152387,143987,155891,166082,170645,173861,178265,262809,,43564,44708,57326,52180,52666,67343,75118,78003,77340,87710
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",33249,35734,39961,45164,31779,37591,39810,39076,56027,56646,,44329,32307,38610,24865,32982,45900,49717,77881,63421,67337,,604637,626383,734835,695976,1448426,1814596,2232628,1828435,2041125,2378310
50400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ...",90457,68932,91557,69896,73693,55284,75015,71309,46541,50035,,89964,85597,110423,162742,141389,170110,226517,172620,133770,168264,,349597,259711,282663,250738,246136,258374,280936,289007,250421,294476
80510,Fresh or dried oranges,35402,38548,33239,31208,39714,46229,46455,44397,58944,49481,,139087,137669,134643,148969,169599,223826,235256,221624,214542,204974,,158524,127831,112247,104471,129554,122786,123656,120037,132618,121911
100790,Grain sorghum (excluding for sowing),275773,139678,122,223,1582,257,51,230,273,48342,,51827,270432,106114,419236,157298,60111,111736,28484,52435,499808,,476703,530765,222382,177316,124062,103089,119299,100231,85290,96608
260200,"Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a ...",84047,61378,51880,46378,32682,67502,76676,75354,42276,47830,,1270243,1470184,1251215,853465,513925,0,0,0,0,0,,273180,262983,234248,198068,145530,311016,349717,312440,163211,188266
250510,"Silica sands and quartz sands, whether or not coloured",66566,56458,51990,41114,39455,48220,51733,51983,39808,42396,,83717,4307,0,70362,74309,87279,100522,96827,50987,0,,114514,92244,84499,72744,67818,77291,82272,85576,64681,67822
20443,Frozen boneless cuts of sheep,30477,25525,35406,29456,30594,35409,42762,39378,40658,40983,,242409,277985,384186,339963,323058,440236,454425,403083,403969,470575,,44003,41054,54603,44141,41829,49483,63268,59386,56922,52264
230910,"Dog or cat food, put up for retail sale",84609,65990,39337,37407,42485,40615,40674,33648,33888,40127,,188639,167862,143846,125236,137219,138814,139009,136745,118288,213469,,830665,781143,730266,657563,641719,619211,643922,646338,673653,702671
999999,Commodities not elsewhere specified,77129,39232,36941,30712,43698,84261,57822,69598,44736,39379,,10044824,8777678,8032952,7321442,7391488,8467782,7940698,7904342,8017722,11432602,,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",280,305,1386,2443,3578,4375,6492,6094,23920,38159,,15131,15875,24219,23296,32971,27795,19484,21139,41571,66392,,544206,626934,585995,546780,541818,578607,797701,1364910,2314779,4261092
10229,Live cattle (excluding pure-bred for breeding),27861,24249,19376,15636,18159,37217,34689,41923,33184,35183,,390808,501329,910835,870262,978019,767039,946665,1039483,931978,831455,,27861,24249,19376,15636,18159,37217,34689,41923,33184,35183
110710,Malt (excluding roasted),58385,46783,35668,36723,43880,40086,41463,43146,40805,33486,,354825,359553,328812,288312,221457,253605,278440,350149,315106,420464,,339389,327650,322534,284310,286293,267101,268726,272776,237807,210545
380893,"Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings ...",18,42,7,27,22,2,12,230,25479,31250,,72309,71276,63635,50930,51532,52538,45845,34895,50971,68522,,154991,160870,155777,138815,130384,146486,157379,137715,185794,192075
121300,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",35144,50797,39096,34758,30750,31291,28961,30356,31493,31177,,28805,45590,31117,23157,19919,22661,25703,37722,43003,40246,,107494,92800,92076,72241,74156,95585,94761,92705,100886,116602
110900,"Wheat gluten, whether or not dried",23285,19417,19644,15077,19867,22157,28192,22543,24154,30142,,176584,228109,217564,186954,183057,185722,205198,198270,184507,217097,,40582,42096,40920,36804,39541,43066,48465,40028,41127,46041
80262,"Fresh or dried macadamia nuts, shelled",24058,23738,20277,16819,27929,27637,30884,39822,30726,30118,,59783,75926,81123,90239,96601,106979,145085,167529,166986,163495,,41346,39010,34648,34453,42318,38872,48669,57487,48181,48344
20629,Frozen edible bovine offal (excluding tongues and livers),26732,28330,26525,32090,40039,27622,31489,39998,28645,28021,,317058,343897,400898,335838,296298,321085,363842,392964,372827,471322,,45659,54241,62579,70119,86940,54697,64059,78689,76949,82254
80610,Fresh grapes,0,0,709,7512,27613,26271,31445,40171,33739,27431,,107444,188314,212977,188041,325701,299432,295920,406353,457188,374168,,62974,61660,52207,57611,98705,89134,106360,131012,132210,116283
260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),0,38738,41325,15209,18920,22792,19675,6122,5520,26014,,347436,293586,282461,152306,183665,175951,245262,253400,338037,631326,,1860943,1791335,1989079,1269168,1227326,1766829,1772910,1830095,1158416,1930255
180620,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...",25703,27735,30639,25773,23349,32499,34437,23310,27740,25538,,7247,23062,34826,30869,29536,38359,50036,44920,53575,69863,,284763,275959,320009,256322,243006,278032,279381,271538,269754,275355
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",39116,32679,30890,27827,28290,29293,28604,25656,24914,25370,,1470366,1341690,1258672,1275392,1349991,1634003,1684267,1661766,1633763,1211388,,1047441,1060879,1063993,950187,922313,978239,979554,1021238,944923,988942
391710,"Artificial guts """"sausage casings"""" of hardened protein or cellulose materials""""",26066,24841,23757,22690,27939,27833,26508,25324,27012,24988,,50276,40127,52728,41539,45971,40855,50026,47152,48061,45309,,44002,43936,40827,40801,43295,40665,40777,40068,41782,38757
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,26314,22423,21607,18803,21707,23033,21862,21762,22121,23936,,117322,129659,112933,100182,118974,116714,141640,121142,129982,116266,,426647,377493,360756,336620,367607,399046,437413,445535,449043,468909
160250,"Prepared or preserved meat or offal of bovine animals (excluding sausages and similar products, ...",35804,27529,29377,27632,25716,26213,25047,20723,22358,23578,,41822,38654,45600,48749,57686,63422,67372,61161,68929,90104,,72932,43659,49175,46641,43629,46504,43921,43829,45030,41994
281410,Anhydrous ammonia,16202,17968,25145,0,0,2417,2314,0,8535,22686,,244902,344051,265625,215785,98258,85347,70622,74023,45627,165116,,161966,175975,161115,103814,80849,66389,113319,70629,62498,121238
261510,Zirconium ores and concentrates,69121,33337,30930,30935,8456,14366,40792,30198,17245,22040,,105739,81296,76850,69289,52527,52748,86145,58350,76834,120152,,107026,56745,61460,56259,36857,37209,80313,60548,35862,40082
30214,"Fresh or chilled Atlantic salmon """"Salmo salar"""" and Danube salmon """"Hucho hucho""""""""",11159,8241,4869,7270,7891,7907,7351,8154,14236,21011,,21119,15243,14414,64010,27869,107811,86356,85310,191106,283497,,224288,208648,187507,164928,197247,186279,188380,190162,156490,169279
210390,Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya ...,24645,20562,23296,22725,20197,22156,20176,23457,16591,20855,,96193,93398,104859,97311,98821,103260,96959,85224,86311,111089,,301603,272933,273891,262078,260867,266730,273783,292616,313535,341964
780110,"Unwrought lead, refined",12194,11407,17816,30070,22432,42514,51624,36893,28116,19830,,419894,476089,495781,419131,436966,503799,436709,231150,258377,263785,,63292,55469,61495,68024,54331,95507,110406,79984,61751,62307
810520,Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; cobalt ...,17045,30895,16020,6928,6254,7803,16950,6441,8517,19625,,147270,135657,147118,156855,81951,169773,212955,116208,152079,129220,,326728,276365,310577,282505,220822,538195,788332,401040,290075,416070
300212,Antisera and other blood fractions,0,0,0,0,0,4535,4122,7403,15928,19469,,0,0,0,0,0,522465,837114,1467178,1465852,675615,,0,0,0,0,0,674280,716909,788086,802981,846749
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",8647,9970,7148,6828,6527,7324,8013,11826,12786,18963,,199015,228651,225310,219951,283126,371090,421873,485240,477092,492473,,842076,777327,781065,738552,777547,803279,923028,1018275,974089,1029654
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",10466,12178,13754,11746,18175,14955,17514,17040,12892,18210,,308650,339415,394874,377320,499821,595197,640390,147240,85064,117972,,476582,488291,602078,566831,758981,714125,680924,666650,723879,635358
120729,Cotton seeds (excluding for sowing),37098,36854,26658,17902,21015,10390,6216,2621,863,17269,,186516,158516,114254,33130,74602,97083,43458,1426,1073,103446,,39288,38870,45437,39286,35089,32590,29581,26779,27863,33691
440131,Wood pellets,0,0,0,0,0,0,4775,9304,9175,17078,,289,375,524,255,284,7338,8774,2743,15521,13650,,19358,20003,24459,45502,63142,87347,194520,283569,342112,562691
210690,"Food preparations, n.e.s.",31082,34850,42582,18609,8829,14607,13748,12699,19690,16223,,226406,277176,388229,731539,1024245,1318490,1068136,821079,782213,712995,,1158768,1082073,1058275,934971,952833,982272,1021330,969208,921031,948806
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,2636,3279,5269,3463,6551,14373,18322,18248,8484,14973,,61184,59599,37287,22610,21033,33077,31672,26211,19358,31814,,893596,932536,1009600,989017,978211,1058237,1087901,1061550,770296,994023
281820,Aluminium oxide (excluding artificial corundum),15375,13420,19977,15649,20922,16006,20535,20140,15038,14870,,5211506,5214946,5118388,4846901,4163306,5620871,7495431,5757417,4722433,5788406,,77731,70760,81369,83680,92520,103371,113444,119507,80275,101908
270791,Creosote oils (excluding chemically defined),5058,14949,13905,9402,7746,10824,15962,9932,9764,13905,,0,0,5207,317,4686,9106,16190,10390,9895,13616,,79874,67011,66293,27006,15482,40147,63445,49825,41002,42411
261400,Titanium ores and concentrates,100903,40403,21141,26695,17033,36148,28116,30241,23105,13788,,135411,85640,67036,83598,63569,85006,77060,87219,80219,59059,,534562,255569,190696,194290,185188,214831,233336,302779,278025,199670
350400,"Peptones and their derivatives; other albuminous substances and their derivatives, n.e.s.; ...",28574,29270,33044,21663,14693,15233,16232,16781,16147,13684,,113869,121115,134178,78529,67419,57361,50410,49605,123921,138142,,260152,266721,287686,258899,241717,253826,250925,274498,295891,336745
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",28030,29078,17139,21550,29925,21318,19455,17752,13405,13213,,48210,71414,80539,80583,81058,76566,55735,71738,51422,36509,,1909284,1952762,1833274,1466692,1563541,1678286,1505497,1442958,1324693,1464914
520100,"Cotton, neither carded nor combed",37019,28653,28824,17441,22924,24742,21904,16075,7923,13104,,2723425,2511612,1810804,819538,1175908,1580300,1809247,1099575,310408,1500804,,150461,144447,139999,118581,109699,110761,113387,101233,62554,81491
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",26142,31885,36837,34635,35074,37831,33032,24017,11371,13032,,139379,126696,96262,44444,40066,35928,32352,23564,21966,27364,,1063660,1283775,1260871,1084241,1046989,1240408,1259444,1043874,763506,994513
190190,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",35383,22314,16173,14970,14375,17850,17149,18588,16414,11841,,402831,460470,307190,246069,288024,329678,284461,350395,363141,299466,,471889,460070,472632,364609,333893,376155,380914,366728,376301,364860
200990,"Mixtures of fruit juices, incl. grape must, and vegetable juices, unfermented, whether or not ...",10852,9036,5060,3754,8091,4136,8379,7637,6015,11775,,35852,24292,18724,11739,15307,14489,11833,11812,10667,13861,,54370,43835,24522,18866,19239,14987,23231,36275,36989,36316
350220,"Milk albumin """"lactalbumin"""", incl. concentrates of two or more whey proteins containing by ...""",14639,16467,8928,10167,11375,11111,13055,5392,7074,11691,,29809,32570,25671,20173,26518,28254,45560,75921,62994,65359,,118759,129015,126781,123548,124028,156706,126256,126533,150089,219320
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,15030,14385,14601,12521,14864,13793,17039,14705,12352,11386,,463747,438658,493941,447531,419769,542391,579628,523266,474352,651346,,174305,147133,137352,123143,131571,123588,140336,130613,115657,120049
280469,"Silicon containing < 99,99% by weight of silicon",4824,1417,604,6581,9504,8769,14990,17828,14720,11267,,90500,117337,124153,123558,93528,93519,102678,93368,84353,100336,,494961,372447,445917,410423,324120,401012,506364,365069,343737,772072
210410,Soups and broths and preparations therefor,8787,14074,15835,11392,10048,11597,10385,7823,8926,10966,,31396,31040,36141,30851,31887,34823,33881,29365,28768,46157,,75705,70642,72099,60123,60056,62428,58828,63389,60649,63265
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",1401,1741,1145,1078,1135,1165,1717,3590,7011,10919,,11906,11560,7899,16775,27956,41739,66968,76478,53801,80625,,139699,129487,122722,112001,108267,125356,129292,154472,200751,165028
40210,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%",5328,14842,27625,19790,5704,21176,20853,14976,13650,10889,,538507,484432,675054,484448,349434,379837,346720,336760,394565,648061,,100682,116684,179950,128267,62035,130816,100269,104877,103791,58756
20422,"Fresh or chilled cuts of sheep, with bone in (excluding carcases and half-carcases)",10733,9739,12403,9817,9874,10489,11865,13221,9719,10282,,353441,390211,443252,409501,398503,429216,493262,522994,547385,692770,,16962,15598,19132,17631,20458,25342,28286,27437,25244,23178
20442,"Frozen cuts of sheep, with bone in (excluding carcases and half-carcases)",8202,7444,15536,10508,10367,9701,15958,15818,12992,10194,,625049,822870,1044738,759880,687072,995968,1177708,1418754,1208444,1518543,,16935,15217,22577,14040,13265,18207,24413,19145,19454,21416
51199,"Products of animal origin, n.e.s., dead animals, unfit for human consumption (excluding fish, ...",19170,19762,18764,17892,14443,15288,16401,13016,5608,9864,,9447,12655,20884,22329,35291,54422,58566,63668,69477,107353,,87876,69552,65991,61609,65552,67155,68346,58952,44201,54793
80719,Fresh melons (excluding watermelons),0,0,0,0,27,716,1532,3542,5951,9660,,13139,12378,14561,17495,19310,20775,16346,19963,14954,18369,,36227,34312,29597,23259,28680,24591,26991,25808,22455,22779
740311,"Copper, refined, in the form of cathodes and sections of cathodes",6837,37511,243491,39081,0,8764,0,1814,1831,9480,,2874343,2981403,3406544,2586185,2160012,2157517,2452004,2694740,2373329,3243876,,287729,303130,480405,213388,155211,149453,153451,88632,55872,82553
350510,"Dextrins and other modified starches, e.g. pregelatinised or esterified starches",22251,19106,17238,16351,14851,14293,16180,14794,8186,9043,,32912,28720,24581,22904,29720,28644,27714,26208,25668,37352,,444088,428323,383987,354945,323830,334850,388364,383591,345838,382448
110412,Rolled or flaked grains of oats,4160,4919,6804,9080,10336,7936,7672,8448,10238,8980,,55219,52530,58823,52597,54946,51447,54456,63041,78333,90380,,6487,6728,10303,14207,15543,14188,14257,15618,22485,27859
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",5886,5353,6451,3881,3684,3001,11409,12599,6523,8768,,59619,0,0,0,0,0,0,0,0,0,,151682,143529,159153,141457,119744,160724,203169,175885,107083,175101
841582,"Air conditioning machines incorporating a refrigerating unit but without a valve for reversal ...""",0,9,36,14,0,5,0,2,2823,8510,,10823,4053,3568,6895,5968,4585,6001,3224,6986,7856,,175530,173063,50479,54844,80970,82941,89354,104578,112985,149448
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",3450,6201,7284,7992,7495,8601,9183,6750,3015,7907,,31111,30598,30640,26111,21090,27107,27573,26194,22874,35002,,260323,289488,340652,351100,409646,426256,438086,389928,280070,330797
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",5049,5663,5450,5428,4878,6970,5595,6496,6303,7862,,15471,11954,15773,22606,16614,35560,31431,16797,14664,21485,,181253,171006,167330,150207,154328,162620,172782,181795,200559,242070
280461,"Silicon containing >= 99,99% by weight of silicon",10838,9082,13585,8399,7493,6516,6115,8562,10780,7861,,1415,1827,2426,2611,1983,1599,1764,2504,2648,3745,,1208047,1166096,1363596,1133162,1398491,1156839,1099933,701709,598800,663896
720211,"Ferro-manganese, containing by weight > 2% of carbon",27068,35940,32192,16006,23255,47978,43637,30829,15293,7726,,0,0,0,0,0,0,0,0,0,0,,140500,120095,117568,70135,55667,121637,136684,114351,51808,83841
151411,"Low erucic acid rape or colza oil """"fixed oil which has an erucic acid content of < 2%"""", ...""",11662,6000,3871,5682,1278,7626,7432,6418,2353,7643,,91380,97009,78774,63316,47933,70261,43576,68166,91997,119948,,18842,12168,4087,10108,4352,7778,9930,23454,20166,12899
