Product code,Product label,India's imports from Saudi Arabia-Value in 2012,India's imports from Saudi Arabia-Value in 2013,India's imports from Saudi Arabia-Value in 2014,India's imports from Saudi Arabia-Value in 2015,India's imports from Saudi Arabia-Value in 2016,India's imports from Saudi Arabia-Value in 2017,India's imports from Saudi Arabia-Value in 2018,India's imports from Saudi Arabia-Value in 2019,India's imports from Saudi Arabia-Value in 2020,India's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",9980,0,0,0,5,19262,34459,126149,82082,188051,,1326107,1018839,1103896,1048634,861350,901283,1227489,1101423,1155233,1720655,,2644195,2667358,2103064,2619522,1455515,1296963,1457788,3088373,2936683,4168321
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",92802,150680,133182,142509,110521,146423,125558,112131,111075,168585,,135554,456790,516447,417732,374216,472973,518111,414873,433092,792353,,1173900,819814,899632,780264,668963,792495,902141,966353,854300,1524490
290243,P-Xylene,0,0,101529,243445,448315,282206,109234,25631,4909,137920,,6149,9963,32722,145258,45450,40719,634621,1004520,484083,805708,,821769,1088205,880649,642231,937454,798341,929896,793808,418361,517468
291612,Esters of acrylic acid,483,9375,58613,51847,63684,109937,103014,107884,76880,129607,,0,703,4096,6428,5438,10407,60552,17152,9184,19317,,263326,289340,303208,241350,211273,310867,379076,363744,299318,780596
290531,"Ethylene glycol """"ethanediol""""""""",447353,436157,382498,320943,362182,479951,203987,150678,54240,127559,,3097186,1598386,1552961,1039576,337963,458026,1123883,1305779,907148,1431899,,694157,827431,941694,798650,791800,1023918,607034,441482,255790,595974
260300,Copper ores and concentrates,11149,0,0,0,67576,102465,47408,59818,13680,123623,,11399,71435,69170,84453,113836,177364,457934,381136,472944,673809,,4884537,7443378,5320205,4096144,2458286,3900957,2640129,1187735,897664,2523909
890120,Tankers,0,0,11825,0,0,0,8533,0,0,122126,,0,0,0,16614,13900,7000,9000,0,0,0,,93129,149837,134020,293900,534854,427294,242529,278564,199387,517168
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",314580,327006,438363,374648,305052,319483,118157,118835,93695,120096,,3285565,4016457,4133526,3384236,3582379,3705728,5152007,4147191,3814703,5482878,,1117880,1073212,1349834,1201315,1042600,1131284,787978,745255,648666,941634
390130,"Ethylene-vinyl acetate copolymers, in primary forms",516,0,3,51291,42147,55755,65581,56242,49567,116947,,260,425,7695,161533,179010,252133,305665,337793,277443,495999,,210479,192328,261318,236622,231915,262390,290678,296639,267626,456876
290250,Styrene,325994,293185,373155,242727,267656,303798,197296,91758,84703,104073,,1774419,1755784,1987511,1355523,1287086,1313016,1242125,1499683,1112860,1418800,,875954,963685,1008246,757252,775823,937421,1158098,880635,558533,1065778
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",1099,2305,2696,2360,1464,13491,66729,58186,40421,100122,,776,7608,4405,5232,5558,211029,605809,633743,489422,995149,,315017,379719,435205,405705,355993,404005,504946,485633,439961,892896
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",145733,178765,312950,211547,198158,172410,128362,52631,48270,85200,,4878602,5111909,6007595,4578761,4154336,4968889,5322149,4787167,3624256,4806767,,581015,548093,808620,766805,726117,707632,828138,599820,567047,880543
292111,"Methylamine, dimethylamine or trimethylamine and their salts",15011,16235,15370,15271,16365,23882,33447,24774,33352,82544,,1255,182,2998,5736,20680,49258,59846,31186,1345,1799,,57740,56007,61162,53064,46866,54475,74140,50434,75537,144985
291532,Vinyl acetate,39403,25162,4239,9461,16164,30402,50722,19585,29959,72117,,337647,340908,477080,258518,259614,192958,256932,309259,318036,488563,,127956,145778,186567,139552,135432,149166,214061,137773,111491,290854
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",0,100,326,83,103,109,8030,25,20354,68463,,3230,2680,3752,4060,7322,9980,17411,23474,57639,94545,,181273,31330,37961,117628,98491,74729,212116,224246,262160,533957
310559,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen (excluding ...""",11,0,0,0,0,0,0,0,6375,57462,,661,1158,484,281,865,1036,255,641,27845,92434,,76844,61091,39827,48498,49031,28468,8877,46197,166695,106807
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",22024,31210,35892,28984,28952,38589,32816,34203,32739,55255,,365,257,1015,226,19,58,46,167,32,3857,,1016273,1005074,1165424,999030,784529,1098887,1440194,1629945,1323777,2233494
250300,"Sulphur of all kinds (excluding sublimed sulphur, precipitated sulphur and colloidal sulphur)",55862,50231,75460,78562,51171,44507,24471,8573,6311,50143,,27116,22901,23318,35898,16725,37260,64053,13694,20274,47261,,440439,160676,277631,238496,146125,137024,212304,161575,109793,384187
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",46070,0,94782,95488,0,0,0,295086,62344,45556,,209087,137842,287775,302568,729583,529108,511186,649474,1840754,1074605,,48908194,34388815,30435287,34686541,22802448,36073997,31742338,31098775,21818231,55228539
290532,"Propylene glycol """"propane-1,2-diol""""""""",1515,0,0,0,18,2863,20057,14092,9716,37062,,0,0,125,63,74,18539,77603,65000,54890,150753,,66022,62766,79784,73322,65009,67297,98093,82149,70191,169637
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,30754,25491,14413,9360,13383,33869,33937,29115,13589,35923,,283101,271157,213820,156219,143230,196013,226415,187974,144394,238344,,392134,319821,312261,274412,397002,581640,677031,677265,610375,1014255
292121,Ethylenediamine and its salts,3420,4825,11432,7853,8251,10704,29230,20077,19009,34857,,139,219,16279,19682,15190,30010,88579,70970,86236,154531,,46036,57234,78340,87119,72895,87616,99673,65030,55631,86789
271119,"Gaseous hydrocarbons, liquefied, n.e.s. (excluding natural gas, propane, butane, ethylene, ...",238289,343677,72990,29483,103077,261334,101705,129367,13365,34350,,0,0,0,0,0,0,0,0,0,0,,1109689,876380,874505,457331,747374,1047366,659808,457320,39917,62680
390230,"Propylene copolymers, in primary forms",13939,18063,12357,11306,16696,24943,29290,12848,10461,33986,,10008,7742,52902,40279,214167,240242,342847,250284,152168,418558,,154100,161370,222209,218237,235423,334113,359602,346476,265879,468491
390740,"Polycarbonates, in primary forms",14733,19286,36084,36549,27428,24870,24671,21041,15710,32809,,450858,317261,430570,332849,278455,355918,484363,607111,486435,373282,,321011,305753,318601,310096,317578,352401,513877,409211,316744,566229
310551,"Mineral or chemical fertilisers containing nitrates and phosphates (excluding ammonium dihydrogenorthophosphate ...""",0,0,0,0,0,0,0,0,16424,32396,,0,0,0,0,50,114,0,61,0,333,,62440,38630,49525,53022,24761,44500,23601,73661,67042,82965
291524,Acetic anhydride,0,0,0,0,0,0,6906,12252,8907,29540,,15814,17744,15275,11227,9837,20133,8049,14808,11093,34944,,1780,1751,2513,2530,2065,3229,10903,16650,9315,31053
291614,Esters of methacrylic acid,81,0,0,0,0,78,16891,2287,7243,28836,,0,0,0,0,0,19692,313948,339597,412384,429868,,86695,94497,112663,103390,95537,160661,175031,123656,90851,197302
293220,Lactones,0,0,0,3437,5543,5408,6977,873,6416,28000,,0,0,0,0,2920,4039,3388,1541,7220,42219,,0,14561,37849,43619,67583,47592,60593,66456,83884,102730
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,9118,36615,17527,14590,27642,,0,0,0,0,0,0,0,0,0,331962,,0,0,0,0,0,115331,230644,163329,134286,290918
291020,"Methyloxirane """"propylene oxide""""""""",14813,12632,26055,27658,17259,24742,8860,2350,7970,24873,,0,0,0,0,0,179,0,230870,185811,471727,,20933,22062,37426,39873,31143,41865,39789,34458,22626,48304
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,0,0,0,0,0,2154,12184,8757,8080,23953,,1458701,4173212,3580571,3002987,2234056,2897239,3513200,2807251,2110099,2926462,,22132,32771,28151,28290,26641,30789,36118,29122,23419,60472
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,84,116,800,12642,22880,,0,0,0,0,0,0,0,0,0,394572,,0,0,0,0,0,7952,108802,227448,314840,519564
290542,Pentaerythritol,15907,14173,14505,17701,12936,15001,18974,15181,5294,21000,,24525,26059,25003,22297,20890,24523,28900,19261,10890,29660,,27178,24777,25983,30620,32324,27753,34345,33186,19747,31028
290711,"Phenol """"hydroxybenzene"""" and its salts""""",525,0,0,0,0,18123,62189,14506,2049,20292,,3177,386,113,0,0,30099,229858,261045,152873,335847,,240926,269994,340480,236807,245272,264596,352522,167747,109688,266304
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",0,0,8605,211539,179835,100510,45099,26777,40633,19046,,19361542,16654561,22949962,24020889,9738412,31705439,0,0,0,0,,0,1321496,929453,1923540,1450912,717450,1079458,1745225,1105493,1802279
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",0,0,0,0,439,3913,12481,10457,8064,17295,,0,0,42,0,12618,58585,58152,45690,50069,90567,,219778,191099,149039,98531,114067,186667,202432,158625,125549,232944
470790,"Recovered """"waste and scrap"""" paper or paperboard, incl. unsorted waste and scrap (excluding ...""",25669,26671,33013,31873,41665,49079,37287,24636,16217,17026,,12887,16443,19481,11518,23393,55432,33406,2888,4705,7644,,537870,596783,738375,667312,650821,794492,1323685,1197539,748187,1310244
291521,Acetic acid,45447,28521,24584,21360,17137,30271,13255,17575,25234,16718,,8682,3404,7872,4875,23182,29221,26305,37763,61756,92756,,311982,331761,383900,340012,258502,371628,655657,400545,332501,920941
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",205,64,0,0,49,569,4410,11139,8573,15901,,0,0,71,25,8335,85777,141469,121349,90281,252955,,120961,147793,154514,159010,153765,197514,243996,196865,133202,293798
281820,Aluminium oxide (excluding artificial corundum),0,0,0,46,107,178,141,152,8361,15311,,0,158,285,5543,206,102,80347,123230,75304,99535,,329061,532607,347900,355363,415616,821394,1416845,959739,633199,1034897
290121,Ethylene,23749,32609,17452,0,35884,15746,20248,6055,13421,15112,,275709,339828,238355,58557,231379,312753,237709,188577,86781,427,,30347,40946,44714,14140,64356,61338,86684,55796,38928,78371
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",71,0,0,0,49,3593,5246,4761,3616,14495,,55,410,1363,532,1944,17254,31066,53562,86123,249489,,119950,87347,88463,93284,82083,88629,112383,89875,61639,128670
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",110,894,1508,73,10013,14878,14073,26479,21304,13121,,55825,35198,28525,27388,93723,150059,161416,136198,100166,174038,,81088,113589,174935,366757,472892,1083314,1865055,1932763,1417096,2479611
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",9216,17075,34901,20634,28482,75395,40206,24238,4683,11740,,95263,170157,187334,164462,173721,697618,598741,395003,460186,507051,,257428,315351,501098,481804,506216,559381,484140,361226,215028,296246
290321,"Vinyl chloride """"chloroethylene""""""""",0,3935,0,3671,5095,0,3646,0,0,11635,,82,8914,0,2990,3149,4200,3249,0,14706,29019,,262569,322481,276830,266487,236494,360701,364386,393675,358636,759026
80410,Fresh or dried dates,1808,1736,2365,3615,3503,3157,5083,4661,8764,11462,,74860,102943,129670,140135,141564,182379,201393,229833,245969,322840,,112502,183367,199447,188822,211137,242526,258255,164011,224980,240350
722530,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...",0,3070,77,0,0,0,0,0,7390,10873,,1436,4265,4265,2426,2638,9676,10208,14882,10554,1829,,343855,208742,374501,461612,259003,252760,144020,227825,133863,232995
410510,"Skins of sheep or lambs, in the wet state """"incl. wet-blue"""", tanned, without wool on, whether ...""",16381,19418,25382,20989,18221,24037,18956,19762,15275,10148,,102267,107852,77432,62625,47294,51916,47370,44223,19403,34094,,58767,62408,91669,72378,56125,65642,62839,55607,43027,27897
293211,Tetrahydrofuran,119,706,1935,3577,4955,9325,4138,5857,7300,10090,,7652,3657,4340,9829,9899,17784,17521,11902,19373,26409,,61942,48228,57228,50098,38404,56382,47730,56566,52967,86628
292129,"Acyclic polyamines and their derivatives; salts thereof (excluding ethylenediamine and hexamethylenediamine, ...",3433,6923,8498,6918,9760,10274,9255,5779,4355,9807,,3659,842,28378,46624,57535,47278,56745,41519,10485,16958,,39799,42208,53660,48941,54929,54890,79950,69725,60546,95658
390610,"Poly""""methyl methacrylate"""", in primary forms""""",73,0,0,0,0,189,2210,2400,5889,9691,,76,705,208,0,58,7339,150922,152590,146977,235767,,35300,38971,34778,41590,47768,60928,81440,57126,53872,70245
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",19788,26621,25036,14020,3806,5865,5304,7024,5412,9496,,136590,144758,120046,80126,39860,12118,21666,17065,6505,11654,,156605,155794,152467,145358,109324,127816,169048,169844,146863,158966
790200,"Zinc waste and scrap (excluding ash and residues from zinc production heading 2620"""", ingots ...""",6501,8599,10076,8829,8833,13152,14969,9974,5847,9442,,3296,9980,11491,10912,14590,15753,17451,12279,13473,14757,,90857,114399,152763,109627,114453,181047,232794,196790,86222,166656
720429,"Waste and scrap of alloy steel (excluding stainless steel, and waste and scrap, radioactive, ...",898,748,2200,1055,458,1060,2913,5240,4388,8603,,0,0,0,496,0,0,0,0,0,0,,87147,67623,50635,26309,23095,40781,54692,70435,51216,74311
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",239,7429,0,1,1272,2917,9380,11535,3580,7869,,1562,8586,1933,2952,42676,55987,5606,6366,9855,50044,,266936,266532,283321,291406,263406,293538,342499,380919,407171,493393
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",285,0,0,0,196,973,2577,5090,1630,7707,,112,361,214,490,975,7973,16158,17909,8935,28082,,194961,184768,191207,142167,115889,166775,379438,252524,153634,245693
292211,Monoethanolamine and its salts,446,2074,1718,1859,1792,2041,4517,4677,7190,7686,,9870,23552,25388,18497,22325,61817,110472,144272,91912,110401,,9190,11237,17560,15728,11933,15464,27935,26885,26065,46966
750300,"Waste and scrap, of nickel (excluding ingots or other similar unwrought shapes, of remelted ...",228,10121,1880,983,1896,7188,925,1482,1869,7311,,8029,37873,38098,21222,28019,35479,32119,43654,31093,57839,,4220,19240,20699,16472,12551,25713,12913,25371,26093,25045
780199,Unwrought lead (excluding refined lead and lead containing by weight antimony as the principal ...,10662,12033,20797,14189,11029,7582,5179,3235,2379,6829,,5151,19827,35749,25063,602,1229,0,0,0,107,,188611,179199,222262,189358,227104,283816,326514,254036,242787,298312
292910,Isocyanates,355,0,0,0,0,427,16411,13977,7690,6350,,49,138,207,17,21,309069,961009,257418,256115,150834,,384880,354657,330161,245907,228957,326297,359178,214088,172778,290614
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",0,139,1489,127,137,194,11252,2112,2472,5308,,188021,298916,267262,236477,205293,195981,254762,243531,239992,254740,,0,48825,60718,45730,44901,49392,103784,66265,74517,123493
151321,Crude palm kernel and babassu oil,0,0,0,0,0,0,0,0,0,5203,,0,0,0,0,0,0,104,0,0,0,,184953,258055,216316,179047,75904,116776,123831,99653,95194,175773
291030,"1-Chloro-2,3-epoxypropane """"epichlorohydrin""""""""",0,0,40,249,1817,912,570,4220,2422,5008,,0,43554,4216,1012,2903,2016,179,5938,4353,10518,,32296,36897,50873,57942,50343,64180,124582,103630,75058,141172
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",0,0,0,0,0,1,0,0,232,4930,,825438,723201,564809,25,0,17,0,0,0,0,,99732,94962,91472,88910,68964,164257,336136,274592,167293,346919
382319,"Fatty acids, industrial, monocarboxylic; acid oils from refining (excluding stearic acid, oleic ...",148,0,662,2641,2371,1214,1596,2221,2480,4568,,6621,4839,3912,11492,17037,12810,7841,22454,8315,23992,,156371,121844,194252,180651,224055,318480,399591,338607,351662,608621
400231,"Isobutylene isoprene rubber """"IIR"""", in primary forms or in plates, sheets or strip""""",0,0,0,0,0,3036,3542,512,1897,4490,,0,0,0,0,2861,42085,48399,26207,92400,126320,,183626,169761,147036,103113,97130,110720,140631,103610,59700,67857
292212,Diethanolamine and its salts,849,5818,6230,1824,2239,2908,3949,2856,2602,4446,,75692,89098,45069,27198,23569,132092,105958,104755,89899,103344,,14993,17434,20495,15192,15222,18219,15624,14770,10374,24223
310229,Double salts and mixtures of ammonium sulphate and ammonium nitrate (excluding goods of this ...,0,0,0,0,70,706,944,1850,1769,4390,,2593,5010,4987,5416,1598,117,2536,942,57,1,,1974,48,6,88,320,831,1850,2431,1975,5560
780191,"Unwrought lead, containing by weight antimony as the principal other element",0,0,0,0,0,0,0,0,2698,4342,,0,0,0,0,0,0,0,0,0,0,,6702,8049,11004,7728,15780,6594,20899,36122,55963,76212
262019,"Slag, ash and residues containing mainly zinc (excluding hard zinc spelter)",4261,5362,6067,4486,2896,3619,4655,2009,3039,4309,,101,14917,670,906,239,51,327,0,0,0,,41606,42738,44328,40545,39159,47671,49323,33442,75644,141140
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",45,635,662,563,548,1725,694,1475,2032,4300,,6598,6145,11628,14992,8358,16538,27477,17626,12315,19259,,47256,39380,55376,45754,42059,65120,142888,140613,95409,155791
470710,"Recovered """"waste and scrap"""" paper or paperboard of unbleached kraft paper, corrugated paper ...""",34,21,58,0,36,0,13,0,3208,4246,,12701,17978,13785,11049,7703,5702,13871,3186,3019,1280,,4483,7096,7061,13112,5024,3446,6437,28315,162435,377622
292215,Triethanolamine,0,0,0,0,0,3125,4311,2785,2210,4143,,0,0,0,0,0,0,0,0,0,57982,,0,0,0,0,0,12322,16828,16239,13505,21866
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",6455,1589,1501,4687,6678,5966,11265,4980,2858,3745,,127700,126659,120038,156688,97071,84901,89714,77024,74660,130549,,43271,46650,57872,50359,53875,50891,67195,64070,51899,75317
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",268,0,0,36,1328,265,3777,1916,1331,3639,,0,0,0,0,27413,11879,75995,76119,14698,23232,,146043,182400,206092,168050,187329,286376,388795,297241,288911,588852
760110,"Aluminium, not alloyed, unwrought",0,75,59,5011,158,5293,4050,503,12049,3564,,7311,353294,1090840,987209,1083300,999936,951749,840479,969837,825857,,324786,420542,332979,346519,318270,205803,142017,108257,172665,153202
310590,Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium ...,182,86,0,0,62,0,0,0,0,3416,,2160,3199,4820,5029,2316,3238,1783,1837,2013,1882,,22247,27432,32845,78821,29935,28285,37241,37371,41874,51268
290220,Benzene,0,0,0,0,0,0,0,0,2837,3346,,11376,81219,0,257,3300,8477,310448,77647,35384,95171,,56171,5583,59,7,10,102,18777,7559,4764,10103
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",1581,1839,2170,1866,1860,1297,1991,1881,1751,3308,,39834,34141,18350,14576,4337,4555,8376,4892,2773,4206,,597151,606904,677041,725967,806235,799922,811688,815578,820315,1106804
410621,"Hides and skins of goats or kids, in the wet state """"incl. wet-blue"""", tanned, without wool ...""",5393,5220,4014,3480,3205,5347,3644,3055,4141,3294,,5060,11119,14999,5668,5491,12019,6482,6703,4644,7482,,9649,8854,6572,9343,8369,31042,23807,21900,18398,8292
680919,"Boards, sheets, panels, tiles and similar articles, of plaster or compositions based on plaster ...",1624,1798,927,227,120,1719,1493,5104,3741,3289,,8365,7653,8125,10047,10622,5676,7702,7889,4798,9951,,11013,10237,12262,18617,18124,23659,34693,41924,16057,21496
730511,"Line pipe of a kind used for oil or gas pipelines, having circular cross-sections and an external ...",4,0,0,0,0,0,0,0,0,3130,,926,1065,911,595,355,1259,59038,40474,31690,12573,,5455,822,5824,8428,2026,1612,18058,10624,11750,11217
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",46,94,394,407,318,116,24,1354,437,3103,,15666,14867,12513,9275,4537,36305,26336,61780,62855,195799,,45361,45393,52986,44523,45998,66718,77378,61306,57820,133459
390890,"Polyamides, in primary forms (excluding polyamides-6, -11, -12, -6,6, -6,9, -6,10 and -6,12)",87,0,0,0,444,1073,1023,1580,1898,3084,,3573,1380,811,932,1831,887,443,146,304,186,,134355,154577,193639,177635,138316,141001,229563,207910,74575,119259
291531,Ethyl acetate,0,0,0,0,1132,0,3052,116,1084,2847,,0,52980,124798,86842,66036,64749,73198,74176,89061,132589,,4360,1157,843,1351,1439,184,3322,536,4110,6695
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",417,1646,2521,2236,2097,3642,5019,1270,1184,2805,,453866,17989,13630,12742,7354,20691,83402,38998,40930,66651,,23599,24094,31966,31557,34091,32483,52860,54769,50813,74173
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",0,0,0,0,0,0,0,0,256,2768,,0,102,0,1,0,3,12747,0,0,0,,3880,1295,11,4660,653,7323,9122,3500,64782,33850
410190,"Butts, bends, bellies and split raw hides and skins of bovine """"incl. buffalo"""" or equine ...""",869,927,3040,5691,4011,458,1142,775,933,2750,,0,0,85,0,0,1,11,0,0,124,,28168,32463,38228,33776,24629,18828,10230,6435,4157,6444
291411,Acetone,7419,18781,10162,0,0,722,1553,949,0,2578,,54305,57506,68084,38134,26110,64598,123838,106660,121881,213715,,103705,131083,137270,99584,80560,119177,87449,38544,67351,110219
280440,Oxygen,0,0,0,0,0,0,0,0,0,2574,,214,271,1268,860,835,1159,1274,608,233,1637,,410,874,1010,789,398,521,664,854,376,5645
390319,"Polystyrene, in primary forms (excluding expansible)",18,41,366,1901,1125,869,349,1,968,2563,,139495,91832,141229,92412,124267,151390,115419,88957,88579,152761,,23727,34263,34825,27944,26714,35721,48684,40261,40755,62333
282570,Molybdenum oxides and hydroxides,0,0,1258,0,0,0,158,122,189,2464,,0,0,0,44,0,0,0,0,0,0,,4075,2014,6205,4024,3264,4354,7590,12285,9273,18943
