Product code,Product label,"Korea, Republic of's imports from China-Value in 2012","Korea, Republic of's imports from China-Value in 2013","Korea, Republic of's imports from China-Value in 2014","Korea, Republic of's imports from China-Value in 2015","Korea, Republic of's imports from China-Value in 2016","Korea, Republic of's imports from China-Value in 2017","Korea, Republic of's imports from China-Value in 2018","Korea, Republic of's imports from China-Value in 2019","Korea, Republic of's imports from China-Value in 2020","Korea, Republic of's imports from China-Value in 2021",China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",97369,108149,82722,84396,102586,169608,468022,621956,969627,984416,,4355967,3306349,3277201,3399893,2785190,2027043,2087114,2282225,2092699,1982517,,544187,296300,160466,186581,241865,340951,860048,1152982,1914221,2396090
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",475898,462785,439868,464380,480332,611289,608810,646710,667463,952727,,4997600,5504037,5814012,5927523,5342813,5769067,6748713,6928980,7817290,10545923,,1581279,2057939,1980838,1924783,1715645,1760895,1865753,1848774,1773763,2096895
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",341957,424338,611268,414562,565293,737275,583225,582144,359146,936094,,3485318,3732539,4850820,4382895,4370552,5275930,5642193,4899474,3869773,7605706,,800145,732810,775798,486157,615334,780566,627568,650894,426577,1021466
284190,"Salts of oxometallic or peroxometallic acids (excluding chromates, dichromates, peroxochromates, ...""",194618,171069,267114,226195,160849,507633,581489,602741,509028,921304,,214359,178211,288577,259229,135227,539289,614933,400557,285281,238401,,256336,238110,339190,286848,259895,558669,624340,891104,645634,1082026
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",1310188,1743418,4372948,4429530,3212428,2408491,1425377,1115308,946724,870249,,39594274,47116398,45105066,49585071,48463570,50776282,51951119,47859965,45200289,49192067,,2439153,3128600,5860128,6962723,7373019,6471977,5553043,5844249,4719017,4594644
850440,Static converters,793579,842168,906344,731046,622649,619889,659545,705838,761373,864804,,15550632,17613653,18244369,17808018,16465983,17099818,17933786,18436273,20901019,24890780,,1465649,1477126,1577340,1377420,1234364,1284291,1471599,1586388,1544779,1850786
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",1711440,1427146,1362165,1463323,1247504,945837,751384,1267263,987438,862452,,8631521,8394164,8389879,9209780,8145766,8352154,8993637,10804878,10737893,11672708,,1978805,1810830,2103971,1952831,1359302,1026867,921358,1435899,1051986,1006928
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",315384,348386,438452,502051,608520,622347,608184,625265,607924,742962,,11450207,12378883,14134788,15666830,18494884,24261407,25467875,31342495,33485634,42015657,,475297,561836,658068,701393,802371,796670,814905,766744,737603,895221
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,935979,279585,305841,487813,476525,458108,236227,394483,1462887,735858,,27920681,18115196,15075442,16259137,12764839,11084017,11027529,10614970,11231193,11967389,,1896279,1025909,1214331,1251022,1041945,995084,959699,849398,1921522,1937581
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",15442,13457,22256,24447,25064,515932,461140,387690,438555,715646,,4828383,4759168,4839917,4460400,4293589,5073460,6164928,5457612,6458197,7833031,,84639,77087,91777,96530,95137,602011,545335,470442,543763,852757
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",109032,141599,167582,189001,193748,272940,381685,452330,492247,713874,,1830338,2183359,2676004,3017486,2768057,3947771,4775233,4639440,4357233,6652844,,377061,425970,510854,621919,631161,713003,858133,868101,835532,974106
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",140805,189802,188790,207739,241621,294152,304721,357862,443471,657800,,7741569,9386622,10733540,10296608,10631943,10852859,12028108,13978499,17537513,20793443,,649506,780701,712734,729344,779323,993231,1084454,1079506,1226701,1569313
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,539437,575251,465727,519617,648977,,0,0,0,0,0,6602508,8972933,9095985,10075026,13088408,,0,0,0,0,0,564547,606037,507431,574921,769488
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,87575,108574,139529,199316,247471,324179,366361,410829,491965,569415,,1450414,1611931,1807659,2008137,2143103,2330223,2671160,3134289,4441323,5902201,,105025,123979,161696,223143,286903,396117,432778,430064,511210,588911
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",106271,235261,326860,301483,474757,684935,933530,573046,424450,563395,,1806044,2100562,2671167,2616412,3216610,3772956,3214479,2605054,2711790,3540136,,1573601,1347890,1260843,1303416,1475346,1806053,2566654,2282532,1978974,2315348
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,335215,427174,433349,400420,560466,,0,0,0,0,0,2905595,3538922,3451548,3654255,4966804,,0,0,0,0,0,1774696,1912108,1841465,1712523,1885858
282520,Lithium oxide and hydroxide,5199,6233,6584,16035,58090,72440,148831,286894,357205,558672,,23878,32192,44989,72301,139951,237940,398038,623392,543865,644462,,10611,11522,18060,29474,91986,132537,229293,385497,439780,667041
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",160327,186226,273326,234340,221148,267171,301626,318277,357078,527519,,4352264,3691519,4796353,4295120,4056657,4498692,4949453,4844696,4644328,6366984,,161344,187313,281912,238970,222404,269308,305725,321942,361511,535490
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",167624,166207,455434,394234,536760,343552,298003,351415,461194,517645,,5962127,6100823,6817682,5860399,5483369,4937296,4872540,5062649,7400129,7723280,,256760,239542,524865,461885,614630,433916,361625,409465,532468,601401
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",764967,1046109,1032089,546083,217033,278072,431319,363316,519569,499900,,7596082,7907194,6943312,7436946,7269948,8252622,9933134,11149256,13017151,16941781,,1317520,1766245,1811478,1492271,855580,1138678,1429051,1171099,1295694,1422269
680293,"Granite, in any form, polished, decorated or otherwise worked (excluding tiles, cubes and similar ...",102023,93684,106131,105137,562363,642176,657644,528370,455812,476933,,3018016,3504519,3588833,3543358,3369277,3216949,3043586,2633891,3094987,2583894,,102698,94521,108191,106080,569867,652004,664862,536864,462868,483894
851761,"Base stations of apparatus for the transmission or reception of voice, images or other data",447188,198663,327557,74237,107904,133880,146496,651798,530672,468565,,3762326,3373442,3575420,4313685,3335834,3055033,2332563,2396464,2139775,1981289,,495450,210843,352354,119075,144624,158456,166698,682486,546092,474643
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",2214638,2610877,173071,171924,220398,239682,274072,323344,370190,424368,,3853060,4537319,5152446,5692145,5829079,6422524,7901988,8317032,7717204,8719845,,3248528,3952969,1446865,1653415,1266477,1326943,1420840,1418986,1291697,1541973
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",230832,320867,336903,311360,276135,298764,320189,309185,298858,407858,,8888454,9592473,10517991,10056454,9323523,9952676,11316574,11118347,11321173,13077664,,1507805,1904646,2119295,1758162,1499790,1603481,1579807,1588504,1520608,1686638
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",327329,342946,362402,318927,328200,350251,312208,317023,332515,401437,,7223812,8389753,10583329,9962815,10239145,10748180,10804906,10380145,11459565,13288557,,462851,485522,527384,501366,527011,599601,580054,580515,650860,822950
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",292269,231904,334435,293595,253050,357999,188656,228847,146996,393036,,5814,18661,5240,4899,7839,18057,77128,19071,14086,820031,,1388326,1173436,1029047,859060,873887,1160699,976675,1001801,745608,1329228
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",196685,209073,168864,189105,168326,184293,304565,207024,292744,386403,,1912450,4743828,4134589,6193995,2900609,2465935,3179767,2257125,3868696,5082514,,562549,654440,537520,560195,534963,605435,812917,747078,840286,989493
722530,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...",177946,244117,303715,227763,393944,619402,408174,328564,156176,377402,,3190902,3046385,6010346,5291814,4797654,5661852,5193095,4003480,2844349,5241304,,184137,246856,311250,232389,432965,675103,439209,342515,164382,388853
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",61333,74170,86102,113865,119659,129572,244155,278681,254380,358948,,3124717,3651434,3650517,3707855,3636944,4177659,4988896,5303948,6672479,7988031,,95555,115062,136048,164993,170973,189573,315780,356906,334145,431423
854110,Diodes (excluding photosensitive or light emitting diodes),233593,265999,257388,229579,243522,289414,289275,280224,260095,357342,,1908403,2508753,2826450,2554477,2055089,2139155,2334318,2377114,2587145,3022485,,526629,510948,440989,394357,405503,485468,476005,488709,457847,599726
852580,"Television cameras, digital cameras and video camera recorders",198551,159893,192704,524651,546535,350121,289330,327572,380239,356826,,12737641,15798153,11685040,11763605,9478875,9068147,10663587,9746299,10823861,11960916,,722038,557513,572680,1151415,1489670,954209,798644,807988,862723,952411
700719,"Toughened """"tempered"""" safety glass (excluding glass of size and shape suitable for incorporation ...""",619754,917232,521424,384069,295044,223917,218400,229097,272201,353758,,853670,1008329,1113012,1185328,1303853,1338415,1414652,1686174,1983166,2327475,,670306,993871,566448,471414,391058,362164,241303,258008,308600,377048
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",236004,221374,191121,176402,162175,201732,244281,194811,188427,351470,,3165429,3167006,3768226,3194536,3027450,3817871,4765701,4716730,4117092,5948796,,621588,609598,497039,465767,301049,378046,428143,373472,329903,558499
940190,"Parts of seats, n.e.s.",203101,226811,256836,260266,247957,278072,262807,269515,303818,346267,,2714795,2903727,3125439,3412388,3261425,3475570,3657292,3924449,3695546,4267996,,296557,314218,354046,362826,344884,394134,387773,395135,421286,461511
841430,Compressors for refrigerating equipment,142099,185715,227657,161851,163575,209267,228623,253950,257324,338876,,2687636,3075983,3261575,3122087,3212495,3378701,3622839,3916572,3933148,4896594,,327590,370809,414320,349576,360188,414821,437552,467415,468218,553533
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,286128,316569,324046,326049,306449,335536,331331,315427,273178,335710,,14434322,17745974,21317092,19635870,17298639,17169304,15753113,16093709,12612203,15866804,,386000,427866,448339,477380,450919,532919,628633,663490,576536,646430
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),507407,646775,540014,391792,343280,326101,324314,323765,282492,330925,,1647723,1919298,2096278,2113165,2030215,2142812,2285082,2394967,2797690,3270634,,1095526,1256297,1080085,886082,831610,867574,874826,885453,858896,988447
392310,"Boxes, cases, crates and similar articles for the conveyance or packaging of goods, of plastics",309947,236502,248961,300135,289879,244491,258670,280234,264356,313286,,1525482,1678211,1449924,1386413,1274899,1325559,1378635,1566993,1731423,2102358,,486958,396196,402276,461997,495311,481012,487057,489916,458160,547784
811100,"Manganese and articles thereof, n.e.s.; manganese waste and scrap (excluding ash and residues ...",155539,101289,151312,148309,139670,181678,220147,181950,138556,311082,,343215,574689,723791,592479,584538,847770,944222,786649,547718,1019652,,177559,106462,155062,151685,150271,190886,227482,188202,141179,315414
391000,Silicones in primary forms,92755,68683,86147,101019,78309,126339,171336,100777,122578,306939,,320781,301661,374908,403188,388720,634021,1102406,754437,722672,1316410,,444265,465995,451716,442287,449823,493316,590482,505675,433067,617142
847170,Storage units for automatic data-processing machines,381979,349159,501325,477128,790020,1615570,1852518,180873,223122,306571,,18638870,16591268,16635339,14808304,16709092,18653486,17820524,17285611,17341219,16708192,,1286252,1312733,1409346,1397474,1682080,2487168,2873605,1012692,875437,967569
722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn ...",242822,241065,332752,275641,255491,290208,211216,219319,151924,306095,,3542547,4776515,9161102,10713701,9302736,4501476,3840554,2489511,1633915,2393682,,301005,292523,385598,330356,301823,340469,248659,248613,169282,358164
845129,"Drying machines for textile yarns, fabrics or made-up textile articles (excluding machines ...",751,171,593,344,146,346,98730,208098,275174,300241,,11101,13743,47017,48051,34093,36047,139493,257706,331327,372021,,4942,4820,4747,5351,6962,12316,117058,220832,285369,308734
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",147836,161253,191103,196747,206215,219667,241314,254610,237554,299215,,4237702,4544787,4367099,4868206,4300680,4906812,6078807,6563510,6140653,7670167,,190143,218876,262386,271278,281600,309158,342185,373967,383656,457414
950450,Video game consoles and machines (excluding operated by any means of payment),46902,22566,60422,49647,56760,104367,91837,145796,174163,298494,,7253069,6099963,5854739,8399952,9670460,11920953,11043000,9131034,9981580,13522404,,47161,23240,61119,50404,58975,106754,96265,148915,179074,305316
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",55263,65838,75254,76952,82432,96138,139601,147316,225224,297708,,3960322,4115727,4570645,4546777,4135731,4365155,4661576,5106461,9276045,11452382,,88387,98501,117917,123649,125338,149915,197109,206677,286795,381752
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,148032,42329,108127,44354,38159,57828,29628,87279,186357,295800,,296402,203032,412167,164789,85313,58128,68072,66677,89136,107929,,777378,389837,389539,328127,362573,592044,685662,692617,884827,1011774
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",15472,13046,13471,57573,64074,68787,94673,210246,295844,291177,,1881055,1944506,2132819,2015619,2175599,2731409,3198018,3464530,4437762,5280294,,92134,81199,106283,157492,179871,189850,215834,320859,400129,397624
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",76186,86960,94011,108469,102163,121018,160469,171876,647225,289565,,3489427,3971765,4425576,4648290,4461880,4636591,5132255,5445655,53751194,11949763,,112013,124504,139512,162238,156096,182884,234247,251418,769485,381893
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",170350,166988,166788,162474,188720,221261,220209,204611,189053,287715,,903390,785024,748620,645444,560348,627850,629409,554294,539742,721606,,414899,416170,406755,356444,394377,482347,450358,422769,431357,603367
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",80679,152190,237985,181049,188915,245595,263571,198155,239629,286553,,533064,600140,1022880,655761,565386,712758,787281,645888,689255,1374192,,160906,248801,337566,256447,245454,328398,364580,389896,394296,349993
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",119104,115478,100160,92245,93998,110370,128806,245721,193485,284400,,2899566,2967844,3180240,3112882,3219509,4291359,5096367,5481871,5073228,6670989,,173728,174252,195221,165474,147783,175423,202045,415122,327183,424862
392119,"Plates, sheets, film, foil and strip, of cellular plastic, unworked or merely surface-worked ...",16521,24053,41170,48700,50261,57497,67316,106343,195057,283052,,216235,252766,279790,296767,291908,324392,356220,486627,559066,535168,,267403,295240,259866,242420,249797,286131,361420,450436,577494,664328
900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",409386,579839,650678,581089,247242,260177,181704,166894,241246,282358,,1444082,1153416,1049431,797080,742343,653732,566612,566166,454150,536519,,583540,765255,824736,842389,678114,960746,722305,609377,557569,653778
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",158062,135820,193862,197542,139813,169706,154490,158539,154031,278417,,2637658,2601886,3993789,3938227,1974186,1141257,775158,1404823,1421898,2132379,,331004,288998,242405,222962,196944,214176,264964,251615,234974,417984
850450,Inductors (excluding inductors for discharge lamps or tubes),139771,154514,155336,145552,174933,194956,197836,201797,230625,274895,,2369382,3288910,3254863,2888664,2624270,2661130,2901203,2897949,2773106,3660486,,282080,337664,370870,314200,377763,513698,458933,499205,556111,748299
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",245711,244396,199672,168707,137421,187042,211891,188242,193269,274805,,3886197,4964861,4439511,4105674,3527777,5155403,6087845,5126847,5141272,4708174,,281946,290391,268562,259273,225217,242821,317252,240727,311122,461632
721420,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations ...",139913,147632,246209,343010,381065,377413,135105,215840,122678,271507,,202716,172967,122652,97333,85668,106903,171952,220824,199352,301666,,304183,240571,290031,398128,441672,518038,307598,376909,215717,716192
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",10798,17812,31365,45647,54976,76130,114865,173293,219113,271402,,1951387,2171772,2666277,2969992,3008081,3606034,4307329,4400514,5740694,6151412,,24058,64138,120307,166622,200734,335026,398742,378384,488183,472881
280469,"Silicon containing < 99,99% by weight of silicon",205744,196628,343822,351195,267298,270341,267731,189644,137017,270317,,1144421,1442326,1978294,1777572,1279308,1528143,1609058,1212269,1113223,1902268,,299190,262974,420281,418254,330434,335003,374138,212973,141652,275426
292610,Acrylonitrile,0,0,0,16,0,4144,0,37549,61877,269394,,0,0,0,0,2469,15122,11990,66677,78321,400268,,211031,175651,172740,141710,146746,219649,330595,265385,211328,457489
850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,88914,81428,73311,64779,131808,138662,154788,150039,164675,265034,,2208980,1721091,1705441,1654800,1600393,1801730,2062991,1986233,1973912,2890360,,94513,85491,79180,69582,134865,160423,175116,173044,186549,308507
940169,"Seats, with wooden frames (excluding upholstered)",145303,152926,170310,190212,167148,173567,188141,190791,213242,262439,,634669,714558,762450,722401,680900,763576,669358,571138,550061,677068,,218076,234558,272341,307277,281240,293651,317727,312392,330445,365417
722790,"Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils (excluding ...",246138,259371,246276,207542,207183,258044,215667,233226,158721,260379,,3244729,4207017,5484498,4349696,3502861,2803972,2333338,1658621,1123628,1586631,,331685,404609,393172,299000,285842,355746,299571,315283,207881,364223
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",82583,53931,71407,96786,174371,248861,245183,217193,241752,253653,,12108645,11052503,13551801,12508589,12280973,13870741,14941793,12833637,13737789,15006764,,118687,102272,147082,232689,547540,705290,721937,693153,781003,1314671
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",352558,281133,250677,239526,215376,208526,193198,174758,215556,249650,,3840141,4083632,4380924,3982888,3935376,4431499,5067627,5147457,5041408,6608520,,967225,872541,874491,851453,927204,871444,763414,694700,761928,835500
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",129236,142952,133076,133816,132133,152643,185531,208790,186054,249638,,9975364,10463319,11241038,10849559,9671340,9586244,10289138,10464396,8574587,10209982,,205185,250048,268066,294994,286083,312741,393203,426435,393125,471038
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,213949,205294,197938,197126,198043,213195,256945,260219,221049,245442,,7467435,8780149,10993331,12069145,11630416,12670263,12816140,12585823,9410316,11213156,,294443,325172,358538,390359,421423,468227,566562,594202,610436,649655
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",394488,648101,321863,472480,413073,401086,342768,283435,218917,243335,,2958522,3009119,3147855,3037504,3102294,3398292,3732805,3760551,3554395,4354729,,1276587,1448386,1043619,1152056,1188150,1368965,1159705,1013000,937848,1005588
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",118187,126839,127135,152325,185974,185679,212224,209448,216617,243122,,5809829,6020386,6129462,6089210,6005525,6399667,7032694,7408333,7084399,7919140,,149646,163970,175399,213113,252605,264915,290921,288380,303727,343355
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),122541,120461,128368,109041,111365,120287,135129,160316,192684,241821,,2541808,4121556,3083793,3224546,3141353,3201159,3542204,3827190,4612890,5603617,,365239,346281,430807,329069,312863,384130,419434,459655,498772,635367
71080,"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excluding potatoes, ...",169357,164152,165304,172795,195874,208404,216911,213433,220417,241652,,643111,629515,674351,653142,720247,782750,791429,839919,824259,770137,,176595,171516,181052,180508,206117,224146,235099,227822,244681,268215
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,84976,65510,74303,76529,87960,128527,137939,138042,149364,240131,,1134360,946325,1138353,970869,1199617,1985464,2289994,2209468,2350738,3238509,,375890,344850,333257,308464,317235,400962,406979,379418,357692,494072
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",60056,64983,95510,140929,161672,185762,191595,198394,230648,236296,,5785176,6346436,7284550,7484281,7714444,8197437,8783814,7717648,7631375,8897566,,94325,109551,149133,197069,212756,236233,243924,253103,297105,320329
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",74405,96677,68342,53418,51964,77370,93806,121981,142959,233040,,4780978,5051339,5581220,5345770,5237552,5936798,6619744,5619383,4865230,6051097,,97122,117337,98051,98322,106569,120432,134309,160992,178698,279403
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",2245,8808,21427,26731,31273,46150,43964,93069,175903,232486,,29174,13678,26128,25655,50592,60276,65817,140346,125187,94707,,68529,109331,195068,180709,101043,175281,197361,355744,620736,1152675
