Product code,Product label,Saudi Arabia's imports from China-Value in 2012,Saudi Arabia's imports from China-Value in 2013,Saudi Arabia's imports from China-Value in 2014,Saudi Arabia's imports from China-Value in 2015,Saudi Arabia's imports from China-Value in 2016,Saudi Arabia's imports from China-Value in 2017,Saudi Arabia's imports from China-Value in 2018,Saudi Arabia's imports from China-Value in 2019,Saudi Arabia's imports from China-Value in 2020,Saudi Arabia's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
890400,Tugs and pusher craft,0,79438,25375,54103,129785,1800,265872,478955,153884,268960,,1099237,1126870,1293967,805385,459675,452744,470853,320190,212996,127953,,53606,276552,51905,104767,184044,16249,719683,987473,395739,707135
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",140093,123275,146815,122518,122678,147515,173821,321713,209298,256877,,5878993,6183586,6055198,4905323,4624310,5031723,5430335,5571778,4867161,5552397,,897329,938524,902168,790327,639563,611130,626384,942226,571814,669596
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",93374,97089,100776,114572,111935,134478,121689,155711,154888,251871,,5785176,6346436,7284550,7484281,7714444,8197437,8783814,7717648,7631375,8897566,,155717,162645,190451,210184,224116,258839,242171,292239,296692,411016
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",56886,159753,197981,152644,79970,70486,140464,179648,176990,231834,,11471275,13800872,17583016,14265263,12934178,16041503,20360989,16774375,15417314,18058442,,227331,413109,505936,423717,277821,234810,352030,452574,454641,569852
291736,Terephthalic acid and its salts,0,64792,62226,18570,21919,7422,0,0,11566,222313,,11546,130175,422428,425724,419014,336985,715562,517917,395795,1496520,,0,167753,159252,53407,49214,60895,36429,24954,70458,325284
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",1426,4294,3384,4430,4575,4277,4730,8081,153357,191015,,179089,169773,129022,152484,169891,234878,272371,314071,1909778,1821843,,302172,411297,488588,484250,411092,455532,595250,560882,723057,795384
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,0,2000,0,0,10000,4500,165807,123437,50180,184425,,27920681,18115196,15075442,16259137,12764839,11084017,11027529,10614970,11231193,11967389,,20600,13973,32167,0,10000,6289,308084,247601,145181,591322
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",40247,43674,47374,48417,34280,42660,30070,98142,126574,180586,,12108645,11052503,13551801,12508589,12280973,13870741,14941793,12833637,13737789,15006764,,195244,70074,84880,90070,62095,76555,113639,188740,226121,381453
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",142326,158742,157364,205239,167845,152370,157085,183051,200074,178865,,11450207,12378883,14134788,15666830,18494884,24261407,25467875,31342495,33485634,42015657,,167897,180619,177801,234407,185264,220384,201339,216992,229499,213179
850440,Static converters,26275,32390,42109,44308,37004,44759,54574,73635,83247,144707,,15550632,17613653,18244369,17808018,16465983,17099818,17933786,18436273,20901019,24890780,,122405,156245,200685,170603,141330,151465,182081,161181,174388,261263
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",42586,45819,53260,59970,46037,55736,75778,103032,139841,144352,,7741569,9386622,10733540,10296608,10631943,10852859,12028108,13978499,17537513,20793443,,174511,156751,183628,210507,148495,164086,220122,250591,287417,310818
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",32432,31211,39164,81337,81344,71608,52193,89842,131193,136260,,1881055,1944506,2132819,2015619,2175599,2731409,3198018,3464530,4437762,5280294,,223434,208064,191747,260930,199781,173732,113126,147339,198482,216798
720836,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",28361,4218,174602,35162,48763,7276,95614,149577,158843,136147,,27904,21473,18048,15086,7094,6311,15152,4682,2513,70471,,146484,60267,287022,148424,92137,16167,115169,201232,284913,162831
940510,Chandeliers and other electric ceiling or wall lighting fittings (excluding for lighting public ...,51393,71076,57990,62452,103084,108887,128992,87984,168807,135465,,2858669,5125370,8141117,8673030,6789660,7002180,8134915,8834502,9886214,11751888,,127129,223156,245062,140029,170226,171323,206462,109166,200840,154421
950450,Video game consoles and machines (excluding operated by any means of payment),83717,147956,174116,172583,145795,144573,150952,151940,115938,135067,,7253069,6099963,5854739,8399952,9670460,11920953,11043000,9131034,9981580,13522404,,85104,150419,179476,178933,150077,150216,160555,154253,120658,138676
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",62576,64837,74528,88321,70479,64671,71214,105386,99585,128305,,5809829,6020386,6129462,6089210,6005525,6399667,7032694,7408333,7084399,7919140,,95776,100554,114773,140439,112974,104757,107058,152851,134354,165216
940599,"Parts of lamps and lighting fittings, illuminated signs and nameplates and the like, n.e.s.",11775,12666,13084,16195,13715,13237,18886,95949,93615,125790,,4362403,3333925,1871477,2191060,1982441,2465938,2454076,2579190,3166078,3635064,,41570,43107,38821,49024,36789,34073,40059,172143,176847,197081
940350,Wooden furniture for bedrooms (excluding seats),143821,129877,141738,154753,88570,64344,59452,78806,70166,124848,,3018594,3059895,3901783,4510284,4575472,4071780,3122497,2696021,2597735,2632502,,229008,237454,306417,359329,214327,169430,167547,241034,206679,252299
640520,"Footwear with uppers of textile materials (excluding with outer soles of rubber, plastics, ...",22260,18113,18805,9557,12714,16342,21221,28270,25319,123844,,547718,579177,613158,556176,559668,600912,675645,645282,533527,649568,,26684,22088,24961,11941,21460,25934,33733,44403,35755,150261
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",99748,116175,130658,150643,101823,90227,79371,94404,119213,117928,,8888454,9592473,10517991,10056454,9323523,9952676,11316574,11118347,11321173,13077664,,882309,1179896,1331287,1268953,1127202,1025124,1020546,755727,893886,902324
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",20288,27221,25956,36723,25257,26430,38271,59275,103647,108928,,3124717,3651434,3650517,3707855,3636944,4177659,4988896,5303948,6672479,7988031,,78614,105690,126708,136679,103659,99327,112738,130226,159491,183416
610832,"Women's or girls' nightdresses and pyjamas of man-made fibres, knitted or crocheted (excluding ...",1826,2419,2480,3529,8639,9500,11885,12222,72060,107730,,870035,993342,1208926,1178370,1106050,1127368,1307395,1377782,1488527,1937390,,2089,2538,3384,7337,15158,16599,15168,21465,80921,125728
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",25078,33512,39915,48648,45179,46844,48125,58309,71097,107385,,7556079,7915238,6974962,6944367,6437914,6782631,7920782,8476989,10007413,11083858,,76848,97023,119735,138864,114804,123944,126891,157238,165583,234049
850940,"Domestic food grinders and mixers and fruit or vegetable juice extractors, with self-contained ...",43206,52641,65740,68618,56263,60784,78179,85151,88905,106570,,2093555,2577399,2858956,2735628,2585918,2668671,2740577,2883648,3840654,4614651,,79440,94863,103787,102156,92103,94789,106709,107370,103254,123808
760711,"Aluminium foil, not backed, rolled but not further worked, of a thickness of <= 0,2 mm (excluding ...",21423,25414,28615,29813,27028,40443,54553,75680,85122,104913,,1278646,1484459,1690983,1760321,1770379,2047188,2487152,2262449,2110622,2624206,,47362,57385,64597,54760,36878,57605,67546,88146,113322,129140
852580,"Television cameras, digital cameras and video camera recorders",123264,91822,78108,40752,28736,42865,58793,80594,85441,103793,,12737641,15798153,11685040,11763605,9478875,9068147,10663587,9746299,10823861,11960916,,341073,357408,277639,211543,218879,188867,186571,180149,160904,177346
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",56,0,3699,2331,78,4667,9891,51967,31805,102894,,1014272,1113147,1257197,1305354,1198858,1322822,1635280,1833293,1171919,1036525,,1165459,1404924,1627925,2743414,2398210,2139166,2320210,2489533,1685440,1261841
271312,"Petroleum coke, calcined",4206,8711,1522,831,2197,1822,55946,38392,56855,100155,,441563,439359,413835,473209,420800,469590,827257,620998,397940,653688,,49114,126242,134686,120939,76844,100111,166281,136124,119262,185386
392410,"Tableware and kitchenware, of plastics",39082,51361,66522,77757,59733,55967,58679,70573,62549,96155,,2493889,2896864,4123178,5159923,4869597,5030694,5635832,6247633,6597532,7971596,,116362,148448,170098,193509,160741,149894,152603,173350,151619,202243
392620,Articles of apparel and clothing accessories produced by the stitching or sticking together ...,19519,15078,18639,21620,19272,18834,40350,31106,55587,92900,,2441153,2475238,2484049,2498666,2211797,2496904,2584765,2239346,6403687,5036812,,28327,27473,31240,40212,28504,30146,54282,56038,95679,134379
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",30856,22659,27693,36215,41656,54518,114874,169878,125529,90877,,4209990,4147605,4196547,4129407,3607870,3311654,3405972,3448161,4291381,4349833,,37507,30697,34164,42700,50563,65921,134969,190612,148877,121705
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,59807,73609,88970,69173,94969,104243,115441,192306,118474,90231,,14434322,17745974,21317092,19635870,17298639,17169304,15753113,16093709,12612203,15866804,,74800,93882,112651,91881,115169,124455,154078,270958,167243,124707
940540,"Electric lamps and lighting fittings, n.e.s.",55661,90260,108078,127464,81534,84946,104794,96451,104950,88184,,5971647,9088013,14459201,16910153,16975612,14130457,13688052,14851047,17393122,20490076,,147196,188908,236753,264658,141288,140915,187429,166898,152822,125438
940520,"Electric table, desk, bedside or floor-standing lamps",26043,30335,34119,45283,35204,32686,40261,26929,60747,86028,,896741,1936800,3241251,4321310,2369923,2211748,3174997,3776090,4311386,5240158,,38821,40130,47573,59408,44008,42346,51702,32780,68151,93311
961700,"Vacuum flasks and other vacuum vessels, and parts thereof (excluding glass inners)",25100,26358,31560,37538,31566,33359,45515,78193,86063,83795,,1216653,1310918,1377704,1518534,2016275,1995272,2266489,2711913,2626977,3241355,,70361,66680,84585,91990,65752,54329,61829,96145,96624,96840
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",1698,3216,4297,666,3448,409,1441,9295,34520,83324,,1603518,1313213,1128773,1226430,1096064,1427902,1940452,2230114,2277890,4485883,,5111,6454,11572,6046,11015,4501,8045,21843,62376,178467
870431,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",12821,13025,9299,5915,1772,2551,3535,26464,48830,83028,,778230,661939,551343,318044,262317,310051,468629,427258,371609,610299,,1368411,1540257,1311081,1279916,1015575,756460,521795,562338,342794,318776
540752,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",38944,28729,26934,22250,39114,52396,66459,127248,77793,79990,,4747760,5253906,5116203,5022516,5067667,5172402,5796931,6807539,5432337,6739181,,69236,59862,60145,54606,77463,95976,115393,222786,111637,96877
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",109783,124990,112056,124308,77018,75328,74146,87488,80015,77815,,7149728,7386778,7904822,7283527,6655596,6909953,7282661,6593078,7227905,8887863,,271105,331303,329690,401251,276648,283209,281052,246252,183962,173768
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",55738,45816,61752,67600,70868,65029,78406,88648,76813,74273,,4179672,4367799,4853857,4561092,4322103,3988625,3864524,3737221,3197026,3858857,,104378,92242,122047,148457,196701,256916,275093,296959,244864,305294
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,156972,101116,94919,71117,32141,34757,36851,53787,51803,72450,,29622426,28598928,30449755,28106566,25041571,32012335,44310088,31443509,30617702,31884221,,393919,268516,259012,218154,118377,86952,108183,133169,159764,221864
420212,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar containers, ...",111240,115198,131805,138483,147102,120855,124062,180915,97508,72197,,10895242,10322636,10006610,10039734,9530576,9901293,9897584,10039057,5967178,6936999,,122168,125033,145608,149791,160718,135822,144357,191816,113459,111575
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",30361,38760,42005,44315,35421,29324,28713,30289,50657,71856,,3960322,4115727,4570645,4546777,4135731,4365155,4661576,5106461,9276045,11452382,,44453,56039,60237,67673,51626,54261,60438,63887,79963,110605
880310,"Propellers and rotors and parts thereof, for aircraft, n.e.s.",0,0,0,0,0,0,0,0,6,70327,,7946,12557,11065,10697,17936,16842,13690,15950,6862,5321,,167,914,5359,758,205,2,178,189,292,910172
320740,"Glass frit and other glass in the form of powder, granules or flakes",163,55,161,0,1992,0,81,4847,18109,70107,,80850,78387,87856,87807,76329,113693,130740,129138,200022,188139,,6122,9648,16217,15185,11821,7485,6932,12463,27828,79520
691110,"Tableware and kitchenware, of porcelain or china (excluding ornamental articles, pots, jars, ...",46708,48550,56531,68980,49546,44377,58680,73383,60233,69990,,2472778,2396890,4349509,6441258,5143912,5345158,5645568,6288118,5466714,6372951,,58180,61919,77642,85437,66258,61678,76382,94569,70162,77738
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",43650,41312,55254,61134,27116,49421,38633,54075,95180,69791,,4430820,5585418,7103636,7471870,8642170,5840526,4633399,5168215,4551795,4670042,,84195,65294,73790,86913,37857,75755,59374,72222,155440,88193
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,0,0,0,0,69669,,0,0,0,0,0,6602508,8972933,9095985,10075026,13088408,,0,0,0,0,0,0,0,0,0,80797
761510,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",17199,19385,23431,29754,25605,26657,35136,57240,56519,68474,,2047302,2386739,2382234,2324281,2265041,2416126,2553049,2681887,2950488,3687373,,60215,60449,73433,85217,67912,74960,74935,107152,106318,119338
845020,"Laundry-type washing machines, of a dry linen capacity > 10 kg",1435,2349,988,3173,3728,4296,3445,22306,44416,67629,,258420,681285,901394,1072547,907318,542602,596690,738176,979907,1255262,,13767,19898,16418,17986,18664,17879,23493,57833,96075,124597
842951,Self-propelled front-end shovel loaders,164956,175406,142675,134016,26498,13817,21937,52626,67666,63265,,1882870,1690603,1535146,1156458,944280,1531673,1795736,1635377,1505272,2185925,,580329,494804,482797,467192,142122,104319,94159,147543,151022,136449
940330,Wooden furniture for offices (excluding seats),60185,63833,69625,64538,32033,25088,26669,32028,24547,61511,,853788,892441,1030991,1220836,1145262,1169866,1200598,971516,1141552,1237901,,141010,157414,182879,174384,90357,65525,80843,88257,65174,117497
847170,Storage units for automatic data-processing machines,64861,62468,59359,35385,35172,37081,32788,44617,47445,61475,,18638870,16591268,16635339,14808304,16709092,18653486,17820524,17285611,17341219,16708192,,158915,152282,166964,170451,137535,150585,148561,186944,180073,192057
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",208847,29984,134017,169762,187631,231164,242098,149434,60161,60300,,39594274,47116398,45105066,49585071,48463570,50776282,51951119,47859965,45200289,49192067,,433758,68527,330174,301974,327659,486227,322537,195422,118169,136372
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",144298,234001,173507,152743,62019,72126,74287,50571,41806,60099,,8631521,8394164,8389879,9209780,8145766,8352154,8993637,10804878,10737893,11672708,,927188,1196982,957671,978919,436575,415040,416922,398896,247046,285232
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",30455,18715,19593,30402,31018,26974,24183,25084,25662,59726,,684412,849411,897990,819417,862985,791678,969030,815677,577384,642517,,38925,34948,52999,69308,77283,74038,64016,77377,85818,198485
392490,"Household articles and toilet articles, of plastics (excluding tableware, kitchenware, baths, ...",20182,20296,18109,20727,19116,22262,21773,39715,40983,59228,,1360391,2112667,3003687,3331987,2950663,3301840,3595118,4002905,4922246,5739144,,34817,36573,37295,47560,36741,42511,39228,62577,64514,93090
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",22025,21828,29687,33959,24953,22933,32486,36674,36313,58943,,3196451,3189308,3580002,3515599,3142050,3145784,3284610,2880681,3690811,4694252,,25016,24702,33313,38965,29050,26807,36513,39798,39922,62581
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),10369,9143,8545,6421,6453,11963,34898,49125,25383,58666,,604000,662133,877979,885062,948102,917542,879500,1038299,1044836,1447605,,27431,24795,21592,23004,24623,31113,116485,215773,200289,483235
620443,Women's or girls' dresses of synthetic fibres (excluding knitted or crocheted and petticoats),11811,15001,25841,24650,20070,28798,30539,38910,26204,58612,,1530906,1882062,3527568,2995855,2722643,2527951,2476499,2664345,2223252,2883169,,22407,23708,43365,48480,49828,69157,76842,72129,64258,124389
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",22826,23306,27966,23923,20032,24553,33824,48640,56534,58487,,5962127,6100823,6817682,5860399,5483369,4937296,4872540,5062649,7400129,7723280,,53304,57503,69029,53140,35272,40742,60120,68826,73998,78460
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",52780,39389,47885,41965,31896,43526,41638,39024,31159,57532,,3794415,4701628,5328200,4982465,4386915,4195984,4137774,3677689,3092265,3879118,,78516,64991,87105,110289,99717,108933,92741,115802,70642,85655
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",6899,7699,6941,10423,8736,12076,16343,24512,49660,57173,,233758,260083,273077,277141,269054,305310,320481,287589,254663,306813,,160114,125856,98373,96389,80934,100501,111812,120923,219437,199661
851679,"Electro-thermic appliances, for domestic use (excluding hairdressing appliances and hand dryers, ...",16454,22669,27081,24797,29871,34200,48367,64412,54119,57160,,2160919,2602288,3036269,3045641,2967053,3169547,3327498,3401464,4268167,4858388,,31170,38062,45336,37584,41971,54186,69347,75206,60994,65037
70320,"Garlic, fresh or chilled",32561,30982,30186,40317,63680,64798,35918,51280,59615,56836,,1387589,1397396,1473193,1861135,2645053,2185437,1411251,1991170,2063511,1838991,,32743,31105,30286,40450,64580,65560,36361,51752,60381,57420
842810,Lifts and skip hoists,32261,36539,38084,43523,49751,55128,50615,41804,34891,56799,,1036619,1217479,1391123,1472105,1416877,1412375,1526564,1520266,1365592,1436385,,170384,203916,211511,190316,168194,172444,170553,117250,108591,113168
670210,"Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, ...",8042,7155,8451,11843,14093,17014,19068,30269,37587,55996,,1486646,1535472,1336065,1402290,1256730,1590465,1883255,2671841,3056984,4309774,,9511,7874,9537,13149,15535,17998,20220,31332,38694,57490
847050,Cash registers incorporating a calculating device,5938,3909,6631,15374,9997,10793,7334,17568,42933,55906,,658320,517610,700473,894853,902118,1001758,1137826,1389317,1354341,1677237,,12077,10241,10696,32958,19181,25853,17229,26803,61430,85483
852873,"Reception apparatus for television, black and white or other monochrome, whether or not incorporating ...",94940,121840,121059,163110,165742,171991,164043,135213,131908,55803,,1787,813,646,307,65,591,802,233,10,30,,240468,343123,419675,355293,309421,284189,266848,214345,161335,56149
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",51767,41294,44964,57470,24265,22179,32538,40631,39083,55001,,3485318,3732539,4850820,4382895,4370552,5275930,5642193,4899474,3869773,7605706,,166920,188387,177555,232405,123279,112614,113900,132109,175377,192404
880390,"Parts of aircraft and spacecraft, n.e.s.",0,0,478,0,0,0,0,4,0,54414,,70685,68883,76866,123208,173863,214169,169562,188085,94763,108912,,222565,226267,64593,129116,305857,73378,109784,105648,255471,159156
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",20326,16946,13304,16541,13158,29773,17968,13918,24247,54153,,22209234,28034769,47589877,17828050,12627994,10457276,12785686,12756495,7269713,10328552,,539833,477774,344294,434997,597073,818852,781010,1028825,583550,1408225
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",35156,17826,23294,27517,17713,31158,39183,45518,34875,53613,,3650036,4074218,4330884,4287186,3954193,4416388,4790558,4610404,4238638,5225896,,178408,197429,256155,221172,166692,225229,190444,184113,129615,140150
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",14649,17301,23513,16322,6102,7093,5841,12913,25299,52914,,1237876,1373155,1424460,1577542,1571932,1792646,1981227,2264645,2745756,2970669,,170647,192234,211575,272699,149127,160617,148323,200297,135612,167214
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",8696,10836,14075,13542,12662,13628,14617,21370,377561,52022,,3489427,3971765,4425576,4648290,4461880,4636591,5132255,5445655,53751194,11949763,,16464,20484,59951,60720,43274,39149,49554,49081,460667,82888
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",23948,30653,40037,38381,30504,27910,38081,37735,47152,51682,,4997600,5504037,5814012,5927523,5342813,5769067,6748713,6928980,7817290,10545923,,192291,251897,266912,259673,219973,204800,217377,179267,215519,191672
910211,"Wrist-watches, whether or not incorporating a stop-watch facility, electrically operated, with ...",32965,32257,48239,53471,40425,43257,56029,43328,36252,50667,,1205076,1388514,1559349,1774953,1631803,1618374,1395745,1325766,797474,956331,,103737,70575,125556,166677,143620,126337,170101,114398,66641,67471
732393,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excluding ...",34362,29300,34285,33132,25120,21558,27706,41728,44290,50505,,1821254,1878378,2684562,3505135,3021491,3543028,3796960,4630751,5693236,6936382,,63693,62143,71109,72775,57254,48347,60335,81627,86980,95911
845011,"Fully-automatic household or laundry-type washing machines, of a dry linen capacity <= 6 kg",17625,19014,14647,22043,19275,22491,18743,27422,39152,49537,,2571479,2342369,2482054,2099526,2060456,2171335,2296147,2359109,2358440,2615416,,79748,100832,65027,102453,82291,78800,58444,52762,55003,54011
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),39799,46058,52768,64515,45389,34102,31229,38012,41098,49253,,1099656,1043075,1125830,1168474,1065008,1099250,1253817,1326667,1345683,1718430,,184051,191841,196162,178231,122781,153964,142372,122361,103484,117953
851671,"Electro-thermic coffee or tea makers, for domestic use",6167,6929,18224,17755,13922,17771,19717,21050,35537,48666,,2241153,2482623,2181473,1819464,1829128,1749041,1766189,1869832,1938717,2277528,,12658,16815,30756,32025,26663,36504,45345,46021,66968,84530
570330,"Carpets and other floor coverings, of man-made textile materials, tufted """"needle punched"""", ...""",8607,7799,13238,15270,10984,15879,19181,30208,45822,48051,,756268,879844,995920,961553,990369,1073633,1241185,1153942,1141701,1201848,,40646,58976,127527,138409,73907,86488,92560,121105,129331,125177
610711,"Men's or boys' underpants and briefs of cotton, knitted or crocheted",12061,5612,4672,11440,7170,4277,22078,35301,51410,47314,,1221106,1412639,1444455,1408333,1398888,1234646,1174555,1159878,1014862,1210002,,23653,12971,13873,24604,13857,7497,29165,45603,60851,60865
