Product code,Product label,Saudi Arabia's imports from Russian Federation-Value in 2012,Saudi Arabia's imports from Russian Federation-Value in 2013,Saudi Arabia's imports from Russian Federation-Value in 2014,Saudi Arabia's imports from Russian Federation-Value in 2015,Saudi Arabia's imports from Russian Federation-Value in 2016,Saudi Arabia's imports from Russian Federation-Value in 2017,Saudi Arabia's imports from Russian Federation-Value in 2018,Saudi Arabia's imports from Russian Federation-Value in 2019,Saudi Arabia's imports from Russian Federation-Value in 2020,Saudi Arabia's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
230320,"Beet-pulp, bagasse and other waste of sugar manufacture",0,297,0,0,0,0,0,3181,22563,22505,,127947,145849,116644,93282,131159,134069,186151,200588,219012,240313,,14721,15094,18621,16879,17902,5417,18932,36179,33901,34712
854610,Electrical insulators of glass (excluding insulating fittings),0,0,0,0,0,0,0,1360,4378,15276,,17335,18788,17763,14214,23781,19769,17475,24092,41321,40699,,4582,4077,2309,13048,6861,6125,1426,6550,9926,21884
293371,"6-Hexanelactam """"epsilon-caprolactam""""""""",0,0,0,0,0,0,0,0,0,15238,,511376,476000,359630,286624,253222,387762,443292,341558,254538,327684,,476,49,0,0,50,948,74,57,32,19202
20712,"Frozen fowls of the species Gallus domesticus, not cut in pieces",0,0,0,0,0,0,5149,7508,7619,14893,,4804,4863,5754,14764,27484,27898,37082,41525,34709,32922,,1296256,1438008,963772,1179020,1009341,717031,797829,710287,657999,721373
20130,"Fresh or chilled bovine meat, boneless",0,0,0,0,0,0,0,332,9778,13865,,0,486,347,149,1393,1538,1559,2599,11246,20789,,59630,67155,92297,103640,93907,110840,106869,178023,243361,220532
330720,Personal deodorants and antiperspirants,0,27,0,0,290,592,463,1696,11629,12086,,47641,61595,50073,38998,53041,72283,71435,99734,118212,171401,,70186,79335,91266,105285,82567,73890,82213,87020,82528,73658
290410,"Derivatives of hydrocarbons containing only sulpho groups, their salts and ethyl esters",0,0,0,0,1257,1757,3026,7074,7870,9146,,210,213,103,101,2398,4537,1535,2573,2056,3759,,9783,14074,17048,3518,3438,3226,7622,9385,9128,13088
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",84,1276,932,7776,4046,6002,7161,6963,5648,7684,,669509,524494,367089,271067,273758,427968,411640,365357,241239,416811,,20898,14029,9161,8362,4646,6750,8866,7696,5939,7967
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",150706,147254,268748,83116,53612,0,9130,4718,6467,7164,,1679985,1539575,1625894,1294129,1115729,1587963,2116325,1345114,1229130,1876974,,385719,240787,291469,237675,188213,1688,10279,5612,11907,8408
999999,Commodities not elsewhere specified,0,0,99,80,57,0,39323,466288,3363,7150,,12711257,13208165,11646991,55364811,45239262,52887528,63746027,55265424,39315738,73343877,,15612,17173,13459,4231863,4860459,5599898,8520559,8641456,6553579,6796306
480261,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",3910,4253,4761,7453,3631,5936,9687,5006,12225,6947,,4352,5496,6008,4925,6924,17720,19482,18510,15839,16949,,23985,23792,21188,20435,19808,25769,31460,32166,61640,66888
20210,Frozen bovine carcases and half-carcases,0,0,0,0,0,0,339,0,3407,6928,,1150,1034,1257,2627,223,2,28,48,0,50,,506,2503,299,179,21616,29555,36832,14770,37464,52201
481029,"Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by ...",4289,2496,1866,4116,2653,1936,15204,9705,7183,6805,,876,797,763,788,790,862,1001,1138,1101,1407,,87651,99885,110844,71316,37948,21985,37663,28726,26579,30813
720229,"Ferro-silicon, containing by weight <= 55% silicon",0,105,228,0,0,67,5127,2336,10295,6095,,15367,13956,18981,12324,11089,12567,13186,13307,7601,15456,,1379,1998,889,1809,530,629,6640,6418,10445,6453
440799,"Wood, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, ...""",4218,3520,2332,2800,494,674,362,3719,5531,5630,,73967,69724,106870,138963,142231,43975,46559,44409,34642,35490,,161400,160318,139361,119874,40757,32679,38626,92221,225635,183378
170410,"Chewing gum, whether or not sugar-coated",197,59,0,141,2153,4634,11934,10675,8162,5168,,2416,2363,2907,2523,2579,3406,3071,4755,4131,4906,,16077,14952,15796,17817,18000,20507,26734,25999,20755,12405
71320,"Dried, shelled chickpeas """"garbanzos"""", whether or not skinned or split""""",2910,2708,3035,3912,5269,6437,5806,5392,4814,5109,,101522,68096,108526,136420,170138,132790,66188,165283,116252,166615,,33791,38186,33716,40928,54548,63524,50843,42160,40233,46778
210690,"Food preparations, n.e.s.",13051,6789,8539,4503,1261,38,0,4,68,4688,,191834,235398,221161,148240,154980,205442,228428,263807,288181,386575,,979780,1022823,1035126,1084896,930372,873837,736570,719038,745399,855310
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",0,0,0,0,0,1859,1666,3442,3937,3733,,309490,390427,372134,280682,318176,355581,423541,483185,495766,583473,,105046,116382,114730,136879,162520,118515,130059,98219,74264,139371
441210,"Plywood, veneered panel and similar laminated wood, of bamboo, not containing particle board ...",0,0,0,50,0,0,417,407,924,3690,,36,29,5,4,85,34,141,186,88,64,,517,149,394,247,2037,6601,10890,10321,18573,44234
722519,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, non-grain-oriented",1578,5409,3372,5471,3175,2217,3031,0,3499,3594,,122374,106802,89337,90136,76229,114135,113986,78155,66084,108366,,43180,33523,21689,24071,26528,11355,12886,6648,17472,23274
270111,"Anthracite, whether or not pulverised, non-agglomerated",0,0,0,951,1444,3231,4554,8618,4556,3430,,1369956,1220723,1228624,1253846,839175,1613303,2397860,2354846,1639880,2068857,,15703,17019,28077,15765,13860,15114,15833,20686,12512,13830
340220,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning ...",122,71,71,0,121,134,0,30,32,3361,,223079,237843,233317,209423,206730,512444,273454,251136,278482,305632,,62393,66590,91963,124188,137151,108377,120979,136476,163797,155361
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,0,0,0,0,473,4392,4563,7399,5664,3151,,13855,12036,15028,12845,12854,18757,17989,16330,19322,22344,,29655,31233,19632,15233,14515,62474,141541,116989,41942,25731
441239,"Plywood consisting solely of sheets of wood <= 6 mm thick (excluding of bamboo, plywood of ...",620,154,45,3424,871,266,975,1806,4450,3031,,32819,24978,22815,43582,34111,45158,45959,33356,40258,71656,,96888,72233,71168,104017,61482,49064,45853,45729,61356,27487
440726,"White lauan, white meranti, white seraya, yellow meranti and alan, sawn or chipped lengthwise, ...",4553,4602,3626,819,87,1458,516,41,129,2988,,0,0,0,0,0,0,0,0,0,0,,128717,125756,78056,36933,6706,50466,28586,9904,25728,74610
283325,Sulphates of copper,799,1857,2556,1107,265,702,806,981,571,2959,,96625,92403,99765,91028,76877,71700,70987,73460,85869,127549,,2014,2698,7931,6528,967,1282,2812,1918,1745,3546
570242,"Carpets and other floor coverings, of man-made textile materials, woven, not tufted or flocked, ...",0,0,0,100,0,0,0,0,0,2760,,1738,2101,2099,1124,1082,1184,1776,3680,4060,6032,,40199,46557,119350,178526,161675,151168,139229,198403,165793,219451
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",0,0,0,0,0,0,753,873,884,2528,,589257,610355,598875,359671,294265,465629,680663,688998,438106,677814,,23049,26950,17938,19241,20834,23960,44923,33618,23854,47724
283526,"Phosphates of calcium (excluding calcium hydrogenorthophosphate """"dicalcium phosphate"""")""""",0,0,0,0,0,0,0,0,0,2334,,111125,122760,104800,118231,118098,120163,129837,141637,130528,200735,,7328,7158,6409,9223,8466,5506,15876,34635,6017,9876
854511,"Electrodes of graphite or other carbon, for electric furnaces",0,303,0,0,0,0,0,0,0,2307,,153130,116921,98666,93706,94498,137355,323458,219725,83477,119942,,43120,46700,36851,31350,10069,18519,81335,78699,35307,26579
300230,Vaccines for veterinary medicine,3160,2823,3100,6588,594,17807,3708,4050,6222,2301,,28223,35397,42148,39737,44393,63856,76755,66536,61661,55636,,51474,66763,72789,76357,83350,90626,79769,84858,86361,84647
470311,"Unbleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving grades)",0,0,0,234,591,1416,910,3027,2527,2294,,193511,150212,170204,141157,147956,159841,292192,190753,152871,291830,,0,0,0,526,591,2809,4210,6245,5730,5505
853590,"Electrical apparatus for switching or protecting electrical circuits, or for making connections ...",0,0,43,0,0,0,13,0,0,2065,,12233,19757,10476,10991,20747,18844,20943,19268,21317,25913,,116105,160536,194094,251174,192195,95463,68077,71111,103919,122940
821220,"Safety razor blades of base metal, incl. razor blade blanks in strips",0,0,0,0,0,0,145,1514,1176,1963,,33386,37710,38865,26802,29608,32233,30188,30690,29087,32337,,4908,5982,5898,4917,3738,3875,5707,13635,11718,12602
441299,"Laminated wood with both outer plies of coniferous wood (excl. of bamboo, with an outer ply ...",2325,3249,4197,16906,7537,7363,2347,7425,12936,1960,,841,1055,2099,976,276,1395,2908,3155,4656,11279,,271690,244752,255260,302821,142046,108868,98639,105891,113074,88378
722550,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...""",0,0,0,877,0,503,487,137,847,1958,,41957,34094,33524,41683,31506,36119,70290,40369,34018,85988,,1051,2827,0,14042,3261,9382,9060,3954,10163,13956
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",0,0,0,0,0,55,64,6,369,1948,,28372,45188,51625,46041,51723,64976,73617,84907,105683,137436,,167897,180619,177801,234407,185264,220384,201339,216992,229499,213179
391890,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles, ...",0,0,78,0,462,134,577,930,2435,1947,,1199,1388,1239,536,272,530,721,571,514,1362,,17143,14744,20836,36830,24640,26181,30141,47591,46400,79567
20727,Frozen cuts and edible offal of turkeys of the species domesticus,0,0,0,0,0,0,0,0,0,1774,,0,276,391,448,3077,2945,4653,6453,13132,46850,,117143,5846,4263,30329,12522,5431,5324,5245,7949,6468
310230,"Ammonium nitrate, whether or not in aqueous solution (excluding that in pellet or similar forms, ...",2351,1101,238,1387,817,952,351,1450,821,1590,,1000166,968532,962005,759377,589498,633164,686800,728568,625383,1171625,,23328,21719,26114,28316,23739,18769,20620,23322,20841,24829
720211,"Ferro-manganese, containing by weight > 2% of carbon",3080,5318,12099,2807,211,327,488,0,609,1547,,57801,62202,46643,10853,10162,34345,68867,75757,49568,80416,,40872,17745,25397,13086,3604,10282,6065,5326,2091,3244
210111,"Extracts, essences and concentrates, of coffee",0,0,0,0,0,0,0,154,208,1438,,71291,116038,107031,117200,110337,133195,130443,107029,166528,210276,,1695,1301,1646,1448,19137,31263,38812,99541,78863,65448
903120,"Test benches for motors, generators, pumps, etc.",0,0,0,61,0,0,0,362,0,1392,,96477,34677,59650,36306,56798,51913,77457,77742,45594,23575,,2429,3681,1985,4698,4590,5717,4028,7391,7636,10871
40221,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened",0,0,0,0,0,0,0,36,0,1366,,4313,3335,3203,4016,3185,1580,1104,973,1570,1993,,371640,403117,469713,407901,305345,311480,275248,364756,490012,356548
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",0,0,0,0,0,0,0,5,0,1277,,36555,39798,45921,29669,33586,34276,38102,44275,37664,43793,,130255,134842,132635,83781,59916,75365,104624,94772,97412,130709
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",0,772,271,326,295,153,0,0,0,1264,,116500,164122,226020,200039,196175,372519,238344,236974,244419,297333,,64790,102085,106696,111017,101711,108796,95998,118925,113470,128757
440712,"Fir """"Abies spp."""" and spruce """"Picea spp."""" sawn or chipped lengthwise, sliced or peeled, ...""",0,0,0,0,0,0,0,0,0,1242,,0,0,0,0,109,1289655,1601758,1717598,1583551,2476603,,0,0,0,0,0,0,0,0,0,58896
821210,Non-electric razors of base metal,3693,3935,4116,4385,2013,2634,2728,973,1149,1230,,26275,26196,27241,20732,17529,42542,26502,22195,21464,23800,,68918,67910,63949,73298,56232,57544,55452,57015,68687,65544
20230,"Frozen, boneless meat of bovine animals",0,0,0,0,0,0,5,13,1887,1225,,148,5662,6600,6231,6027,8779,11104,21248,66870,162040,,328785,277886,294771,289403,193628,172035,173590,211739,186316,282298
870310,Vehicles for the transport of persons on snow; golf cars and similar vehicles,0,0,0,0,0,0,0,0,0,1196,,3595,4686,4169,2281,2053,3983,4881,2982,2360,4818,,3815,6265,5058,5792,3564,7855,8391,17091,7429,31681
847439,"Machinery for mixing or kneading solid mineral substances, incl. those in powder or paste form ...",0,0,0,0,0,31,0,0,0,1175,,4202,6287,1830,842,2950,3849,3222,12990,10397,5632,,42769,38644,47956,57977,29180,18287,15158,10944,6259,6002
480431,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or ...",596,2287,1927,930,895,933,702,1399,653,1140,,27519,26516,27663,21875,22688,48591,68044,58248,101765,137099,,3582,8576,3424,4960,4552,4365,4724,8347,6412,4956
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",0,116,0,0,118,716,1152,615,782,1112,,564935,701060,625518,635951,714789,745404,745368,706948,657023,796916,,897329,938524,902168,790327,639563,611130,626384,942226,571814,669596
380400,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or ...""",1576,917,312,378,884,1277,585,467,415,1080,,31617,38988,40968,33715,28439,25945,18803,18506,19472,41217,,39938,14423,11691,13146,16158,12220,8109,8199,9770,8629
294200,"Separate chemically defined organic compounds, n.e.s.",0,0,0,0,0,0,3,0,0,1058,,299,1072,1584,1482,849,2478,1310,2036,2658,2464,,48098,49569,54495,41057,27199,26678,28268,34985,24429,28534
440791,"Oak """"Quercus spp."""", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...""",0,0,0,0,0,91,45,420,1142,1049,,58711,48988,36589,52822,60360,60937,64954,59817,37047,44369,,1342,946,711,2018,1170,18719,37671,50900,70769,68869
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",0,0,0,147,42,109,1056,590,550,1036,,580023,506149,411748,348127,262101,592302,679152,651450,487977,1066614,,17782,19949,15416,15702,6520,19138,19913,19002,15944,32370
480429,"Sack kraft paper, uncoated, in rolls of a width > 36 cm (excluding unbleached, and goods of ...",314,298,332,430,38,0,216,193,328,1001,,18,5,18,38,57,108,113,223,305,278,,13237,12829,16052,12861,8590,9926,14669,9371,6089,10530
270119,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)",0,0,0,0,0,118,322,1926,570,973,,9593,759,5464,46594,13969,18143,26322,15826,5303,75082,,11679,13919,14209,8591,11336,14010,9575,10418,7117,7302
846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excluding ...",0,0,0,0,0,0,3,0,270,934,,32878,35468,34761,26880,20635,22095,29657,31522,32603,46832,,18932,15239,25160,35846,18113,15765,15842,10755,13495,22448
720221,"Ferro-silicon, containing by weight > 55% of silicon",1049,748,2595,9697,8490,8652,12957,2652,923,932,,558901,509652,543939,475495,397874,320100,555232,445535,347713,624485,,19827,16937,22152,20689,11749,17810,23578,8302,6949,12295
720249,"Ferro-chromium, containing by weight <= 4% of carbon",509,796,1023,583,542,609,120,1147,419,871,,486561,480822,518792,340417,332802,331420,284451,319935,171656,177759,,1982,1687,4012,2329,826,1451,1139,3506,1563,2334
210410,Soups and broths and preparations therefor,0,0,0,0,0,0,0,0,0,835,,21374,22723,25652,18379,16855,20473,15074,12103,12228,13178,,32880,75547,51442,54088,62467,60341,58021,56858,60063,62382
441231,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of tropical ...",578,424,257,1251,0,36,702,1804,2234,833,,0,34,32,46,1,93,151,28,52,9,,19608,6299,14640,14240,8041,7603,11420,12153,11459,7929
180631,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg, filled",1002,0,733,0,2179,17301,23519,41860,2149,832,,182863,202959,216638,107549,106475,128030,142035,157431,144925,169089,,133479,135628,118169,126064,138752,120021,111120,116283,71356,45172
20120,"Fresh or chilled bovine cuts, with bone in (excluding carcases and 1/2 carcases)",0,0,0,0,0,0,0,40,0,798,,0,124,101,23,703,868,489,966,2100,3098,,28401,40525,31189,34599,30326,22727,23386,7928,2449,22496
850153,"AC motors, multi-phase, of an output > 75 kW",0,0,0,0,0,0,0,44,244,790,,64550,61179,53871,48555,57501,86242,86347,78977,64988,69067,,56847,65170,59727,85848,55572,60531,35910,49822,52121,91010
284440,"Radioactive elements, isotopes and compounds, and alloys and dispersions, incl. cermets, ceramic ...",0,74,194,0,43,358,35,94,39,783,,67508,75885,74319,61855,73993,90828,83707,92427,78583,0,,11141,15455,19491,16718,9355,15128,12950,18603,14499,19941
700510,"Float glass and surface ground or polished glass, in sheets, having an absorbent, reflecting ...",0,0,0,1350,192,0,3,88,0,764,,16903,24461,36409,31570,51683,75845,70415,76232,69910,111273,,8831,12840,14937,18115,8102,5212,7506,12865,15829,11054
210112,"Preparations with a basis of extracts, essences or concentrates of coffee or with a basis of ...",0,0,0,0,0,0,11,215,975,751,,18508,11961,18784,12224,16405,16805,20122,19274,26484,28602,,73934,95273,97089,115082,103715,119758,138935,83267,61933,52461
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,0,0,0,0,751,,0,0,0,0,593,1056107,1304947,1104328,1098211,1834822,,0,0,0,0,0,0,0,0,0,10017
210610,Protein concentrates and textured protein substances,0,0,0,0,0,0,0,0,248,732,,4801,5198,4028,4616,6633,4495,4969,6237,6447,8620,,35432,28127,53149,35105,20515,26472,34798,35422,39230,35430
854519,"Electrodes of graphite or other carbon, for electrical purposes (excluding those used for furnaces)",0,0,0,0,263,0,448,895,2457,730,,20572,9444,40537,14252,7667,14525,13694,19557,19365,16732,,6207,9816,2674,6014,4565,9578,11469,15650,14873,8511
330610,"Dentifrices, incl. those used by dental practitioners",0,0,0,0,0,211,273,228,762,728,,40661,45372,31424,25849,46078,65228,65435,61852,59966,67349,,54813,64369,69981,72565,74636,79241,86694,122032,102975,79451
480439,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",0,0,365,56,229,237,335,227,293,710,,270,215,521,7215,37456,42498,46246,39690,40857,66947,,11274,16764,16753,7145,4911,5152,6564,6888,14417,6561
852910,"Aerials and aerial reflectors of all kinds; parts suitable for use therewith, n.e.s.",0,121,231,0,0,112,0,329,800,673,,10433,93696,16275,12044,15641,12015,23305,21525,12780,27057,,100432,80416,89068,243891,115932,39517,37167,58944,40020,17114
480411,"Unbleached kraftliner, uncoated, in rolls of a width > 36 cm",0,0,0,261,0,0,321,87,581,625,,146753,159012,112072,140877,142912,139586,190796,112788,196595,318775,,63994,72869,58472,54341,45949,38198,42447,22249,28279,29212
847751,Machinery for moulding or retreading pneumatic tyres or for moulding or otherwise forming inner ...,0,0,0,0,0,0,0,0,0,615,,20,1010,25,8,10,12,13,10,17,67,,1884,2098,1740,573,573,384,343,467,1262,936
720241,"Ferro-chromium, containing by weight > 4% of carbon",0,38,0,0,0,70,45,0,13,612,,231987,195518,156465,92892,73841,214726,162311,145025,138217,259542,,185,315,279,421,320,167,479,248,238,2973
90921,"Coriander seeds, neither crushed nor ground",0,0,0,0,0,0,30,268,0,604,,389,4027,7209,19808,26903,17055,15906,16959,20131,33157,,2435,6042,7453,6015,6188,3956,3338,5224,5368,5905
730490,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel ...",686,207,487,146,139,0,2570,29,189,603,,3180,15913,7412,8102,4151,5181,11483,9537,8316,9302,,159658,166769,134867,136500,60105,54989,54352,32244,35839,24176
480269,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",0,84,0,0,0,0,0,0,0,550,,137,447,395,84,329,138,266,90,459,265,,29014,20433,33337,27090,33651,15981,18072,20599,4082,3254
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",0,48,0,88,0,0,28,780,814,550,,107743,114717,104644,74938,88655,124238,127830,149832,195152,192740,,351514,346655,431952,483238,456066,397193,409579,456926,434232,459304
480419,"Kraftliner, uncoated, in rolls of a width > 36 cm (excluding unbleached and goods of heading ...",1080,1714,1148,1171,982,467,233,2147,655,547,,9360,6684,10282,13274,82794,98151,119857,98724,94415,121630,,73694,96410,84915,90080,60139,71727,77708,50064,34278,21414
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",0,0,0,45,0,0,0,33,304,546,,100830,118449,102213,69733,69203,140572,131067,129467,140574,197056,,184683,167307,149455,272795,193942,181531,164111,135420,96130,108550
470200,"Chemical wood pulp, dissolving grades",0,0,0,881,1040,505,167,0,258,531,,61383,24108,0,0,0,0,0,0,2,0,,0,0,1483,3806,4642,11718,13025,720,258,531
382313,"Tall oil fatty acids, industrial",0,0,0,0,0,0,0,0,0,528,,668,247,228,19,226,244,1867,2181,1986,1232,,551,12293,6120,6662,6893,8223,9866,5423,4800,7130
330690,"Preparations for oral or dental hygiene, incl. denture fixative pastes and powders (excluding ...""",0,0,0,0,0,0,0,0,0,522,,6037,7668,5253,4072,5240,6400,6713,7012,8342,9698,,10171,10282,12214,18652,18558,16336,15179,16665,14618,16679
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",198,0,0,0,28,0,0,0,4,517,,361703,288960,204116,192206,190659,288480,269376,239338,246581,441122,,24519,17048,14697,7356,4440,8035,5189,6375,8070,11746
481013,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",0,82,0,37,0,0,0,48,0,510,,198,470,2670,2051,1337,1285,2439,1576,2353,4745,,9130,8707,9961,14589,20795,27861,48509,56987,34991,28796
480256,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",2240,902,0,91,0,0,297,641,1170,508,,114096,123856,147634,142513,166620,202406,220111,225976,175818,188567,,35304,11994,28193,37889,28154,35752,40602,47218,32825,9790
330590,"Preparations for use on the hair (excluding shampoos, preparations for permanent waving or ...",0,0,0,0,0,0,3,173,930,505,,52790,67337,67169,54805,72728,94206,103571,122350,118759,140167,,164165,148128,175363,215085,192677,168488,155093,170399,142611,164412
440725,"Dark red meranti, light red meranti and meranti bakau, sawn or chipped lengthwise, sliced or ...",471,588,473,632,37,64,0,118,32,489,,0,0,0,0,0,0,0,0,0,0,,72603,87979,81286,90035,45931,67180,58443,59691,51001,71330
721240,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,202,265,308,310,468,477,,11841,12079,13177,11311,13072,17602,20811,19420,16362,31450,,2392,1290,2654,3660,3948,4123,3599,3650,4315,2416
310510,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, ...",0,0,0,0,0,0,0,0,0,454,,3482,2341,754,480,630,1072,1149,1528,4692,16489,,65,51,129,282,100,1347,2606,1758,2072,2245
