Product code,Product label,Germany's imports from Saudi Arabia-Value in 2012,Germany's imports from Saudi Arabia-Value in 2013,Germany's imports from Saudi Arabia-Value in 2014,Germany's imports from Saudi Arabia-Value in 2015,Germany's imports from Saudi Arabia-Value in 2016,Germany's imports from Saudi Arabia-Value in 2017,Germany's imports from Saudi Arabia-Value in 2018,Germany's imports from Saudi Arabia-Value in 2019,Germany's imports from Saudi Arabia-Value in 2020,Germany's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
390230,"Propylene copolymers, in primary forms",2606,3290,1387,284,1594,2159,5954,2758,1375,5772,,10008,7742,52902,40279,214167,240242,342847,250284,152168,418558,,1291684,1412493,1531343,1181525,1081428,1225704,1424257,1264632,1043867,1569825
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",2153,2192,1712,4427,1043,4652,7164,6470,3689,5767,,453866,17989,13630,12742,7354,20691,83402,38998,40930,66651,,141703,147725,172500,135304,127759,151189,180379,140198,128619,233709
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",0,0,0,0,0,1136,11360,4245,2613,5622,,0,0,42,0,12618,58585,58152,45690,50069,90567,,339588,260681,231293,175942,151504,212077,186644,184457,128978,183165
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",5488,7060,5953,4508,1759,2618,1223,1935,2455,5591,,183333,219718,18920,64386,89346,13882,44245,8609,5777,64956,,195320,226680,340370,348261,343226,393064,414555,332885,255820,265947
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,1762,11984,2264,1047,5240,,0,0,0,0,0,0,0,0,0,331962,,0,0,0,0,0,353572,421982,246558,199586,366253
550340,"Staple fibres of polypropylene, not carded, combed or otherwise processed for spinning",0,250,43,0,0,0,5194,4142,2909,4601,,3882,6282,21750,38085,34677,41202,50401,37545,32136,59678,,164382,198060,229161,177380,155909,161000,167600,151525,140515,188635
290711,"Phenol """"hydroxybenzene"""" and its salts""""",0,0,0,0,0,0,55,1687,1759,4140,,3177,386,113,0,0,30099,229858,261045,152873,335847,,404008,523535,422166,303901,332864,368137,368850,275766,197832,469639
291614,Esters of methacrylic acid,0,0,0,0,0,0,439,0,86,3996,,0,0,0,0,0,19692,313948,339597,412384,429868,,142616,152590,140023,122320,116647,184212,210555,177540,134441,219394
292211,Monoethanolamine and its salts,0,0,0,0,99,622,2082,2000,2536,3858,,9870,23552,25388,18497,22325,61817,110472,144272,91912,110401,,15224,13113,14828,13131,11638,13220,20212,15593,14178,25269
291411,Acetone,0,0,0,0,0,1971,2295,4956,5683,3743,,54305,57506,68084,38134,26110,64598,123838,106660,121881,213715,,179882,223521,247025,146949,133520,186742,205729,108569,92712,195726
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",5740,4293,2443,2504,680,2080,3478,3172,1530,3654,,6598,6145,11628,14992,8358,16538,27477,17626,12315,19259,,262776,278755,277615,216127,202652,191340,299893,224204,163475,203045
843039,"Coal or rock cutters and tunnelling machinery, not self-propelled (excluding hand-operated ...",0,0,564,1366,9353,0,0,0,0,3650,,2130,11919,3256,10512,14565,16275,725,16,218,144,,7276,48495,45028,29224,45538,46905,34877,31349,40414,54703
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",751,1117,326,1084,2497,3404,8451,55334,26333,3630,,0,102,0,1,0,3,12747,0,0,0,,919612,1421382,1427375,1267944,1278240,1630023,2001056,2011546,2876911,4412991
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,0,0,0,0,0,2155,6625,3003,1440,3606,,1458701,4173212,3580571,3002987,2234056,2897239,3513200,2807251,2110099,2926462,,21085,22606,25019,18246,16753,20460,19349,17530,14364,50256
290941,"2,2'-Oxydiethanol """"diethylene glycol, digol""""""""",7013,12177,5979,5489,2579,3510,3704,3282,1023,3448,,0,108,15645,19104,9932,862,8342,384,791,717,,96583,114576,138334,102860,67394,104458,90185,69837,68496,131760
390130,"Ethylene-vinyl acetate copolymers, in primary forms",0,1,39,0,0,1498,1986,2022,4517,3317,,260,425,7695,161533,179010,252133,305665,337793,277443,495999,,192120,207254,204384,169878,177833,204467,197907,182578,177409,265479
292215,Triethanolamine,0,0,0,0,0,613,4537,4198,4482,3228,,0,0,0,0,0,0,0,0,0,57982,,0,0,0,0,0,14592,15059,16069,15078,18958
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",1919,0,0,0,2786,0,375,1098,114,3036,,144839,258097,293256,229055,246158,302291,276477,180266,161699,321928,,871509,844876,1011942,1081220,951558,1163010,1407411,1307246,1113408,1673250
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",1,7,9,1,36,59,35,15,1143,3004,,405,525,1287,1575,1826,2194,1963,10,32,163,,7480812,8519942,9611818,8669806,9679114,9972665,10400403,9327212,8232279,8886809
761290,"Casks, drums, cans, boxes and similar containers, incl. rigid tubular containers, of aluminium, ...",7,1,4,0,8,11,7,5,11,2839,,247932,229539,227640,202476,180679,159003,196492,94703,121784,184056,,282344,268320,264379,252130,261005,229670,269297,265645,295271,279169
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",7171,12707,12550,13553,23167,21617,7651,3118,1199,2690,,115873,162878,142510,158465,206605,195776,226434,173908,184742,303841,,929828,1021654,1085224,1000249,1006800,1104646,1146534,996139,940004,1252184
291521,Acetic acid,5106,2331,420,149,39,147,1494,2395,734,2663,,8682,3404,7872,4875,23182,29221,26305,37763,61756,92756,,196325,260755,266419,215587,176970,196954,278917,227826,201258,286884
290211,Cyclohexane,35424,1704,178,102,19,20960,5910,333,45,2559,,284720,299277,364671,241908,201052,153882,331990,220279,127391,290515,,71241,84887,90488,58770,35642,49208,58681,43154,26606,39925
80410,Fresh or dried dates,140,396,320,480,559,945,555,952,1269,2508,,74860,102943,129670,140135,141564,182379,201393,229833,245969,322840,,29084,32959,41021,46449,54161,60901,69263,69265,85575,85601
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",0,0,0,0,31,2147,2819,4241,2161,2461,,0,0,71,25,8335,85777,141469,121349,90281,252955,,515466,509617,446967,368835,363412,504355,547626,417073,335881,620507
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",2666,373,650,1529,1447,1591,1328,2570,248,2379,,365,257,1015,226,19,58,46,167,32,3857,,732896,460003,509693,359435,277182,340737,418369,335935,284550,531106
290250,Styrene,1469,0,0,0,0,0,716,565,890,2248,,1774419,1755784,1987511,1355523,1287086,1313016,1242125,1499683,1112860,1418800,,588817,822543,543445,407037,338642,514857,520966,373178,317008,538571
540490,"Strip and the like, e.g. artificial straw, of synthetic textile material, with an apparent ...",0,0,0,0,1122,2775,2735,2169,1421,2037,,3091,5884,7577,17406,600,22,1242,1111,246,13564,,10593,10483,13639,15326,16505,11452,14647,10079,10158,11901
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",0,0,0,0,3413,16864,33425,7819,6014,1837,,91162,76932,45343,42285,48966,47000,19041,15627,11014,26403,,675436,717116,810106,697092,697961,860418,1007488,850766,865484,1199828
291612,Esters of acrylic acid,0,0,0,63,0,0,200,1784,728,1789,,0,703,4096,6428,5438,10407,60552,17152,9184,19317,,215165,219467,229146,189043,151777,213081,219038,217070,165377,426724
292212,Diethanolamine and its salts,0,1,0,0,0,41,961,598,1119,1491,,75692,89098,45069,27198,23569,132092,105958,104755,89899,103344,,8599,7694,10776,9170,6364,5734,6213,5198,4246,5887
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",0,0,0,0,0,0,1,0,0,1396,,0,0,101,4,0,0,10,0,0,0,,142228,91028,85988,51644,65097,80433,65413,90862,93871,94954
390730,"Epoxide resins, in primary forms",4388,3645,375,303,1157,2732,1471,817,1219,1391,,88130,51500,74607,40214,55775,63806,64194,46689,42697,46690,,577716,580165,598867,511446,550566,596596,669749,570112,495309,698632
400821,"Plates, sheets and strip, of non-cellular rubber",0,0,0,0,0,0,0,0,197,1391,,0,79,0,70,18,197,209,348,79,129,,162553,160650,161030,130712,141699,147733,152648,148303,144476,156823
540720,"Woven fabrics of strip or the like, of synthetic filament, incl. monofilament of >= 67 decitex ...",0,33,0,0,78,71,1030,680,618,1374,,19512,10248,28823,26141,5967,14770,49479,77423,69256,142109,,34764,43731,42935,39280,37392,42706,46206,39135,36918,49980
293220,Lactones,0,0,0,0,0,1221,420,297,143,1353,,0,0,0,0,2920,4039,3388,1541,7220,42219,,124235,133200,124961,138113,133302,152445,290518,219471,178543,209704
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",12,1,44,19,20,148,68,3,0,1307,,168413,138056,134730,167015,100019,93908,144105,133174,173820,101772,,2222227,2318563,2420541,2130077,2247479,2454445,2543228,2325415,2341343,3115934
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",502,1219,763,490,1172,1166,852,1468,1213,1291,,3625,7399,10002,6269,7527,17123,19935,4,0,18,,5386454,5595147,6124938,6136354,7161202,8272652,9178153,9374267,9864831,10417147
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,1081,1324,679,192,228,656,1284,2482,1730,936,,283101,271157,213820,156219,143230,196013,226415,187974,144394,238344,,689716,655434,645080,501869,532843,720239,771256,618332,607689,692745
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excluding ...",0,15,0,15,16,33,16,380,455,895,,424,346,110,3025,123,15,101,15537,52620,128676,,138049,152817,154386,139926,153130,157182,174496,170698,166441,234211
711291,"Waste and scrap of gold, incl. metal clad with gold, and other waste and scrap containing gold ...",375,0,42,219,98,69,104,49,198,809,,0,0,147,0,0,0,678,0,17975,0,,1463214,981216,752147,643315,674042,705317,711814,894641,1086254,753751
842191,"Parts of centrifuges, incl. centrifugal dryers, n.e.s.",2,0,0,0,0,0,0,6,470,786,,0,0,34,7,17,108,1168,526,0,51,,71656,69636,73763,59794,67589,76992,73362,72826,72276,77855
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",5613,4428,4111,3809,3316,3215,2175,1161,1055,766,,34100,52812,56574,52128,62401,52928,73947,89066,109736,125264,,900930,986380,1062576,996854,979333,1046805,1169288,1125509,1091206,1338401
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",35,1,1,6,2,23,124,33,39,763,,8771,16241,19935,22712,13237,33651,20061,101,0,0,,73789,76636,73547,74611,76724,87450,111909,109901,90631,109622
730840,"Equipment for scaffolding, shuttering, propping or pit-propping (excluding composite sheetpiling ...",2,225,0,123,39,911,1283,657,1166,664,,2896,4446,4662,5852,10031,18507,22658,3969,5329,538,,341381,325979,359753,309894,340829,451021,542358,466901,461540,507074
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",907,1069,639,1,57,7,43,19,9,625,,3754,2538,1030,1975,718,5686,1679,0,0,0,,244478,239006,304140,321967,237775,238226,244403,256872,235796,270051
292121,Ethylenediamine and its salts,0,0,0,21,0,3,4,236,0,622,,139,219,16279,19682,15190,30010,88579,70970,86236,154531,,38470,40411,46304,36869,32251,32574,38620,35169,33387,38366
848120,Valves for oleohydraulic or pneumatic transmission,360,187,207,45,4,50,19,76,37,612,,139,139,0,318,257,201,1221,7,286,5,,971157,1035624,1018244,931053,1045432,1167609,1353534,1288789,1166740,1457218
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",1214,1413,1309,1106,280,66,246,216,64,612,,79788,84882,100163,113004,114711,120541,106831,84293,102322,194582,,733984,831760,867375,727122,655788,732660,776492,706039,715572,892271
293211,Tetrahydrofuran,2186,2008,1362,1009,583,639,870,430,987,593,,7652,3657,4340,9829,9899,17784,17521,11902,19373,26409,,11331,13153,9094,7104,7185,9120,11437,9354,11190,17090
850730,Nickel-cadmium accumulators (excluding spent),0,42,90,7,0,0,0,0,0,574,,967,138,64,7,80,1179,37,0,0,165,,96833,67177,56514,45599,45024,41888,42830,41978,41597,40865
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",14,5,7,16,1,9,11,95,216,543,,506,28,102,414,411,1334,791,0,7,0,,521085,548400,619232,516131,529531,587855,647265,615004,516360,616393
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",1443,746,401,136,138,105,30,358,48,510,,10391,7260,14203,19095,19286,14422,27138,2220,2822,10026,,2696167,2844598,2950591,2652187,2747627,3081619,3387189,3366262,3220989,3804947
860711,Driving bogies and bissel-bogies for railway or tramway locomotives or rolling stock,0,0,0,0,0,0,0,0,0,480,,0,0,0,7,0,0,0,0,0,0,,185876,236154,209699,130811,203714,238320,262073,193796,246923,262126
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",32,112,400,10,151,4,60,51,40,447,,2930,1922,1837,1873,1956,1526,2125,0,104,0,,850580,825450,954039,876471,921636,1076778,975603,818627,993020,1149398
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",9,227,15,13,8,4,1,103,122,441,,123426,156328,192692,184302,179772,153378,180319,4375,8313,7443,,117568,129059,134966,114460,85499,64130,80490,90815,76667,101707
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",26,80,264,7,32,184,25,191,146,432,,55315,45793,34216,43334,60171,43306,41931,25002,25230,22432,,3127743,3220881,3609506,3196871,3399181,3713789,4391342,4111006,3709324,4660640
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",3915,1409,1331,387,108,988,230,445,152,396,,1052,2694,5535,6737,5298,7257,4452,20,22,2,,1662236,1762464,2076648,1921558,1940125,1639466,1841496,1822589,1589509,1797277
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",2,5425,45,0,0,1,1,238,1310,381,,127700,126659,120038,156688,97071,84901,89714,77024,74660,130549,,252233,255263,280846,266798,284649,285573,372335,343886,393080,465661
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",370,196,279,84,160,104,324,396,308,378,,9445,5931,8610,18163,9236,11798,11761,613,683,975,,3425792,3792639,3982430,3529437,3671361,3847111,4234192,4295513,4388997,4389275
400299,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip ...""",0,0,0,0,0,0,0,0,0,359,,893,365,215,236,247,17474,8609,10355,1374,15,,170641,158976,179386,153429,172113,201758,204677,183152,164417,212530
847982,"Mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring ...",3,0,3,9,0,0,1,5,0,345,,5597,1434,1911,1651,1614,3685,4261,0,59,22,,188666,207433,223960,288112,266676,208167,268426,251462,234378,303025
730120,"Angles, shapes and sections, of iron or steel, welded",0,0,0,2,0,0,0,0,0,344,,10053,6347,11430,9350,4895,15294,16546,11952,4158,5024,,24575,25147,27280,21862,19539,18502,20944,27826,28613,36508
290290,"Cyclic hydrocarbons (excluding cyclanes, cyclenes, benzene, toluene, xylenes, styrene, ethylbenzene ...",0,0,0,0,0,0,0,0,0,331,,49,70,7616,7256,9091,5105,10374,9953,4432,10026,,120903,127105,128525,106355,80779,99045,109649,89500,90831,152112
390610,"Poly""""methyl methacrylate"""", in primary forms""""",0,0,0,0,0,0,0,49,45,298,,76,705,208,0,58,7339,150922,152590,146977,235767,,55843,52871,57751,48044,53030,70372,70908,56599,51868,70865
291030,"1-Chloro-2,3-epoxypropane """"epichlorohydrin""""""""",0,0,0,29,0,37,0,0,0,294,,0,43554,4216,1012,2903,2016,179,5938,4353,10518,,29044,33010,29523,17039,16193,22536,19074,30784,11114,16438
390319,"Polystyrene, in primary forms (excluding expansible)",1,0,87,257,0,159,22,0,0,284,,139495,91832,141229,92412,124267,151390,115419,88957,88579,152761,,354945,397000,364453,261758,273761,316545,357108,271927,232956,356164
330491,"Make-up or skin care powders, incl. baby powders, whether or not compressed (excluding medicaments)",0,0,0,0,0,0,63,285,278,268,,127,501,620,410,654,2029,1397,239,345,754,,96498,102506,113697,96379,112935,122472,128603,116693,97749,110161
842691,Cranes designed for mounting on road vehicles,0,0,0,0,0,0,0,18,178,262,,76,1593,96,257,281,293,75,0,0,0,,130672,146613,154464,126047,145447,173401,198419,222344,199720,232595
290712,Cresols and their salts,0,0,0,0,0,0,0,0,0,262,,0,0,0,0,0,0,0,0,0,0,,48435,40691,47509,35745,29440,29637,34859,31377,27250,23515
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",0,76,0,0,773,0,0,15,101,259,,0,0,0,0,27413,11879,75995,76119,14698,23232,,1246118,1205846,1229917,967682,919225,1249275,1536775,1274251,963546,1569300
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",60,246,184,110,17,51,16,2,19,251,,1622,660,817,1672,1826,2080,1311,305,330,173,,1066738,1064023,1271401,1060275,1110505,1164641,1258881,1163018,1000362,1144991
152110,"Vegetable waxes, whether or not refined or coloured (excluding triglycerides)",0,0,0,0,0,0,0,0,0,251,,0,0,0,1,23,72,0,0,0,0,,21582,20797,20062,19224,18997,23060,20464,21140,22554,31327
271290,"Paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, ...",0,0,0,0,0,0,0,0,0,238,,520037,291378,482876,31,3,0,11,0,0,0,,165581,189921,236017,183466,153620,166519,176820,165314,141535,163622
841221,"Hydraulic power engines and motors, linear acting """"cylinders""""""""",2080,383,120,11,57,50,130,150,48,236,,75,130,116,642,351,201,295,0,0,5,,450229,421527,384917,356933,367637,418484,552162,517086,453709,510691
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",88,94,16,22,11,8,49,170,152,230,,1083,43792,1112,859,3699,4193,6484,5310,1366,16,,1893121,1983712,2028721,1696955,1825517,1946629,2195122,2217562,2200722,2715552
760692,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm (other than square ...",0,0,0,0,0,0,0,0,0,229,,353,388,664,2666,29272,211201,475464,693399,301647,662054,,79745,63726,62390,89349,71913,68449,31670,30757,30990,54097
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",28,370,455,110,50,44,8,6,218,220,,2809,736,402,1146,4345,1423,1393,3,0,4,,1489866,1457419,1585324,1395717,1502241,1706977,1991127,1831423,1659607,2095111
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",42,99,228,84,5,13,17,130,318,201,,10578,14949,9378,1550,515,774,2608,8975,2210,1172,,593277,669206,764129,652734,696326,775550,882256,891148,833635,1051452
291413,"4-Methylpentan-2-one """"methyl isobutyl ketone""""""""",0,37,0,0,0,0,0,0,0,194,,0,0,0,0,0,0,0,0,0,0,,17577,16120,16562,14349,11618,22578,23505,14116,12765,46692
560392,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 25 ...",0,0,0,0,0,0,0,0,138,194,,83,0,0,0,0,4480,3840,1825,747,81,,100369,103715,96320,93402,103264,117549,137238,147969,158832,204029
