Product code,Product label,Singapore's imports from India-Value in 2012,Singapore's imports from India-Value in 2013,Singapore's imports from India-Value in 2014,Singapore's imports from India-Value in 2015,Singapore's imports from India-Value in 2016,Singapore's imports from India-Value in 2017,Singapore's imports from India-Value in 2018,Singapore's imports from India-Value in 2019,Singapore's imports from India-Value in 2020,Singapore's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",56585,80802,95648,80077,53793,55345,48659,54216,61374,69759,,5710316,7754818,7537677,5952411,5056932,6636591,6841259,6616849,7484136,8361333,,244751,295307,308799,249265,191024,196534,204971,218069,278520,235037
291590,"Saturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; ...",1866,3098,5197,5103,4825,4467,7831,4838,11210,69604,,90708,127846,166074,168481,158671,129316,169031,158227,152108,188839,,36899,39400,43721,44559,35766,48269,51092,44603,46568,141139
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",20466,20256,13189,809,41031,41725,35410,47791,46745,69010,,119164,189471,179904,206107,280006,335337,344191,337850,431250,736705,,73846,106456,87764,30081,79084,250186,571135,868763,1257318,1526429
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",2,9,8,1737,27680,25134,46333,68086,75005,59762,,17803,46046,42064,38079,30188,27675,46055,65855,114448,217976,,35020,34181,23447,28523,82051,101992,137038,164764,365037,614000
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",4946,16135,11527,9330,7132,5755,11743,39996,34978,57699,,308609,367423,337138,294956,287336,378416,476973,456390,394650,517727,,618776,722653,639981,580580,603018,599540,645755,728855,624895,769851
721420,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations ...",0,2,38,50,0,35739,3781,15180,0,55920,,9055,8537,8262,4355,31470,241107,136650,147642,106332,438854,,413230,634832,697390,676378,394011,437841,557466,393406,150710,156156
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",11797,10221,12306,16805,38938,90404,78719,101847,71369,46238,,1323656,1116662,1250788,1033437,1660023,1962885,1627145,1192983,906575,943947,,5235287,5022570,4217285,4381924,5060008,5920649,7069759,7515708,4815695,4599831
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",104555,91228,43801,8991,5,3142,7034,49200,16014,42194,,172039,133278,81680,82488,39826,35415,45492,94704,164593,226361,,1171933,1299461,1194658,719396,485692,715636,857095,764935,457707,540775
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",0,0,0,0,0,7059,0,151,4530,41843,,29397,99118,81503,44852,65110,154355,174379,153699,168006,568794,,7102,33955,24977,12740,37307,77166,46129,59687,16870,60575
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",182,95,0,34,19,21838,9124,151,7677,35387,,19591,35562,22677,10814,12986,41833,85561,88080,134022,222820,,40482,54474,17935,56410,86390,82859,59728,84636,53297,201142
850440,Static converters,13431,14122,13926,15618,17771,29841,21234,22744,15949,33542,,390819,336518,453310,508547,526546,553917,741975,1186041,1057914,1300034,,881366,856497,814701,895629,939902,1013836,1003992,951792,956162,1117216
320416,Synthetic organic reactive dyes; preparations based on synthetic organic reactive dyes of a ...,18914,24851,35871,32863,32714,55961,58049,52715,31603,33020,,359323,541046,683609,529671,524663,605662,721474,734016,544405,774044,,62755,39626,55503,42616,44291,82483,84859,80731,59417,62429
999999,Commodities not elsewhere specified,71007,24776,28209,25314,28760,25647,14764,11978,9999,31823,,2527225,5013624,959798,2293003,820957,277469,178658,212037,99582,88618,,6824960,5947812,4901000,4498378,4627453,2967611,3306930,4210183,2887415,4853117
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",3731,7588,13024,8380,6896,18798,29729,24093,24352,31573,,266956,293987,331985,243862,224817,281757,419138,379748,275918,538925,,1436204,1399445,1019884,892421,943311,1102710,743680,604928,421621,523517
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",17361,16250,21917,33670,26816,8128,20331,23295,40065,31290,,683958,776020,717671,700991,707026,769065,776176,880138,762891,848704,,705981,704108,810674,678342,682914,588932,702353,750230,829260,911871
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",23156,32234,18961,2514,15869,14817,22950,14878,14487,31284,,49503,60484,53573,80266,108578,95073,101841,93351,84983,101101,,152499,175174,170490,173703,179442,206712,227759,248336,184415,229386
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",18888,28370,30704,25102,17562,19276,25743,27122,24423,27393,,257563,332334,337367,340597,268940,329364,421459,484317,415188,486798,,383806,526225,511810,413867,352032,416982,416158,445841,465438,451600
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",33584,36870,38394,42472,37699,30795,40858,36978,36081,25473,,153962,409961,382025,419313,436186,446880,493307,493773,561007,623993,,208124,213593,178603,266596,189082,250111,246274,194866,172646,182439
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,12043,6331,4004,8042,6441,5973,7122,13362,15940,24255,,26063,40461,34090,33086,43164,48599,44053,68123,126187,81699,,636008,767492,780936,707453,723197,775299,715116,561414,524858,608031
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",6862,5243,3032,8480,5444,2092,2533,3208,2512,22328,,186236,245901,201535,202041,229122,231600,226176,252278,255435,323970,,149322,147304,150236,167757,152080,94904,188590,129092,133419,170984
710391,"Rubies, sapphires and emeralds, worked, whether or not graded, but not strung, mounted or set, ...",1230,1949,2686,7152,6825,2910,875,253,4974,21764,,137915,606540,136527,235054,255658,263428,253273,255177,113474,191754,,18191,34557,30627,31367,50448,57420,27877,95664,56032,137081
170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar ...",14667,8229,2900,8030,2518,746,627,3558,15652,21559,,980226,671346,693280,1008717,1322619,885248,866079,1238285,1816969,2341936,,263566,204966,191724,146582,148378,141416,114815,119681,108047,153082
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",991,1431,1563,1372,1682,1995,2325,35441,72013,21497,,14052,32316,66080,21343,21166,30220,26525,53398,91842,60577,,89189,125926,193940,146362,120328,120995,185106,193971,199749,256956
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",12411,13984,16766,16654,25595,24296,34564,25377,14519,20051,,483309,527760,584914,658517,671755,719097,820139,738432,609702,980092,,689306,918603,740795,636573,632269,669077,794644,709145,646981,685750
380991,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",908,448,577,489,755,1049,969,1347,7681,19917,,30339,37891,39140,36911,37239,37075,36486,38942,36085,49061,,23978,14901,14492,18835,23290,27269,40403,36596,45195,62495
290220,Benzene,34921,35460,43278,69611,48393,27165,31397,38209,10282,19708,,766331,818248,616465,506303,438930,816847,1314520,907437,720451,1674462,,226282,640108,615123,394607,185506,172751,86905,161019,160917,250044
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",5,1,0,0,181,1405,439,1609,10075,18570,,393082,310786,384443,444985,396545,432791,202984,49340,120494,140888,,17335,29142,31629,29801,45544,47114,21739,29314,76528,117214
750890,"Articles of nickel, n.e.s.",61,21,55,324,264,471,199,261,244,18215,,25924,5752,4808,3704,3684,4447,6793,6145,8250,8645,,28060,30995,27576,29464,43864,123764,58952,54977,53336,269927
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",2714,2618,2961,3818,3490,4297,22822,21664,13627,17864,,2528274,2588978,2696063,2462318,2379582,2483453,2769665,2633065,2128311,3072828,,1073498,992753,1326342,1159549,1072150,1019347,1353398,1365992,1007963,951264
820713,"Rock-drilling or earth-boring tools, interchangeable, with working parts of sintered metal ...",1392,1455,1920,2392,1173,629,446,547,573,17021,,4820,4919,3732,26633,58540,51972,53642,50640,39649,46792,,24071,32046,31727,28249,16627,11762,8833,10938,7219,24838
240220,"Cigarettes, containing tobacco",7711,6352,6584,16147,15699,13833,10412,10265,12592,16760,,84182,105119,117732,122580,105737,81522,88943,98920,74300,85216,,622017,642787,678250,696726,760671,785017,838456,787352,523423,570953
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",8454,3728,12762,6477,4144,7328,16972,15149,17734,16600,,95878,105844,135904,168815,182889,421277,630572,515734,559177,677536,,2422499,2439595,2327828,2334038,2633310,2917678,3170534,3367706,4174947,4563970
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",36669,16418,32455,12548,19074,17769,20602,16279,21093,16417,,203074,183421,170404,151427,148856,132314,172356,185144,133360,153196,,3609924,3051055,2955201,2456388,1280727,1055388,829264,952647,727405,644649
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,34418,32849,26866,15230,13876,14291,9924,8766,16399,16129,,164124,105288,115876,117666,119224,123580,105925,107375,95826,131175,,6108184,5602044,5239490,4732478,4262698,4871556,4903298,5647645,5311899,4788830
380894,"Disinfectants, put up in forms or packings for retail sale or as preparations or articles (excl. ...",57,192,178,2028,5648,6070,7922,11232,16615,15679,,11200,12981,14884,10068,9389,11568,18826,27554,37444,56066,,4917,4856,5538,7619,11434,19593,22093,19694,108205,46490
848220,"Tapered roller bearings, incl. cone and tapered roller assemblies",2350,2651,2245,2645,2173,4096,5703,10278,9810,15633,,82134,119840,130156,134063,123781,151011,170405,162739,139782,230008,,122717,75906,74573,76704,69411,78995,81094,108552,89556,121624
841960,Machinery for liquefying air or other gases,258,0,0,7,30,0,44,23,1,15198,,11062,15906,12716,13150,19301,15088,15084,20686,18176,66908,,8385,49641,11572,6713,10298,9243,4851,13992,10831,98036
330125,"Oils of mints, whether or not terpeneless, incl. concretes and absolutes (excluding those ...""",36198,38706,13376,10317,14004,15668,21772,16669,18463,15019,,243343,286816,199784,142122,159597,216269,315065,679752,211148,176030,,40182,43082,18166,14476,20475,22937,30898,27279,27690,21205
841112,Turbojets of a thrust > 25 kN,3796,0,0,0,0,0,51792,149057,21351,14965,,16496,12281,32446,109249,97324,1537357,3179495,3128454,2593662,2288980,,275126,237821,462152,136903,213973,314994,2922759,4635153,5170250,4795793
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",8024,17083,16857,15878,11738,9943,11188,15336,14826,14533,,802656,907204,784425,558270,552212,757326,955696,1460359,1264946,1666272,,47182,55728,74405,66936,59288,44944,47328,43791,51253,48223
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",4641,5139,7834,4980,5708,8002,29214,16758,11952,14404,,165341,223035,201544,187682,202980,219232,264940,295998,266948,376945,,1469493,1353525,1439711,1309489,1200707,1305879,1384861,1157085,1049046,1333739
732619,"Articles of iron or steel, forged or stamped, but not further worked, n.e.s. (excluding grinding ...",10097,11820,13984,12197,6359,9452,11948,9437,7546,14285,,443454,377532,383726,323394,267818,306792,343489,284767,189481,293223,,146682,110085,141424,83880,69264,58489,73084,94842,75017,78311
902230,X-ray tubes,13777,19773,9975,1063,27111,39805,37555,59592,36355,14138,,35280,29317,34857,61556,78867,76914,123848,129743,128058,164512,,75569,85052,84878,80114,107402,136214,135952,122372,95164,113291
30633,"Crabs, whether in shell or not, live, fresh or chilled",0,0,0,0,0,0,19015,14361,12275,13233,,0,0,0,0,0,23362,61772,54077,31571,38143,,0,0,0,0,0,0,56374,59682,41164,40589
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",9461,13201,9699,18956,13362,16630,16380,15381,9895,13167,,119540,147650,129624,125681,137934,132611,133159,145599,122895,164404,,982433,1163248,1170437,1093733,1313503,1592648,2084707,2413583,2422623,2642808
292529,Imines and their derivatives; salts thereof (excluding chlordimeform [ISO]),1143,4471,8306,5787,12503,14392,13187,16314,13765,13157,,64498,81540,85216,83153,88621,82289,85793,98255,135618,139922,,4365,7131,11930,11575,21539,34821,32604,33360,34054,40589
481159,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or ...",1491,844,1463,1359,668,738,689,5234,11939,12858,,20437,75196,79975,92223,90702,77048,72207,70409,54630,82891,,12265,14814,12483,15021,17587,22753,22733,14153,22190,25412
290522,Acyclic terpene alcohols,3988,3622,5809,6738,5328,6876,9489,9726,6097,12635,,31720,39750,41905,38511,37092,48251,59879,81248,63093,83310,,34022,32883,36565,33344,31152,32725,54566,43371,41067,46980
853649,Relays for a voltage > 60 V but <= 1.000 V,2101,1297,2576,951,1281,1796,1046,1543,3753,12548,,43743,51655,56502,55367,53097,52441,55242,51864,50051,61340,,82689,91206,85628,75864,71789,106187,121113,105828,96730,131481
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",11671,8530,12932,13429,13634,13399,14212,12283,8728,11762,,211178,184004,152607,185557,205087,249299,303136,333878,292076,328190,,129542,136159,138918,122317,122126,111469,109394,94562,83765,107294
290611,Menthol,46964,27042,18222,16327,8420,11898,31196,24282,18450,11373,,374960,322597,212642,138633,179493,239264,362064,397410,311296,317297,,70401,56321,44415,38571,35093,37476,64352,58026,45241,40976
291614,Esters of methacrylic acid,0,1337,4407,550,0,0,5439,4272,9435,11202,,1219,3077,2886,3423,2651,4994,12622,13236,5139,10918,,21278,35064,102388,87465,44611,69032,102230,80504,53901,52794
853230,"Variable or adjustable """"pre-set"""" electrical capacitors""""",26,4,117,191,125,59,165,847,1023,10603,,820,716,696,662,615,1147,2061,2585,908,632,,13596,6632,10216,10329,10123,11479,25174,18444,29354,28879
842959,"Self-propelled mechanical shovels, excavators and shovel loaders (excluding self-propelled ...",13061,1855,1896,4142,6146,4763,6492,3230,1642,10341,,58399,99331,109796,104674,127547,195757,227512,190080,154314,297498,,238453,122919,177250,173926,88050,151371,128018,79416,40377,66708
710229,"Industrial diamonds, worked, but not mounted or set (excluding unmounted stones for pick-up ...",166894,218026,95364,81250,57689,27153,7054,4424,1960,10017,,125,90,503,185,704,8569,26,39,15,16,,226851,526620,208224,136698,109985,55288,23456,12472,48103,10755
291429,"Cyclanic, cyclenic or cycloterpenic ketones, without other oxygen function (excluding cyclohexanone, ...",5692,5632,2046,3836,9726,5149,5225,5689,7021,9389,,36416,51734,45581,51972,54157,90890,141024,169048,144473,157141,,35976,37174,39557,35393,41667,36980,46864,52860,52938,62502
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",15743,10245,5999,2289,1102,2389,4593,5616,3936,9197,,91799,107647,101792,66350,58571,70118,104801,104892,90841,127841,,208605,241280,224739,157952,106287,78251,95920,93718,71973,98100
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",10461,6294,8196,2451,1910,5318,8099,8746,8922,8729,,35559,51221,71924,65975,85691,96308,137495,167423,159883,218592,,51080,42895,40826,34752,28997,38655,52962,57424,44695,61862
400941,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",82,69,109,9,45,16,1016,5019,3855,8690,,4082,9096,9464,8236,8968,7840,5674,10870,15450,23433,,5798,9308,8106,4308,3801,4795,9459,11947,10070,14264
292250,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function (excluding ...",4743,6907,7328,9080,5230,3639,11129,11124,10297,8536,,47773,73703,78009,85086,76785,109643,127234,143485,155324,179932,,66161,27074,28701,23850,17782,24022,31430,29554,30286,31903
400921,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",1754,1195,1835,2541,1977,2307,3686,4367,5059,8472,,36501,39498,45140,44595,37967,52282,62125,49986,42269,71954,,24748,15443,19269,14325,11602,15621,19100,17578,13041,20888
710490,"Precious and semi-precious stones, synthetic or reconstructed, worked, whether or not graded ...",156,1262,17193,25148,16,70,7,31,858,8366,,26520,20966,27536,33929,86848,217225,262850,449645,532594,1188457,,5191,4119,52891,64922,54954,64342,75418,52127,12082,25121
730300,"Tubes, pipes and hollow profiles, of cast iron",767,5509,7385,5715,4853,4626,6908,8371,5094,8323,,225239,190060,150981,125173,96481,110760,161914,183852,133412,157415,,32877,44609,42938,27381,26364,20282,22901,24179,16603,18813
70310,Fresh or chilled onions and shallots,7804,13123,10568,9479,11329,9779,9854,8686,6199,8276,,294698,600886,322148,423388,382394,423335,420448,367328,346640,449457,,26020,39453,33351,36201,34391,35537,36727,42975,53366,53363
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",75,72,84,141,380,720,2446,2416,3150,8135,,32430,31800,32855,33928,54953,67553,90565,97881,111217,156354,,51877,54804,57391,46568,40069,51158,81244,87193,76158,99416
720230,Ferro-silico-manganese,0,0,517,2944,4019,5562,8007,5809,4197,8122,,936024,978195,867805,599197,461991,800995,814433,658667,603374,1276572,,0,0,1740,3600,4573,7060,8007,6358,5158,9411
721399,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel (excluding ...",0,0,1,4,0,0,12051,0,0,8043,,631,7745,9956,2808,184,981,886,502,1496,41835,,87473,102255,13583,8548,1279,4585,56774,35176,10031,26609
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),2325,3798,3957,4377,2816,2381,2481,2306,3724,7569,,33000,41788,37246,34559,30942,40485,46719,40232,43849,66819,,307991,282093,301089,259114,248092,272411,306790,315800,364461,498434
293220,Lactones,2514,124,562,1236,4159,1429,1611,1382,3064,7482,,0,19701,20301,31526,24367,50021,79790,80279,74282,117766,,50152,60035,88828,74231,52941,66470,61367,60551,152896,550663
844851,"Sinkers, needles and other articles used in forming stitches, for machines of heading 8447",9303,9209,13622,9960,8834,8053,7120,7154,4866,7371,,19018,19536,18575,15051,15007,14350,15659,12755,7305,11008,,47028,54579,136723,124241,167658,213294,211033,153810,171112,230839
80132,"Fresh or dried cashew nuts, shelled",10358,9956,9920,6997,8432,10305,9889,8202,6635,7341,,765635,917488,861026,804318,730899,942411,666431,564571,404228,432499,,15565,17918,26007,16057,19401,19659,19386,17209,13724,17069
210690,"Food preparations, n.e.s.",1825,5313,3900,4981,6285,9384,8394,7249,9831,7312,,130304,163391,168442,174761,191194,215421,277178,358210,415972,535211,,349771,452092,445813,440019,375695,364467,490716,609801,648132,750724
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",3744,3315,5765,8678,8085,1285,2298,1009,2018,7186,,40782,68175,111036,90558,186379,62597,68326,70408,42655,56426,,121020,154193,179033,196182,409271,459297,229394,277796,202955,665164
160420,Prepared or preserved fish (excluding whole or in pieces),9729,7444,4817,6264,5579,7368,7229,3962,2753,6993,,30065,34184,32006,31463,33938,35015,38513,43177,48681,58352,,78686,73247,70488,72929,69962,68760,70201,70119,72716,86315
291823,"Esters of salicylic acid and their salts (excluding o-acetylsalicylic acid, its salts and esters)",1956,2403,2845,3170,3683,3881,5246,7104,5928,6954,,19854,27893,23442,24715,25745,25546,36957,49618,48083,45779,,12053,15016,12961,12264,12522,12889,15709,17030,16013,19204
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",17558,5032,1742,14998,15995,13936,8034,6413,2548,6914,,62745,92421,159873,199065,239915,208200,199806,226446,208574,246282,,230210,200295,166404,226998,245638,279682,336820,321035,324269,440262
847290,"Office machines, n.e.s.",301,1390,712,1119,950,687,1548,3413,7113,6877,,53988,41120,45578,79814,114423,93252,119277,193762,136134,203829,,45566,60142,48806,43103,32278,26904,30529,34385,30208,52020
291539,"Esters of acetic acid (excluding ethyl, vinyl, n-butyl and dinoseb [ISO] acetates)",5245,7517,8076,6979,8675,4318,6781,8034,5996,6781,,102562,101452,95535,82919,71778,69513,97682,108080,107596,138877,,59905,112508,196972,96633,74325,59885,60888,72352,78463,79735
482390,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a ...",4887,5326,4845,6150,5102,5193,5330,4202,3933,6662,,182321,238806,239600,238754,256161,265565,293666,322398,310233,407903,,75588,78124,68808,64979,63045,68051,74422,72404,55343,73207
845230,Sewing machine needles,6922,4193,3671,3270,6389,5358,7834,6261,5013,6651,,26244,31267,33379,25488,19594,21222,23168,21524,17512,21222,,19014,19722,22136,21755,21658,23687,27517,25355,24931,27498
820900,"Plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",10081,6219,7456,7125,8803,7441,5403,5076,4011,6596,,46436,53659,53445,49573,50373,59974,75068,73310,56246,83373,,305417,297438,273793,209509,195059,167452,182889,163893,104445,128794
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,6543,2535,2413,3618,4311,5040,5028,6147,4955,6581,,535238,621166,613988,573343,570918,651621,710365,755570,723895,987642,,42375,51508,57543,60692,65069,75385,58595,65144,50698,63648
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",7336,4084,9751,5649,5120,6869,18951,6605,7012,6544,,179488,262132,321688,317972,352001,330304,376453,431216,429857,429429,,569206,677830,690970,730168,721403,729213,938227,1122284,1062679,1372680
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",789,1889,414,587,366,1079,2023,1374,920,6471,,127053,118819,57414,17034,20028,19095,42691,46278,46055,89709,,656443,746162,721625,771143,964425,1262131,2095864,2335704,3004130,2527747
850490,"Parts of electrical transformers and inductors, n.e.s.",1314,1168,1285,2079,2406,1331,3432,3888,1819,6453,,155113,189289,171385,186608,185915,205872,231356,281882,268490,354034,,231416,219031,198453,191369,187787,204314,218273,264182,306692,387981
901813,Magnetic resonance imaging apparatus,120,52,397,248,475,2673,2299,3331,4821,6443,,7933,2719,7191,22329,30408,25401,33561,39681,31004,47141,,44587,30969,32831,27996,40049,40149,45680,32774,30659,61241
40590,"Fats and oils derived from milk, and dehydrated butter and ghee (excluding natural butter, ...",2339,2188,2837,3244,3331,4591,4605,5058,6190,6401,,30175,30109,33851,35388,38083,53004,83789,81149,81228,87790,,31680,31438,36240,17772,16772,19299,22445,15879,16104,20312
841940,Distilling or rectifying plant,337,412,2971,1132,2315,395,507,425,607,6184,,70291,69428,69094,64744,72128,74024,92159,87833,68859,94847,,139060,13255,14426,15288,9940,13273,7982,11433,11217,22464
