Product code,Product label,United States of America's imports from Australia-Value in 2012,United States of America's imports from Australia-Value in 2013,United States of America's imports from Australia-Value in 2014,United States of America's imports from Australia-Value in 2015,United States of America's imports from Australia-Value in 2016,United States of America's imports from Australia-Value in 2017,United States of America's imports from Australia-Value in 2018,United States of America's imports from Australia-Value in 2019,United States of America's imports from Australia-Value in 2020,United States of America's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
760110,"Aluminium, not alloyed, unwrought",233,4,0,6984,12168,158311,251501,507346,134603,260017,,2699037,2591341,2487668,2354220,1989538,2101616,2639721,2247243,2163671,3128382,,2853105,2894340,2889434,2854853,4039318,5972398,4603766,3976626,3595704,5214799
20442,"Frozen cuts of sheep, with bone in (excluding carcases and half-carcases)",82340,82403,112162,93988,94270,128332,136607,196607,156962,214051,,625049,822870,1044738,759880,687072,995968,1177708,1418754,1208444,1518543,,201734,174747,212899,209386,198542,265172,300783,354888,267870,384468
890392,"Motor boats and motor yachts, for pleasure or sports (other than outboard motor boats)",28958,28010,40082,51971,54480,60796,57408,65378,84806,179760,,69055,74132,101443,95679,102138,170191,133635,233826,176720,175156,,638362,710321,709451,1324262,1112067,1213971,1105236,1217131,1295238,1540489
110900,"Wheat gluten, whether or not dried",140701,201134,206647,171492,177213,156246,183525,183042,150332,164422,,176584,228109,217564,186954,183057,185722,205198,198270,184507,217097,,271389,367624,386484,346299,372910,373391,422665,399058,327527,421340
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",0,0,0,0,0,0,10252,0,52859,159179,,245657,156458,142673,203820,212570,135660,165688,112813,134123,283053,,52541,74640,232228,290471,212872,286029,491014,458326,309211,854859
20443,Frozen boneless cuts of sheep,42613,59794,77788,73844,79222,99996,118330,112020,105559,147898,,242409,277985,384186,339963,323058,440236,454425,403083,403969,470575,,47300,69146,87052,85405,88056,113423,134201,133149,118632,171694
20423,Fresh or chilled boneless cuts of sheep,42965,53517,60765,61511,62674,66588,72889,78667,82892,136467,,120423,128532,152387,143987,155891,166082,170645,173861,178265,262809,,62338,73366,82307,83745,83668,89449,96711,103791,107472,169771
750210,"Nickel, not alloyed, unwrought",297841,162052,266262,133071,17780,104894,291511,39741,65430,130298,,0,0,0,0,0,0,631977,1081519,249116,0,,2008369,1636856,2127944,1416173,983764,1271311,1495637,1285099,1189868,1393353
20450,"Fresh, chilled or frozen meat of goats",73792,69974,97151,92876,104767,145261,94707,125536,69006,119151,,141159,159217,221822,186193,150395,200787,138855,166188,102847,191590,,75780,72221,98897,95327,107040,147471,99588,138656,78177,140400
261400,Titanium ores and concentrates,359602,298454,141394,181648,121838,110575,142861,99435,41343,115353,,135411,85640,67036,83598,63569,85006,77060,87219,80219,59059,,575007,547662,339033,431343,327752,351860,367458,441827,271306,447495
150210,"Tallow of bovine animals, sheep or goats (excluding oil and oleostearin)",38,40,45,56,247,6825,3373,20178,23724,104240,,340995,367211,364394,264399,299871,288035,262754,234277,296713,473978,,61798,52814,53371,40485,53989,60475,99600,153484,203726,461381
300220,Vaccines for human medicine,56071,61129,78004,79477,74589,87401,65056,117600,103855,104110,,184472,153494,114423,120344,114640,124942,99920,98872,80526,125784,,1736984,2731481,3566089,5478143,4057104,5053923,5761899,7286070,7449162,8368395
780110,"Unwrought lead, refined",48752,111244,1901,9120,15594,17932,5816,0,30190,97605,,419894,476089,495781,419131,436966,503799,436709,231150,258377,263785,,351051,684476,927348,788788,818131,1220402,1017903,822909,589073,1098875
720230,Ferro-silico-manganese,30436,75203,78611,59306,41261,87482,110207,83355,63431,83736,,0,0,0,0,0,0,0,0,0,0,,448737,382339,528281,342248,223023,443447,542277,452394,295161,485917
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",221,10452,166,1958,1149,9699,311,1337,932,83422,,10908,203290,120635,62054,2778,330,1288,17034,5890,11258,,5626853,4562786,3505923,3501566,3935002,3297128,3040504,2993541,5021818,5581727
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",259,0,0,0,19059,43928,56293,80189,75317,80087,,0,152,248,120,94,219,1290,1038,993,1300,,427141,363503,535044,557062,402738,509806,498078,509062,621767,1228342
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",41880,44474,70147,59877,71449,157654,58770,83909,56808,76306,,133746,174311,212792,208074,238895,215364,226552,265614,177536,174193,,19657088,23009278,24611853,23603753,23532415,22072839,23802214,19826647,12204519,19726612
720211,"Ferro-manganese, containing by weight > 2% of carbon",34042,33121,42479,32139,35645,80897,93985,86805,27734,74604,,0,0,0,0,0,0,0,0,0,0,,330432,262399,250258,159450,94793,252428,333250,218513,119136,298503
741220,"Copper alloy tube or pipe fittings """"e.g., couplings, elbows, sleeves""""""""",878,863,736,422,32740,27536,59740,60906,62258,73188,,30199,47288,48162,49367,50721,63530,66577,14085,21343,51314,,369943,412490,440881,414898,442237,464292,555444,526645,482538,709013
720918,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",22311,0,0,4388,22595,38610,51320,33127,32152,72548,,0,0,0,0,46927,169407,133986,143007,138166,109801,,159056,114365,224938,235421,222476,307092,260863,263388,202278,412054
51199,"Products of animal origin, n.e.s., dead animals, unfit for human consumption (excluding fish, ...",5896,9508,16471,18369,19920,33186,45800,55563,56947,72213,,9447,12655,20884,22329,35291,54422,58566,63668,69477,107353,,439534,491404,533388,511644,507026,577958,666300,643489,643648,757551
20629,Frozen edible bovine offal (excluding tongues and livers),48076,43631,53593,67498,62500,43183,40612,58887,52588,71494,,317058,343897,400898,335838,296298,321085,363842,392964,372827,471322,,99179,97912,130462,164960,164606,143371,157679,209561,209124,303442
847989,"Machines and mechanical appliances, n.e.s.",40466,44825,43161,31008,46435,43797,47224,55591,50519,69742,,144110,177681,175136,137115,139231,130954,211316,160718,165550,158777,,3320662,3240773,3590171,3485083,3509142,4536854,4766746,4629761,4306969,5218856
720917,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",629,0,0,2367,19722,41872,46405,35424,29177,69570,,0,1822,43,3,83,34,187,14,28,225,,223134,226806,454181,343425,325249,485744,393108,262691,179277,551080
760120,Unwrought aluminium alloys,63122,63770,69671,37977,2926,45866,66340,74251,20929,63751,,1084742,856690,860536,596619,373611,509552,603687,527971,417851,742206,,3908613,3581029,4414172,4473257,4139684,4973139,5754464,4976575,3369353,6323767
720916,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",0,0,0,1184,26272,68276,51399,65047,44996,58148,,176,150,0,23,4,0,0,35,26,25,,426375,341323,818732,593868,466330,655027,521704,355929,216581,554660
851810,Microphones and stands therefor (excluding cordless microphones with built-in transmitter),5761,8122,9024,14000,16239,20791,19376,28778,37856,55420,,23096,25989,27616,38643,47527,47236,56085,77576,108081,163119,,318676,335614,359650,365034,368663,373486,422404,433325,485434,647703
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",13,0,0,0,0,0,26775,0,21251,53845,,38,2938,28365,23583,12635,7800,15414,12187,22390,35,,289466,354640,479299,300203,334422,407460,770263,718003,365378,717176
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",14303,6506,5899,9050,10386,13192,15264,20317,21702,50853,,78002,89867,77526,64230,71781,48950,60633,59538,77217,69814,,5347776,5555755,6159935,7233384,7382348,7548836,8099793,6751480,6499745,9420558
210690,"Food preparations, n.e.s.",32853,36099,34615,39417,44791,38610,46227,58822,46631,50676,,226406,277176,388229,731539,1024245,1318490,1068136,821079,782213,712995,,1890222,1995452,2046535,2089642,2165584,2305658,5263280,5826461,6386648,7157170
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",170057,132780,106469,59885,65864,42591,59322,57556,45834,46104,,3378372,2403733,1821197,1098626,1398958,1337323,1403690,1535557,1184945,778112,,34564946,34131920,39779651,48169267,51344092,50655121,56258767,61153335,63004514,65589732
170114,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excluding ...",73728,28195,45974,57716,58362,76207,27339,68127,73538,44300,,0,0,0,0,0,0,0,0,0,0,,1223943,775298,922898,1201195,1280095,1205072,1117365,1179082,1262504,1287203
480411,"Unbleached kraftliner, uncoated, in rolls of a width > 36 cm",6,12924,75113,69732,64522,68119,72757,86998,40725,43889,,51184,57616,61575,45093,33412,43102,12744,11143,16754,18017,,4686,19007,86354,83141,74446,81853,81757,91129,48471,56072
261210,Uranium ores and concentrates,311338,292713,291992,281077,224034,129746,64634,53282,25946,42087,,0,0,0,0,0,0,0,0,0,0,,494565,481021,528538,424030,400874,175683,78931,73078,32270,42092
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,7513,6775,6431,4057,3304,4477,2304,5140,29013,41257,,24526,23004,30481,19401,21744,26663,27967,35244,28753,51664,,2557520,2598887,2957942,2996345,2870512,3023144,3421054,3589182,4520463,5878978
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",18122,14341,13389,13902,14580,17123,29538,42938,33344,40900,,199015,228651,225310,219951,283126,371090,421873,485240,477092,492473,,1764805,1981023,2251509,2234572,2533437,2786996,3216749,3212960,3025551,3854354
220429,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",89878,64353,56313,48430,43018,63309,50691,53500,54586,40828,,427988,388820,378505,325475,314065,314370,405729,340933,404265,389387,,468737,344014,318041,278112,295966,305177,263845,299661,333902,422498
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",29625,26875,37154,48299,66727,58855,48223,42569,33040,40637,,317140,277918,292655,272426,262815,300882,274587,275049,262931,347506,,13607533,13036713,13903620,14001343,13648346,13883643,14790810,14521749,12516795,15333184
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,540,302,625,2297,39181,,0,0,0,0,0,2373,2911,9149,13539,58496,,0,0,0,0,0,7927894,14091390,21007279,29661647,35386544
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",23442,15716,7497,9304,8717,8364,11600,18247,22188,38687,,83794,64507,57651,53584,64568,63616,64113,67519,100388,189448,,2590716,2548791,2534363,2609372,2772352,3386541,3883862,3997768,5350020,6362888
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",39799,36756,28279,41146,51113,46253,52659,60030,41939,38363,,201524,243869,277718,284598,333847,400731,361114,384360,373396,439784,,27596482,30210873,33841643,40433798,45871307,48105160,47902381,39350975,39215671,43134822
220210,"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...",123,371,540,1611,2502,4664,16962,17056,27545,37185,,48699,33879,26958,35630,48113,39213,37273,42149,53601,83003,,1664214,1800293,1907884,2187321,2224704,2465343,2556031,2715548,2799204,2907857
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,4365,6858,17716,18021,2864,1284,3376,16717,30255,37033,,463747,438658,493941,447531,419769,542391,579628,523266,474352,651346,,541821,485511,481243,419752,405888,479498,568558,489410,574784,593417
130219,"Vegetable saps and extracts (excluding liquorice, hops and opium)",20005,27934,28475,32766,24554,42893,40135,38931,21252,36729,,4956,5458,8088,7851,7822,8825,11942,13006,19641,19224,,516444,575394,586485,662659,707530,762038,867911,892631,1026550,1145892
230110,"Flours, meals and pellets, of meat or offal, unfit for human consumption; greaves",34549,43321,41696,30605,38605,46478,83746,68063,45216,36619,,211873,256399,252714,209840,151112,165444,213922,175569,151467,161363,,84278,95632,88017,70585,80954,94547,152979,137667,105299,98833
750512,"Bars, rods, profiles and wire, of nickel alloys, n.e.s. (excluding electrically insulated products)",64,478,98,191,23275,50413,77985,77937,64628,35411,,403,511,9810,12518,27605,52560,90217,84943,78148,47013,,165704,109305,147412,174925,117961,168417,216674,218569,186043,133419
20441,Frozen sheep carcases and half-carcases (excluding lambs),12346,9274,21324,20295,12827,20803,29267,24417,28589,31056,,31277,39884,63334,44904,33235,30385,31796,31602,18449,47970,,15376,12179,23002,24051,14255,26882,30806,24676,29544,32418
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",18775,58895,86816,6231,1531,1009,517,30,83,31029,,258241,370801,91031,113516,23753,282693,141523,70197,147883,220342,,677105,1279410,685566,256327,399446,292321,235135,192009,871949,1056126
281820,Aluminium oxide (excluding artificial corundum),207483,247508,197143,223297,95353,142122,146537,170778,27959,29685,,5211506,5214946,5118388,4846901,4163306,5620871,7495431,5757417,4722433,5788406,,707891,734402,634008,615847,384893,540394,770615,806548,494321,638579
300420,"Medicaments containing antibiotics, put up in measured doses """"incl. those in the form of ...""",16180,29438,20090,57139,50181,47972,45141,32909,21002,29572,,408411,350345,161580,63408,76572,113499,77055,70257,70354,51013,,1370663,1270068,1202351,1445563,1647742,1440719,2164277,2972465,2592574,3017212
283699,"Carbonates and peroxocarbonates """"percarbonates""""; commercial ammonium carbonate containing ...""",12096,14514,12214,12696,11933,14338,16527,23830,24903,29490,,13544,15250,11697,17808,15708,20099,25840,28895,30238,39055,,80171,79938,74147,70571,91032,115755,125866,111221,131941,152758
760310,"Powders of aluminium, of non-lamellar structure (excluding pellets of aluminium)",16327,13244,22072,24138,10763,16540,22497,17242,19313,29119,,26145,23065,31482,32080,21293,29350,38215,28635,23030,40172,,38093,39281,56839,65553,54901,57268,64322,48978,41716,58419
850440,Static converters,7603,5641,5618,8591,11880,9636,13890,12620,11726,29097,,51035,52395,55166,55873,61085,76680,94447,90208,97039,130716,,8080280,8486424,9273437,9607602,9264142,9541997,10422940,10125956,10932833,13225374
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",163,5683,17474,37278,51341,43767,58876,57667,35533,28905,,12836,46468,46351,54413,46527,43710,64494,62231,61910,69067,,74324,103983,116605,136031,132311,157005,162182,156143,123833,138617
261590,"Niobium, tantalum or vanadium ores and concentrates",0,2099,4248,6411,3929,8241,10401,21617,20454,27715,,0,0,0,0,0,0,0,0,0,0,,13999,55185,72281,51554,39063,42067,72015,53790,30855,65400
40690,"Cheese (excluding fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese ...""",2986,9006,8650,17582,24844,11975,8588,9250,6600,26815,,333296,353312,304985,274850,256941,278475,275422,237273,205845,255431,,1022164,1067473,1171723,1185749,1167486,1092652,1184744,1222945,1103063,1372891
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",16804,16239,14837,12964,16981,19398,19152,27921,22610,26348,,85977,71541,74102,59618,75113,69075,88821,100027,86092,113033,,5675487,5906734,6269066,6677328,6707960,7387174,8219633,8721334,9164364,11202232
350400,"Peptones and their derivatives; other albuminous substances and their derivatives, n.e.s.; ...",6898,6051,3394,3754,4358,3562,6972,9370,17183,26034,,113869,121115,134178,78529,67419,57361,50410,49605,123921,138142,,163421,182537,201826,246937,280147,251009,341551,515143,544500,728668
151419,"Low erucic acid rape or colza oil """"fixed oil which has an erucic acid content of < 2%"""" and ...""",161,20645,14040,7968,6676,22910,21278,12866,6107,24995,,36643,70428,75028,65669,75491,75370,99459,69618,80035,145899,,1302934,1175774,1059921,1070349,1217719,1385095,1326416,1351044,1360041,2308283
20610,Fresh or chilled edible offal of bovine animals,10864,11760,13163,21134,13353,11196,17353,23908,22999,24811,,58679,47320,46110,62752,75526,81577,90891,102235,89344,106949,,76344,72066,91887,91268,75586,77387,82024,102756,103816,149750
330129,"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excluding those ...",10770,13763,19962,21898,22534,35694,31290,20497,27375,24684,,26810,29820,32214,40512,46388,56898,53147,46148,57899,60869,,242974,278171,362607,403464,449646,563681,648769,508256,573124,587825
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",8108,31429,66039,124452,72213,20557,22304,19198,23668,24575,,308650,339415,394874,377320,499821,595197,640390,147240,85064,117972,,907600,947276,1076662,1061392,1030654,1107151,1612333,1602708,1207052,1306872
293911,"Concentrates of poppy straw; buprenorphine """"INN"""", codeine, dihydrocodeine """"INN"""", ethylmorphine, ...""",121770,111398,95104,97587,72476,60065,24115,30629,19156,23751,,1723,804,4251,6664,8908,9939,8289,11417,10500,4991,,269674,476034,377847,452446,444948,208852,171885,168018,148376,122722
700910,"Rear-view mirrors, whether or not framed, for vehicles",64621,69968,64961,60263,22040,5615,4598,9867,15012,22854,,59663,71284,52278,64612,36152,6766,5080,5327,6170,10386,,289274,312950,323859,345860,327582,292946,305024,318815,312939,399047
30383,"Frozen toothfish """"Dissostichus spp.""""""""",884,4807,3014,5318,5495,16834,12144,17274,16858,22832,,0,0,0,2683,459,28,13800,17676,14322,10377,,89200,89859,86274,122683,125313,128789,139466,168021,116105,218025
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",9903,9571,10914,19075,21960,27920,31011,24756,14993,22788,,76440,80434,92767,89018,68167,84413,100648,130104,118182,142297,,10932350,11581587,12552830,14042270,14081944,13487610,14893148,14676483,13006933,16413178
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",33436,26970,28218,28632,23682,24383,25466,23702,19490,22309,,110535,100138,96419,69215,80039,116605,126853,125493,116585,135593,,1564933,1547838,1643245,1657710,1652315,1775436,1900268,1992722,1985196,2398980
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",2658,733,3489,1854,1745,4088,5485,9003,8111,22116,,33074,28216,36281,31161,44783,42253,39497,75623,57485,51778,,1781921,1964198,2374003,2447458,2494610,2696378,2947165,2999059,2910813,3666490
350510,"Dextrins and other modified starches, e.g. pregelatinised or esterified starches",0,0,4,27,0,0,0,2,7920,21180,,32912,28720,24581,22904,29720,28644,27714,26208,25668,37352,,120581,146654,148299,152593,169635,164563,172492,170092,193149,250161
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",11448,14919,10049,10858,14341,15503,18387,19560,18814,21047,,117382,136808,127267,130416,105893,100764,123663,117945,104405,130243,,7395870,7677434,8555758,8339420,7847296,8460070,9479565,8649164,7521799,8918139
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",13235,12272,42009,18958,24447,8558,13882,30530,11597,20915,,15131,15875,24219,23296,32971,27795,19484,21139,41571,66392,,977556,948718,1098020,901833,823398,1061415,1073590,1107659,1518949,2382439
480524,"Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""",13919,10824,0,0,0,0,48,530,16933,20298,,71124,54835,78992,72908,87538,88193,107341,106974,89261,92205,,21709,37972,61009,64471,65258,74845,80344,66157,79798,100869
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",15898,16750,16524,15371,21244,13837,9493,11769,10825,20240,,54281,46812,37332,33141,33526,39976,47481,49793,45694,55945,,1139385,1238879,1354909,1359959,1412312,1447103,1546010,1534323,1586221,1879619
847990,"Parts of machines and mechanical appliances, n.e.s.",8565,10190,9331,10912,10364,12313,15924,16016,12899,20175,,99038,107637,140759,92866,118015,182923,88063,90164,70183,93607,,1857721,1836238,2022257,2080788,1942317,2251551,2476788,2576837,2602298,3142253
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",25519,16102,8186,5828,7596,2363,991,1306,2630,20152,,69804,27014,14384,12495,13735,8001,9895,9681,9134,7528,,369787,375887,378860,433630,398186,413486,503171,511792,474841,587294
940540,"Electric lamps and lighting fittings, n.e.s.",3268,6255,3350,5369,5979,7243,7867,11277,12879,20149,,37911,36623,33322,39492,38125,37924,41450,41863,40876,52442,,3012076,3452664,3702648,4000092,4368985,4580023,4756293,3744284,3401225,4119771
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",11099,19246,9172,15291,7051,10616,15040,16556,12026,19552,,143414,90125,99486,76119,75861,87068,92260,126219,96606,140347,,7688047,8830544,9362125,9848385,10210049,10868594,12068896,12798787,12050623,13797558
732020,"Helical springs, of iron or steel (excluding flat spiral springs, clock and watch springs, ...",4852,3636,5069,4974,8158,12337,18757,19662,15196,18296,,4236,4401,4523,3127,2259,8750,19739,17221,12729,20234,,292243,293074,335555,326297,339411,315864,350345,349279,329054,469346
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",2973,2204,2533,4143,2396,7968,9119,4425,11642,18168,,67949,51968,46022,42411,45855,48652,51763,45663,37898,44700,,1933657,1829301,2014384,2032707,1822412,2004674,2203939,2102942,1773411,2301383
380210,"Activated carbon (excluding medicaments or deodorant products for fridges, vehicles etc., put ...",1766,3408,6692,12101,6682,10063,11174,16203,15963,17317,,10374,0,0,21234,23350,29371,34961,35113,0,0,,199358,185045,187443,191310,168480,197416,224013,229511,194258,229657
840710,"Spark-ignition reciprocating or rotary internal combustion piston engine, for aircraft",7140,9158,3047,6638,7395,6133,11352,13056,24396,17241,,52153,53851,84939,114654,110341,60135,118569,85005,96798,72892,,123099,107511,63666,59135,49304,91728,209107,181870,148799,71625
280469,"Silicon containing < 99,99% by weight of silicon",44760,50824,52516,58984,34601,41366,11163,17208,15844,16484,,90500,117337,124153,123558,93528,93519,102678,93368,84353,100336,,529096,456838,553207,480248,367470,370748,345453,355079,271378,307671
853530,"Isolating switches and make-and-break switches, for a voltage > 1.000 V",10682,5491,5401,8479,5269,10568,7863,10159,11202,16150,,7479,11487,7815,5752,9619,5176,4734,7603,20823,16845,,149584,123981,146121,130574,168506,205899,170108,193096,207705,219920
160250,"Prepared or preserved meat or offal of bovine animals (excluding sausages and similar products, ...",9836,7267,7485,8942,8434,7766,7749,7547,14051,16040,,41822,38654,45600,48749,57686,63422,67372,61161,68929,90104,,305674,326131,323658,427126,403919,364858,446450,504220,500099,696303
930690,"Bombs, grenades, torpedos, mines, missiles, and other ammunition and projectiles, and parts ...",20020,12724,14432,14897,8860,10175,12137,3741,10536,15642,,34875,65557,56036,33541,21328,11176,11221,8884,13427,1518,,574745,491665,518197,426329,475819,488216,456865,460864,511331,574440
80211,Fresh or dried almonds in shell,1743,6124,18267,11107,4775,2832,0,5084,2951,15508,,59815,104986,104716,160529,98269,143183,200327,247456,111081,218734,,1926,6299,19227,14106,8578,7014,3027,7390,3295,18866
121020,"Hop cones, ground, powdered or in the form of pellets; lupulin",3135,4329,6890,8405,7877,11809,11466,13439,17051,15497,,2275,4320,8767,11396,9966,18767,19831,19140,23839,25096,,28248,38737,36022,40669,47261,53299,58196,66317,66504,74209
