"﻿Code	Product label	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exported value in 2021"
"560749	""Twine, cordage, ropes and cables of polyethylene or polypropylene, whether or not plaited or ...""	457	417	412	538	407	1042	867	792	679	5958"
"845410	""Converters of a kind used in metallurgy or in metal foundries""	3713	10431	12317	8968	6527	2165	2005	4527	7697	5926"
"151590	""Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...""	2868	4418	3594	2836	2846	4276	3373	4023	7133	5924"
"180610	""Cocoa powder, sweetened""	5494	4469	3503	3284	4184	5398	5365	4346	5161	5924"
"392329	""Sacks and bags, incl. cones, of plastics (excluding those of polymers of ethylene)""	7401	6052	11046	9984	9690	9376	5928	6399	6726	5915"
"321290	""Pigments, incl. metallic powders and flakes, dispersed in non-aqueous media, in liquid or paste ...""	3389	3656	4760	2649	1632	2332	2204	2153	3349	5910"
"681182	""Sheets, panels, paving, tiles and similar articles, of cellulose fibre-cement or the like, ...""	3724	4276	4476	3677	4795	4816	6393	7538	6414	5896"
"080810	""Fresh apples""	7859	6032	3990	8373	9995	9439	7662	6835	4259	5854"
"560290	""Felt, impregnated, coated, covered or laminated (excluding needleloom felt and stitch-bonded ...""	137	5677	13287	14782	14178	10660	2299	10426	10156	5851"
"842191	""Parts of centrifuges, incl. centrifugal dryers, n.e.s.""	3756	3720	3369	1934	2686	3734	1125	2187	4714	5846"
"940560	""Illuminated signs, illuminated nameplates and the like, with a permanently fixed light source""	6098	4570	3042	7841	4985	8283	6654	5475	2403	5841"
"050590	""Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ...""	14	6	1	1778	3858	4770	5853	6345	5463	5831"
"830250	""Hat-racks, hat-pegs, brackets and similar fixtures of base metal""	11739	4238	4065	4875	4815	5842	5073	6736	5746	5807"
"850152	""AC motors, multi-phase, of an output > 750 W but <= 75 kW""	6466	5828	8339	4651	5799	5225	6952	6786	4698	5804"
"470730	""""Recovered """"waste and scrap"""" paper or paperboard made mainly of mechanical pulp, e.g. newspapers, ...""	53125	52035	55014	39080	30905	26508	14659	10987	3669	5800"
"854330	""Machines and apparatus for electroplating, electrolysis or electrophoresis""	13492	5355	3723	1976	1547	685	1414	1140	1362	5794"
"401511	""Surgical gloves, of vulcanised rubber (excluding fingerstalls)""	729	347	1289	320	493	2823	4447	4408	5130	5765"
"871150	""Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...""	6306	4845	5303	5045	4648	6013	11526	9820	5078	5765"
"070110	""Seed potatoes""	5034	4512	2454	1669	1984	2131	4556	5570	4584	5760"
"381600	""Refractory cements, mortars, concretes and similar compositions, incl. dolomite ramming mix ...""	8319	5452	4649	4141	4524	7825	9192	8585	6475	5757"
"848280	""Roller bearings, incl. combined ball-roller bearings (excluding ball bearings, tapered roller ...""	8724	7390	6576	6653	6618	8903	6477	6931	5291	5754"
"842790	""Works trucks fitted with lifting or handling equipment, not self-propelled""	29230	8125	6890	17528	5916	5871	8604	10845	5781	5711"
"611241	""Women's or girls' swimwear of synthetic fibres, knitted or crocheted""	9745	2960	2644	3169	3026	3126	3470	4235	2395	5706"
"391732	""Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...""	4593	3925	2831	2973	2746	4715	3194	5185	3343	5705"
"730840	""Equipment for scaffolding, shuttering, propping or pit-propping (excluding composite sheetpiling ...""	14443	16193	9711	13920	11893	14006	16997	10051	4306	5704"
"080711	""Fresh watermelons""	2598	3462	4145	4747	5497	7366	7909	10413	5342	5700"
"851679	""Electro-thermic appliances, for domestic use (excluding hairdressing appliances and hand dryers, ...""	5225	2734	5426	5069	5432	4969	6918	8710	8375	5696"
"853950	""""Light-emitting diode """"LED"""" lamps""""	0	0	0	0	0	4022	4009	4930	3821	5687"
"850131	""DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...""	3360	4246	3008	5005	2842	2552	4156	5408	3784	5678"
"842482	""Agricultural or horticultural mechanical appliances, whether or not hand-operated, for projecting ...""	0	0	0	0	0	1818	1742	2235	3228	5676"
"850720	""Lead acid accumulators (excluding spent and starter batteries)""	9686	8769	6188	4199	4464	6181	5110	4641	3977	5654"
"843010	""Pile-drivers and pile-extractors (excluding those mounted on railway wagons, motor vehicle ...""	4521	1349	9153	8441	6615	1512	2950	3084	3148	5604"
"350790	""Enzymes and prepared enzymes, n.e.s. (excluding rennet and concentrates thereof)""	6230	6223	4227	3475	4098	3142	4880	4798	5272	5599"
"940370	""Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)""	8168	5679	3617	4031	3349	4067	4516	3603	4083	5595"
"843359	""Harvesting machinery for agricultural produce (excluding mowers, haymaking machinery, straw ...""	4481	3839	2435	2697	5068	10494	6016	5036	7243	5582"
"293719	""Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural ...""	347	406	1488	2958	2529	3262	10222	4127	5012	5578"
"441520	""Pallets, box pallets and other load boards, of wood; pallet collars of wood (excluding containers ...""	2374	927	1345	3193	4018	5327	4681	4878	3810	5573"
"320810	""Paints and varnishes, incl. enamels and lacquers, based on polyesters, dispersed or dissolved ...""	5206	3906	4962	3512	5300	7377	6618	9500	11687	5561"
"846789	""Tools for working in the hand, hydraulic or with self-contained non-electric motor (excluding ...""	7118	6701	7160	6183	6019	7214	6660	12617	5732	5555"
"401039	""""Transmission belts or belting, of vulcanised rubber (excluding endless transmission belts ...""	5585	5572	5233	3285	3090	3955	2956	3213	4594	5552"
"120190	""Soya beans, whether or not broken (excluding seed for sowing)""	2204	6388	3092	2718	2921	2588	2223	1030	920	5544"
"490191	""Dictionaries and encyclopaedias, and serial instalments thereof""	7530	7151	7205	6298	5164	3372	2602	2536	5672	5540"
"848130	""""Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""	6629	4924	9102	6318	8149	6194	5528	6017	5055	5537"
"090111	""Coffee (excluding roasted and decaffeinated)""	2552	2642	4048	5082	4947	5477	5673	4746	5726	5531"
"871639	""Trailers and semi-trailers for the transport of goods, not designed for running on rails (excluding ...""	18941	8342	7158	5659	6487	2156	4104	5906	7117	5521"
"844319	""Printing machinery used for printing by means of plates, cylinders and other printing components ...""	6961	10272	11480	4850	5805	7013	6655	4921	3855	5518"
"846692	""Parts and accessories for machine tools for working wood, cork, bone, hard rubber, hard plastics ...""	1415	1323	791	1159	618	2347	3097	2991	3999	5517"
"846729	""Electromechanical tools for working in the hand, with self-contained electric motor (excluding ...""	4895	5559	5711	7386	5829	6535	6755	6409	3979	5517"
"903149	""Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...""	5034	3747	4665	9199	8927	8428	6487	5041	6587	5507"
"392510	""Reservoirs, tanks, vats and similar containers, of plastics, with a capacity of > 300 l""	3202	12901	3074	3719	3109	2967	5177	4836	4750	5506"
"902590	""Parts and accessories for hydrometers, areometers and similar floating instruments, thermometers, ...""	1365	2272	3237	2274	1758	1911	2189	3702	6324	5484"
"842919	""Self-propelled bulldozers and angledozers, on wheels""	16921	4855	12693	11963	10858	5041	3653	6925	8058	5464"
"250810	""Bentonite""	7189	7434	7962	5948	5128	4289	3800	4216	2873	5461"
"590390	""""Textile fabrics impregnated, coated, covered or laminated with plastics other than poly""""vinyl ...""	3409	4182	4874	4574	4739	5988	4305	6103	4085	5460"
"848410	""Gaskets and similar joints of metal sheeting combined with other material or of two or more ...""	7529	5582	4517	4983	5284	5147	4884	6996	4987	5454"
"200969	""Grape juice, incl. grape must, unfermented, Brix value > 30 at 20°C, whether or not containing ...""	4893	9540	6681	6016	6623	7942	8383	6338	4569	5453"
"847090	""Accounting machines, postage-franking machines, ticket-issuing machines and similar machines, ...""	3515	536	1986	3434	3212	4470	3422	2865	2439	5453"
"030191	""""Live trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...""	18090	20636	16233	12337	12588	12234	6502	3527	3678	5436"
"853110	""Burglar or fire alarms and similar apparatus""	16247	11649	16050	13154	9053	11071	11717	13758	7453	5430"
"070959	""Fresh or chilled edible mushrooms and truffles (excl. Agaricus, Boletus, Cantharellus, shiitake, ...""	1881	3325	3340	2514	3567	3982	5213	4876	3030	5422"
"711590	""Articles of precious metal or of metal clad with precious metal, n.e.s.""	2394	4840	3696	3967	1912	2565	2581	5290	3846	5404"
"851822	""Multiple loudspeakers, mounted in the same enclosure""	2659	3935	3673	4349	4599	3628	3785	4544	4398	5381"
"843610	""Machinery for preparing animal feedingstuffs in agricultural holdings and similar undertakings ...""	482	590	374	300	100	897	388	622	2286	5376"
"960390	""Mops and leather dusters; prepared knots and tufts for broom or brush making; squeegees of ...""	4660	4241	3532	3565	3142	3499	3892	3191	3845	5351"
"390769	""""Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""	0	0	0	0	0	741	521	1194	1878	5340"
"851981	""Sound recording or sound reproducing apparatus, using magnetic, optical or semiconductor media ...""	5382	3135	5302	5677	4323	2392	2228	7373	8421	5334"
"151499	""""High erucic acid rape or colza oil """"fixed oil which has an erucic acid content of >= 2%"""", ...""	1773	1027	2022	4125	2591	3487	7254	7526	4130	5334"
"300190	""Dried glands and other organs for organo-therapeutic uses, whether or not powdered; heparin ...""	9524	8853	6768	2380	6018	7781	7097	11116	10690	5326"
"842619	""Overhead travelling cranes, transporter cranes, gantry cranes, bridge cranes and mobile lifting ...""	9417	19718	16947	21515	18121	10106	9706	10347	6043	5312"
"870321	""Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""	2343	2556	5118	2466	3537	2282	1683	3158	3309	5286"
"902519	""Thermometers and pyrometers, not combined with other instruments (excluding liquid-filled thermometers ...""	2453	2270	2007	1521	1746	1546	1258	2545	5176	5273"
"440810	""Sheets for veneering, incl. those obtained by slicing laminated wood, for coniferous plywood ...""	1431	981	1349	719	1638	232	350	274	489	5244"
"392610	""Office or school supplies, of plastics, n.e.s.""	5819	3752	5876	5375	5947	6727	5320	5592	5460	5241"
"847950	""Industrial robots, n.e.s.""	8597	3803	6877	3251	8894	4298	3512	4166	3302	5234"
"210120	""Extracts, essences and concentrates, of tea or mate, and preparations with a basis of these ...""	1046	886	1960	2069	1212	2679	4370	6078	3560	5197"
"950590	""Festival, carnival or other entertainment articles, incl. conjuring tricks and novelty jokes, ...""	4420	3164	3157	3228	3079	3744	5279	7133	5028	5181"
"842240	""Packing or wrapping machinery, incl. heat-shrink wrapping machinery (excluding machinery for ...""	10849	9516	19847	15427	10601	13077	6892	5652	8475	5160"
"732399	""Table, kitchen or other household articles, and parts thereof, of iron other than cast iron ...""	2700	2767	2605	4198	4338	4330	3047	5420	3008	5156"
"846880	""Machinery and apparatus for welding, not gas-operated (excluding electric machines and apparatus ...""	5643	4125	7085	2567	3007	3472	3316	1733	3762	5152"
"392010	""Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...""	16884	11020	3752	6030	7508	10453	8667	2804	3835	5145"
"844010	""Bookbinding machinery, incl. book-sewing machines (excluding machinery of heading 8441, general-purpose ...""	500	618	428	723	287	351	909	3292	770	5141"
"930630	""Cartridges for smooth-barrelled shotguns, revolvers and pistols and cartridges for riveting ...""	5643	26218	6310	29177	22611	10207	8789	4334	4591	5127"
"230240	""Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived ...""	3359	3781	5233	10162	7103	7621	5761	5328	3155	5099"
"611030	""Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...""	1614	2196	2339	3332	2962	3120	3848	5398	5289	5088"
"681091	""Prefabricated structural components for building or civil engineering of cement, concrete or ...""	6829	14624	4902	3174	2680	2339	3495	3672	5366	5077"
"030485	""""Frozen fillets of toothfish """"Dissostichus spp.""""""""	0	0	377	1776	3006	3267	4169	3825	3435	5049"
"650500	""Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile ...""	2035	2621	2629	2621	2923	2937	2970	3771	3322	5025"
"321590	""Ink, whether or not concentrated or solid (excluding printing ink)""	3387	5829	7425	6153	9650	4469	5418	6105	4663	5013"
"730830	""Doors, windows and their frames and thresholds for doors, of iron or steel""	5599	5893	6041	8287	12455	10023	10287	6011	4067	5001"
"842531	""Winches and capstans powered by electric motor""	5784	6942	4050	5522	3671	4723	5371	4124	3345	4999"
"392210	""Baths, shower-baths, sinks and washbasins, of plastics""	2710	2709	3209	2266	2666	4145	4041	4243	2508	4997"
"293911	""""Concentrates of poppy straw; buprenorphine """"INN"""", codeine, dihydrocodeine """"INN"""", ethylmorphine, ...""	1723	804	4251	6664	8908	9939	8289	11417	10500	4991"
"901320	""Lasers (excluding laser diodes)""	5361	4783	3929	3482	3831	4736	2414	18529	6437	4987"
"731439	""Grill, netting and fencing, of iron or steel wire, welded at the intersection (excluding products ...""	877	510	1107	975	234	571	841	884	1308	4982"
"630690	""Camping goods of textile materials (excluding tents, awnings and sunblinds, sails, pneumatic ...""	682	1221	1027	1138	1341	1730	2471	2061	2223	4943"
"845390	""Parts of machinery for preparing, tanning or working hides, skins or leather or for making ...""	1319	4468	6550	5315	4770	5101	4802	4312	6019	4938"
"291812	""Tartaric acid""	2684	4076	2637	2498	1058	2366	3151	1932	2314	4936"
"490900	""Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, ...""	5584	3867	3345	3034	4027	4864	4321	4870	3665	4926"
"950440	""Playing cards""	286	301	272	302	1107	1049	668	1348	1982	4901"
"853810	""Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...""	7617	26793	12240	7446	8405	6958	5743	4950	3316	4888"
"844110	""Cutting machines for making up paper pulp, paper or paperboard (excluding bookbinding machinery ...""	1289	2514	9078	2445	2957	7983	3479	6041	5855	4877"
"250700	""Kaolin and other kaolinic clays, whether or not calcined""	5737	5240	3741	3398	4008	4485	3885	3835	3520	4874"
"730690	""""Tubes, pipes and hollow profiles """"e.g., open seam, riveted or similarly closed"""", of iron ...""	6466	5301	5803	4348	5902	4691	5048	5610	5689	4870"
"843490	""Parts of milking machines and dairy machinery, n.e.s.""	4394	4757	3498	3520	5171	3924	4428	4498	4428	4861"
"110290	""Cereal flours (excluding wheat, meslin and maize)""	1674	1990	2337	2865	2398	3073	3344	3707	4846	4857"
"870790	""Bodies for tractors, motor vehicles for the transport of ten or more persons, motor vehicles ...""	9385	9555	13682	4689	5144	7601	4831	5517	2866	4852"
"842519	""Pulley tackle and hoists (other than skip hoists or hoists of a kind used for raising vehicles), ...""	2914	3940	3233	6908	1745	2341	1943	2274	3130	4842"
"890710	""Inflatable rafts""	4354	5372	4586	6198	5278	6000	7994	6587	6442	4820"
"848299	""Parts of ball or roller bearings (excluding balls, needles and rollers), n.e.s.""	3970	2624	1981	3387	3493	5610	4292	4723	4083	4819"
"842390	""Weighing machine weights of all kinds; parts of weighing machinery, n.e.s.""	6229	4441	4803	4063	4625	4304	4757	4599	3445	4818"
"850140	""AC motors, single-phase, of an output > 37,5 W""	1765	2362	2166	1295	1552	3573	3571	11508	3030	4815"
"848690	""Parts and accessories for machines and apparatus of a kind used solely or principally for the ...""	25846	43091	31638	19728	17203	28240	8352	2619	7982	4798"
"920290	""Guitars, harps and other string musical instruments (excluding with keyboard and those played ...""	2156	3030	3358	3235	2603	2786	3295	3773	2569	4786"
"030232	""""Fresh or chilled yellowfin tunas """"Thunnus albacares""""""""	2375	2444	4226	8025	8416	6855	4497	11355	5882	4779"
"611020	""Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...""	1856	2048	1881	1889	2255	2491	2196	3326	5316	4778"
"610449	""Women's or girls' dresses of textile materials, knitted or crocheted (excluding of wool, fine ...""	2129	1616	1745	2137	1712	882	1050	1207	1849	4775"
"680919	""Boards, sheets, panels, tiles and similar articles, of plaster or compositions based on plaster ...""	2169	2462	2610	2341	980	891	1230	356	812	4766"
"381590	""Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...""	5851	6411	5699	2978	1885	2137	6136	3127	2899	4761"
"820740	""Tools for tapping or threading, interchangeable""	6005	2797	3764	2765	2788	3573	3414	2797	3276	4748"
"722810	""Bars and rods of high-speed steel (excluding semi-finished products, flat-rolled products and ...""	2975	2212	2805	5127	5642	5341	6252	5800	4741	4745"
"902150	""Pacemakers for stimulating heart muscles (excluding parts and accessories)""	2302	2701	2156	3557	3086	2508	2320	2085	1125	4734"
"902580	""Hydrometers, areometers and similar floating instruments, barometers, hygrometers and psychrometers, ...""	4837	4909	3704	4826	3732	2727	3258	3798	3893	4730"
"841410	""Vacuum pumps""	6048	4094	4173	3975	9859	4034	2975	4593	2672	4724"
"640351	""Footwear with outer soles and uppers of leather, covering the ankle (excluding incorporating ...""	1506	2425	1694	1717	1952	2095	2364	2985	4610	4710"
"480439	""Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...""	2861	2289	2314	2184	2465	2578	2793	2473	6783	4707"
"271114	""Ethylene, propylene, butylene and butadiene, liquefied (excluding ethylene of a purity of >= ...""	127	10	29	371	10238	85	21976	20095	9503	4702"
"851290	""Parts of electrical lighting or signalling equipment, windscreen wipers, defrosters and demisters ...""	10504	8637	9630	7161	7501	6154	5233	3570	3011	4686"
"852799	""Radio-broadcast receivers, for mains operation only, not combined with sound recording or reproducing ...""	2628	4450	2728	5792	4106	3670	2778	3302	5123	4656"
"481190	""Paper, paperboard, cellulose wadding and webs of soft cellulose, coated, impregnated, covered, ...""	3673	1258	2042	2144	937	914	427	809	2478	4628"
"731100	""Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...""	6435	6532	4416	10014	10325	6029	10516	5049	2211	4626"
"040729	""Fresh birds' eggs, in shell (excluding of domestic fowls, and fertilised for incubation)""	68	34	5	15	385	989	980	1192	2102	4593"
"150500	""Wool grease and fatty substances derived therefrom, incl. lanolin""	7585	9376	8166	12088	5972	6322	5424	4879	4009	4592"
"843069	""Earth moving machinery, not self-propelled, n.e.s.""	18000	11905	6744	3128	7954	4739	2703	3480	2828	4592"
"410120	""""Whole raw hides and skins of bovine """"incl. buffalo"""" or equine animals, whether or not dehaired, ...""	100183	111878	123527	87666	56894	57246	43949	30198	10972	4587"
"391000	""Silicones in primary forms""	3339	3606	4337	3968	4445	4184	5611	5002	5327	4581"
"820570	""Vices, clamps and the like (excluding accessories for and parts of machine tools)""	3266	2774	3267	6219	4649	3036	3435	2952	3369	4571"
"420231	""Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...""	2214	1852	2846	3495	4364	4454	4038	3621	3192	4541"
"691110	""Tableware and kitchenware, of porcelain or china (excluding ornamental articles, pots, jars, ...""	4548	3164	4158	3378	4075	4533	4421	3666	2502	4528"
"370790	""Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...""	11508	12048	8626	6101	12512	10329	8692	6235	5684	4525"
"853010	""Electrical signalling, safety or traffic control equipment for railways or tramways (excluding ...""	4948	5254	6849	5474	9058	10962	9136	7955	8962	4524"
"732591	""Grinding balls and similar articles for mills, cast (excluding such articles of non-malleable ...""	21706	14953	4405	2708	3665	4664	6291	4763	4919	4522"
"570310	""""Carpets and other floor coverings, of wool or fine animal hair, tufted """"needle punched"""", ...""	9806	9149	10588	4471	4457	3295	1702	2054	1445	4522"
"491110	""Trade advertising material, commercial catalogues and the like""	7214	6834	4896	5822	4718	5455	3879	3830	6326	4516"
"910199	""Pocket-watches and the like, incl. stop-watches, of precious metal or of metal clad with precious ...""	1564	2049	1938	1936	1974	2762	3541	3170	1818	4505"
"910299	""Pocket-watches and the like, incl. stop-watches, with hand or automatic winding (excluding ...""	2177	3664	3511	6945	3831	4584	3684	3589	3444	4500"
"970500	""Collections and collector's pieces of zoological, botanical, mineralogical, anatomical, historical, ...""	5743	3329	3070	3096	1344	2412	3695	3457	3077	4489"
"270750	""Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250°C by ...""	12565	15632	9181	6305	7674	8271	10231	6630	2717	4488"
"850811	""Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...""	1463	1998	3839	2102	1891	2123	2632	6206	2297	4485"
"732599	""Cast articles of iron or steel, n.e.s. (excluding articles of non-malleable cast iron, and ...""	6281	5373	4080	4003	4551	7603	4054	5495	3971	4477"
"846390	""Machine tools for working metal, sintered metal carbides or cermets, without removing metal ...""	1500	995	339	1866	1084	1999	1832	934	1363	4471"
"846890	""Parts of machinery and apparatus for soldering, brazing, welding or surface tempering, non-electric, ...""	7249	6539	6800	4665	3742	5766	5038	3437	3315	4470"
"731021	""Cans of iron or steel, of a capacity of < 50 l, which are to be closed by soldering or crimping ...""	10593	6897	5250	5795	5832	4821	3728	3011	2254	4462"
"846694	""Parts and accessories for machine tools for working metal without removing material, n.e.s.""	2168	2573	1865	2706	4714	5388	8791	2678	1440	4455"
"940190	""Parts of seats, n.e.s.""	5214	6089	4987	4396	5247	5622	7034	7114	6024	4449"
"120810	""Soya bean flour and meal""	4865	3351	2667	790	1915	4383	5758	6902	2527	4427"
"850710	""""Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""	718	511	477	1007	1343	1561	2750	2488	3753	4422"
"611420	""Special garments for professional, sporting or other purposes, n.e.s., of cotton, knitted or ...""	16048	22267	10796	5039	4370	2051	2695	2891	4967	4415"
"870423	""""Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""	11924	6317	10641	18145	11070	2453	1984	9820	7810	4390"
"870821	""Safety seat belts for motor vehicles""	17026	12086	9136	5509	3949	3868	4574	4398	3114	4388"
"700529	""""Float glass and surface ground and polished glass, in sheets, but not otherwise worked (excluding ...""	2220	1808	747	42	2058	8707	9765	7956	8726	4373"
"381239	""""Anti-oxidising preparations and other compound stabilisers for rubber or plastics (excl. mixtures ...""	0	0	0	0	0	1949	2617	2575	4215	4366"
"840790	""Spark-ignition reciprocating or rotary internal combustion piston engine (excluding those for ...""	4175	4220	4960	4415	3112	4224	5248	3618	7910	4365"
"160210	""Homogenised prepared meat, offal, blood or insects, put up for retail sale as infant food or ...""	2006	1745	1858	1809	1939	2431	2067	1661	2023	4356"
"902890	""Parts and accessories for gas, liquid or electricity supply or production meters, n.e.s.""	2504	1560	1133	919	4274	1355	2440	2639	2425	4355"
"220840	""Rum and other spirits obtained by distilling fermented sugar-cane products""	3688	3598	3656	3802	4449	5219	4357	6435	3246	4354"
"040490	""Products consisting of natural milk constituents, whether or not sweetened, n.e.s.""	2225	795	1929	1101	1198	1354	4830	1030	4421	4352"
"100410	""Oats seed for sowing""	8387	5744	3292	3238	2573	3602	2940	2237	1989	4347"
"871631	""Tanker trailers and tanker semi-trailers, not designed for running on rails""	5338	4120	2577	2162	2370	1337	2494	3463	4315	4335"
"120242	""Groundnuts, shelled, whether or not broken (excluding seed for sowing, roasted or otherwise ...""	2301	2552	3052	2731	3964	5892	5246	6030	4080	4325"
"842810	""Lifts and skip hoists""	2146	4211	5038	5994	10520	7305	8211	7518	5255	4324"
"850790	""Plates, separators and other parts of electric accumulators, n.e.s.""	1448	1367	2241	1258	3273	3238	3582	6831	6532	4315"
"440140	""Sawdust and wood waste and scrap, not agglomerated""	0	0	0	0	0	1321	2880	2807	2643	4310"
"060290	""Live plants, incl. their roots, and mushroom spawn (excluding bulbs, tubers, tuberous roots, ...""	2437	2631	2486	2366	4079	4147	3548	2902	3347	4303"
"854320	""Signal generators, electrical""	4822	6042	7087	4650	9319	5073	4040	1929	2753	4299"
"902830	""Electricity supply or production meters, incl. calibrating meters therefor""	3852	8115	19255	13315	3339	5660	4455	3277	3116	4297"
"850213	""""Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""	8801	8860	14885	7761	11387	12335	16357	6867	3160	4284"
"441299	""Laminated wood with both outer plies of coniferous wood (excl. of bamboo, with an outer ply ...""	1224	2738	1855	1759	2406	3889	3200	4265	5538	4278"
"901831	""Syringes, with or without needles, used in medical, surgical, dental or veterinary sciences""	6675	8533	7315	4930	6884	6842	8193	2945	2635	4273"
"850450	""Inductors (excluding inductors for discharge lamps or tubes)""	5076	2959	3366	3916	2997	7450	3628	3600	4398	4271"
"570330	""""Carpets and other floor coverings, of man-made textile materials, tufted """"needle punched"""", ...""	7762	6467	2437	2876	2045	4016	2857	2959	3528	4264"
"482369	""Trays, dishes, plates, cups and the like, of paper or paperboard (excluding of bamboo paper ...""	2663	2636	2564	1348	2083	2400	1832	2318	2337	4262"
"010511	""Live fowls of the species Gallus domesticus, weighing <= 185 g (excluding turkeys and guinea ...""	4464	1236	308	537	1528	8321	5285	7753	1041	4256"
"621050	""Women's or girls' garments of textile fabrics, rubberised or impregnated, coated, covered or ...""	1604	1272	625	682	3058	765	754	823	2038	4235"
"870894	""Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...""	20336	6879	4609	6534	2405	1467	3515	2895	4395	4216"
"690919	""Ceramic wares for chemical or other technical uses (excluding of porcelain or china, articles ...""	5697	6113	10673	8326	6986	5758	5180	4974	4270	4203"
"591190	""Textile products and articles, for technical purposes, specified in Note 7 to chapter 59, n.e.s.""	2236	1562	1989	2623	1756	2351	2442	1413	2539	4202"
"851580	""Electric machines and apparatus for laser or other light or photon beam, ultrasonic, electron ...""	1874	1520	3225	2419	6464	5048	5339	3710	2690	4195"
"860729	""Brakes (other than air brakes), and parts thereof, for railway or tramway locomotives or rolling ...""	2320	2886	2782	2801	1997	2090	3532	3269	3320	4190"
"844339	""Printers, copying machines and facsimile machines, whether or not combined (excluding those ...""	12240	10823	17608	22191	9807	10062	10286	8251	4674	4174"
"442199	""Articles of wood, n.e.s.""	0	0	0	0	0	1992	1657	2112	2347	4160"
"220190	""Ordinary natural water, not containing added sugar, other sweetening matter or flavoured; ice ...""	2416	2331	7390	1795	3042	3809	3880	2245	2186	4149"
"030211	""""Fresh or chilled trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus ...""	1668	1742	2156	2388	1120	926	980	904	1280	4148"
"731449	""Grill, netting and fencing, of iron or steel wire, not welded at the intersection (excluding ...""	1977	1602	998	784	899	2095	3181	3822	2923	4133"
"842542	""Jacks and hoists, hydraulic (excluding built-in jacking systems used in garages)""	5026	5141	3561	4506	3902	3897	7692	5384	3625	4119"
"030313	""""Frozen, Atlantic salmon """"Salmo salar"""" and Danube salmon """"Hucho hucho""""""""	685	68	290	425	533	535	703	755	526	4103"
"691390	""Statuettes and other ornamental ceramic articles, n.e.s. (excluding of porcelain or china)""	208	341	316	394	322	395	342	2613	4064	4090"
"281700	""Zinc oxide; zinc peroxide""	7411	3946	1292	2295	3268	4108	4457	7708	8278	4086"
"540761	""Woven fabrics of yarn containing >= 85% by weight of non-textured polyester filaments, incl. ...""	2792	2568	1625	1435	1727	2385	2874	1919	2218	4077"
"690390	""Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ...""	7924	5030	3280	2757	3141	2977	4148	2938	3808	4059"
"950890	""Roundabouts, swings, shooting galleries and other fairground amusements; travelling theatres ...""	3650	8824	7914	1238	2365	2197	2509	6201	28457	4053"
"841850	""""Furniture """"chests, cabinets, display counters, show-cases and the like"""" for storage and ...""	3474	2566	3068	5094	4727	4542	3955	4335	2455	4053"
"850431	""Transformers having a power handling capacity <= 1 kVA (excluding liquid dielectric transformers)""	8239	5087	4076	4696	5448	3522	4209	5067	3492	4047"
"853210	""""Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power-handling ...""	7381	1989	1751	1090	6456	5669	4517	6197	4217	4037"
"841340	""Concrete pumps""	4405	1853	3618	1407	2604	2896	2182	985	1395	4034"
