Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,1231798,1237401,1266106,1456087,1674142,2546931,3203595,2478140,2979355,4175797
271112,"Propane, liquefied",2737205,2278736,2258899,1450972,1635854,2142070,2742467,2741196,2564639,4056621
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",2262824,2222301,2533213,2434657,2882817,2818188,3192357,3255735,3469101,3960262
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",645810,674780,737450,733166,777728,1363169,2064663,4827993,3576043,3535942
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",3031320,3301669,2891787,2649735,2479270,2856290,2714172,2982742,2936384,3511881
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",1276377,1359908,1492284,1582914,1621283,1591728,1780113,2464127,2689883,3401458
850760,Lithium-ion accumulators (excluding spent),464023,511797,462385,402507,394591,670951,1224303,1248932,1632726,3357021
100590,Maize (excluding seed for sowing),2600504,2673497,2629308,2213078,1894924,1783555,2126007,2347837,2366225,3218347
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,711966,623731,708918,1164120,3130226
853400,Printed circuits,2696679,2818361,2583840,2375745,2173989,2397242,2228141,2255671,2361354,3098227
760110,"Aluminium, not alloyed, unwrought",2098234,2146406,2216040,2062720,2037813,2343288,2262748,2048395,1864023,2988525
740311,"Copper, refined, in the form of cathodes and sections of cathodes",2271340,2111733,2322210,2066340,1831200,1882842,1733119,1386512,1336640,2894728
282590,"Bases, inorganic, and metal oxides, hydroxides and peroxides, n.e.s.",213144,145442,139541,120400,96461,116152,143170,1143158,1465327,2749034
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",2134047,1950533,1920442,1536958,1190313,1700827,1989196,1892855,1711549,2679466
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",544187,296300,160466,186581,241865,340951,860048,1152982,1914221,2396090
260700,Lead ores and concentrates,1820444,1329555,1533554,1149902,1597720,1603776,1524025,1365410,2009460,2372395
300220,Vaccines for human medicine,363650,377935,413145,262779,309922,329188,272978,269984,345226,2355259
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",903143,953544,939070,959704,1021298,1275707,1634311,1733327,1701183,2322838
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",1573601,1347890,1260843,1303416,1475346,1806053,2566654,2282532,1978974,2315348
210690,"Food preparations, n.e.s.",692285,776249,901578,915080,1066766,1174692,1380331,1710688,1913551,2166919
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",1437683,1524206,1603963,1708006,1803514,1848779,1948776,1975836,1951201,2161088
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",4061232,3339632,2828226,1313016,1236048,1700149,2238712,2013531,1108587,2145777
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",1581279,2057939,1980838,1924783,1715645,1760895,1865753,1848774,1773763,2096895
260800,Zinc ores and concentrates,1393858,1247851,1431653,1279082,1364161,2073346,2170306,1686573,1350980,2039407
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,714071,421649,347077,466828,480033,1069209,1337664,712872,1083486,2011859
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,1896279,1025909,1214331,1251022,1041945,995084,959699,849398,1921522,1937581
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,1774696,1912108,1841465,1712523,1885858
850110,"Motors of an output <= 37,5 W",434025,405838,409441,406239,664526,939550,758289,660236,934635,1884213
850440,Static converters,1465649,1477126,1577340,1377420,1234364,1284291,1471599,1586388,1544779,1850786
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",1108548,1179374,1333397,1107455,894714,1132557,1165436,1091552,1099558,1789799
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",1507805,1904646,2119295,1758162,1499790,1603481,1579807,1588504,1520608,1686638
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,730302,1033585,1233028,1659513,1617147
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",649506,780701,712734,729344,779323,993231,1084454,1079506,1226701,1569313
20329,"Frozen meat of swine (excluding carcases and half-carcases, and hams, shoulders and cuts thereof, ...",1027631,761583,1074046,1234697,1165073,1406883,1607853,1488744,1279829,1565129
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",3248528,3952969,1446865,1653415,1266477,1326943,1420840,1418986,1291697,1541973
711021,"Palladium, unwrought or in powder form",406702,442939,531301,425962,286080,439804,479763,817882,994435,1503736
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",1123791,1089087,1028171,932983,612552,1214576,747576,675455,655975,1498069
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",1317520,1766245,1811478,1492271,855580,1138678,1429051,1171099,1295694,1422269
847989,"Machines and mechanical appliances, n.e.s.",1969933,2256995,2784714,2649373,1641399,1309548,1233727,1238623,1137278,1418141
420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",564232,587676,650519,624458,646294,705659,824460,960147,1063460,1368741
848640,Machines and apparatus specified in Note?9 C to chapter 84,920874,572702,686491,690889,810300,1216962,1006746,1018038,1294136,1361691
100199,"Wheat and meslin (excluding seed for sowing, and durum wheat)",1773167,1615625,1210249,1105412,1007087,956621,1001515,989795,968719,1345941
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",1388326,1173436,1029047,859060,873887,1160699,976675,1001801,745608,1329228
20230,"Frozen, boneless meat of bovine animals",598500,662960,751750,872472,976018,915329,1077889,1196068,1114412,1327449
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",118687,102272,147082,232689,547540,705290,721937,693153,781003,1314671
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1079669,897526,1228957,1442854,1189541,993189,1026159,1286730,1148107,1290826
20130,"Fresh or chilled bovine meat, boneless",271459,277859,340931,395929,488507,644701,770882,789179,900948,1282426
880230,Aeroplanes and other powered aircraft of an unladen weight > 2.000 kg but <= 15.000 kg (excl. ...,3663,2350,529,6663,71113,19397,11709,1384844,1285657,1261437
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,63815,230955,370498,757029,1201838
711031,"Rhodium, unwrought or in powder form",49169,36919,37323,30955,16364,30356,78356,157296,503964,1196633
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",68529,109331,195068,180709,101043,175281,197361,355744,620736,1152675
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",2839117,2810241,2592471,1188311,939564,816616,922553,656949,522050,1149342
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",1056867,1026859,911524,868698,1073828,1034555,943320,967309,1066982,1145746
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",667477,706354,708093,713546,758898,799151,904505,973678,1017389,1105148
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",909215,946004,1204675,1222845,1122496,1149856,1111450,959251,900537,1095645
284190,"Salts of oxometallic or peroxometallic acids (excluding chromates, dichromates, peroxochromates, ...""",256336,238110,339190,286848,259895,558669,624340,891104,645634,1082026
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",342722,262520,271479,296581,298806,977018,265136,208158,249929,1071474
760120,Unwrought aluminium alloys,1066883,939541,1091670,987994,823354,1012695,1018484,896695,664700,1049981
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",800145,732810,775798,486157,615334,780566,627568,650894,426577,1021466
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,777378,389837,389539,328127,362573,592044,685662,692617,884827,1011774
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",1978805,1810830,2103971,1952831,1359302,1026867,921358,1435899,1051986,1006928
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",1276587,1448386,1043619,1152056,1188150,1368965,1159705,1013000,937848,1005588
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",562549,654440,537520,560195,534963,605435,812917,747078,840286,989493
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),1095526,1256297,1080085,886082,831610,867574,874826,885453,858896,988447
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",377061,425970,510854,621919,631161,713003,858133,868101,835532,974106
847170,Storage units for automatic data-processing machines,1286252,1312733,1409346,1397474,1682080,2487168,2873605,1012692,875437,967569
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",749531,869538,781838,840515,987611,1004182,1031941,942904,863550,965044
852580,"Television cameras, digital cameras and video camera recorders",722038,557513,572680,1151415,1489670,954209,798644,807988,862723,952411
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",2605090,1432869,1770176,1097640,823972,424911,649165,880151,556407,935264
870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,4250,166267,208339,561030,904715
260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),1115077,535923,532503,334207,286218,461193,542276,468379,222543,901258
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",475297,561836,658068,701393,802371,796670,814905,766744,737603,895221
270111,"Anthracite, whether or not pulverised, non-agglomerated",1360548,1136581,920569,805387,758968,934994,1194184,927152,606888,888923
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",497021,516769,541761,563461,618648,653948,677554,617130,760720,886054
900120,Sheets and plates of polarising material,1968439,1697542,1478236,1169322,1047608,1113303,846557,731939,656253,884069
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",207420,312165,331324,283919,298518,380587,410969,516498,521720,871584
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",84639,77087,91777,96530,95137,602011,545335,470442,543763,852757
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",967225,872541,874491,851453,927204,871444,763414,694700,761928,835500
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",462851,485522,527384,501366,527011,599601,580054,580515,650860,822950
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",417091,446721,531489,620279,589073,653926,733324,764948,718683,821527
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",690577,915450,992325,839457,780876,650989,769301,738081,692705,815611
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",344977,403013,519810,491039,568458,628015,748658,859195,802658,807384
170114,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excluding ...",985998,806424,752428,623744,674744,789625,602657,575322,590495,792545
290511,"Methanol """"methyl alcohol""""""""",640590,709510,638937,485700,368131,560029,759683,496347,421595,790797
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",756667,747164,807355,780363,767329,795165,831877,828528,727559,771944
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,564547,606037,507431,574921,769488
901210,"Electron microscopes, proton microscopes and diffraction apparatus",405539,267155,282596,267006,291801,619735,680629,344212,559599,763178
850450,Inductors (excluding inductors for discharge lamps or tubes),282080,337664,370870,314200,377763,513698,458933,499205,556111,748299
281410,Anhydrous ammonia,752848,731863,667238,505927,396205,407383,478852,398143,331333,746305
120190,"Soya beans, whether or not broken (excluding seed for sowing)",726182,738079,801666,642878,596775,592448,581865,556770,604157,744331
284420,"Uranium enriched in U 235 and its compounds: plutonium and its compounds; alloys, dispersions, ...",635313,975920,688483,817491,536091,940913,538138,706565,725110,744036
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",309145,300657,295288,314428,369837,474772,536777,640203,668694,724447
721420,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations ...",304183,240571,290031,398128,441672,518038,307598,376909,215717,716192
470329,"Semi-bleached or bleached non-coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",811260,842617,726409,795327,638427,753052,980973,794727,576352,709609
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",1165523,849136,1102963,640959,637058,532476,723814,733616,370514,704409
282520,Lithium oxide and hydroxide,10611,11522,18060,29474,91986,132537,229293,385497,439780,667041
392119,"Plates, sheets, film, foil and strip, of cellular plastic, unworked or merely surface-worked ...",267403,295240,259866,242420,249797,286131,361420,450436,577494,664328
720241,"Ferro-chromium, containing by weight > 4% of carbon",547162,567569,499757,498648,473699,688584,668230,516080,396524,662355
151190,"Palm oil and its fractions, whether or not refined (excluding chemically modified and crude)",334709,271368,360491,277702,301854,357164,386263,336589,403598,661571
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",174571,187533,224411,274202,229192,326891,465416,472306,552826,659894
900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",583540,765255,824736,842389,678114,960746,722305,609377,557569,653778
890120,Tankers,358864,322811,227840,402082,469844,280236,416524,229105,566672,651735
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,294443,325172,358538,390359,421423,468227,566562,594202,610436,649655
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,386000,427866,448339,477380,450919,532919,628633,663490,576536,646430
620193,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",416695,580889,709992,612343,585637,672016,850836,779445,536688,645412
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,455595,416134,418351,464384,387847,455803,466003,554397,591007,642698
750210,"Nickel, not alloyed, unwrought",303138,283020,314832,224395,228198,243386,390873,461759,376533,636780
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),365239,346281,430807,329069,312863,384130,419434,459655,498772,635367
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",468541,445010,466912,517564,570576,651350,691271,685361,729753,634497
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",1133849,935869,970136,701193,692404,653145,685971,646161,571648,628704
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",635948,659733,633648,667165,638717,675761,731139,738467,672386,622276
420222,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",370173,360276,366537,320571,319325,311623,335452,391132,482363,621272
391000,Silicones in primary forms,444265,465995,451716,442287,449823,493316,590482,505675,433067,617142
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",350910,381747,370152,384406,371378,380641,471140,550239,510280,609782
901320,Lasers (excluding laser diodes),336261,375534,384377,355399,451679,651105,620819,540903,603597,608517
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",576080,474592,422825,352464,344564,382754,452539,428520,519049,605281
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",414899,416170,406755,356444,394377,482347,450358,422769,431357,603367
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",256760,239542,524865,461885,614630,433916,361625,409465,532468,601401
270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",1306499,1960653,1462209,1068323,950847,921308,999714,853396,479838,600609
854110,Diodes (excluding photosensitive or light emitting diodes),526629,510948,440989,394357,405503,485468,476005,488709,457847,599726
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,105025,123979,161696,223143,286903,396117,432778,430064,511210,588911
847990,"Parts of machines and mechanical appliances, n.e.s.",1122927,1056903,981171,1025799,584624,638237,578958,736950,536324,587803
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",301760,424216,396392,329538,364718,421216,460067,479646,558875,587534
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,517250,524082,483498,467704,511459,463918,440944,450471,457048,587197
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",695733,800335,462127,495667,1572383,571353,563213,530609,523618,578910
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",304124,425973,533701,467767,467373,574267,792827,691013,462703,578727
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",660065,407353,455808,380039,214525,348904,377027,302429,335252,574672
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",859569,692855,557172,468901,494365,502961,458767,506491,492461,573479
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",711896,795854,851480,745411,614128,676016,626719,602589,801175,569190
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",255787,267389,307721,323301,365492,415975,450927,482649,524506,567030
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",524832,429476,451222,435431,369351,442254,558733,419400,496910,565059
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",724652,933856,1522883,2133724,1629254,1360387,1235548,831244,640178,565030
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",1470871,2171387,3056597,3751634,3153272,2641939,3137456,2150305,2004332,564535
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",835340,782099,732172,673719,656310,655907,575178,523397,496425,560125
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",621588,609598,497039,465767,301049,378046,428143,373472,329903,558499
841430,Compressors for refrigerating equipment,327590,370809,414320,349576,360188,414821,437552,467415,468218,553533
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,220068,347762,271517,318360,341003,447375,580766,683280,507313,551429
400122,"Technically specified natural rubber """"TSNR""""""""",1185066,936939,699478,511618,451708,624703,504135,473082,376844,551242
841112,Turbojets of a thrust > 25 kN,430743,288518,299599,421443,348176,459956,540570,526682,573022,550194
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",243331,299661,321840,351490,371585,387553,471824,477702,488106,548883
392310,"Boxes, cases, crates and similar articles for the conveyance or packaging of goods, of plastics",486958,396196,402276,461997,495311,481012,487057,489916,458160,547784
441231,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of tropical ...",460300,489748,411452,406365,85227,424288,520682,451579,438901,545121
90111,Coffee (excluding roasted and decaffeinated),382461,314050,425782,433933,421151,486565,441824,426633,454170,543051
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",434941,462162,659003,589716,521274,567597,582423,460726,303551,537636
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",161344,187313,281912,238970,222404,269308,305725,321942,361511,535490
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",780092,667933,631785,520845,474539,701845,568525,502187,312001,534975
150710,"Crude soya-bean oil, whether or not degummed",419972,309352,250554,197119,183036,257428,227834,247900,282060,528915
300212,Antisera and other blood fractions,0,0,0,0,0,422017,480175,495042,506888,527761
740200,"Copper, unrefined; copper anodes for electrolytic refining",590738,537365,527801,382987,718334,488221,350590,406584,282649,526673
761699,"Articles of aluminium, n.e.s.",165517,166240,170180,196790,254960,295664,361327,343549,344968,522811
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",408563,413834,370892,336979,363257,499649,446823,430098,465682,521788
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",221603,282847,344502,376873,435182,495788,490720,460853,462207,512110
261310,Roasted molybdenum ores and concentrates,196229,150644,195713,160383,143242,205684,402476,411680,269748,506576
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",131307,136853,162766,195498,247294,272778,344472,378075,361543,505194
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",292485,305498,412736,343255,357362,434825,460837,450221,441702,501638
290250,Styrene,1161020,1618630,1331431,876995,830452,979066,415218,508057,533533,501527
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",80994,78317,63925,113392,263510,262291,320530,273122,214765,495897
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",173939,203818,206193,215208,237285,292259,353255,339094,375148,495843
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,239601,268056,327354,359857,384070,402545,428696,413428,424603,495840
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",199894,145339,164848,149313,158953,342490,310541,271606,369068,494932
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,375890,344850,333257,308464,317235,400962,406979,379418,357692,494072
841199,"Parts of gas turbines, n.e.s.",457163,729988,534890,523484,347088,467549,467272,495577,638910,491288
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",596674,552817,553108,498961,441326,455498,506948,418345,388445,488086
680293,"Granite, in any form, polished, decorated or otherwise worked (excluding tiles, cubes and similar ...",102698,94521,108191,106080,569867,652004,664862,536864,462868,483894
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",240114,234308,297388,271681,273620,289685,305631,335084,454540,483035
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",327790,339064,326855,314939,280835,323802,380356,422010,436598,476294
851761,"Base stations of apparatus for the transmission or reception of voice, images or other data",495450,210843,352354,119075,144624,158456,166698,682486,546092,474643
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",24058,64138,120307,166622,200734,335026,398742,378384,488183,472881
870350,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,0,52,8866,606411,472405
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",322038,333148,319476,329270,354380,383524,375902,389682,409218,471108
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",205185,250048,268066,294994,286083,312741,393203,426435,393125,471038
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",124253,143873,152434,155725,153697,163602,192724,203837,275361,469255
950631,"Golf clubs, complete",244823,239436,229911,213181,219039,238474,289107,295382,341786,467454
854160,Mounted piezoelectric crystals,258181,265970,329468,390786,338661,299979,271509,211351,251905,464123
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",281946,290391,268562,259273,225217,242821,317252,240727,311122,461632
940190,"Parts of seats, n.e.s.",296557,314218,354046,362826,344884,394134,387773,395135,421286,461511
750400,"Powders and flakes, of nickel (excluding nickel oxide sinters)",117880,130335,120019,114850,104045,151205,218047,274172,279259,458637
292610,Acrylonitrile,211031,175651,172740,141710,146746,219649,330595,265385,211328,457489
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",190143,218876,262386,271278,281600,309158,342185,373967,383656,457414
30633,"Crabs, whether in shell or not, live, fresh or chilled",0,0,0,0,0,299721,363678,409843,410734,457049
841191,"Parts of turbojets or turbopropellers, n.e.s.",240734,300308,347627,372076,424473,508130,580252,572661,311640,448472
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",417642,453182,432732,388689,376081,370057,380925,356315,351080,448398
720221,"Ferro-silicon, containing by weight > 55% of silicon",332507,296929,328400,279855,227194,286742,309883,267886,205718,447528
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",428560,175236,181920,147341,149141,148676,208046,303844,330695,444639
800110,"Unwrought tin, not alloyed",355335,341464,328117,240744,242660,269257,286042,234499,235640,443839
900290,"Lenses, prisms, mirrors and other optical elements, mounted, of any material, being parts of ...",182950,178252,156000,197308,257583,290008,313058,427076,516765,441239
440131,Wood pellets,18285,76462,323306,176963,172248,280433,521741,362283,329069,439379
902710,Gas or smoke analysis apparatus,130991,149363,182878,248093,280323,350880,401748,429629,412177,434131
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",524815,438991,452419,342167,384025,475096,504173,429016,323720,433170
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",209485,297205,209963,232415,156896,292562,312820,265169,293557,433159
392073,"Plates, sheets, film, foil and strip, of non-cellular cellulose acetates, not reinforced, laminated, ...",1573126,1085913,987223,699503,572566,492129,435919,396353,351172,432950
320490,"Synthetic organic products of a kind used as luminophores, whether or not chemically defined",85899,198418,292528,227201,242864,382811,336195,353636,356592,432444
